,ISIN,error
03937R102,US03937R1023,
891769101,US8917691011,
17462Q107,US17462Q1076,
293639100,US2936391000,
27943Q105,US27943Q1058,
901103101,US9011031013,
89972P101,CA89972P1018,
553091000,,No best match available
07784H109,US07784H1095,
714265105,US7142651055,
27579R104,US27579R1041,
319438107,US3194381071,
012423109,US0124231095,
G6095L109,JE00B783TY65,
587902107,US5879021070,
595072109,US5950721093,
Y66183107,SGY661831079,
800028102,CA8000281029,
92829D107,CA92829D1078,
120831102,CA1208311029,
37938J107,CA37938J1075,
101388106,US1013881065,
44332P101,CA44332P1018,
92532L404,US92532L4041,
34630A104,US34630A1043,
361438104,US3614381040,
500643200,US5006432000,
00258G103,CA00258G1037,
256069105,,No best match available
683402200,US6834022005,
817492101,US8174921010,
G7303A109,VGG7303A1093,
03074G109,CA03074G1090,
926734401,US9267344011,
74154N108,US74154N1081,
125134106,US1251341061,
26926P308,US26926P3082,
884099201,CA8840992017,
293668109,US2936681095,
46118M509,US46118M5094,
53217V109,US53217V1098,
035910108,CA0359101080,
918171109,US9181711097,
09059N100,US09059N1000,
640509105,US6405091058,
103354106,US1033541061,
136551108,CA1365511080,
00199J935,,No best match available
95801T107,CA95801T1075,
46090E103,US46090E1038,
125405506,CA1254055066,
203634407,US2036344073,
46588H105,US46588H1059,
09254C107,US09254C1071,
244196200,US2441962006,
383584208,US3835842085,
17887P205,US17887P2056,
05335B100,US05335B1008,
156718207,US1567182076,
922206107,US9222061072,
922207105,US9222071055,
22674V506,US22674V5066,
55306N104,US55306N1046,
368140109,US3681401093,
58469E408,CA58469E4085,
09857L108,US09857L1089,
89531P105,US89531P1057,
66401P100,CA66401P1009,
14057J101,US14057J1016,
713409100,US7134091005,
31867T202,US31867T2024,
26827D107,US26827D1072,
246911101,US2469111015,
21868A104,CA21868A1049,
693417107,US6934171074,
M7524R116,IL0011355166,
30226D106,US30226D1063,
18682S105,US18682S1050,
00079X103,CA00079X1033,
444717102,US4447171020,
81732W104,CA81732W1041,
03799N934,,No best match available
786693101,US7866931014,
04914Y102,US04914Y1029,
98156L307,US98156L3078,
852891100,US8528911006,
02520W106,US02520W1062,
117769109,US1177691094,
46099X938,,No best match available
852685205,US8526852053,
33645S100,US33645S1006,
173168105,US1731681052,
422819102,US4228191023,
452519101,US4525191015,
12653C108,US12653C1080,
5357EP207,US5357EP2076,
45666Q102,US45666Q1022,
084597202,US0845972027,
22235A108,US22235A1088,
39138C007,,No best match available
53219L109,US53219L1098,
736126301,US7361263012,
91705J204,US91705J2042,
89579K109,US89579K1097,
89214P109,US89214P1093,
826516106,CA8265161064,
88368Q202,US88368Q2021,
87311L104,US87311L1044,
865916100,CA8659161001,
956152409,US9561524094,
95082P105,US95082P1057,
562803106,US5628031065,
06647F102,US06647F1021,
766748107,CA7667481070,
879569937,,No best match available
019855303,US0198553036,
78116B102,US78116B1026,
65332E101,US65332E1010,
757209507,US7572095070,
199910100,CA1999101001,
028731503,US0287315032,
88033A103,US88033A1034,
111621306,US1116213067,
87233Q108,US87233Q1085,
274287101,US2742871013,
279765101,US2797651013,
67066V101,US67066V1017,
67066Y105,US67066Y1055,
67066X107,US67066X1072,
38144H208,US38144H2085,
90333L201,US90333L2016,
941075202,US9410752029,
M15342104,IL0010829658,
761713106,US7617131062,
78463B101,US78463B1017,
02475L105,US02475L1052,
315616102,US3156161024,
68273G101,US68273G1013,
866120116,CA8661201167,
336163605,US3361636059,
44920E203,US44920E2037,
830566105,US8305661055,
