,Instrument,CF_NETCHNG,CF_ASK,CF_BID,CF_LAST,CF_CLOSE,CF_TICK,CF_CURR,CF_SOURCE,CF_HIGH,CF_LOW,CF_VOLUME,CF_EXCHNG,CF_LOTSIZE,CF_NAME,CF_TIME,CF_DATE,Cash and Short Term Investments,"Long Term Debt to Total Capital, Percent",Revenue Per Share,EBITDA,EBIT,Total Capital,"Tangible Book Value Per Share, Total Equity","Book Value Per Share, Total Equity",Book Value Per Share,"Issuance (Retirement) of Debt, Net, Cumulative","Long Term Debt Issued (Reduced), Net","Short Term Debt Issued (Reduced), Net","Issuance (Retirement) of Stock, Net, Cumulative","Preferred Stock Issued (Retired), Net","Common Stock Issued (Retired), Net","Total Cash Dividends Paid, Cumulative"
0,FCHDQ.PK^K11,,,,,,,,,,,,,,,,,59130000.0,,,,,,,,,-19430000.0,-19430000.0,,0.0,,0.0,
1,ENERQ.PK^I12,,,,,,,,,,,,,,,,,130695000.0,,,,,,,,,-1610000.0,-1610000.0,,,,,
2,FLTWQ.PK^H10,,,,,,,,,,,,,,,,,83349000.0,,,,,,,,,891000.0,-1093000.0,1984000.0,873000.0,,0.0,
3,GAPTQ.PK^C12,,,,,,,,,,,,,,,,,352607000.0,,,,,,,,,-182171000.0,-145428000.0,-36743000.0,28000.0,0.0,,-10500000.0
4,IBCIQ.PK^B09,,,,,,,,,,,,,,,,,25071000.0,,,,,,,,,64966000.0,64966000.0,,0.0,,0.0,
5,KYC.QAD^I02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PTFCQ.PK^J11,,,,,,,,,,,,,,,,,56434000.0,,,,,,,,,-15221000.0,-15221000.0,,0.0,0.0,,
7,RONCQ.PK^B12,,,,,,,,,,,,,,,,,,,,,,,,,,22000.0,-3000.0,25000.0,,,,
8,SCRD.PK^H09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ENCZQ.PK^L10,,,,,,,,,,,,,,,,,12918000.0,,,,,,,,,4599000.0,,4599000.0,322000.0,,,
10,BBAO.PK^I08,,,,,,,,,,,,,,,,,1406000.0,,,,,,,,,39265000.0,,39265000.0,153000.0,,150000.0,
11,CANRQ.PK^A10,,,,,,,,,,,,,,,,,1855000.0,,,,,,,,,,,,,,,
12,NXXIQ.PK^A12,,,,,,,,,,,,,,,,,1673000.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
13,NAMS.PK^H09,,,,,,,,,,,,,,,,,88000.0,,,,,,,,,250000.0,250000.0,,,,,
14,FFEDQ.PK^L12,,,,,,,,,,,,,,,,,,,,,,,,,,-119000000.0,905000000.0,-1024000000.0,529000.0,,0.0,
15,TELTQ.PK^B12,,,,,,,,,,,,,,,,,339000.0,,,,,,,,,-2413000.0,-1246000.0,-1167000.0,4000.0,,,-253000.0
16,CORSQ.PK^J11,,,,,,,,,,,,,,,,,,,,,,,,,,-54220000.0,-54220000.0,0.0,-7176000.0,,-7176000.0,-27523000.0
17,LFGRQ.PK^L09,,,,,,,,,,,,,,,,,,,,,,,,,,-105900000.0,-105900000.0,,-140800000.0,,-140800000.0,-17100000.0
18,CSARQ.PK^H09,,,,,,,,,,,,,,,,,35514000.0,,,,,,,,,-30462000.0,-30462000.0,,0.0,,0.0,
19,VRSOQ.PK^C13,,,,,,,,,,,,,,,,,2658000.0,,,,,,,,,1401000.0,2245000.0,,8838000.0,,8838000.0,
20,HAYZQ.PK^L09,,,,,,,,,,,,,,,,,107500000.0,,,,,,,,,141700000.0,16700000.0,125000000.0,0.0,,0.0,
21,THMRQ.PK^E12,,,,,,,,,,,,,,,,,149109000.0,,,,,,,,,-10473309000.0,-6459079000.0,-4014230000.0,1027016000.0,650922000.0,376094000.0,-271405000.0
22,EGLSQ.PK^E11,,,,,,,,,,,,,,,,,16541000.0,,,,,,,,,-8500000.0,-8500000.0,,108000.0,,108000.0,
23,NRVHQ.PK^H10,,,,,,,,,,,,,,,,,16000.0,,,,,,,,,16559000.0,-39000.0,16598000.0,0.0,,0.0,
24,MCTIQ.PK^F10,,,,,,,,,,,,,,,,,373000.0,,,,,,,,,454000.0,374000.0,80000.0,12000.0,,12000.0,
25,LNETQ.PK^D13,,,,,,,,,,,,,,,,,15373000.0,0.35607208,14.294085276,74725000.0,10959000.0,161765000.0,-10.101886125,-6.7795681,-7.270801716,-16749000.0,-16749000.0,,10000.0,,0.0,-4295000.0
26,ISOOQ.PK^L09,,,,,,,,,,,,,,,,,1790000.0,,,,,,,,,0.0,0.0,,-95000.0,,-95000.0,
27,MVGRQ.PK^J11,,,,,,,,,,,,,,,,,61312000.0,,,,,,,,,102446000.0,102446000.0,,,,,
28,TRMPQ.PK^G10,,,,,,,,,,,,,,,,,63895000.0,,,,,,,,,-47844000.0,-47844000.0,,0.0,,0.0,
29,PHHMQ.PK^L11,,,,,,,,,,,,,,,,,26705000.0,,,,,,,,,-6127000.0,-6127000.0,0.0,,,,
30,MBHIQ.PK^F11,,,,,,,,,,,,,,,,,,,,,,,,,,-40000000.0,-40000000.0,,113000.0,0.0,113000.0,-1660000.0
31,AOGSQ.PK^L09,,,,,,,,,,,,,,,,,11120000.0,,,,,,,,,13377000.0,13377000.0,0.0,683000.0,,0.0,0.0
32,TRMAQ.PK^A12,,,,,,,,,,,,,,,,,52981000.0,,,,,,,,,-62796000.0,-62796000.0,,0.0,,0.0,
33,HAEFQ.PK^L11,,,,,,,,,,,,,,,,,4604000.0,,,,,,,,,-35000.0,-35000.0,,7803000.0,,691000.0,
34,DRRAQ.PK^F08,,,,,,,,,,,,,,,,,90446000.0,,,,,,,,,221676000.0,56676000.0,165000000.0,257000.0,,257000.0,
35,KHKH.PK^I08,,,,,,,,,,,,,,,,,9589000.0,,,,,,,,,-3031000.0,-3031000.0,,86000.0,0.0,86000.0,-407000.0
36,MWYGQ.PK^F10,,,,,,,,,,,,,,,,,23021000.0,,,,,,,,,69764000.0,69764000.0,,59000.0,,,
37,TRBRQ.PK^D12,,,,,,,,,,,,,,,,,11481970.0,,,,,,,,,-3891150.0,-3891150.0,,-162460.0,,-161450.0,
38,NOBLQ.PK^L09,,,,,,,,,,,,,,,,,3332000.0,,,,,,,,,105101000.0,75438000.0,29663000.0,1814000.0,,1814000.0,-6037000.0
