Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-17,0.0001,0.0001,0.0001,0.0001,,2240.0
2009-02-27,0.0001,0.0001,0.0001,0.0001,,10378.0
2009-04-20,0.0002,0.0002,0.0002,0.0002,,125.0
2010-08-26,,,,,,673.0
2011-01-13,0.5,0.5,0.5,0.5,,15000.0
2011-01-14,0.4,0.4,0.4,0.4,,4345.0
2011-01-20,0.25,0.25,0.25,0.25,,370.0
2011-01-21,0.5,0.25,0.25,0.5,,10305.0
2011-01-27,0.25,0.25,0.25,0.25,,1320.0
2011-01-28,0.25,0.25,0.25,0.25,,7264.0
2011-02-03,0.32,0.32,0.32,0.32,,125.0
2011-02-08,0.31,0.31,0.31,0.31,,500.0
2011-03-22,0.3,0.3,0.3,0.3,,4479.0
2011-03-25,0.25,0.25,0.25,0.25,,7129.0
2011-03-29,0.25,0.25,0.25,0.25,,140.0
2011-04-28,0.3,0.3,0.3,0.3,,320.0
2011-05-26,0.3,0.3,0.3,0.3,,2150.0
2011-06-01,0.3,0.3,0.3,0.3,,2155.0
2011-06-16,0.25,0.25,0.25,0.25,,235.0
2011-06-20,0.25,0.25,0.25,0.25,,105.0
2011-06-22,0.25,0.25,0.25,0.25,,125.0
2011-06-30,0.255,0.255,0.255,0.255,,500.0
2011-08-26,0.255,0.255,0.255,0.255,,105.0
2011-09-27,0.255,0.255,0.255,0.255,,485.0
2011-10-07,0.255,0.255,0.255,0.255,,200.0
2011-12-06,0.255,0.255,0.255,0.255,,100.0
2011-12-16,0.255,0.255,0.255,0.255,,500.0
2011-12-20,0.35,0.35,0.255,0.255,,10200.0
2011-12-22,0.3,0.2,0.2,0.255,,45055.0
2011-12-23,0.35,0.35,0.35,0.35,,3500.0
2011-12-27,0.35,0.35,0.35,0.35,,5000.0
2012-01-04,0.15,0.15,0.15,0.15,,575.0
2012-04-09,0.05,0.05,0.05,0.05,,500.0
2012-04-18,0.211,0.211,0.211,0.211,,575.0
2012-06-04,0.05,0.05,0.05,0.05,,150.0
2012-06-15,0.05,0.05,0.05,0.05,,264.0
2012-07-19,0.05,0.05,0.05,0.05,,100.0
2012-08-06,0.05,0.05,0.05,0.05,,380.0
