Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2003-12-19,13.87,13.56,13.48,13.55,5089700.0
2003-12-22,13.78,13.73,13.6,13.6,473700.0
2003-12-23,13.75,13.6,13.6,13.75,291500.0
2003-12-24,13.74,13.71,13.6,13.6,74400.0
2003-12-26,13.85,13.71,13.65,13.75,55800.0
2003-12-29,13.8,13.74,13.7,13.75,72000.0
2003-12-30,13.79,13.76,13.7,13.75,97500.0
2003-12-31,14.2,14.1,13.78,13.78,906000.0
2004-01-02,14.5,14.18,14.18,14.2,379100.0
2004-01-05,14.24,14.1,13.95,14.15,104000.0
2004-01-06,14.1,14.0,13.95,14.1,153400.0
2004-01-07,14.08,14.0,13.95,14.05,131400.0
2004-01-08,13.97,13.9,13.89,13.97,43700.0
2004-01-09,13.95,13.95,13.85,13.85,106500.0
2004-01-12,14.0,13.9,13.9,14.0,23400.0
2004-01-13,14.0,13.85,13.85,13.9,91000.0
2004-01-14,13.9,13.8,13.77,13.9,437700.0
2004-01-15,13.95,13.9,13.8,13.85,188900.0
2004-01-16,14.2,14.06,13.92,13.92,48500.0
2004-01-20,14.19,13.94,13.9,14.1,80600.0
2004-01-21,14.1,14.1,13.99,14.0,58600.0
2004-01-22,14.1,14.0,13.95,14.1,69500.0
2004-01-23,14.07,14.03,14.0,14.0,80000.0
2004-01-26,14.6,14.41,14.13,14.13,256100.0
2004-01-27,15.15,14.89,14.41,14.43,500000.0
2004-01-28,15.1,14.7,14.7,14.95,404200.0
2004-01-29,14.7,14.44,14.4,14.7,183600.0
2004-01-30,14.75,14.75,14.4,14.45,64500.0
2004-02-02,14.9,14.87,14.82,14.85,112100.0
2004-02-03,15.05,14.95,14.92,14.92,156200.0
2004-02-04,15.0,14.98,14.91,14.97,87700.0
2004-02-05,15.25,15.09,14.9,14.95,162200.0
2004-02-06,15.35,15.25,15.05,15.05,97600.0
2004-02-09,15.33,15.02,14.95,15.3,150600.0
2004-02-10,15.1,15.07,15.04,15.05,92100.0
2004-02-11,15.15,15.12,15.04,15.07,78000.0
2004-02-12,15.13,15.08,15.05,15.12,109500.0
2004-02-13,15.1,14.99,14.95,15.1,129000.0
2004-02-17,15.0,14.79,14.7,15.0,626000.0
