Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,19.625,18.625,18.125,19.5,36100.0
2000-01-04,18.5,17.6875,17.625,18.5,14200.0
2000-01-05,17.6875,17.375,17.3125,17.625,36600.0
2000-01-06,17.25,17.125,16.8125,17.25,66000.0
2000-01-07,17.5,17.0625,17.0,17.3125,31400.0
2000-01-10,18.25,18.0,17.25,17.3125,27800.0
2000-01-11,17.875,17.375,17.25,17.875,22100.0
2000-01-12,17.4375,16.8125,16.625,17.4375,37600.0
2000-01-13,16.9375,16.125,16.0,16.8125,45700.0
2000-01-14,16.625,16.125,16.0,16.1875,49900.0
2000-01-18,16.0,15.6875,15.625,15.9375,56500.0
2000-01-19,16.0,15.875,15.59375,15.6875,175300.0
2000-01-20,15.875,15.5,15.375,15.875,94000.0
2000-01-21,15.6875,15.5,15.5,15.5625,73100.0
2000-01-24,15.5,14.0,14.0,15.5,616000.0
2000-01-25,16.5,16.4375,14.0,14.0625,730400.0
2000-01-26,17.75,16.375,16.375,17.25,272900.0
2000-01-27,17.125,16.75,16.625,16.625,86600.0
2000-01-28,17.0,16.5625,16.5,17.0,92600.0
2000-01-31,17.0,16.375,16.375,16.5625,59000.0
2000-02-01,16.875,16.75,16.4375,16.4375,75200.0
2000-02-02,17.1875,17.1875,16.75,16.75,129800.0
2000-02-03,17.375,17.0625,17.0,17.1875,105200.0
2000-02-04,17.1875,17.1875,17.0,17.125,56400.0
2000-02-07,17.3125,17.3125,17.125,17.1875,138100.0
2000-02-08,17.5625,17.4375,17.25,17.3125,48900.0
2000-02-09,17.75,17.1875,17.0,17.75,29800.0
2000-02-10,17.25,16.0,16.0,17.0625,58000.0
2000-02-11,16.875,15.9375,15.875,16.125,103500.0
2000-02-14,16.375,15.875,15.75,16.0625,27400.0
2000-02-15,15.8125,15.5625,15.5,15.8125,19600.0
2000-02-16,15.75,15.0,14.9375,15.5,46600.0
2000-02-17,15.1875,15.0625,14.75,15.125,37600.0
2000-02-18,15.0625,14.8125,14.75,15.0625,20300.0
2000-02-22,14.75,14.5,14.3125,14.75,47700.0
2000-02-23,14.875,14.1875,14.0625,14.5,56200.0
2000-02-24,14.1875,13.6875,13.1875,14.125,98300.0
2000-02-25,14.0,13.375,12.75,13.875,70800.0
2000-02-28,13.375,12.6875,12.6875,13.25,68500.0
2000-02-29,13.3125,13.0,12.625,12.75,79100.0
2000-03-01,13.75,13.75,13.0,13.125,236300.0
2000-03-02,14.375,14.375,13.875,13.875,34800.0
2000-03-03,14.9375,14.6875,14.25,14.375,90500.0
