Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,19.0,18.0,18.0,18.0,5800.0
2000-01-04,18.6875,16.8125,16.8125,18.6875,8600.0
2000-01-05,17.4375,16.625,16.5,17.4375,4900.0
2000-01-06,17.25,15.875,15.25,17.25,29800.0
2000-01-07,16.8125,16.625,15.9375,16.125,5600.0
2000-01-10,18.0,17.25,16.625,18.0,11900.0
2000-01-11,17.6875,16.5625,16.5,17.5625,5400.0
2000-01-12,16.6875,16.625,16.0,16.6875,10100.0
2000-01-13,18.0,18.0,16.0625,16.0625,17000.0
2000-01-14,17.0,16.875,16.875,16.9375,17100.0
2000-01-18,16.875,16.875,16.6875,16.8125,10300.0
2000-01-19,17.9375,17.6875,15.75,16.8125,112400.0
2000-01-20,17.9375,17.5,17.5,17.5,20900.0
2000-01-21,18.0625,16.8125,16.8125,17.875,41600.0
2000-01-24,18.0,16.75,16.75,17.25,3800.0
2000-01-25,17.5,17.5,16.5,17.5,13000.0
2000-01-26,17.75,16.5,16.5,17.75,4500.0
2000-01-27,17.125,16.625,16.5,16.625,22300.0
2000-01-28,16.625,16.125,16.125,16.5,40200.0
2000-01-31,16.125,15.5625,15.5,16.125,23900.0
2000-02-01,16.0,16.0,15.4375,15.75,30400.0
2000-02-02,16.3125,16.0,15.625,15.625,10700.0
2000-02-03,16.4375,16.4375,16.125,16.375,5700.0
2000-02-04,16.4375,16.25,16.0,16.4375,10600.0
2000-02-07,16.75,16.3125,16.25,16.25,4700.0
2000-02-08,16.3125,16.28125,15.0,16.3125,23800.0
2000-02-09,16.375,15.9375,15.625,15.625,19400.0
2000-02-10,16.0625,16.0625,15.9375,15.9375,6800.0
2000-02-11,16.5625,15.9375,15.9375,16.0625,6500.0
2000-02-14,16.5625,16.5625,15.9375,15.9375,8200.0
2000-02-15,16.25,16.125,16.0,16.0,3400.0
2000-02-16,17.0,16.4375,16.4375,16.4375,13600.0
2000-02-17,17.0,17.0,16.25,16.25,6600.0
2000-02-18,16.4375,16.4375,15.9375,16.25,11800.0
2000-02-22,16.46875,16.0,15.78125,16.0,10400.0
2000-02-23,16.5625,16.5,16.0,16.0,12500.0
2000-02-24,16.5,15.375,15.375,16.0,17800.0
2000-02-25,16.3125,16.0625,15.75,15.75,14400.0
2000-02-28,16.375,16.3125,15.625,16.0625,8300.0
2000-02-29,16.25,16.25,15.625,16.25,9300.0
2000-03-01,16.25,16.0625,15.875,16.125,36800.0
2000-03-02,16.5,15.5,15.5,16.375,13300.0
2000-03-03,16.25,15.875,15.125,16.0,4400.0
2000-03-06,15.6875,15.625,15.625,15.625,7000.0
2000-03-07,16.0625,16.0625,15.625,15.625,2300.0
2000-03-08,15.625,15.25,15.25,15.625,2600.0
2000-03-09,15.375,15.375,15.25,15.25,1400.0
2000-03-10,13.25,12.6875,12.0,12.75,133500.0
2000-03-13,13.25,13.25,12.015625,12.25,29800.0
2000-03-14,14.5,14.5,13.3125,13.375,24600.0
2000-03-15,14.5,13.5,13.5,14.5,28600.0
2000-03-16,14.4375,14.4375,13.6875,14.0,3000.0
2000-03-17,14.0,14.0,13.5625,13.5625,7700.0
2000-03-20,14.375,14.0,13.625,13.625,20800.0
2000-03-21,14.234375,14.234375,13.75,14.1875,2400.0
2000-03-22,14.28125,14.1875,13.75,13.75,7100.0
2000-03-23,14.4375,14.125,13.875,14.4375,8300.0
2000-03-24,14.125,14.125,14.125,14.125,800.0
2000-03-27,14.5,14.5,14.125,14.125,7600.0
2000-03-28,15.25,15.0,14.9375,15.0,16700.0
2000-03-29,15.3125,15.0625,14.75,14.75,51100.0
2000-03-30,15.5625,15.0625,15.0,15.375,9700.0
2000-03-31,15.4375,15.375,14.5,15.1875,45500.0
2000-04-03,15.25,14.9375,14.8125,15.125,28700.0
2000-04-04,15.0,14.75,14.4375,14.9375,3800.0
2000-04-05,15.0,15.0,14.375,14.5,23800.0
2000-04-06,16.25,16.1875,15.125,15.1875,14700.0
2000-04-07,16.25,16.0,16.0,16.25,8400.0
2000-04-10,15.5,15.5,15.0,15.25,17300.0
2000-04-11,15.75,15.5,15.125,15.125,3800.0
2000-04-12,16.25,15.625,15.125,15.875,2300.0
2000-04-13,16.0625,15.90625,15.1875,15.1875,29900.0
2000-04-14,16.0,15.90625,15.875,16.0,3300.0
2000-04-17,16.0,15.8125,15.5,16.0,17800.0
2000-04-18,15.8125,15.8125,15.125,15.125,2600.0
2000-04-19,15.75,15.53125,15.3125,15.5,4900.0
2000-04-20,16.0,15.625,15.5,16.0,8800.0
2000-04-24,15.53125,15.5,15.3125,15.5,11100.0
2000-04-25,16.8125,16.75,15.25,15.375,34300.0
2000-04-26,17.0,16.40625,16.40625,16.625,3000.0
2000-04-27,16.3125,16.25,15.875,15.875,5600.0
2000-04-28,16.5,16.5,15.5625,15.625,8600.0
2000-05-01,16.625,16.625,16.3125,16.3125,5100.0
2000-05-02,15.875,15.8125,15.8125,15.875,1400.0
2000-05-03,15.5625,15.5,15.5,15.5,800.0
2000-05-04,15.5,15.375,15.375,15.5,11400.0
2000-05-05,15.75,15.75,15.34375,15.34375,8700.0
2000-05-08,15.5625,15.375,15.375,15.5625,6500.0
2000-05-09,15.5,15.375,15.375,15.5,3600.0
2000-05-10,15.6875,15.375,15.375,15.375,3000.0
2000-05-11,15.375,15.375,15.375,15.375,2200.0
2000-05-12,16.0,16.0,15.625,15.8125,600.0
2000-05-15,15.625,15.4375,15.4375,15.625,5000.0
2000-05-16,16.25,15.9375,15.3125,15.4375,9500.0
2000-05-17,15.9375,15.9375,15.3125,15.3125,4700.0
2000-05-18,16.25,16.25,15.3125,15.9375,7800.0
2000-05-19,15.125,15.125,15.0625,15.125,6000.0
2000-05-22,15.375,15.375,14.1875,15.125,22700.0
2000-05-23,15.1875,15.0,15.0,15.0,3800.0
2000-05-24,15.75,15.0,13.875,14.8125,9200.0
2000-05-25,15.875,14.75,14.75,15.6875,3000.0
2000-05-26,16.125,16.125,15.0,15.4375,5000.0
2000-05-30,16.125,16.125,15.0,15.0,9000.0
2000-05-31,16.125,15.0,15.0,16.125,8000.0
2000-06-01,16.0,16.0,15.125,15.375,1800.0
2000-06-02,15.875,15.25,15.0,15.25,6500.0
2000-06-05,15.125,15.0,14.875,14.875,5200.0
2000-06-06,15.28125,15.0,14.96875,15.0,17600.0
2000-06-07,15.125,15.0,15.0,15.0,2700.0
2000-06-08,15.3125,15.0,15.0,15.0,12700.0
2000-06-09,15.25,15.1875,14.875,14.875,2300.0
2000-06-12,15.75,15.5,14.8125,14.8125,4600.0
2000-06-13,15.4375,15.3125,14.875,15.375,10600.0
2000-06-14,16.0,16.0,15.453125,15.5,3100.0
2000-06-15,15.375,14.75,14.5,15.375,146200.0
2000-06-16,15.15625,14.75,14.625,15.15625,45900.0
2000-06-19,15.234375,15.09375,14.8125,14.8125,13900.0
2000-06-20,15.125,14.625,14.625,15.0,30800.0
2000-06-21,14.75,14.75,14.625,14.75,800.0
2000-06-22,14.625,13.75,13.75,14.375,3400.0
2000-06-23,13.8125,13.25,13.25,13.75,28800.0
2000-06-26,13.875,13.875,13.25,13.59375,5500.0
2000-06-27,14.4375,14.25,13.8125,13.96875,20600.0
2000-06-28,14.625,14.5625,13.875,13.875,21200.0
2000-06-29,14.625,14.46875,13.75,13.75,33500.0
2000-06-30,14.5,14.5,13.875,13.875,45200.0
2000-07-03,14.0,13.953125,13.875,14.0,48300.0
2000-07-05,14.625,13.875,13.875,13.875,9100.0
2000-07-06,14.75,14.625,14.0,14.0,9200.0
2000-07-07,14.375,14.25,13.875,14.375,3600.0
2000-07-10,14.25,14.25,14.25,14.25,300.0
2000-07-11,14.5,14.5,14.25,14.25,800.0
2000-07-12,14.625,14.625,14.5,14.5,28800.0
2000-07-13,14.65625,14.5,14.5,14.625,9100.0
2000-07-14,14.75,14.75,14.375,14.5,14900.0
2000-07-17,14.625,14.375,14.375,14.625,400.0
2000-07-18,14.625,14.625,14.375,14.375,2400.0
2000-07-19,14.625,14.265625,14.0625,14.125,309700.0
2000-07-20,14.25,13.75,13.75,14.15625,3100.0
2000-07-21,14.09375,13.125,12.5625,14.09375,9100.0
2000-07-24,13.75,13.25,13.0,13.0,20100.0
2000-07-25,14.0,14.0,13.125,13.375,3400.0
2000-07-26,14.125,14.125,13.625,13.625,10200.0
2000-07-27,14.375,14.375,14.0,14.0,600.0
2000-07-28,14.625,14.59375,14.25,14.375,11900.0
2000-07-31,14.75,14.75,14.5,14.5625,17900.0
2000-08-01,14.625,14.625,14.609375,14.609375,1200.0
2000-08-02,14.625,14.625,14.375,14.375,12400.0
2000-08-03,14.5625,14.375,14.375,14.4375,8800.0
2000-08-04,14.5625,14.4375,14.40625,14.40625,3600.0
2000-08-07,14.625,14.5,14.40625,14.40625,60400.0
2000-08-08,14.625,14.625,14.5,14.625,35800.0
2000-08-09,14.75,14.75,14.5625,14.625,10400.0
2000-08-10,14.5625,14.5625,14.5625,14.5625,300.0
2000-08-11,14.5625,14.5625,14.53125,14.5625,2400.0
2000-08-14,14.75,14.625,14.5625,14.5625,38700.0
2000-08-15,14.75,14.75,14.5,14.625,104400.0
2000-08-16,14.40625,14.25,14.1875,14.1875,4600.0
2000-08-17,14.375,14.375,14.375,14.375,1700.0
2000-08-18,14.625,14.0,13.3125,14.375,20300.0
2000-08-21,14.25,14.0,14.0,14.25,7600.0
2000-08-22,13.75,13.75,13.75,13.75,200.0
2000-08-23,14.625,14.625,13.75,13.75,13300.0
2000-08-24,13.8125,13.8125,13.78125,13.78125,2100.0
2000-08-25,14.25,13.75,13.75,13.8125,5200.0
2000-08-28,14.5625,13.8125,13.75,13.9375,22100.0
2000-08-29,14.4375,14.0,13.75,14.4375,7300.0
2000-08-30,14.0,13.9375,13.75,14.0,1300.0
2000-08-31,14.625,14.625,14.4375,14.5,2400.0
2000-09-01,14.125,14.125,13.75,13.75,1800.0
2000-09-05,13.8125,13.8125,13.8125,13.8125,5100.0
2000-09-06,14.1875,14.1875,13.8125,13.875,3400.0
2000-09-07,14.5625,14.5,14.5,14.5625,3100.0
2000-09-08,14.875,14.5625,14.5625,14.5625,11200.0
2000-09-11,14.0625,13.875,13.8125,13.8125,2800.0
2000-09-12,13.859375,13.8125,13.8125,13.8125,4600.0
2000-09-13,13.8125,13.75,13.75,13.8125,1000.0
2000-09-14,14.8125,14.8125,13.6875,13.6875,17200.0
2000-09-15,14.625,14.5,13.625,13.625,20200.0
2000-09-18,14.5,14.125,14.0,14.0,3200.0
2000-09-19,14.125,14.0,13.875,14.125,3200.0
2000-09-20,14.1875,14.1875,14.1875,14.1875,3500.0
2000-09-21,14.4375,14.375,13.875,14.4375,1600.0
2000-09-22,14.09375,13.8125,13.796875,13.796875,1300.0
2000-09-25,13.75,13.75,13.75,13.75,1000.0
2000-09-26,14.25,13.75,13.75,14.25,1800.0
2000-09-27,13.875,13.796875,13.75,13.75,8600.0
2000-09-28,14.25,14.25,13.625,13.625,8100.0
2000-09-29,13.875,13.75,13.75,13.75,4200.0
2000-10-02,14.125,13.75,13.75,14.0625,26800.0
2000-10-03,13.9375,13.5,13.5,13.9375,15600.0
2000-10-04,13.9375,13.9375,13.375,13.375,2000.0
2000-10-05,13.75,13.375,13.375,13.4375,11500.0
2000-10-06,13.9375,13.1875,13.125,13.375,5400.0
2000-10-09,13.25,13.25,13.25,13.25,800.0
2000-10-10,13.1875,13.125,13.125,13.140625,5600.0
2000-10-11,13.625,13.046875,12.125,13.1875,25700.0
2000-10-12,12.375,12.375,12.3125,12.3125,1200.0
2000-10-13,12.625,12.625,11.5,12.25,9500.0
2000-10-16,13.0,13.0,12.25,12.875,2300.0
2000-10-17,12.9375,12.5,12.5,12.5,2800.0
2000-10-18,13.375,13.375,11.8125,11.8125,5200.0
2000-10-19,13.625,13.59375,13.0625,13.5,4000.0
2000-10-20,14.015625,13.875,13.75,13.75,4200.0
2000-10-23,14.1875,14.0,13.875,13.875,10700.0
2000-10-24,14.375,14.375,13.75,13.765625,17500.0
2000-10-25,14.3125,13.875,13.875,14.3125,16600.0
2000-10-26,14.25,14.25,13.875,13.875,7300.0
2000-10-27,14.25,14.25,14.25,14.25,1600.0
2000-10-30,14.3125,14.3125,14.28125,14.3125,5100.0
2000-10-31,14.625,14.625,14.25,14.25,12200.0
2000-11-01,14.75,14.75,14.5625,14.5625,1800.0
2000-11-02,14.65625,14.375,14.0,14.625,14200.0
2000-11-03,14.75,14.5,14.375,14.375,10900.0
2000-11-06,14.125,14.0,14.0,14.125,2500.0
2000-11-07,14.5,14.5,14.0,14.0,1100.0
2000-11-08,15.0,15.0,14.25,14.375,10500.0
2000-11-09,14.8125,14.5,14.5,14.8125,1300.0
2000-11-10,15.0,15.0,14.875,14.875,3600.0
2000-11-13,15.125,15.125,14.5,14.8125,3300.0
2000-11-14,15.75,15.75,15.0,15.5,14800.0
2000-11-15,16.0,16.0,15.75,15.75,3000.0
2000-11-16,16.5,16.4375,16.0,16.0,8600.0
2000-11-17,16.59375,16.125,16.0,16.59375,7900.0
2000-11-20,17.0,17.0,16.0,16.0,12100.0
2000-11-21,16.875,16.875,16.5625,16.5625,1500.0
2000-11-22,17.25,16.4375,16.375,17.25,30700.0
2000-11-24,17.0,16.625,16.5,16.625,6200.0
2000-11-27,16.75,16.4375,16.4375,16.5,6600.0
2000-11-28,16.6875,16.4375,16.375,16.5625,5200.0
2000-11-29,16.4375,16.4375,16.3125,16.375,2400.0
2000-11-30,16.546875,15.75,15.75,16.5,12200.0
2000-12-01,16.40625,16.125,15.875,16.125,8500.0
2000-12-04,16.0,15.125,15.125,16.0,20600.0
2000-12-05,15.875,15.5,15.171875,15.1875,17200.0
2000-12-06,15.5625,15.0625,15.0625,15.4375,4100.0
2000-12-07,14.9375,14.625,14.375,14.9375,11700.0
2000-12-08,16.0,16.0,14.875,14.875,12900.0
2000-12-11,16.0,16.0,15.5,15.75,26400.0
2000-12-12,16.25,15.921875,15.875,16.125,3600.0
2000-12-13,14.0,13.0,11.75,12.0,13200.0
2000-12-14,13.875,13.875,13.25,13.875,6000.0
2000-12-15,15.25,15.25,13.5,13.75,31900.0
2000-12-18,15.5625,14.875,14.875,15.25,12200.0
2000-12-19,15.4375,15.125,14.6875,14.75,37900.0
2000-12-20,15.1875,15.0,14.5,14.5,14700.0
2000-12-21,14.9375,14.9375,14.625,14.625,2800.0
2000-12-22,15.5,15.4375,14.9375,15.0,9600.0
2000-12-26,15.625,15.625,14.1875,15.4375,18800.0
2000-12-27,15.75,15.6875,15.375,15.4375,13000.0
2000-12-28,16.5625,16.4375,15.0,15.0,17200.0
2000-12-29,16.625,15.75,15.75,16.0,20000.0
2001-01-02,15.984375,14.875,14.875,15.75,11500.0
2001-01-03,16.625,16.625,14.875,14.875,16500.0
2001-01-04,16.875,16.6875,15.828125,15.828125,13200.0
2001-01-05,16.9375,16.9375,16.5625,16.65625,9800.0
2001-01-08,17.125,17.0,16.9375,16.9375,24500.0
2001-01-09,17.3125,17.0,16.8125,17.25,61600.0
2001-01-10,17.25,17.1875,16.75,17.0625,83500.0
2001-01-11,17.25,17.125,17.125,17.1875,12800.0
2001-01-12,17.1875,17.125,16.9375,16.9375,46400.0
2001-01-16,17.5,17.5,17.0,17.0,14200.0
2001-01-17,18.125,18.0,17.5,17.5,69800.0
2001-01-18,18.015625,18.0,17.9375,18.015625,29800.0
2001-01-19,18.375,18.0,17.9375,17.9375,32300.0
2001-01-22,19.6875,19.6875,18.125,18.125,20400.0
2001-01-23,19.875,19.875,18.75,18.9375,19700.0
2001-01-24,20.5625,20.5625,19.5,19.5,56300.0
2001-01-25,20.875,20.375,20.25,20.875,28400.0
2001-01-26,20.375,15.1875,15.1875,20.375,156800.0
2001-01-29,19.25,19.1875,17.125,17.5,73100.0
2001-01-30,19.203125,19.0,18.0,19.203125,10700.0
2001-01-31,20.125,19.9375,19.0,19.0,29700.0
2001-02-01,19.75,19.5625,19.25,19.6875,6800.0
2001-02-02,19.625,18.125,17.6875,19.625,32100.0
2001-02-05,19.875,19.75,17.75,17.9375,24300.0
2001-02-06,20.375,20.375,18.75,18.8125,52600.0
2001-02-07,20.25,20.25,19.5,19.5,39400.0
2001-02-08,20.0,19.75,19.5,19.5625,14300.0
2001-02-09,20.0,18.5,18.0,19.9375,15900.0
2001-02-12,19.4375,19.0,18.75,18.75,33600.0
2001-02-13,19.1875,19.125,18.9375,19.03125,23500.0
2001-02-14,19.1875,19.0625,19.0,19.1875,4400.0
2001-02-15,19.5,18.5625,18.0625,19.25,24200.0
2001-02-16,19.125,19.0625,18.6875,18.6875,10300.0
2001-02-20,19.1875,18.953125,18.3125,18.75,6200.0
2001-02-21,18.9375,18.140625,18.0625,18.8125,17000.0
2001-02-22,18.0625,17.859375,17.5625,18.0625,29300.0
2001-02-23,17.65625,17.25,16.25,17.65625,14700.0
2001-02-26,19.0,19.0,17.3125,17.375,14100.0
2001-02-27,18.5,18.5,18.1875,18.5,5800.0
2001-02-28,18.9375,18.5,17.609375,18.9375,7000.0
2001-03-01,17.9375,17.3125,17.25,17.625,3200.0
2001-03-02,17.4375,17.3125,17.0,17.25,1700.0
2001-03-05,17.125,16.875,16.875,17.125,2700.0
2001-03-06,16.953125,15.5,15.5,16.953125,10000.0
2001-03-07,16.875,16.4375,15.890625,15.921875,9600.0
2001-03-08,16.8125,16.8125,16.125,16.3125,28000.0
2001-03-09,16.75,16.1875,16.1875,16.25,2200.0
2001-03-12,16.8125,16.375,16.125,16.3125,8100.0
2001-03-13,16.5,16.5,16.125,16.1875,8000.0
2001-03-14,16.625,16.4375,16.4375,16.5,6300.0
2001-03-15,16.6875,16.5,16.25,16.375,14900.0
2001-03-16,17.25,16.625,16.375,16.4375,52100.0
2001-03-19,17.125,17.125,16.625,16.625,2700.0
2001-03-20,17.1875,16.625,16.625,16.953125,12600.0
2001-03-21,16.75,15.625,15.625,16.625,14800.0
2001-03-22,16.0625,16.0625,15.125,15.8125,11800.0
2001-03-23,16.125,16.0,16.0,16.125,2900.0
2001-03-26,16.3125,15.75,15.734375,16.3125,23900.0
2001-03-27,16.046875,15.625,15.5,15.75,24800.0
2001-03-28,15.5,15.1875,15.125,15.5,24300.0
2001-03-29,15.25,15.0,15.0,15.125,14000.0
2001-03-30,15.25,15.1875,15.0,15.1875,22900.0
2001-04-02,15.25,15.1875,15.0,15.25,14300.0
2001-04-03,15.125,15.0,14.9375,15.125,15900.0
2001-04-04,15.125,15.125,15.125,15.125,1500.0
2001-04-05,16.875,16.5,15.25,15.25,28900.0
2001-04-06,16.25,15.125,15.125,16.25,6900.0
2001-04-09,15.74,15.7,15.0,15.72,3500.0
2001-04-10,16.0,15.99,15.55,15.86,10500.0
2001-04-11,15.94,15.18,15.05,15.3,8000.0
2001-04-12,15.47,15.25,15.25,15.3,1400.0
2001-04-16,16.0,16.0,15.5,15.92,199600.0
2001-04-17,16.1,16.0,15.94,16.0,54400.0
2001-04-18,17.5,17.5,16.02,16.02,57700.0
2001-04-19,17.43,17.35,17.05,17.05,2200.0
2001-04-20,17.31,17.31,17.15,17.195,8000.0
2001-04-23,16.98,16.5,16.5,16.5,4300.0
2001-04-24,17.14,17.0,16.75,16.75,14900.0
2001-04-25,17.5,17.46,17.0,17.0,32100.0
