Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2003-11-25,14.05,13.3,12.97,14.01,10236319.0
2003-11-26,13.45,13.15,13.0,13.34,589840.0
2003-11-28,13.45,13.256,13.15,13.45,81008.0
2003-12-01,13.35,13.3,13.02,13.34,280544.0
2003-12-02,13.5,13.39,13.17,13.17,285588.0
2003-12-03,13.59,13.29,13.25,13.25,239421.0
2003-12-04,13.5,13.149,13.03,13.25,165032.0
2003-12-05,13.45,13.05,11.08,12.96,1176462.0
2003-12-08,12.98,12.8,12.5,12.91,434746.0
2003-12-09,13.14,13.03,12.53,12.53,291487.0
2003-12-10,13.05,12.9,12.7,12.86,121098.0
2003-12-11,13.3,13.01,12.72,12.72,134946.0
2003-12-12,13.53,13.5,12.9,12.95,119640.0
2003-12-15,13.76,13.449,13.25,13.65,170863.0
2003-12-16,13.85,13.45,13.1,13.25,243758.0
2003-12-17,13.45,13.34,13.1,13.1,151697.0
2003-12-18,13.76,13.54,13.2,13.35,218823.0
2003-12-19,13.84,13.79,12.93,13.3,207770.0
2003-12-22,13.77,13.4,13.16,13.31,218102.0
2003-12-23,13.99,13.88,13.36,13.36,168483.0
2003-12-24,13.91,13.91,13.4,13.58,27831.0
2003-12-26,14.0,13.85,13.7,13.8,30129.0
2003-12-29,13.95,13.76,13.62,13.83,94699.0
2003-12-30,13.97,13.8,13.55,13.9,86845.0
2003-12-31,14.01,13.89,13.69,13.95,330116.0
2004-01-02,14.05,13.7,13.64,13.9,69678.0
2004-01-05,14.15,14.1,13.75,13.88,460352.0
2004-01-06,14.15,14.05,13.65,13.7,134786.0
2004-01-07,14.1,13.75,13.75,13.76,176888.0
2004-01-08,14.1,12.85,12.85,13.99,378829.0
2004-01-09,13.25,13.15,12.7,12.9,258912.0
2004-01-12,13.25,12.95,12.871,12.93,187712.0
2004-01-13,13.31,13.05,12.1,12.84,449272.0
2004-01-14,14.0,13.85,13.0,13.01,256477.0
2004-01-15,14.25,14.09,13.8,13.85,217421.0
2004-01-16,14.2,14.03,13.95,14.0,283418.0
2004-01-20,14.08,14.0,13.63,13.96,107709.0
2004-01-21,14.66,14.54,13.9,14.0,284768.0
2004-01-22,14.93,14.739,14.0,14.5,237867.0
2004-01-23,14.89,14.74,14.55,14.85,96466.0
2004-01-26,15.0,14.989,14.55,14.7,190778.0
2004-01-27,15.1,15.0,14.48,15.0,212775.0
2004-01-28,15.12,14.82,14.4,15.12,119720.0
2004-01-29,15.03,14.76,14.36,14.99,164347.0
2004-01-30,15.02,15.0,14.35,15.0,207677.0
2004-02-02,15.41,15.41,14.81,15.1,217599.0
2004-02-03,16.0,15.99,14.95,15.04,467871.0
2004-02-04,15.9,15.45,14.53,15.59,258496.0
2004-02-05,15.61,15.36,14.99,15.08,103797.0
2004-02-06,15.5,14.97,14.82,15.26,398536.0
2004-02-09,15.75,15.33,14.83,14.84,291861.0
2004-02-10,15.42,14.95,14.91,15.04,444267.0
2004-02-11,15.4,14.79,14.69,15.2,402159.0
2004-02-12,15.099,15.049,14.69,14.69,189653.0
2004-02-13,15.17,14.7,14.68,15.17,67471.0
2004-02-17,15.09,14.95,14.7,14.99,114187.0
2004-02-18,15.12,14.97,14.76,15.12,126593.0
2004-02-19,15.12,14.31,14.11,15.09,225239.0
2004-02-20,14.49,14.44,14.13,14.22,115470.0
