Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,3.4375,3.3125,3.25,3.375,61700.0
2000-01-04,3.3125,3.3125,3.25,3.3125,160700.0
2000-01-05,3.375,3.3125,3.25,3.3125,74600.0
2000-01-06,3.3125,3.25,3.125,3.3125,119600.0
2000-01-07,3.3125,3.3125,3.125,3.3125,81600.0
2000-01-10,3.3125,3.1875,3.1875,3.3125,72100.0
2000-01-11,3.25,3.0625,3.0625,3.1875,239100.0
2000-01-12,3.125,3.0625,3.0,3.125,89000.0
2000-01-13,3.125,3.0625,3.0625,3.0625,50500.0
2000-01-14,3.25,3.1875,3.0625,3.125,181100.0
2000-01-18,3.25,3.1875,3.125,3.1875,229300.0
2000-01-19,3.375,3.1875,3.125,3.25,314100.0
2000-01-20,3.375,3.375,3.1875,3.25,204500.0
2000-01-21,3.5625,3.4375,3.375,3.375,263500.0
2000-01-24,3.625,3.5,3.4375,3.5,92200.0
2000-01-25,3.625,3.5625,3.5,3.5,101600.0
2000-01-26,3.5625,3.375,3.375,3.5625,82100.0
2000-01-27,3.4375,3.375,3.25,3.375,87200.0
2000-01-28,3.5,3.1875,3.1875,3.375,164500.0
2000-01-31,3.375,3.3125,3.1875,3.1875,47200.0
2000-02-01,3.3125,3.25,3.1875,3.3125,66700.0
2000-02-02,3.25,3.25,3.1875,3.1875,42700.0
2000-02-03,3.625,3.5625,3.1875,3.25,290500.0
2000-02-04,3.9375,3.8125,3.5,3.5,563900.0
2000-02-07,4.0,3.6875,3.625,3.9375,144400.0
2000-02-08,3.875,3.5625,3.5625,3.6875,152500.0
2000-02-09,3.6875,3.5625,3.5,3.625,118700.0
2000-02-10,3.625,3.5,3.4375,3.5625,71800.0
2000-02-11,3.75,3.5,3.5,3.5,70000.0
2000-02-14,3.5625,3.5625,3.4375,3.5,99900.0
2000-02-15,3.6875,3.5625,3.5,3.5,89400.0
2000-02-16,3.625,3.5625,3.5,3.625,61400.0
2000-02-17,3.5,3.3125,3.125,3.5,295000.0
2000-02-18,3.375,3.25,3.25,3.3125,94100.0
2000-02-22,3.25,3.1875,3.125,3.25,57200.0
2000-02-23,3.4375,3.25,3.1875,3.3125,140200.0
2000-02-24,3.3125,3.25,3.0625,3.3125,144300.0
2000-02-25,3.1875,3.125,3.0625,3.125,88700.0
2000-02-28,3.1875,3.125,3.125,3.1875,57100.0
2000-02-29,3.1875,3.125,3.0625,3.1875,84800.0
2000-03-01,3.125,3.0625,3.0,3.125,99100.0
2000-03-02,3.0625,3.0,3.0,3.0,222200.0
2000-03-03,3.125,3.0625,2.9375,3.0625,160100.0
2000-03-06,3.25,3.25,3.0,3.0625,183800.0
2000-03-07,3.25,3.125,3.0625,3.1875,53000.0
2000-03-08,3.5625,3.4375,3.0625,3.125,174600.0
2000-03-09,3.75,3.4375,3.4375,3.625,188900.0
2000-03-10,3.6875,3.5625,3.4375,3.5,82700.0
2000-03-13,3.5,3.4375,3.375,3.5,81800.0
2000-03-14,3.4375,3.375,3.3125,3.3125,51200.0
2000-03-15,3.4375,3.25,3.125,3.4375,98800.0
2000-03-16,3.375,3.1875,3.1875,3.3125,51600.0
2000-03-17,3.25,3.25,3.1875,3.1875,48200.0
2000-03-20,3.25,3.25,3.0,3.125,341900.0
2000-03-21,3.25,3.1875,3.125,3.1875,49000.0
2000-03-22,3.1875,3.0625,3.0,3.125,156900.0
2000-03-23,3.125,3.125,3.0,3.0625,102900.0
