Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-05,1.6,1.6,1.6,1.6,500.0
2000-01-06,1.8,1.8,1.4,1.4,4575.0
2000-01-07,1.6,1.6,1.6,1.6,1750.0
2000-01-12,1.6,1.6,1.6,1.6,250.0
2000-01-18,1.8,1.8,1.8,1.8,460.0
2000-01-19,1.8,1.4,1.4,1.8,1425.0
2000-01-20,1.8,1.8,1.4,1.4,1000.0
2000-01-21,1.4,1.4,1.4,1.4,500.0
2000-01-24,1.8,1.8,1.8,1.8,275.0
2000-01-25,1.8,1.8,1.8,1.8,250.0
2000-01-26,2.0,2.0,2.0,2.0,50.0
2000-02-02,1.4,1.4,1.4,1.4,225.0
2000-02-03,1.4,1.4,1.4,1.4,275.0
2000-02-07,1.8,1.4,1.4,1.8,625.0
2000-02-08,1.8,1.8,1.8,1.8,225.0
2000-02-10,1.8,1.8,1.8,1.8,150.0
2000-02-14,1.6,1.6,1.6,1.6,750.0
2000-02-15,1.75,1.74,1.7,1.7,3105.0
2000-02-16,1.6,1.6,1.6,1.6,175.0
2000-02-17,1.8,1.8,1.8,1.8,350.0
2000-02-23,1.8,1.8,1.8,1.8,275.0
2000-02-24,1.8,1.8,1.6,1.6,500.0
2000-02-28,1.8,1.6,1.6,1.8,425.0
2000-03-01,1.6,1.6,1.6,1.6,315.0
2000-03-02,1.9,1.9,1.9,1.9,825.0
2000-03-03,1.9,1.9,1.9,1.9,250.0
2000-03-06,1.85,1.8,1.8,1.85,550.0
2000-03-07,1.9,1.9,1.9,1.9,500.0
2000-03-08,1.9,1.9,1.85,1.85,1500.0
2000-03-09,1.9,1.9,1.9,1.9,500.0
2000-03-10,1.9,1.9,1.9,1.9,50.0
2000-03-13,1.9,1.8,1.8,1.9,2390.0
2000-03-15,2.0,2.0,2.0,2.0,1655.0
2000-03-16,2.0,2.0,2.0,2.0,2465.0
2000-03-17,2.5,2.5,2.0,2.0,1090.0
2000-03-20,2.0,1.875,1.875,1.9,750.0
2000-03-21,2.0,1.8,1.8,2.0,1250.0
2000-03-22,1.8,1.8,1.8,1.8,650.0
2000-03-23,1.8,1.75,1.75,1.8,15150.0
2000-03-24,2.2,2.0,1.8,1.8,4675.0
2000-03-27,3.0,2.4,2.2,2.2,16800.0
2000-03-28,2.6,1.8,1.8,2.6,6200.0
2000-03-29,1.8,1.8,1.8,1.8,1025.0
2000-03-31,1.8,1.8,1.8,1.8,130.0
2000-04-03,1.8,1.8,1.8,1.8,225.0
2000-04-05,1.9,1.9,1.5625,1.8,3025.0
2000-04-06,1.7,1.7,1.7,1.7,500.0
2000-04-12,1.9,1.9,1.9,1.9,105.0
2000-04-13,1.7,1.7,1.7,1.7,50.0
2000-04-17,1.6,1.6,1.6,1.6,400.0
2000-04-19,1.6,1.6,1.6,1.6,45.0
2000-04-24,1.9,1.9,1.9,1.9,250.0
2000-04-26,1.6,1.6,1.6,1.6,250.0
2000-04-28,1.4,1.4,1.4,1.4,250.0
2000-05-01,1.4,1.4,1.4,1.4,365.0
2000-05-04,1.8,1.8,1.8,1.8,225.0
2000-05-05,1.8,1.8,1.8,1.8,175.0
2000-05-09,1.4,1.4,1.4,1.4,150.0
2000-05-10,1.6,1.6,1.6,1.6,500.0
2000-05-11,1.6,1.6,1.6,1.6,165.0
2000-05-12,1.4,1.4,1.4,1.4,550.0
2000-05-15,1.4,1.4,1.4,1.4,250.0
2000-05-16,1.2,1.2,1.2,1.2,290.0
2000-05-19,1.2,1.2,1.2,1.2,250.0
2000-05-22,1.2,1.2,1.2,1.2,250.0
2000-05-30,1.25,1.25,1.25,1.25,50.0
2000-06-05,1.1,1.1,1.1,1.1,250.0
2000-06-06,1.4,1.4,1.1,1.1,500.0
2000-06-07,1.4,1.4,1.4,1.4,250.0
2000-06-13,1.2,1.2,1.2,1.2,30.0
2000-06-14,1.4,1.4,1.4,1.4,250.0
2000-06-19,1.2,1.1,1.1,1.2,500.0
2000-06-22,1.0,1.0,1.0,1.0,20.0
2000-06-23,1.0,1.0,1.0,1.0,50.0
2000-06-29,1.0,1.0,1.0,1.0,1500.0
2000-06-30,1.2,1.0,1.0,1.2,3500.0
2000-07-10,1.0,1.0,1.0,1.0,500.0
2000-07-13,1.0,1.0,1.0,1.0,1305.0
2000-07-20,1.0,1.0,1.0,1.0,425.0
2000-07-21,2.6,1.4,1.35,1.35,16490.0
2000-07-24,1.2,1.2,1.2,1.2,400.0
2000-07-26,1.4,1.4,1.0,1.0,3075.0
2000-07-27,1.4,1.4,1.1,1.25,2150.0
2000-07-28,1.4,1.3,1.3,1.4,5750.0
2000-07-31,1.3,1.3,1.3,1.3,250.0
2000-08-01,1.35,1.35,1.35,1.35,3000.0
2000-08-08,1.0,1.0,1.0,1.0,425.0
2000-08-10,1.0,1.0,1.0,1.0,1150.0
2000-08-15,1.6,1.6,1.6,1.6,750.0
2000-08-16,1.6,1.6,1.6,1.6,100.0
2000-08-28,1.0,1.0,1.0,1.0,30.0
2000-09-11,1.0,1.0,1.0,1.0,300.0
2000-09-12,1.0,1.0,1.0,1.0,600.0
2000-09-14,1.0,1.0,1.0,1.0,2500.0
2000-09-15,0.9,0.8,0.8,0.9,400.0
2000-09-18,1.0,1.0,1.0,1.0,150.0
2000-09-19,0.8,0.8,0.8,0.8,25.0
2000-09-21,0.8,0.8,0.8,0.8,50.0
2000-09-28,0.8,0.8,0.8,0.8,250.0
2000-10-09,1.38,1.38,1.38,1.38,50.0
2000-10-10,0.8,0.8,0.8,0.8,50.0
2000-10-16,0.8,0.8,0.8,0.8,100.0
2000-10-17,0.8,0.8,0.8,0.8,50.0
2000-10-24,0.8,0.8,0.8,0.8,1540.0
2000-10-25,0.625,0.625,0.625,0.625,50.0
2000-10-26,0.625,0.625,0.625,0.625,20.0
2000-11-01,0.8,0.8,0.625,0.625,4500.0
2000-11-07,0.625,0.625,0.625,0.625,5.0
2000-11-09,0.8,0.8,0.8,0.8,2000.0
