Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2005-12-20,15.5,15.5,12.0,12.0,200.0
2005-12-30,14.07,12.25,11.01,12.0,20542.0
2006-01-03,12.0,9.949,9.7,12.0,117254.0
2006-01-04,10.0,8.82,8.51,9.6,87997.0
2006-01-05,8.8,7.2,7.03,8.8,250029.0
2006-01-06,7.4,6.18,5.75,7.25,698514.0
2006-01-09,7.25,7.25,6.25,6.25,560777.0
2006-01-10,8.49,8.13,7.3,7.65,279206.0
2006-01-11,8.47,7.9,7.75,8.17,59546.0
2006-01-12,8.0,7.5,7.35,7.86,52597.0
2006-01-13,7.62,7.61,7.35,7.35,312109.0
2006-01-17,7.65,7.39,7.35,7.55,68923.0
2006-01-18,7.5,7.39,7.29,7.49,51178.0
2006-01-19,7.63,7.51,7.24,7.49,103287.0
2006-01-20,7.59,7.5,7.35,7.57,48464.0
2006-01-23,7.5,7.44,7.18,7.42,27900.0
2006-01-24,7.5,7.5,7.36,7.5,25583.0
2006-01-25,7.5,7.29,7.29,7.5,61463.0
2006-01-26,7.6499,7.53,7.4,7.4,80482.0
2006-01-27,8.34,7.8,7.41,7.41,47160.0
2006-01-30,8.07,7.99,7.89,7.89,45629.0
2006-01-31,8.05,7.65,7.6,8.05,40415.0
2006-02-01,7.76,7.76,7.43,7.51,33454.0
2006-02-02,7.77,7.56,7.55,7.77,26291.0
2006-02-03,8.1,7.81,7.62,7.7,74056.0
2006-02-06,7.95,7.9,7.79,7.81,15826.0
2006-02-07,7.95,7.79,7.77,7.93,30734.0
2006-02-08,7.82,7.52,7.36,7.81,49389.0
2006-02-09,7.55,7.47,7.15,7.431,31150.0
2006-02-10,7.75,7.44,7.2,7.2,15302.0
2006-02-13,7.57,7.34,7.33,7.51,10102.0
2006-02-14,7.7,7.53,7.1,7.1299,24027.0
2006-02-15,7.54,7.52,7.45,7.5,28313.0
2006-02-16,7.52,7.43,7.43,7.51,16972.0
2006-02-17,7.53,7.5,7.38,7.38,9906.0
2006-02-21,7.52,7.12,7.08,7.41,14226.0
2006-02-22,7.15,7.04,7.01,7.06,13319.0
2006-02-23,7.18,7.06,7.05,7.1,36583.0
2006-02-24,7.15,7.02,6.86,6.99,38793.0
2006-02-27,6.96,6.85,6.82,6.87,29069.0
2006-02-28,6.83,6.7,6.61,6.78,30119.0
2006-03-01,6.75,6.65,6.6,6.74,39288.0
2006-03-02,6.75,6.63,6.61,6.75,12925.0
2006-03-03,6.62,6.35,6.17,6.62,41607.0
2006-03-06,6.9,6.59,6.29,6.29,22168.0
2006-03-07,6.57,6.4,6.31,6.39,98974.0
2006-03-08,6.45,6.23,6.23,6.37,130613.0
2006-03-09,6.34,6.11,6.11,6.33,22410.0
2006-03-10,6.09,5.95,5.9,6.09,71751.0
2006-03-13,6.38,5.95,5.95,6.38,24007.0
2006-03-14,6.01,5.97,5.95,6.01,35422.0
2006-03-15,6.06,5.85,5.79,6.06,44346.0
2006-03-16,5.88,5.8,5.8,5.81,55433.0
2006-03-17,6.24,5.84,5.82,5.83,145219.0
2006-03-20,6.22,5.88,5.66,5.84,51067.0
2006-03-21,6.08,6.02,5.87,5.88,29761.0
2006-03-22,6.66,6.5,5.95,5.95,38229.0
2006-03-23,6.45,6.25,6.2,6.42,17416.0
2006-03-24,6.79,6.33,6.33,6.33,10047.0
2006-03-27,6.18,5.85,5.85,6.15,31263.0
2006-03-28,6.18,6.07,5.85,5.85,81023.0
2006-03-29,6.1,6.1,6.06,6.1,9002.0
2006-03-30,6.1,6.1,6.04,6.07,12193.0
2006-03-31,6.14,5.9,5.9,6.02,31483.0
2006-04-03,6.06,5.89,5.68,5.9,52121.0
2006-04-04,6.16,6.1,5.83,5.83,20081.0
2006-04-05,6.1,5.91,5.69,6.1,6425.0
2006-04-06,6.08,6.08,5.92,5.92,3858.0
2006-04-07,6.14,5.85,5.79,6.14,26503.0
2006-04-10,6.06,5.98,5.78,5.78,9038.0
2006-04-11,5.89,5.72,5.71,5.89,3740.0
2006-04-12,6.1,5.7608,5.69,5.71,9774.0
2006-04-13,6.05,6.01,5.8,5.8,13147.0
2006-04-17,6.03,5.76,5.57,5.99,15750.0
2006-04-18,5.96,5.96,5.71,5.71,10938.0
2006-04-19,5.99,5.9,5.77,5.95,24617.0
2006-04-20,5.95,5.84,5.76,5.85,14774.0
2006-04-21,5.95,5.84,5.76,5.95,10419.0
2006-04-24,5.84,5.75,5.66,5.78,15543.0
2006-04-25,5.73,5.52,5.52,5.73,24678.0
2006-04-26,5.53,5.43,5.31,5.53,15183.0
2006-04-27,5.43,5.36,5.08,5.27,23196.0
2006-04-28,5.68,5.36,5.3,5.37,36051.0
2006-05-01,5.6,5.28,5.27,5.32,22823.0
2006-05-02,5.59,5.43,5.28,5.28,18214.0
2006-05-03,5.5,5.44,5.35,5.43,8550.0
2006-05-04,5.5,5.4,5.4,5.48,6842.0
2006-05-05,5.5354,5.5,5.44,5.46,28146.0
2006-05-08,5.5,5.5,5.46,5.46,123111.0
2006-05-09,5.47,5.47,5.0,5.47,2895.0
2006-05-10,5.57,5.36,5.36,5.4,12741.0
2006-05-11,5.46,5.45,5.36,5.36,18195.0
2006-05-12,5.49,5.35,5.35,5.35,8586.0
2006-05-15,5.7,5.62,5.35,5.35,37140.0
2006-05-16,5.89,5.89,5.6044,5.89,29520.0
2006-05-17,6.7,6.52,6.0,6.0,35215.0
2006-05-18,7.39,7.11,6.54,6.6,58962.0
2006-05-19,8.13,8.13,7.13,7.13,43215.0
2006-05-22,8.45,8.15,7.78,8.23,39387.0
2006-05-23,8.26,7.69,7.66,8.26,25013.0
2006-05-24,7.96,7.9,7.75,7.85,26104.0
2006-05-25,8.35,8.01,7.8,7.8,34666.0
2006-05-26,8.26,8.05,7.9,8.26,12965.0
2006-05-30,8.1,8.1,7.88,7.92,18078.0
2006-05-31,8.4,8.01,7.8,8.2,131609.0
2006-06-01,8.24,8.13,7.95,8.08,121396.0
2006-06-02,8.34,7.95,7.81,8.15,90979.0
2006-06-05,8.0,7.98,7.95,7.95,17516.0
2006-06-06,8.06,7.98,7.88,7.93,19133.0
2006-06-07,8.04,7.75,7.63,8.04,37263.0
2006-06-08,7.66,7.53,7.2,7.63,25666.0
2006-06-09,7.72,7.69,7.63,7.65,10064.0
2006-06-12,7.84,7.72,7.7,7.84,3350.0
2006-06-13,7.82,7.65,7.65,7.709,14100.0
2006-06-14,7.8,7.66,7.55,7.6,15276.0
2006-06-15,7.84,7.75,7.61,7.77,23482.0
2006-06-16,7.95,7.83,7.75,7.75,67669.0
2006-06-19,7.9,7.5,7.46,7.85,16442.0
2006-06-20,7.67,7.46,7.45,7.52,22599.0
2006-06-21,7.91,7.74,7.64,7.9,6703.0
2006-06-22,7.83,7.71,7.7,7.7,3789.0
2006-06-23,7.98,7.87,7.7,7.7,8015.0
2006-06-26,7.96,7.9,7.7,7.92,23077.0
2006-06-27,8.05,8.01,7.82,7.82,24238.0
2006-06-28,7.97,7.96,7.75,7.95,10675.0
2006-06-29,8.43,8.27,7.91,7.91,48595.0
2006-06-30,8.67,8.67,7.83,8.35,552592.0
2006-07-03,8.72,8.41,8.41,8.72,22322.0
2006-07-05,8.72,8.07,8.0,8.32,16025.0
2006-07-06,8.53,8.46,8.06,8.06,11546.0
2006-07-07,8.56,8.48,8.35,8.49,10704.0
2006-07-10,8.64,8.48,8.45,8.48,5800.0
2006-07-11,8.71,8.58,8.55,8.58,1300.0
2006-07-12,8.71,8.66,8.51,8.71,9657.0
2006-07-13,8.59,8.1,8.05,8.59,6170.0
2006-07-14,8.14,7.99,7.85,8.12,5489.0
2006-07-17,8.05,7.96,7.84,7.84,4796.0
2006-07-18,8.18,7.96,7.77,8.06,11223.0
2006-07-19,8.13,7.92,7.89,8.13,14832.0
2006-07-20,8.08,7.98,7.98,8.08,400.0
2006-07-21,8.04,8.01,7.88,8.0,4865.0
2006-07-24,8.0,7.75,7.75,8.0,3100.0
2006-07-25,7.83,7.76,7.58,7.58,2230.0
2006-07-26,7.95,7.72,7.71,7.88,14191.0
2006-07-27,7.81,7.75,7.71,7.71,3888.0
2006-07-28,7.87,7.8,7.75,7.75,1202.0
2006-07-31,7.8,7.71,7.71,7.72,1092.0
2006-08-01,7.74,7.69,7.26,7.71,5800.0
2006-08-02,8.35,7.68,7.45,7.52,24325.0
2006-08-03,7.91,7.81,7.67,7.67,1700.0
2006-08-04,7.89,7.87,7.85,7.88,1891.0
2006-08-07,7.8,7.77,7.69,7.77,3751.0
2006-08-08,7.75,7.65,7.6,7.74,2406.0
2006-08-09,7.68,7.57,7.57,7.57,1100.0
2006-08-10,7.69,7.6,7.57,7.57,3496.0
2006-08-11,7.59,7.59,7.33,7.51,6300.0
2006-08-14,7.59,7.47,7.39,7.39,3227.0
2006-08-15,7.52,7.33,7.3,7.52,27025.0
2006-08-16,7.41,7.31,7.25,7.32,28432.0
2006-08-17,7.47,7.35,7.3,7.3,16583.0
2006-08-18,7.32,7.26,7.21,7.3,43700.0
2006-08-21,7.37,7.35,7.33,7.33,3650.0
2006-08-22,7.37,7.35,7.35,7.36,400.0
2006-08-23,7.37,7.34,7.34,7.35,4700.0
2006-08-24,7.39,7.34,7.34,7.35,2299.0
2006-08-25,7.34,7.28,7.28,7.3001,1400.0
2006-08-28,7.46,7.41,7.35,7.35,10200.0
2006-08-29,7.41,7.41,7.34,7.35,2989.0
2006-08-30,7.49,7.455,7.42,7.42,1600.0
2006-08-31,7.42,7.4,7.4,7.41,2704.0
2006-09-01,7.45,7.41,7.39,7.39,4140.0
2006-09-05,7.58,7.45,7.29,7.52,25111.0
2006-09-06,7.5,7.5,7.34,7.45,25023.0
2006-09-07,7.45,7.39,7.39,7.45,900.0
2006-09-08,7.37,7.36,7.28,7.28,2560.0
2006-09-11,7.34,7.29,7.2,7.33,15770.0
2006-09-12,7.23,7.18,7.15,7.22,4200.0
2006-09-13,7.27,7.2,7.16,7.25,22845.0
2006-09-14,7.2,7.15,7.15,7.2,16250.0
2006-09-15,7.15,7.15,7.15,7.15,1903.0
2006-09-18,7.23,7.22,6.87,7.15,8822.0
2006-09-19,,,,,100.0
2006-09-20,7.25,7.22,7.2,7.21,5753.0
2006-09-21,7.3,7.18,7.18,7.3,4300.0
2006-09-22,7.33,7.25,7.15,7.15,6260.0
2006-09-25,7.35,7.251,7.25,7.35,3575.0
2006-09-26,7.35,7.3,7.17,7.35,18553.0
2006-09-28,7.26,7.25,7.25,7.26,955.0
2006-09-29,7.3,7.3,7.15,7.2,26016.0
2006-10-02,7.55,7.17,7.15,7.54,36221.0
2006-10-03,7.2,6.95,6.77,7.2,35593.0
2006-10-04,6.98,6.82,6.82,6.98,8037.0
