Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-05-26,79.375,78.75,78.125,78.125,2550.0
2000-05-30,79.375,77.5,75.625,78.125,1900.0
2000-05-31,80.0,79.375,76.875,76.875,2940.0
2000-06-01,80.0,78.75,78.75,79.375,5650.0
2000-06-02,81.25,78.125,77.5,79.375,2900.0
2000-06-05,78.75,78.125,77.5,78.75,3880.0
2000-06-06,80.0,80.0,78.125,78.125,6860.0
2000-06-07,83.75,83.125,81.25,81.25,4230.0
2000-06-08,83.75,82.5,81.25,83.75,7010.0
2000-06-09,83.75,83.125,81.25,81.875,2690.0
2000-06-12,84.375,80.625,80.0,84.375,5270.0
2000-06-13,81.25,80.625,80.0,80.0,6390.0
2000-06-14,81.25,78.75,78.75,81.25,4680.0
2000-06-15,79.375,77.5,77.5,79.375,17500.0
2000-06-16,79.375,75.625,75.0,78.125,15450.0
2000-06-19,77.5,76.25,75.0,76.875,7870.0
2000-06-20,76.875,76.875,75.625,75.625,7870.0
2000-06-21,78.75,78.75,76.25,76.25,5020.0
2000-06-22,79.375,77.5,75.0,78.75,8040.0
2000-06-23,77.5,74.375,72.5,76.875,14530.0
2000-06-26,76.875,76.25,76.25,76.25,8890.0
2000-06-27,78.125,75.0,75.0,76.25,8550.0
2000-06-28,77.5,76.25,75.625,75.625,5880.0
2000-06-29,76.25,73.75,73.75,75.625,10140.0
2000-06-30,76.25,72.03125,71.875,73.75,38150.0
2000-07-03,75.625,75.0,73.75,73.75,1740.0
2000-07-05,79.375,79.375,75.625,75.625,7890.0
2000-07-06,80.0,80.0,78.125,79.375,4350.0
2000-07-07,82.5,82.5,80.0,80.0,5210.0
2000-07-10,83.75,82.5,81.25,83.125,1360.0
2000-07-11,82.5,81.25,80.625,82.5,3340.0
2000-07-12,82.5,77.5,77.5,80.625,5980.0
2000-07-13,78.125,77.5,76.875,76.875,5840.0
2000-07-14,80.0,76.875,76.875,78.125,4290.0
2000-07-17,80.0,78.75,76.875,77.5,4110.0
2000-07-18,80.625,80.625,78.75,78.75,6650.0
2000-07-19,83.75,80.625,80.625,81.25,6900.0
2000-07-20,82.5,82.5,80.625,80.625,5710.0
2000-07-21,83.75,83.75,81.875,82.5,8560.0
2000-07-24,84.375,83.75,83.125,83.75,4230.0
2000-07-25,83.75,81.875,81.25,83.125,4510.0
