Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-10-25,14.65,14.49,14.25,14.45,735.0,1186931.0
2018-10-26,14.55,14.53,14.35,14.48,233.0,193800.0
2018-10-29,14.64,14.54,14.46,14.55,308.0,208374.0
2018-10-30,14.5,14.26,14.2,14.5,143.0,132075.0
2018-10-31,14.37,14.3,14.1,14.37,154.0,96730.0
2018-11-01,14.35,14.31,14.25,14.35,48.0,21500.0
2018-11-02,14.35,14.25,14.2,14.35,62.0,58334.0
2018-11-05,14.3,14.3,14.19,14.25,294.0,42450.0
2018-11-06,14.39,14.35,14.28,14.28,48.0,26000.0
2018-11-07,14.4,14.4,14.3,14.35,16.0,9370.0
2018-11-08,14.4,14.2,14.2,14.4,35.0,19565.0
2018-11-09,14.4,14.15,14.06,14.2,175.0,36690.0
2018-11-12,14.29,14.22,14.15,14.15,31.0,5938.0
2018-11-13,14.49,14.41,14.34,14.4,172.0,67260.0
2018-11-14,14.5,14.5,14.43,14.43,137.0,74250.0
2018-11-15,14.6,14.52,14.43,14.5,365.0,120135.0
2018-11-16,14.6,14.49,14.46,14.6,182.0,31328.0
2018-11-19,14.55,14.5,14.45,14.53,155.0,70865.0
2018-11-20,14.56,14.48,14.3,14.54,160.0,157662.0
2018-11-21,14.5,14.5,14.43,14.5,75.0,25660.0
2018-11-22,14.5,14.5,14.46,14.5,33.0,11070.0
2018-11-23,14.57,14.49,14.48,14.49,115.0,36407.0
2018-11-26,14.57,14.495,14.46,14.57,108.0,39784.0
2018-11-27,14.5,14.49,14.46,14.5,133.0,29245.0
2018-11-28,14.5,14.4,14.35,14.5,111.0,27443.0
2018-11-29,14.4,14.34,14.26,14.3,82.0,20659.0
2018-11-30,14.56,14.47,14.33,14.39,217.0,132163.0
2018-12-03,15.4,14.82,14.59,14.6,427.0,184258.0
2018-12-04,14.97,14.67,14.58,14.85,388.0,125187.0
2018-12-05,15.25,15.24,14.8,14.92,415.0,136206.0
2018-12-06,15.65,15.26,15.02,15.03,372.0,122522.0
2018-12-07,15.78,15.65,15.1,15.1,400.0,122594.0
2018-12-10,16.78,16.46,15.67,15.67,706.0,176081.0
2018-12-11,17.14,16.6,16.36,16.51,571.0,124945.0
2018-12-12,16.73,16.25,15.75,16.71,291.0,62161.0
2018-12-13,16.93,16.85,16.31,16.31,199.0,38149.0
2018-12-14,16.85,16.47,16.36,16.64,312.0,52427.0
2018-12-17,16.45,15.89,15.85,16.38,252.0,52355.0
2018-12-18,16.37,16.13,15.84,15.92,326.0,53946.0
2018-12-19,16.16,15.83,15.75,15.9,277.0,65117.0
2018-12-20,16.05,15.69,15.47,15.78,227.0,169948.0
2018-12-21,15.93,15.63,15.39,15.81,187.0,35730.0
2018-12-24,15.55,15.0,14.96,15.55,138.0,14566.0
2018-12-27,15.7,15.37,14.85,15.47,374.0,43031.0
2018-12-28,16.25,15.85,15.44,15.51,221.0,29463.0
2018-12-31,16.44,16.22,15.845,15.96,538.0,62759.0
2019-01-02,16.37,16.35,16.04,16.06,60.0,6960.0
2019-01-03,16.41,16.16,16.03,16.3,139.0,18145.0
2019-01-04,16.23,16.1,15.88,16.23,251.0,601283.0
2019-01-07,16.26,16.24,15.97,16.18,107.0,17577.0
2019-01-08,16.38,16.18,15.97,16.38,229.0,36283.0
2019-01-09,16.44,16.29,15.79,16.15,251.0,71749.0
2019-01-10,16.69,16.56,16.25,16.26,76.0,9679.0
2019-01-11,16.61,16.5,16.24,16.5,139.0,23525.0
2019-01-14,16.64,16.5,16.15,16.6,214.0,112550.0
2019-01-15,16.52,16.23,15.99,16.26,607.0,123058.0
2019-01-16,16.5,16.3,15.91,16.5,220.0,120833.0
2019-01-17,16.37,16.28,16.17,16.23,149.0,22555.0
2019-01-18,16.51,16.39,16.09,16.25,186.0,51849.0
2019-01-21,16.44,15.94,15.92,16.35,129.0,24500.0
2019-01-22,16.39,16.27,16.12,16.21,437.0,160191.0
2019-01-23,16.65,16.59,16.13,16.28,479.0,73898.0
2019-01-24,16.85,16.65,16.5,16.54,157.0,18800.0
2019-01-25,16.75,16.75,16.4,16.69,71.0,25610.0
2019-01-28,17.05,16.78,16.66,16.66,225.0,47940.0
2019-01-29,16.885,16.36,16.33,16.8,100.0,22028.0
2019-01-30,16.85,16.28,16.03,16.4,240.0,35094.0
2019-01-31,16.41,16.4,16.14,16.26,177.0,31206.0
2019-02-01,16.75,16.64,16.35,16.41,171.0,24085.0
2019-02-04,16.87,16.86,16.49,16.68,168.0,19687.0
2019-02-05,17.22,16.81,16.7,16.89,190.0,31522.0
2019-02-06,16.98,16.94,16.68,16.77,218.0,27923.0
2019-02-07,16.95,16.72,16.68,16.925,82.0,13800.0
2019-02-08,16.86,16.86,16.68,16.68,99.0,11869.0
2019-02-11,17.11,16.96,16.7,16.84,101.0,15382.0
2019-02-12,17.11,16.83,16.82,17.07,111.0,21804.0
2019-02-13,17.0,16.9,16.85,16.89,46.0,20176.0
2019-02-14,16.9,16.88,16.76,16.9,98.0,32024.0
2019-02-15,17.22,17.0,16.835,16.88,151.0,85678.0
2019-02-19,17.21,17.03,16.86,17.0,133.0,89450.0
2019-02-20,17.18,16.79,16.59,17.0,179.0,132050.0
2019-02-21,16.9,16.9,16.71,16.77,72.0,86755.0
2019-02-22,17.4,17.1,16.84,17.4,244.0,36365.0
2019-02-25,17.28,16.92,16.65,17.21,248.0,34208.0
2019-02-26,17.05,17.0,16.89,16.98,117.0,13683.0
2019-02-27,17.06,17.0,16.66,17.02,96.0,21817.0
