Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-01-19,12.97,12.39,12.0,12.65,139636.0,68187376.0
2018-01-22,12.18,11.45,11.12,12.12,67615.0,26132855.0
2018-01-23,12.12,11.91,11.45,11.47,22833.0,8272057.0
2018-01-24,12.1443,11.91,11.3,11.91,36030.0,10369003.0
2018-01-25,11.94,11.9,11.6,11.91,16423.0,9448552.0
2018-01-26,11.92,11.9,11.75,11.81,9866.0,7910563.0
2018-01-29,12.23,12.08,11.85,11.89,11105.0,9508361.0
2018-01-30,12.4,12.4,11.91,12.0,10911.0,5639085.0
2018-01-31,12.57,12.48,12.4,12.46,11606.0,6624857.0
2018-02-01,12.81,12.75,12.45,12.48,16851.0,6075130.0
2018-02-02,12.95,12.86,12.6,12.64,10531.0,6012350.0
2018-02-05,12.85,12.64,12.46,12.8,9982.0,4006403.0
2018-02-06,12.5,12.3,12.14,12.2,13213.0,4608500.0
2018-02-07,12.54,12.51,12.2,12.22,6599.0,2671197.0
2018-02-08,12.57,12.37,12.27,12.57,10827.0,4065769.0
2018-02-09,12.68,12.64,12.15,12.39,9844.0,4091483.0
2018-02-12,12.77,12.68,12.47,12.64,10650.0,2783082.0
2018-02-13,13.02,12.15,12.09,13.0,21432.0,6081717.0
2018-02-14,12.19,11.94,11.77,12.18,13773.0,5808108.0
2018-02-15,11.979,11.69,11.18,11.94,22258.0,5526800.0
2018-02-16,11.9,11.58,11.555,11.76,8767.0,1617400.0
2018-02-20,11.69,11.59,11.42,11.53,8025.0,1824463.0
2018-02-21,11.73,11.65,11.55,11.67,10250.0,2562499.0
2018-02-22,12.0,11.91,11.59,11.66,9535.0,2007155.0
2018-02-23,12.09,11.98,11.71,11.9,10664.0,3210080.0
2018-02-26,12.195,12.15,11.87,12.03,6389.0,1639731.0
2018-02-27,12.38,11.6,11.47,12.14,8151.0,1849165.0
2018-02-28,11.38,10.56,10.55,11.38,24317.0,6566511.0
2018-03-01,10.83,10.68,10.57,10.69,13906.0,2502025.0
2018-03-02,11.16,11.07,10.58,10.69,13716.0,3135029.0
2018-03-05,11.25,10.72,10.72,10.98,10889.0,2845497.0
2018-03-06,10.81,10.35,10.27,10.81,10911.0,4146207.0
2018-03-07,10.55,10.4,10.2302,10.3,9161.0,1714583.0
2018-03-08,10.77,10.52,10.46,10.54,10963.0,4982720.0
2018-03-09,10.66,10.53,10.45,10.65,10604.0,1994995.0
2018-03-12,10.77,10.71,10.5296,10.61,11956.0,2337482.0
2018-03-13,10.8,10.54,10.53,10.65,16436.0,3052673.0
2018-03-14,10.68,10.21,10.21,10.67,19275.0,5656738.0
2018-03-15,10.75,8.93,8.9,10.75,47446.0,10323873.0
2018-03-16,9.44,8.73,8.7,9.03,30668.0,17341266.0
2018-03-19,9.2,9.14,8.56,8.72,21221.0,6452452.0
2018-03-20,9.24,8.96,8.89,9.24,15396.0,3126495.0
2018-03-21,9.19,8.97,8.91,9.0,14875.0,3754751.0
