Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-08-02,11.3,11.14,11.14,11.2,,2053.0
2006-08-03,11.16,11.16,11.14,11.14,,150.0
2006-08-04,11.3,11.2,11.12,11.12,,1500.0
2006-08-07,11.4,11.252,11.1,11.2,,3350.0
2006-08-08,11.42,11.1,11.1,11.18,,4050.0
2006-08-09,11.38,11.24,11.18,11.18,,1300.0
2006-08-10,11.34,11.26,11.16,11.18,,2627.0
2006-08-11,11.4,11.19,11.14,11.22,,3775.0
2006-08-14,11.36,11.16,11.16,11.24,,1825.0
2006-08-15,11.16,11.16,11.16,11.16,,100.0
2006-08-16,11.32,11.16,11.16,11.22,,600.0
2006-08-17,11.24,11.189,11.189,11.24,,220.5
2006-08-18,11.198,11.16,11.16,11.18,,650.0
2006-08-21,11.14,11.14,11.14,11.14,,250.0
2006-08-22,11.3,11.284,11.284,11.3,,1000.0
2006-08-23,11.1512,10.98,10.82,11.14,,3221.0
2006-08-24,11.26,11.18,10.9,10.9,,1781.0
2006-08-25,11.24,11.098,10.92,11.18,,93856.5
2006-08-28,11.18,10.36,10.36,11.18,,12200.0
2006-08-29,10.7,10.2,10.06,10.5,,5100.0
2006-08-30,10.54,10.0,9.98,10.2,,5525.0
2006-08-31,10.2,10.0,9.82,10.2,,61819.5
2006-09-01,10.2,10.16,10.08,10.08,,1550.0
2006-09-05,10.32,10.26,10.1,10.16,,5055.5
2006-09-06,10.34,10.34,10.0,10.0,,2135.0
2006-09-07,10.78,10.76,10.18,10.18,,4882.0
2006-09-08,10.68,10.62,10.62,10.68,,3475.0
2006-09-11,10.6,10.6,10.22,10.32,,2489.5
2006-09-12,10.6,10.6,10.32,10.32,,565.5
2006-09-13,10.7,10.7,10.5998,10.6,,1625.0
2006-09-14,10.5,10.38,10.38,10.452,,2650.0
2006-09-15,10.66,10.42,10.2,10.32,,6750.0
2006-09-18,10.7,10.7,10.48,10.56,,3250.0
2006-09-19,10.6,10.52,10.28,10.6,,4550.0
2006-09-20,10.52,10.22,10.22,10.52,,2600.0
2006-09-21,10.48,10.48,10.16,10.22,,8345.0
2006-09-22,10.54,10.48,10.14,10.34,,7042.5
2006-09-25,10.24,10.24,10.24,10.24,,690.0
2006-09-26,10.38,10.3,10.26,10.26,,700.0
2006-09-27,10.42,10.24,10.24,10.4,,1550.0
2006-09-28,10.38,10.32,10.24,10.38,,900.0
2006-09-29,10.48,10.48,10.26,10.26,,2100.0
2006-10-02,10.52,10.44,10.44,10.52,,320.5
2006-10-03,10.4,10.4,10.4,10.4,,200.0
2006-10-04,10.32,10.22,10.16,10.16,,925.0
2006-10-05,10.34,10.206,10.206,10.26,,532.5
