Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,0.015,0.015,0.015,0.015,25000.0
2000-01-05,0.17,0.07,0.02,0.03,301500.0
2000-01-06,0.07,0.05,0.03,0.05,385300.0
2000-01-07,0.15,0.14,0.03,0.05,1394900.0
2000-01-10,0.16,0.09,0.05,0.13,810300.0
2000-01-11,0.09,0.06,0.06,0.09,348600.0
2000-01-12,0.085,0.08,0.07,0.08,379000.0
2000-01-13,0.085,0.085,0.06,0.08,24000.0
2000-01-14,0.15,0.12,0.07,0.07,1286300.0
2000-01-18,0.18,0.15,0.12,0.15,1273900.0
2000-01-19,0.15,0.15,0.1,0.135,947200.0
2000-01-20,0.16,0.11,0.11,0.15,508700.0
2000-01-21,0.23,0.22,0.1,0.14,1030500.0
2000-01-24,0.5,0.46,0.1,0.26,3385000.0
2000-01-25,0.69,0.68,0.49,0.53,2446900.0
2000-01-26,0.72,0.66,0.52,0.71,1759900.0
2000-01-27,0.65,0.6,0.55,0.65,921000.0
2000-01-28,0.58,0.51,0.42,0.58,763300.0
2000-01-31,0.51,0.44,0.41,0.51,544300.0
2000-02-01,0.45,0.3,0.3,0.44,429200.0
2000-02-02,0.48,0.48,0.3125,0.3125,541700.0
2000-02-03,0.55,0.35,0.3,0.52,689900.0
2000-02-04,0.35,0.27,0.25,0.3,892200.0
2000-02-07,0.395,0.3125,0.25,0.39,845100.0
2000-02-08,0.33,0.3,0.28,0.33,415300.0
2000-02-09,0.47,0.375,0.34,0.34,487300.0
2000-02-10,0.42,0.42,0.36,0.42,98000.0
2000-02-11,0.42,0.42,0.325,0.42,75500.0
2000-02-14,0.4,0.36,0.32,0.33,178200.0
2000-02-15,0.36,0.3,0.3,0.36,170000.0
2000-02-16,0.36,0.3,0.3,0.3125,111600.0
2000-02-17,0.33,0.27,0.23,0.3,192100.0
2000-02-18,0.27,0.25,0.23,0.24,339400.0
2000-02-22,0.26,0.22,0.2,0.23,280100.0
2000-02-23,0.23,0.21,0.2,0.22,125900.0
2000-02-24,0.25,0.21,0.21,0.23,269800.0
2000-02-25,0.25,0.22,0.21,0.25,162400.0
2000-02-28,0.25,0.25,0.21,0.25,323900.0
2000-02-29,0.26,0.26,0.24,0.24,247300.0
2000-03-01,0.26,0.25,0.2,0.24,133200.0
2000-03-02,0.25,0.2,0.2,0.2,101800.0
2000-03-03,0.25,0.25,0.2,0.203125,85400.0
2000-03-06,0.35,0.35,0.2,0.2,507900.0
2000-03-07,0.46,0.42,0.33,0.41,1045800.0
2000-03-08,0.52,0.47,0.41,0.4375,486000.0
2000-03-09,0.47,0.4,0.39,0.43,294700.0
2000-03-10,0.42,0.375,0.375,0.4,178900.0
2000-03-13,0.4,0.28,0.25,0.4,239900.0
2000-03-14,0.32,0.32,0.25,0.3,162200.0
2000-03-15,0.37,0.37,0.27,0.28,208000.0
2000-03-16,0.43,0.3,0.3,0.37,146000.0
2000-03-17,0.4375,0.42,0.3,0.37,278400.0
2000-03-20,0.5,0.4,0.4,0.48,435100.0
2000-03-21,0.49,0.43,0.39,0.45,503600.0
2000-03-22,0.43,0.4,0.34,0.43,175000.0
2000-03-23,0.53,0.51,0.34,0.4,204400.0
2000-03-24,0.53,0.35,0.3,0.49,184300.0
2000-03-27,0.34,0.3,0.3,0.34,71000.0
2000-03-28,0.34,0.3,0.3,0.3,162800.0
2000-03-29,0.34,0.32,0.3,0.34,78700.0
2000-03-30,0.34,0.3125,0.3,0.32,52500.0
2000-03-31,0.33,0.28,0.28,0.33,39500.0
2000-04-03,0.29,0.26,0.24,0.28,275400.0
2000-04-04,0.34,0.26,0.23,0.26,70600.0
2000-04-05,0.3,0.3,0.23,0.3,28400.0
2000-04-06,0.32,0.32,0.23,0.23,52900.0
2000-04-07,0.3,0.3,0.21,0.21,13300.0
2000-04-10,0.296875,0.28,0.21875,0.21875,20100.0
2000-04-11,0.28,0.24,0.21875,0.21875,73700.0
2000-04-12,0.24,0.2,0.2,0.24,81600.0
2000-04-13,0.28,0.28,0.21,0.25,42800.0
2000-04-14,0.23,0.22,0.19,0.21,278700.0
2000-04-17,0.21,0.2,0.16,0.19,84200.0
2000-04-18,0.21,0.2,0.15,0.21,139000.0
2000-04-19,0.28,0.25,0.13,0.2,61000.0
2000-04-20,0.27,0.27,0.25,0.25,6000.0
2000-04-24,0.25,0.210938,0.16,0.25,42500.0
2000-04-25,0.25,0.24,0.16,0.16,147700.0
2000-04-26,0.26,0.26,0.22,0.24,35000.0
2000-04-27,0.25,0.22,0.22,0.221,134900.0
2000-04-28,0.25,0.25,0.22,0.25,64900.0
2000-05-01,0.25,0.25,0.2,0.22,196500.0
2000-05-02,0.25,0.25,0.2,0.23,39200.0
2000-05-03,0.24,0.24,0.15,0.22,114600.0
2000-05-04,0.25,0.25,0.21,0.24,108400.0
2000-05-05,0.25,0.25,0.21,0.21,8000.0
2000-05-08,0.24,0.24,0.21,0.21,61000.0
2000-05-09,0.23,0.23,0.21,0.21,18000.0
2000-05-10,0.23,0.21,0.21,0.21,124600.0
2000-05-11,0.23,0.23,0.2,0.22,37100.0
2000-05-12,0.23,0.23,0.2187,0.22,8100.0
2000-05-15,0.23,0.18,0.15,0.15,21100.0
2000-05-16,0.23,0.23,0.15,0.15,10100.0
2000-05-17,0.23,0.21,0.15,0.15,5500.0
2000-05-18,0.23,0.23,0.15,0.15,14000.0
2000-05-19,0.23,0.15,0.15,0.2,77800.0
2000-05-22,0.2,0.2,0.15,0.15,38000.0
2000-05-23,0.21,0.18,0.14,0.21,131200.0
2000-05-24,0.16,0.16,0.14,0.14,40000.0
2000-05-25,0.18,0.13,0.11,0.14,235800.0
2000-05-26,0.18,0.18,0.16,0.16,22000.0
2000-05-30,0.18,0.18,0.13,0.17,40500.0
2000-05-31,0.18,0.18,0.18,0.18,13000.0
2000-06-01,0.18,0.18,0.13,0.13,27500.0
2000-06-02,0.18,0.18,0.13,0.13,3000.0
2000-06-05,0.18,0.18,0.125,0.125,12000.0
2000-06-06,0.18,0.18,0.13,0.13,37800.0
2000-06-08,0.14,0.14,0.13,0.13,2200.0
2000-06-09,0.18,0.18,0.13,0.13,116100.0
2000-06-12,0.16,0.14,0.14,0.14,24700.0
2000-06-13,0.16,0.14,0.14,0.14,57800.0
2000-06-14,0.16,0.14,0.14,0.16,2700.0
2000-06-15,0.15,0.15,0.14,0.14,68200.0
2000-06-16,0.15,0.14,0.14,0.15,36400.0
2000-06-19,0.16,0.14,0.14,0.14,36500.0
2000-06-20,0.14,0.14,0.139,0.139,25000.0
2000-06-21,0.13,0.13,0.11,0.11,12800.0
2000-06-22,0.14,0.14,0.14,0.14,21500.0
2000-06-27,0.14,0.14,0.1,0.1,5800.0
2000-06-28,0.14,0.1,0.1,0.125,600.0
2000-06-29,0.13,0.12,0.1,0.12,34000.0
2000-06-30,0.15,0.15,0.15,0.15,1300.0
2000-07-03,0.1,0.1,0.1,0.1,1000.0
2000-07-05,0.1,0.1,0.1,0.1,1500.0
2000-07-06,0.12,0.12,0.1,0.1,53600.0
2000-07-07,0.125,0.11,0.1,0.1,72400.0
2000-07-10,0.15,0.12,0.11,0.15,37200.0
2000-07-11,0.1,0.1,0.1,0.1,2000.0
2000-07-14,0.12,0.1,0.1,0.12,4000.0
2000-07-17,0.11,0.11,0.11,0.11,2000.0
2000-07-18,0.15,0.15,0.15,0.15,40000.0
2000-07-20,0.13,0.13,0.12,0.12,52400.0
2000-07-21,0.12,0.12,0.12,0.12,7800.0
2000-07-25,0.15,0.14,0.13,0.15,100000.0
2000-07-26,0.145,0.145,0.145,0.145,21000.0
2000-07-28,0.145,0.13,0.125,0.145,2900.0
2000-07-31,0.13,0.13,0.13,0.13,22800.0
2000-08-01,0.14,0.126,0.126,0.14,57300.0
2000-08-03,0.14,0.14,0.125,0.125,19800.0
2000-08-07,0.14,0.125,0.125,0.125,53800.0
2000-08-08,0.135,0.126,0.126,0.135,5000.0
2000-08-09,0.135,0.11,0.11,0.125,102000.0
2000-08-10,0.11,0.11,0.11,0.11,2000.0
2000-08-11,0.12,0.12,0.11,0.11,16600.0
2000-08-14,0.1,0.1,0.1,0.1,1500.0
2000-08-15,0.135,0.135,0.135,0.135,4700.0
2000-08-16,0.125,0.125,0.1,0.1,21100.0
