Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-02-15,6.6,6.4101,6.33,6.45,,13600.0
2007-02-16,6.55,6.55,6.36,6.45,,5800.0
2007-02-20,6.55,6.47,6.41,6.55,,8400.0
2007-02-21,6.49,6.4899,6.4,6.4,,1900.0
2007-02-22,6.4501,6.41,6.4,6.4501,,4200.0
2007-02-23,6.59,6.4,6.2,6.4,,11200.0
2007-02-26,6.44,6.34,6.31,6.35,,3100.0
2007-02-27,6.43,6.25,6.25,6.34,,11400.0
2007-02-28,6.39,6.28,6.15,6.3,,12400.0
2007-03-01,6.3399,6.33,6.16,6.27,,20000.0
2007-03-02,6.39,6.31,6.2,6.32,,8200.0
2007-03-05,6.42,6.37,6.25,6.25,,7100.0
2007-03-06,6.39,6.39,6.31,6.37,,2000.0
2007-03-07,6.34,6.25,6.16,6.34,,23000.0
2007-03-08,6.29,6.23,6.1,6.25,,36600.0
2007-03-09,6.24,6.23,6.14,6.24,,1900.0
2007-03-12,6.27,6.15,6.11,6.24,,2600.0
2007-03-13,6.15,6.15,6.1,6.15,,2400.0
2007-03-14,6.2,6.11,6.11,6.19,,12000.0
2007-03-15,6.12,6.05,5.95,6.12,,14100.0
2007-03-16,6.139,6.1,6.07,6.07,,3200.0
2007-03-19,6.05,5.98,5.96,6.05,,10300.0
2007-03-20,6.1099,6.0601,6.01,6.08,,5700.0
2007-03-21,6.14,6.11,6.1,6.14,,4600.0
2007-03-22,6.12,6.08,6.0,6.05,,7000.0
2007-03-23,6.08,5.91,5.9,6.08,,14900.0
2007-03-26,6.0146,5.99,5.98,6.0,,4800.0
2007-03-27,6.0,6.0,5.93,5.95,,1800.0
2007-03-28,5.98,5.93,5.91,5.92,,3400.0
2007-03-29,6.1,5.95,5.95,5.97,,11800.0
2007-03-30,6.05,5.94,5.87,5.9,,8800.0
2007-04-02,5.9,5.88,5.85,5.85,,2700.0
2007-04-03,5.9236,5.9236,5.82,5.87,,2000.0
2007-04-04,5.95,5.9,5.81,5.88,,5700.0
2007-04-05,6.0,5.9,5.9,5.95,,11600.0
2007-04-09,5.99,5.99,5.84,5.87,,3300.0
2007-04-10,5.99,5.99,5.9,5.9,,7800.0
2007-04-11,5.99,5.99,5.86,5.98,,3900.0
2007-04-12,5.99,5.99,5.97,5.97,,3100.0
2007-04-13,5.99,5.9101,5.88,5.89,,4300.0
2007-04-16,5.89,5.8,5.75,5.89,,15700.0
2007-04-17,5.89,5.89,5.8,5.8,,1000.0
2007-04-18,5.84,5.8174,5.81,5.81,,2500.0
2007-04-19,5.89,5.83,5.81,5.81,,3800.0
2007-04-20,6.08,6.03,5.76,5.83,,12200.0
2007-04-23,5.8399,5.83,5.8,5.83,,4300.0
2007-04-24,6.1,6.0,5.8,5.85,,6900.0
2007-04-25,6.1,6.04,5.88,6.05,,3500.0
2007-04-26,6.1,6.1,6.0,6.0,,700.0
2007-04-27,6.1241,6.1241,6.1,6.1,,7600.0
2007-04-30,6.2,6.15,6.12,6.12,,3400.0
2007-05-01,6.15,6.15,6.1,6.1001,,2100.0
2007-05-02,6.15,6.1135,6.1,6.15,,1400.0
2007-05-03,6.35,6.3,6.27,6.34,,4800.0
2007-05-04,6.4,6.2,6.2,6.35,,6400.0
2007-05-07,6.35,6.35,6.2,6.2,,10400.0
2007-05-08,6.4,6.4,6.25,6.25,,2200.0
2007-05-09,6.467,6.1501,6.1501,6.44,,4900.0
2007-05-10,6.4,6.3901,6.3,6.3,,900.0
2007-05-11,6.45,6.3,6.3,6.45,,2200.0
2007-05-14,6.35,6.35,6.3,6.3,,5400.0
2007-05-15,6.32,5.9995,5.9995,6.32,,16400.0
2007-05-16,5.9999,5.92,5.9,5.91,,2900.0
2007-05-17,6.1,6.085,5.85,5.85,,4400.0
2007-05-18,6.14,6.0,6.0,6.14,,6300.0
2007-05-21,6.0,6.0,5.87,5.95,,5900.0
2007-05-22,6.1,6.1,6.05,6.05,,900.0
2007-05-23,6.15,6.15,6.15,6.15,,1800.0
2007-05-24,6.1,6.06,6.06,6.08,,3400.0
2007-05-25,6.08,6.0,5.98,6.05,,2100.0
2007-05-29,6.1,6.1,6.05,6.1,,3700.0
2007-05-30,6.1,6.0,6.0,6.1,,800.0
2007-05-31,6.047,5.97,5.85,5.98,,12000.0
2007-06-01,5.97,5.87,5.87,5.97,,5800.0
2007-06-04,5.9892,5.97,5.95,5.96,,3100.0
2007-06-05,5.95,5.95,5.901,5.95,,2300.0
2007-06-06,6.06,5.95,5.85,5.86,,7300.0
2007-06-07,6.04,5.95,5.95,6.0,,1500.0
2007-06-08,6.05,5.9,5.9,5.9901,,4300.0
2007-06-11,5.88,5.86,5.86,5.88,,2700.0
2007-06-12,6.0,5.85,5.85,5.91,,3500.0
2007-06-13,5.95,5.95,5.87,5.8999,,1600.0
2007-06-14,6.05,6.05,5.86,5.9,,8000.0
2007-06-15,6.0,5.84,5.84,6.0,,11400.0
