Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-04-01,10.0,9.85,9.19,10.0,,149189.0
2011-04-04,10.05,9.95,9.86,9.9,,163500.0
2011-04-05,10.0,9.91,9.9,10.0,,17685.0
2011-04-06,10.0,10.0,9.9,9.91,,37683.0
2011-04-07,10.0,9.999,9.75,9.75,,80902.0
2011-04-08,10.0,9.9101,9.9101,10.0,,9350.0
2011-04-11,10.0,10.0,9.97,10.0,,10090.0
2011-04-12,10.0,9.93,9.9244,10.0,,8261.0
2011-04-13,10.0,9.98,9.93,10.0,,9340.0
2011-04-14,9.98,9.92,9.9,9.98,,5273.0
2011-04-15,10.0,9.82,9.82,9.95,,33503.0
2011-04-18,9.87,9.83,9.77,9.77,,8291.0
2011-04-19,9.98,9.85,9.82,9.93,,7531.0
2011-04-20,9.82,9.8,9.8,9.8,,3500.0
2011-04-21,9.85,9.76,9.75,9.8185,,7615.0
2011-04-25,9.86,9.86,9.76,9.76,,1200.0
2011-04-26,9.96,9.85,9.82,9.96,,6251.0
2011-04-27,9.86,9.8,9.5501,9.75,,13100.0
2011-04-28,9.9,9.8,9.8,9.8999,,4200.0
2011-04-29,9.8,9.68,9.68,9.7,,5967.0
2011-05-02,9.95,9.65,9.65,9.95,,16825.0
2011-05-03,9.65,9.51,9.411,9.65,,10600.0
2011-05-04,9.54,9.54,9.38,9.44,,5400.0
2011-05-05,9.5,9.45,9.16,9.48,,14600.0
2011-05-06,9.35,9.16,9.16,9.35,,13800.0
2011-05-09,9.32,9.22,9.17,9.26,,7948.0
2011-05-10,9.33,9.21,9.21,9.26,,6674.0
2011-05-11,9.33,9.09,9.03,9.25,,23635.0
2011-05-12,9.25,9.16,9.11,9.11,,11706.0
2011-05-13,10.39,9.14,9.14,10.39,,21753.0
2011-05-16,9.48,9.18,9.17,9.19,,11811.0
2011-05-17,9.39,9.23,9.17,9.38,,12480.0
2011-05-18,9.44,9.4,9.248,9.3,,5000.0
2011-05-19,9.55,9.37,9.2,9.45,,7551.0
2011-05-20,9.38,9.32,9.281,9.37,,1293.0
2011-05-23,9.32,9.27,9.2,9.29,,5700.0
2011-05-24,9.47,9.3,9.12,9.35,,15025.0
2011-05-25,9.22,9.19,9.08,9.2001,,29250.0
2011-05-26,9.1901,9.0535,8.94,9.19,,13400.0
2011-05-27,9.3,9.24,9.09,9.09,,6600.0
2011-05-31,9.3899,9.29,9.1,9.14,,8827.0
2011-06-01,9.15,9.1,8.85,9.15,,33200.0
2011-06-02,9.1,8.9515,8.89,9.1,,18500.0
2011-06-03,9.02,8.8,8.76,8.8601,,8689.0
2011-06-06,8.92,8.67,8.67,8.86,,17000.0
2011-06-07,8.73,8.37,8.37,8.7299,,20200.0
2011-06-08,8.57,8.57,8.17,8.17,,23550.0
2011-06-09,8.97,8.96,8.5999,8.5999,,14000.0
2011-06-10,8.96,8.77,8.714,8.87,,5484.0
2011-06-13,8.94,8.67,8.5,8.86,,11300.0
2011-06-14,8.7999,8.62,8.5364,8.76,,6900.0
2011-06-15,8.68,8.61,8.55,8.56,,800.0
2011-06-16,8.77,8.7424,8.57,8.67,,3596.0
2011-06-17,8.99,8.61,8.61,8.87,,7600.0
2011-06-20,8.8,8.69,8.6,8.6,,2633.0
2011-06-21,8.69,8.56,8.5,8.69,,10162.0
2011-06-22,8.64,8.6,8.6,8.64,,300.0
2011-06-23,8.6,8.6,8.5,8.5975,,3775.0
2011-06-24,8.79,8.72,8.6,8.6,,15497.0
2011-06-27,9.01,9.0001,8.7,8.8,,13621.0
2011-06-28,9.07,9.07,8.95,8.95,,9642.0
2011-06-29,9.21,9.06,9.0,9.1,,14168.0
2011-06-30,9.21,9.09,8.8,9.21,,28470.0
2011-07-01,9.01,9.01,9.01,9.01,,195.0
2011-07-05,9.01,8.82,8.78,8.91,,800.0
2011-07-06,8.86,8.66,8.66,8.74,,2925.0
2011-07-07,8.85,8.85,8.66,8.66,,2970.0
2011-07-11,8.7201,8.7001,8.7,8.72,,5500.0
2011-07-12,8.63,8.56,8.5,8.62,,9422.0
2011-07-13,8.6199,8.5,8.5,8.56,,2850.0
2011-07-14,8.6,8.6,8.5,8.5,,5824.0
2011-07-15,8.75,8.5,8.5,8.75,,6100.0
2011-07-18,8.5101,8.44,8.44,8.5,,3779.0
2011-07-19,8.432,8.31,8.31,8.34,,2100.0
2011-07-20,8.45,8.35,8.3,8.4099,,1892.0
2011-07-21,8.4,8.34,8.3,8.4,,8648.0
2011-07-22,8.35,8.3399,8.07,8.3,,5531.0
2011-07-25,8.3399,8.149,8.14,8.25,,13000.0
2011-07-26,8.2848,8.16,8.1,8.148,,9654.0
2011-07-27,8.1999,8.07,7.9355,8.12,,9646.0
2011-07-28,7.9952,7.95,7.78,7.92,,3300.0
2011-07-29,8.08,8.08,7.87,7.9,,2304.0
2011-08-01,8.27,8.0099,7.75,8.17,,4864.0
2011-08-02,8.1,7.79,7.79,8.1,,2405.0
2011-08-03,8.1401,8.06,7.8799,7.88,,3500.0
2011-08-04,7.9901,7.0201,6.91,7.99,,30335.0
2011-08-05,7.12,7.0,6.72,7.12,,30200.0
2011-08-08,7.02,6.6495,6.42,6.82,,14203.0
2011-08-09,6.65,6.3499,6.21,6.6,,25036.0
2011-08-10,6.4,6.35,6.0,6.35,,18360.0
2011-08-11,6.45,6.44,6.26,6.35,,6706.0
2011-08-12,6.66,6.628,6.15,6.15,,9027.0
2011-08-15,7.02,6.98,6.63,6.63,,2400.0
2011-08-16,6.95,6.9,6.85,6.85,,4650.0
2011-08-17,7.46,7.25,7.04,7.04,,2900.0
2011-08-18,7.29,7.0,6.991,7.19,,14048.0
