Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-18,6.896,6.89,6.82,6.85,,35900.0
2007-09-19,6.94,6.89,6.8,6.85,,36100.0
2007-09-20,6.94,6.9,6.82,6.89,,26900.0
2007-09-21,7.0,7.0,6.81,6.87,,42700.0
2007-09-24,6.95,6.94,6.85,6.95,,26300.0
2007-09-25,7.0,6.78,6.7,6.9001,,50200.0
2007-09-26,6.7425,6.6995,6.65,6.72,,19600.0
2007-09-27,7.0,6.97,6.7,6.7,,39000.0
2007-09-28,7.01,6.9975,6.9,6.959,,22400.0
2007-10-01,7.01,6.98,6.8401,7.0,,33100.0
2007-10-02,7.05,6.99,6.98,6.99,,42600.0
2007-10-03,7.15,7.15,7.0,7.0,,21400.0
2007-10-04,7.55,7.54,7.1101,7.1101,,88100.0
2007-10-05,7.85,7.83,7.466,7.5,,95500.0
2007-10-08,7.85,7.8,7.6801,7.8,,19100.0
2007-10-09,7.89,7.65,7.571,7.72,,50700.0
2007-10-10,8.05,7.92,7.65,7.65,,51800.0
2007-10-11,8.21,7.88,7.82,7.9,,70200.0
2007-10-12,8.14,8.1,7.7,7.8,,54300.0
2007-10-15,8.1,7.92,7.85,8.1,,14500.0
2007-10-16,8.05,8.01,7.71,7.82,,34100.0
2007-10-17,8.12,7.95,7.95,8.1,,26200.0
2007-10-18,7.9899,7.53,7.52,7.95,,50000.0
2007-10-19,7.75,7.15,6.95,7.53,,127600.0
2007-10-22,7.25,7.25,7.05,7.1,,36300.0
2007-10-23,7.3,7.15,6.6,7.25,,101500.0
2007-10-24,7.4,7.35,7.0,7.05,,33500.0
2007-10-25,7.4,7.28,7.25,7.35,,41300.0
2007-10-26,7.3,7.2,7.19,7.24,,21600.0
2007-10-29,7.44,7.43,7.3,7.4,,26400.0
2007-10-30,7.7,7.67,7.35,7.43,,71700.0
2007-10-31,7.75,7.55,7.38,7.75,,56800.0
2007-11-01,7.65,7.59,7.4,7.55,,41500.0
2007-11-02,7.58,7.43,7.29,7.55,,87400.0
2007-11-05,7.39,7.2304,7.0,7.39,,88500.0
2007-11-06,7.35,7.28,7.1,7.24,,20800.0
2007-11-07,7.28,7.19,7.15,7.28,,29700.0
2007-11-08,7.49,7.0,6.85,7.22,,37800.0
2007-11-09,7.57,7.36,7.1,7.2,,72500.0
2007-11-12,7.25,6.98,6.0,7.25,,81920.0
2007-11-13,6.98,6.66,6.65,6.98,,58100.0
2007-11-14,6.95,6.91,6.62,6.62,,32500.0
2007-11-15,6.85,6.85,6.75,6.83,,25400.0
2007-11-16,6.82,6.474,6.45,6.77,,45100.0
2007-11-19,6.74,6.61,6.47,6.55,,31000.0
2007-11-20,6.7,6.38,6.26,6.7,,33002.0
2007-11-21,6.3,6.1799,6.08,6.21,,21700.0
2007-11-23,6.65,6.59,6.25,6.4,,16200.0
2007-11-26,6.6,6.25,6.15,6.52,,26000.0
2007-11-27,6.3,6.29,6.12,6.12,,22600.0
2007-11-28,6.65,6.65,6.1,6.16,,32900.0
2007-11-29,6.71,6.45,6.2001,6.71,,13600.0
2007-11-30,6.5499,6.41,6.35,6.4,,28500.0
2007-12-03,6.4,6.21,6.15,6.4,,30800.0
2007-12-04,6.15,6.1,6.0877,6.15,,16400.0
2007-12-05,6.8,6.1,6.06,6.07,,25100.0
2007-12-06,6.23,6.17,6.11,6.11,,7700.0
2007-12-07,6.2,6.16,6.1,6.16,,23300.0
2007-12-10,6.33,6.14,6.01,6.01,,63600.0
2007-12-11,6.23,6.15,6.05,6.05,,10400.0
2007-12-12,6.32,6.3,6.12,6.12,,29400.0
2007-12-13,6.5301,6.52,6.2999,6.3,,26600.0
2007-12-14,6.6,6.5,6.4,6.57,,31000.0
2007-12-17,6.42,6.27,6.27,6.4,,12300.0
2007-12-18,6.35,6.35,6.15,6.25,,19500.0
2007-12-19,6.41,6.28,6.2,6.33,,23400.0
2007-12-20,6.26,6.15,6.14,6.22,,20700.0
2007-12-21,6.4,6.4,6.1,6.2,,18500.0
2007-12-24,6.55,6.55,6.2,6.49,,29200.0
2007-12-26,6.65,6.55,6.55,6.65,,17600.0
2007-12-27,6.6,6.51,6.16,6.16,,14355.0
2007-12-28,6.58,6.49,6.4,6.58,,6600.0
2007-12-31,6.5322,6.4,6.3601,6.4499,,40354.0
2008-01-02,6.548,6.38,6.34,6.34,,15120.0
2008-01-03,6.4001,6.13,6.11,6.4,,31120.0
2008-01-04,6.25,6.15,6.15,6.17,,13100.0
2008-01-07,6.2,6.07,6.03,6.17,,15100.0
2008-01-08,6.13,5.6,5.5,6.05,,105799.0
2008-01-09,5.93,5.7799,5.51,5.88,,48604.0
2008-01-10,6.2,6.2,5.64,5.64,,55835.0
2008-01-11,6.15,6.15,5.9224,6.05,,15650.0
2008-01-14,6.2,6.2,6.0,6.1,,15900.0
2008-01-15,6.18,6.12,6.078,6.0801,,10800.0
2008-01-16,6.34,6.27,6.01,6.01,,14857.0
2008-01-17,6.3099,6.07,6.07,6.23,,6700.0
2008-01-18,6.35,6.12,6.05,6.35,,8900.0
2008-01-22,5.95,5.81,5.8,5.86,,30900.0
2008-01-23,5.9,5.85,5.55,5.55,,23500.0
2008-01-24,5.91,5.89,5.7799,5.7799,,8800.0
2008-01-25,6.03,5.99,5.8,5.92,,23180.0
2008-01-28,6.0,6.0,5.8,5.8,,19300.0
2008-01-29,6.1,5.97,5.9,6.0,,18010.0
2008-01-30,6.2,6.01,5.91,5.91,,18834.0
2008-01-31,6.12,5.99,5.91,6.01,,21961.0
2008-02-01,6.15,5.85,5.76,5.94,,19400.0
2008-02-04,6.264,5.98,5.84,5.91,,22500.0
2008-02-05,6.15,6.0388,5.84,5.9,,17900.0
2008-02-06,6.15,5.94,5.81,6.15,,47400.0
2008-02-07,5.99,5.75,5.72,5.99,,31100.0
2008-02-08,6.05,6.05,5.848,5.95,,29600.0
2008-02-11,6.15,6.05,6.01,6.01,,10500.0
2008-02-12,6.19,6.14,5.98,6.13,,29939.0
2008-02-13,6.18,6.1,5.93,6.11,,36150.0
2008-02-14,6.1799,6.05,5.93,6.02,,16215.0
2008-02-15,6.04,6.01,5.99,6.0,,7500.0
2008-02-19,6.0,5.87,5.85,6.0,,34250.0
2008-02-20,6.14,5.98,5.92,5.93,,29200.0
