Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2008-09-17,33.95,33.95,25.0,25.0,1300.0
2008-09-18,33.81,27.21,27.21,33.81,229995.0
2008-09-19,30.99,28.07,27.5,27.51,727119.0
2008-09-22,30.0,28.25,28.0,28.49,147143.0
2008-09-23,29.0,28.0,27.92,27.97,534375.0
2008-09-24,28.07,27.9,27.39,28.05,437934.0
2008-09-25,28.98,28.0,27.8688,27.9,612737.0
2008-09-26,28.99,28.2,26.51,26.51,170594.0
2008-09-29,27.9999,24.94,24.74,27.0,465215.0
2008-09-30,25.87,24.41,24.41,24.8,396916.0
2008-10-01,25.0,24.57,24.2,24.4,244868.0
2008-10-02,24.87,24.5,24.5,24.5,526933.0
2008-10-03,24.98,24.49,24.0,24.0,641179.0
2008-10-06,24.5,23.09,17.0,24.0,452258.0
2008-10-07,25.0,23.91,22.51,22.51,292263.0
2008-10-08,24.33,23.85,23.44,23.44,120048.0
2008-10-09,25.25,23.41,23.41,24.15,187062.0
2008-10-10,23.85,23.1,21.08,21.08,268255.0
2008-10-13,23.7,23.58,23.02,23.02,282911.0
2008-10-14,23.92,23.49,23.25,23.89,97342.0
2008-10-15,23.5,23.16,22.74,22.89,183444.0
2008-10-16,24.31,22.96,22.64,23.01,150503.0
2008-10-17,23.8,22.49,22.15,22.75,166357.0
2008-10-20,23.99,22.28,22.22,22.22,132742.0
2008-10-21,24.62,23.59,22.4,23.2,245837.0
2008-10-22,24.5,24.06,23.01,23.01,74752.0
2008-10-23,24.215,23.83,23.0,23.0,118372.0
2008-10-24,24.04,23.1,22.01,23.0,63553.0
2008-10-27,23.8,23.02,22.57,22.6,67313.0
2008-10-28,23.99,23.58,23.24,23.99,94457.0
2008-10-29,23.79,22.86,22.6,23.6,95426.0
2008-10-30,24.24,23.89,22.54,22.54,125493.0
2008-10-31,25.64,25.29,23.75,23.75,46165.0
2008-11-03,25.95,25.35,24.75,24.8,158349.0
2008-11-04,26.31,25.35,25.09,25.77,53320.0
2008-11-05,24.9,23.75,23.3,24.86,140967.0
2008-11-06,24.31,23.25,23.22,24.0,137577.0
2008-11-07,23.74,23.36,23.11,23.22,52724.0
2008-11-10,23.99,22.64,22.5,23.12,57353.0
2008-11-11,22.53,22.14,22.02,22.02,61418.0
2008-11-12,22.89,21.65,20.7,21.2,72560.0
2008-11-13,22.0511,21.81,20.85,21.14,80411.0
2008-11-14,23.2,22.95,21.47,21.47,37604.0
2008-11-17,23.04,23.04,22.52,22.7501,56240.0
2008-11-18,23.23,22.83,22.0,23.23,66025.0
2008-11-19,23.05,21.6,21.16,23.05,23976.0
2008-11-20,21.48,20.48,20.13,20.66,106460.0
2008-11-21,21.35,20.35,20.1,20.29,68826.0
