Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,15.97,15.71,15.62,15.68,,222000.0
2007-09-20,16.0,16.0,15.62,15.75,,188300.0
2007-09-21,16.11,16.0,15.88,16.08,,217000.0
2007-09-24,16.16,15.76,15.7,16.13,,332400.0
2007-09-25,15.93,15.92,15.49,15.61,,164400.0
2007-09-26,16.15,16.08,15.8799,16.02,,163500.0
2007-09-27,16.2766,16.22,16.06,16.19,,159600.0
2007-09-28,16.19,16.1,16.07,16.12,,208400.0
2007-10-01,16.43,16.38,16.16,16.19,,212900.0
2007-10-02,16.45,16.33,16.27,16.45,,308100.0
2007-10-03,16.34,16.1,16.01,16.29,,267000.0
2007-10-04,16.1,15.88,15.77,16.03,,232900.0
2007-10-05,16.48,16.42,15.97,16.13,,197200.0
2007-10-08,16.49,16.48,16.3,16.4,,115600.0
2007-10-09,17.24,17.2,16.45,16.5,,482200.0
2007-10-10,17.5,17.47,16.84,17.15,,471000.0
2007-10-11,17.54,16.72,16.59,17.54,,322300.0
2007-10-12,16.81,16.66,16.49,16.75,,278000.0
2007-10-15,16.82,16.57,16.43,16.73,,207300.0
2007-10-16,16.62,16.5,16.41,16.43,,130300.0
2007-10-17,16.75,16.43,16.27,16.65,,207700.0
2007-10-18,16.75,16.71,16.39,16.39,,309000.0
2007-10-19,16.8,16.4,16.3502,16.67,,331900.0
2007-10-22,16.55,16.55,16.24,16.3,,135800.0
2007-10-23,16.79,16.55,16.34,16.66,,198600.0
2007-10-24,16.5,16.17,15.94,16.41,,345700.0
2007-10-25,16.3,15.81,15.74,16.16,,357500.0
2007-10-26,15.97,15.57,15.43,15.8,,456200.0
2007-10-29,15.73,15.57,15.33,15.59,,502500.0
2007-10-30,15.95,15.66,15.6,15.6,,332000.0
2007-10-31,15.66,15.45,15.37,15.65,,355100.0
2007-11-01,15.38,14.91,14.87,15.28,,312900.0
2007-11-02,15.03,14.87,14.57,15.0,,297500.0
2007-11-05,14.9,14.74,14.59,14.77,,387900.0
2007-11-06,14.89,14.87,14.7,14.76,,277000.0
2007-11-07,14.97,14.48,14.48,14.75,,461800.0
2007-11-08,14.6,14.5,14.38,14.6,,617400.0
2007-11-09,14.54,14.36,14.31,14.46,,368600.0
2007-11-12,14.58,14.18,14.13,14.42,,255100.0
2007-11-13,14.55,14.49,14.16,14.21,,234000.0
2007-11-14,14.74,14.2,14.17,14.6,,286000.0
2007-11-15,14.3,14.15,14.05,14.18,,203400.0
2007-11-16,14.29,14.21,13.96,14.23,,196600.0
