Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-05,5.25,5.25,5.25,5.25,400.0
2000-01-06,5.125,5.125,5.125,5.125,20000.0
2000-01-10,5.25,5.125,5.125,5.25,3400.0
2000-01-12,5.125,5.125,5.125,5.125,300.0
2000-01-18,5.375,5.375,5.125,5.375,6100.0
2000-01-19,5.5,5.5,5.25,5.375,18100.0
2000-01-21,5.5,5.3125,5.3125,5.5,5000.0
2000-01-24,5.5,5.125,5.125,5.375,11900.0
2000-01-25,5.125,4.5,4.5,5.125,71400.0
2000-01-26,5.0625,5.0625,4.9375,5.0,23900.0
2000-01-27,5.125,5.0,4.75,5.125,8700.0
2000-01-28,5.125,4.875,4.875,5.125,1100.0
2000-02-01,5.125,4.875,4.875,4.875,800.0
2000-02-02,5.125,5.125,5.125,5.125,500.0
2000-02-04,5.125,5.0,5.0,5.125,1000.0
2000-02-07,5.0,5.0,5.0,5.0,2000.0
2000-02-08,5.0,5.0,5.0,5.0,400.0
2000-02-09,5.0,5.0,5.0,5.0,1400.0
2000-02-10,5.375,5.125,5.125,5.125,5300.0
2000-02-16,5.375,5.375,5.125,5.125,7000.0
2000-02-17,5.375,5.375,5.125,5.125,4000.0
2000-02-18,5.25,5.25,5.25,5.25,1200.0
2000-02-22,5.25,5.0,5.0,5.0625,2600.0
2000-02-24,5.0,5.0,5.0,5.0,100.0
2000-02-25,5.0,4.875,4.75,5.0,13100.0
2000-03-01,4.75,4.75,4.75,4.75,5600.0
2000-03-02,4.75,4.75,4.75,4.75,2300.0
2000-03-07,4.875,4.875,4.875,4.875,1000.0
2000-03-08,5.125,5.125,5.0,5.0,300.0
2000-03-09,4.875,4.875,4.875,4.875,1700.0
2000-03-10,4.625,4.625,4.625,4.625,3200.0
2000-03-15,4.625,4.625,4.625,4.625,6500.0
2000-03-16,4.75,4.5,4.5,4.75,300.0
2000-03-17,4.5625,4.5,4.5,4.53125,125000.0
2000-03-20,4.375,4.375,4.375,4.375,8900.0
2000-03-21,4.25,4.25,4.25,4.25,4000.0
2000-03-22,4.875,4.4375,4.4375,4.875,180100.0
2000-04-05,4.859375,4.859375,4.25,4.25,1300.0
2000-04-07,4.25,4.25,4.25,4.25,100.0
2000-04-11,4.25,4.1875,4.1875,4.25,5500.0
2000-04-12,4.1875,4.1875,4.1875,4.1875,100.0
2000-04-13,4.53125,4.1875,4.1875,4.53125,6700.0
2000-04-14,4.1875,4.125,4.125,4.1875,14300.0
2000-04-17,4.125,4.125,4.125,4.125,5600.0
2000-04-18,4.25,4.25,4.0,4.0,1600.0
2000-04-19,4.25,4.25,4.09375,4.09375,7600.0
2000-04-25,4.25,4.25,4.25,4.25,1600.0
2000-04-26,4.25,4.0625,4.0,4.25,9500.0
2000-04-27,4.0625,4.0625,4.0,4.0,9000.0
2000-04-28,4.015625,4.015625,4.015625,4.015625,100.0
2000-05-01,4.0,4.0,4.0,4.0,1000.0
2000-05-02,4.375,4.28125,4.0625,4.0625,3000.0
2000-05-03,4.25,4.25,4.25,4.25,2000.0
2000-05-05,4.0625,4.0625,4.0625,4.0625,1000.0
2000-05-09,4.21875,4.0625,4.0625,4.21875,600.0
2000-05-10,4.0625,4.0625,4.0625,4.0625,200.0
2000-05-11,4.25,4.25,4.0625,4.0625,2000.0
2000-05-16,4.0625,4.0625,4.0625,4.0625,100.0
2000-05-17,4.0625,4.0625,4.0625,4.0625,5900.0
2000-05-18,4.0625,4.0625,4.0625,4.0625,3000.0
2000-05-19,4.125,4.0625,4.0625,4.125,1000.0
2000-05-22,4.0,3.875,3.875,4.0,5400.0
2000-05-23,3.875,3.875,3.875,3.875,100.0
2000-05-24,3.875,3.875,3.875,3.875,36300.0
2000-05-25,4.25,4.25,4.0625,4.0625,2200.0
2000-05-26,4.0625,4.0625,4.0625,4.0625,100.0
2000-05-31,4.0625,4.0,4.0,4.0625,200.0
2000-06-02,,,,,200.0
2000-06-06,4.21875,4.0625,4.0625,4.21875,3100.0
2000-06-07,4.0625,4.0625,4.0625,4.0625,500.0
2000-06-08,4.25,4.0625,4.0625,4.25,3000.0
2000-06-09,4.0625,4.0625,4.0625,4.0625,100600.0
2000-06-12,4.0625,4.0625,4.0625,4.0625,500.0
2000-06-21,4.0625,4.0625,4.03125,4.046875,4100.0
2000-06-22,4.03125,4.03125,4.03125,4.03125,3000.0
2000-06-23,4.0625,4.0625,4.0,4.0625,3600.0
2000-06-27,,,,,700.0
2000-06-28,4.1875,4.0,4.0,4.1875,15700.0
2000-06-29,4.0,4.0,4.0,4.0,1500.0
2000-06-30,4.1875,4.1875,4.1875,4.1875,1400.0
2000-07-10,4.0,4.0,4.0,4.0,2000.0
2000-07-11,4.0,4.0,4.0,4.0,4100.0
2000-07-14,4.1875,4.1875,4.1875,4.1875,1100.0
2000-07-18,4.125,4.0,4.0,4.125,11300.0
2000-07-24,4.0,4.0,4.0,4.0,200.0
2000-07-26,4.0,4.0,4.0,4.0,100.0
2000-07-28,4.0,4.0,4.0,4.0,10100.0
2000-07-31,3.9375,3.9375,3.9375,3.9375,2200.0
2000-08-02,3.9375,3.9375,3.9375,3.9375,100.0
2000-08-04,4.125,4.125,4.125,4.125,100.0
2000-08-10,4.0625,4.0,4.0,4.0,3100.0
2000-08-14,4.0,4.0,3.9375,4.0,7300.0
2000-08-15,4.0625,4.0625,4.0625,4.0625,22500.0
2000-08-18,4.125,4.125,4.125,4.125,400.0
2000-08-28,4.0,3.96875,3.9375,3.9375,3400.0
2000-08-30,4.0,4.0,4.0,4.0,200.0
2000-09-01,4.125,4.0,4.0,4.125,6500.0
2000-09-06,4.125,4.125,4.125,4.125,900.0
2000-09-08,4.375,4.375,4.0625,4.0625,3000.0
2000-09-15,4.375,4.375,4.0625,4.0625,2100.0
2000-09-18,4.25,4.25,4.125,4.125,2100.0
2000-09-19,4.4375,4.4375,4.375,4.375,4300.0
2000-09-20,4.4375,4.4375,4.4375,4.4375,4100.0
2000-09-21,4.5,4.5,4.375,4.375,1700.0
2000-09-22,4.5625,4.5625,4.5,4.5,8700.0
2000-09-25,4.3125,4.1875,4.1875,4.3125,1300.0
2000-09-26,4.5625,4.5625,4.5,4.5,600.0
2000-09-29,4.625,4.625,4.5625,4.625,7800.0
2000-10-02,4.1875,4.1875,4.1875,4.1875,400.0
2000-10-04,4.1875,4.1875,4.1875,4.1875,11000.0
2000-10-06,4.3125,4.3125,4.3125,4.3125,13100.0
2000-10-10,4.1875,4.1875,4.1875,4.1875,1800.0
2000-10-11,4.1875,4.1875,4.1875,4.1875,2000.0
2000-10-16,4.1875,4.1875,4.1875,4.1875,200.0
2000-10-20,4.1875,4.1875,4.1875,4.1875,500.0
2000-10-23,4.34375,4.34375,4.1875,4.1875,2400.0
2000-10-31,4.1875,4.1875,4.1875,4.1875,200.0
2000-11-01,4.5,4.5,4.5,4.5,3300.0
