Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,21.1699,21.07,20.95,20.95,,18500.0
2007-09-20,21.09,20.83,20.79,21.09,,9500.0
2007-09-21,21.14,21.11,20.89,20.89,,4600.0
2007-09-24,21.2,21.12,20.96,21.11,,2500.0
2007-09-25,21.12,21.12,20.97,20.97,,1900.0
2007-09-26,21.19,21.109,21.0,21.1,,4700.0
2007-09-27,21.43,21.35,21.12,21.12,,10000.0
2007-09-28,21.43,21.35,21.35,21.4,,4100.0
2007-10-01,21.62,21.62,21.17,21.27,,6100.0
2007-10-02,21.56,21.4,21.37,21.56,,2300.0
2007-10-03,21.5492,21.5492,21.32,21.32,,3300.0
2007-10-04,21.49,21.301,21.301,21.49,,1900.0
2007-10-05,21.6499,21.6499,21.33,21.33,,9500.0
2007-10-08,21.7,21.68,21.5,21.62,,1600.0
2007-10-09,21.6899,21.6,21.6,21.65,,800.0
2007-10-10,21.62,21.6101,21.6101,21.62,,600.0
2007-10-11,21.7499,21.6801,21.61,21.61,,6100.0
2007-10-12,21.7599,21.68,21.52,21.68,,7800.0
2007-10-15,21.74,21.6,21.6,21.62,,8700.0
2007-10-16,21.8,21.5201,21.52,21.66,,10200.0
2007-10-17,21.52,21.51,21.51,21.52,,3500.0
2007-10-18,21.4432,21.4432,21.27,21.43,,4400.0
2007-10-19,21.41,21.24,21.17,21.34,,10100.0
2007-10-22,21.35,21.35,20.85,20.95,,13400.0
2007-10-23,21.66,21.63,21.3,21.34,,5100.0
2007-10-24,21.57,21.46,21.35,21.57,,2300.0
2007-10-25,21.64,21.64,21.42,21.44,,1500.0
2007-10-26,21.66,21.65,21.53,21.66,,2800.0
2007-10-29,21.8,21.8,21.69,21.69,,2000.0
2007-10-30,21.8,21.42,21.36,21.8,,8000.0
2007-10-31,21.5401,21.35,21.34,21.48,,3500.0
2007-11-01,21.48,21.48,21.25,21.35,,8000.0
2007-11-02,21.58,21.52,21.36,21.42,,3400.0
2007-11-05,21.58,21.33,21.33,21.58,,6100.0
2007-11-06,21.31,21.3,21.3,21.31,,500.0
2007-11-07,21.34,21.25,21.25,21.25,,9700.0
2007-11-08,21.3,21.25,21.25,21.25,,9000.0
2007-11-09,21.22,21.18,20.19,20.19,,15801.0
2007-11-12,21.15,20.95,20.85,21.15,,7400.0
2007-11-13,21.12,21.0506,20.9,20.9,,4000.0
2007-11-14,21.255,21.1,21.09,21.09,,1200.0
2007-11-15,21.1,20.9,20.82,21.1,,7600.0
2007-11-16,21.07,20.92,20.8,20.9,,6100.0
2007-11-19,21.0399,21.0,20.62,20.62,,26101.0
2007-11-20,21.38,20.91,20.74,20.98,,15200.0
2007-11-21,20.98,20.7201,20.7,20.8,,5300.0
2007-11-23,21.14,21.0999,20.7,20.72,,12100.0
2007-11-26,21.15,20.9,20.9,21.02,,27300.0
2007-11-27,18.75,18.57,17.2,18.71,,22658.0
2007-11-28,18.9,18.796,18.64,18.65,,12600.0
2007-11-29,18.85,18.65,18.54,18.85,,6700.0
2007-11-30,18.9,18.83,18.6,18.74,,13200.0
2007-12-03,18.71,18.66,18.6301,18.68,,2800.0
2007-12-04,18.63,18.55,18.5,18.59,,7400.0
2007-12-05,18.83,18.83,18.61,18.61,,6700.0
2007-12-06,18.98,18.98,18.7,18.7,,3200.0
2007-12-07,18.98,18.96,18.85,18.9,,1900.0
2007-12-10,19.3,19.2,19.0,19.0,,17100.0
2007-12-11,19.4,19.2,19.0,19.2,,4000.0
2007-12-12,19.34,19.34,19.03,19.1,,13700.0
2007-12-13,19.22,18.95,18.95,19.2,,7600.0
2007-12-14,19.08,19.0,18.76,18.76,,3603.0
2007-12-17,19.0,18.93,18.9,18.95,,2200.0
2007-12-18,19.1,18.85,18.81,19.08,,19600.0
2007-12-19,18.9,18.85,18.76,18.82,,4200.0
2007-12-20,18.98,18.98,18.89,18.89,,5400.0
2007-12-21,19.1,19.1,18.94,19.04,,3900.0
2007-12-24,19.26,19.26,19.01,19.01,,1945.0
2007-12-26,19.4,19.15,19.15,19.3,,8100.0
2007-12-27,19.41,19.17,18.97,19.15,,21800.0
2007-12-28,19.84,19.2701,19.15,19.15,,11200.0
2007-12-31,19.32,19.3,18.95,19.32,,7600.0
2008-01-02,19.0,18.92,18.8101,19.0,,5500.0
2008-01-03,19.05,19.05,18.92,19.0,,2500.0
2008-01-04,19.08,18.81,18.8,19.08,,9500.0
2008-01-07,18.86,18.7699,18.64,18.72,,2800.0
2008-01-08,19.01,18.6499,18.57,18.6,,40858.0
2008-01-09,18.65,18.35,18.01,18.52,,25824.0
2008-01-10,18.521,18.5,18.0,18.45,,12200.0
2008-01-11,18.65,18.47,18.46,18.5,,22200.0
2008-01-14,19.02,18.94,18.52,18.55,,21700.0
2008-01-15,19.07,18.7101,18.68,18.9,,9700.0
2008-01-16,18.8899,18.7099,18.19,18.19,,19063.0
2008-01-17,18.62,18.4,18.4,18.58,,7656.0
2008-01-18,18.5,18.28,18.11,18.5,,29509.0
2008-01-22,18.12,18.12,17.75,17.75,,10235.0
2008-01-23,18.3,18.2,17.84,18.1,,14900.0
2008-01-24,18.55,18.25,18.2,18.2,,19500.0
2008-01-25,18.35,18.28,18.24,18.24,,3600.0
2008-01-28,18.35,18.2,18.2,18.31,,4000.0
2008-01-29,18.42,18.3,18.2,18.2,,14752.0
2008-01-30,18.62,18.52,18.1,18.1,,4400.0
2008-01-31,18.85,18.85,18.51,18.51,,11100.0
2008-02-01,18.93,18.89,18.6101,18.82,,12300.0
2008-02-04,18.75,18.7199,18.59,18.75,,13775.0
2008-02-05,18.69,18.6,18.54,18.61,,29092.0
2008-02-06,18.83,18.79,18.69,18.7,,2500.0
2008-02-07,18.79,18.49,18.07,18.07,,13600.0
2008-02-08,18.44,18.43,18.15,18.44,,7500.0
2008-02-11,18.71,18.6499,18.48,18.55,,3100.0
2008-02-12,18.87,18.71,18.68,18.71,,8400.0
2008-02-13,18.9,18.9,18.73,18.73,,7000.0
2008-02-14,18.9,18.76,18.63,18.9,,4100.0
2008-02-15,18.79,18.79,18.6301,18.6301,,3600.0
2008-02-19,18.85,18.6499,18.43,18.43,,6498.0
2008-02-20,18.59,18.45,18.45,18.52,,9100.0
2008-02-21,18.57,18.53,18.45,18.5201,,8100.0
2008-02-22,18.53,18.37,18.37,18.53,,3600.0
2008-02-25,18.71,18.35,18.35,18.35,,14200.0
2008-02-26,18.78,18.63,18.4,18.4,,3700.0
2008-02-27,18.99,18.98,18.55,18.84,,3999.0
2008-02-28,18.88,18.88,18.718,18.87,,1600.0
2008-02-29,18.95,18.57,18.57,18.88,,1600.0
2008-03-03,18.57,18.5199,18.35,18.57,,1000.0
2008-03-04,18.68,18.68,18.21,18.35,,10200.0
