Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,38.0,37.37,36.51,37.03,,611600.0
2007-09-20,37.3,37.01,36.67,37.13,,221800.0
2007-09-21,37.85,37.25,36.92,37.36,,312900.0
2007-09-24,37.69,36.88,36.66,37.18,,320000.0
2007-09-25,37.0599,36.76,36.02,36.58,,125400.0
2007-09-26,37.49,36.93,36.46,37.07,,204700.0
2007-09-27,37.0,36.54,36.46,36.93,,148000.0
2007-09-28,36.9,35.88,35.69,36.45,,317900.0
2007-10-01,37.38,37.18,35.93,35.94,,337700.0
2007-10-02,37.92,37.58,37.29,37.29,,213300.0
2007-10-03,37.7,37.14,36.87,37.09,,186700.0
2007-10-04,37.45,37.35,36.85,37.21,,188900.0
2007-10-05,38.22,37.98,37.43,37.6,,249500.0
2007-10-08,37.93,37.1,37.1,37.83,,193400.0
2007-10-09,37.81,37.57,37.06,37.13,,188700.0
2007-10-10,38.29,37.76,37.37,37.57,,165700.0
2007-10-11,38.16,36.83,36.65,38.03,,204300.0
2007-10-12,37.65,37.25,36.83,36.83,,124100.0
2007-10-15,37.44,36.56,36.22,37.21,,262900.0
2007-10-16,37.21,36.28,36.23,36.52,,111700.0
2007-10-17,37.12,36.18,35.93,36.76,,194900.0
2007-10-18,36.59,36.02,35.5,36.03,,225500.0
2007-10-19,36.25,34.04,34.04,35.93,,271100.0
2007-10-22,36.49,36.07,33.39,34.0,,265700.0
2007-10-23,36.5,36.23,35.03,36.5,,163300.0
2007-10-24,36.46,35.96,34.86,35.9,,160500.0
2007-10-25,36.11,35.15,34.67,36.11,,139400.0
2007-10-26,36.14,35.78,35.12,35.46,,201200.0
2007-10-29,36.13,35.76,35.11,36.04,,107600.0
2007-10-30,37.11,36.49,35.55,35.55,,232300.0
2007-10-31,37.13,36.9,35.82,36.71,,167600.0
2007-11-01,36.76,35.51,34.43,36.08,,360100.0
2007-11-02,35.99,35.53,34.76,35.99,,146900.0
2007-11-05,35.34,34.93,34.31,35.19,,130100.0
2007-11-06,35.84,35.76,34.22,35.0,,161800.0
2007-11-07,35.47,34.13,34.0,35.25,,192500.0
