Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,18.64,18.55,18.33,18.55,,129891.0
2007-09-06,18.8,18.75,18.38,18.57,,296130.0
2007-09-07,18.79,18.78,18.38,18.72,,164597.0
2007-09-10,18.86,18.84,18.46,18.72,,327568.0
2007-09-11,19.09,18.89,18.68,18.84,,240396.0
2007-09-12,19.25,19.1,18.97,19.0,,333344.0
2007-09-13,19.29,19.2,19.07,19.29,,365637.0
2007-09-14,19.44,19.08,19.08,19.3,,114654.0
2007-09-17,19.5,19.34,19.05,19.1,,208618.0
2007-09-18,19.5,19.29,19.09,19.41,,248223.0
2007-09-19,19.43,18.86,18.86,19.18,,165147.0
2007-09-20,18.69,18.57,18.36,18.5,,172261.0
2007-09-21,18.58,18.32,17.85,18.35,,300487.0
2007-09-24,19.13,19.13,18.06,18.12,,474369.0
2007-09-25,19.85,19.63,19.1,19.2,,493847.0
2007-09-26,19.75,19.44,19.35,19.6,,309999.0
2007-09-27,20.42,20.25,20.03,20.3,,1438117.0
2007-09-28,20.94,20.13,20.12,20.45,,839356.0
2007-10-01,20.46,20.24,20.06,20.07,,477325.0
2007-10-02,20.3,19.9,19.78,20.3,,724188.0
2007-10-03,20.0,19.63,19.62,20.0,,426892.0
2007-10-04,19.85,19.85,19.65,19.77,,319262.0
2007-10-05,19.94,19.79,19.7,19.7,,204805.0
2007-10-09,19.82,19.49,19.49,19.55,,313361.0
2007-10-10,19.65,19.38,19.38,19.65,,175991.0
2007-10-11,19.59,19.4,19.4,19.4,,408396.0
2007-10-12,19.5,19.47,19.35,19.4,,290290.0
2007-10-15,19.7,19.7,19.4,19.57,,184890.0
2007-10-16,20.1,20.1,19.61,19.74,,420159.0
2007-10-17,20.43,20.43,20.0,20.0,,545854.0
2007-10-18,20.6,20.6,20.1,20.25,,390643.0
2007-10-19,20.46,20.01,19.94,20.46,,297653.0
2007-10-22,20.06,20.0,19.2,19.6,,269319.0
2007-10-23,20.32,20.15,19.9,19.95,,353073.0
2007-10-24,20.4,20.23,20.07,20.09,,229896.0
2007-10-25,20.65,20.63,20.24,20.35,,170625.0
2007-10-26,20.63,20.19,20.0,20.16,,1002764.0
2007-10-29,20.35,20.06,19.79,20.19,,407778.0
2007-10-30,20.1,19.59,19.55,19.98,,212632.0
2007-10-31,20.3,20.26,19.63,19.63,,271808.0
2007-11-01,20.6,20.3,19.79,19.8,,180470.0
