Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2010-03-03,2.65,2.6,2.55,2.6,10000.0
2010-03-04,5.0,3.0,2.65,2.7,21200.0
2010-03-05,3.0,2.7,2.65,3.0,11960.0
2010-03-09,2.75,2.65,2.65,2.75,7715.0
2010-03-11,2.91,2.65,2.65,2.81,23810.0
2010-03-12,2.65,2.65,2.64,2.65,4801.0
2010-03-15,2.65,2.65,2.64,2.64,1100.0
2010-03-16,2.65,2.65,2.64,2.64,1600.0
2010-03-17,2.65,2.65,2.65,2.65,13600.0
2010-03-18,2.65,2.65,2.6,2.6,4375.0
2010-03-19,2.7,2.61,2.61,2.65,26125.0
2010-03-22,2.65,2.65,2.65,2.65,4575.0
2010-03-23,2.65,2.6,2.6,2.65,2675.0
2010-03-25,2.75,2.75,2.65,2.65,6700.0
2010-03-26,2.75,2.75,2.75,2.75,2100.0
2010-03-29,2.75,2.75,2.75,2.75,3000.0
2010-03-31,2.75,2.75,2.75,2.75,2100.0
2010-04-01,3.9,3.25,2.75,2.96,34750.0
2010-04-05,3.25,3.25,3.24,3.25,163180.0
2010-04-06,3.25,3.25,3.25,3.25,150150.0
2010-04-07,3.28,3.25,3.24,3.25,45200.0
2010-04-08,3.26,3.25,3.2,3.25,99500.0
2010-04-09,3.3,3.25,3.24,3.25,23700.0
2010-04-12,3.25,3.24,3.24,3.25,8850.0
2010-04-13,3.3,3.3,3.2,3.2,14500.0
2010-04-14,3.25,3.25,3.24,3.25,16000.0
2010-04-15,3.25,3.25,3.25,3.25,26300.0
2010-04-16,3.3,3.3,3.25,3.25,55531.0
2010-04-19,3.3,3.3,2.99,3.3,17370.0
2010-04-20,3.25,3.25,3.25,3.25,11100.0
2010-04-21,3.2,3.05,3.05,3.2,3890.0
2010-04-22,3.3,3.3,3.2,3.2,13750.0
2010-04-23,3.3,3.3,3.3,3.3,1450.0
2010-04-26,3.3,3.3,3.3,3.3,6919.0
2010-04-27,3.35,3.25,3.25,3.35,4000.0
2010-04-28,3.35,3.25,3.25,3.3,20200.0
2010-04-29,3.25,3.25,3.25,3.25,20000.0
2010-04-30,3.35,3.35,3.25,3.25,7350.0
2010-05-03,3.35,3.35,3.35,3.35,3000.0
2010-05-04,3.26,3.25,3.25,3.26,21000.0
2010-05-05,3.25,3.2,3.2,3.25,12150.0
2010-05-06,3.2,3.2,3.2,3.2,7200.0
2010-05-07,3.2,3.2,3.2,3.2,3150.0
2010-05-10,3.29,3.29,3.25,3.29,6150.0
2010-05-11,3.65,3.65,3.3,3.3,106178.0
2010-05-12,3.7,3.62,3.6,3.65,46695.0
2010-05-13,3.77,3.75,3.65,3.7,186620.0
2010-05-14,3.83,3.83,3.75,3.78,40800.0
2010-05-17,3.9,3.9,3.76,3.85,40623.0
2010-05-18,3.9,3.75,3.75,3.9,30880.0
2010-05-19,3.89,3.89,3.75,3.85,16925.0
2010-05-20,3.97,3.97,3.76,3.9,27270.0
2010-05-21,4.04,4.04,3.85,3.97,9020.0
2010-05-24,4.1,4.1,4.0,4.04,54273.0
2010-05-25,4.15,4.11,3.9,4.12,22044.0
2010-05-26,4.15,4.15,4.05,4.11,19420.0
2010-05-27,4.16,4.16,4.12,4.15,11882.0
2010-05-28,4.18,4.18,4.1,4.15,15956.0
2010-06-01,4.2,4.2,4.18,4.18,19300.0
2010-06-02,4.2,4.2,4.18,4.2,5554.0
2010-06-03,4.23,4.23,4.18,4.2,16238.0
2010-06-04,4.25,4.2,4.2,4.25,23675.0
2010-06-07,4.2,4.15,4.0,4.2,35583.0
2010-06-08,4.1,4.05,3.65,4.1,44016.0
2010-06-09,4.15,4.15,3.9,4.05,6645.0
2010-06-10,4.15,4.15,4.02,4.14,2025.0
2010-06-11,4.07,4.05,4.0,4.0,14525.0
2010-06-14,4.15,4.1,4.1,4.12,5725.0
2010-06-15,4.15,4.1,4.1,4.15,4900.0
2010-06-16,4.05,4.02,4.02,4.05,4200.0
2010-06-17,4.15,4.15,4.02,4.1,3625.0
2010-06-18,4.15,4.15,4.05,4.1,4000.0
2010-06-21,4.1,4.05,4.02,4.02,6027.0
2010-06-22,4.15,4.1,4.02,4.15,2421.0
2010-06-23,4.05,4.05,4.0,4.02,9229.0
2010-06-24,4.0,4.0,4.0,4.0,2600.0
2010-06-25,4.0,4.0,4.0,4.0,3566.0
2010-06-28,4.01,4.01,4.0,4.0,1800.0
2010-06-29,4.02,3.85,3.8,4.02,13200.0
2010-06-30,4.0,3.45,3.3,3.81,82664.0
2010-07-01,3.35,3.01,3.0,3.35,40776.0
2010-07-02,3.05,3.0,3.0,3.01,4090.0
2010-07-06,3.24,3.24,3.03,3.03,3340.0
2010-07-07,3.24,3.24,3.05,3.05,1499.0
2010-07-08,3.12,3.05,3.05,3.05,8700.0
2010-07-09,3.07,3.07,3.07,3.07,180.0
2010-07-12,3.5,3.5,3.07,3.07,2280.0
2010-07-13,3.4,3.4,3.25,3.25,2250.0
2010-07-14,3.99,3.9,3.5,3.5,6047.0
2010-07-15,3.26,3.22,3.22,3.26,1500.0
2010-07-16,3.1,3.1,3.1,3.1,100.0
2010-07-19,3.15,3.15,3.1,3.1,1146.0
2010-07-20,3.25,3.25,3.25,3.25,500.0
2010-07-21,4.0,4.0,3.54,3.54,61337.0
2010-07-22,4.0,3.25,3.25,4.0,14500.0
2010-07-23,3.8,3.8,3.11,3.35,2128.0
2010-07-26,3.81,3.8,3.5,3.8,12520.0
2010-07-27,3.6,3.52,3.51,3.6,1400.0
2010-07-28,3.52,3.3,3.3,3.52,1250.0
2010-07-29,3.5,3.5,3.5,3.5,450.0
2010-07-30,3.45,3.45,3.45,3.45,2532.0
2010-08-02,3.43,3.05,2.95,3.43,4110.0
2010-08-03,3.05,3.05,3.05,3.05,180.0
2010-08-04,3.5,3.4,3.4,3.4,3972.0
2010-08-05,3.4,3.2,3.2,3.4,2100.0
2010-08-09,3.2,3.2,3.2,3.2,100.0
2010-08-10,3.18,3.18,3.18,3.18,1000.0
2010-08-11,3.3,3.3,3.05,3.05,1400.0
2010-08-13,3.2,3.2,3.1,3.2,2100.0
2010-08-16,3.5,3.5,3.05,3.05,7092.0
2010-08-17,3.5,3.2,3.2,3.5,176400.0
2010-08-18,3.49,3.2,3.2,3.49,174400.0
2010-08-19,3.5,3.35,3.35,3.4,13081.0
2010-08-20,3.25,3.2,3.2,3.2,46800.0
2010-08-23,3.2,3.2,3.07,3.07,7550.0
2010-08-24,3.35,3.35,3.2,3.2,189650.0
2010-08-25,3.8,3.2,3.2,3.45,27829.0
2010-08-26,3.99,3.99,3.25,3.25,53300.0
2010-08-27,3.9,3.2,3.15,3.9,217450.0
2010-08-30,3.25,3.2,3.2,3.25,42300.0
