Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,72.65,70.93,69.61,72.65,,1725462.0
2007-09-06,71.0,70.7,69.91,70.7,,540619.0
2007-09-07,70.59,69.2,69.08,70.5,,637910.0
2007-09-10,69.9,68.6,68.42,69.31,,463940.0
2007-09-11,71.39,71.34,68.86,68.96,,824180.0
2007-09-12,72.15,71.25,71.11,71.21,,386866.0
2007-09-13,72.85,72.2,71.1,71.98,,535315.0
2007-09-14,72.2,70.08,69.76,71.37,,690460.0
2007-09-17,70.6,69.88,69.8,70.21,,328292.0
2007-09-18,71.78,71.54,69.51,70.0,,989953.0
2007-09-19,72.36,70.3,70.01,72.36,,521468.0
2007-09-20,70.25,69.43,68.96,70.25,,684494.0
2007-09-21,69.42,68.54,68.09,69.0,,1557294.0
2007-09-24,69.24,67.88,67.88,68.75,,782648.0
2007-09-25,68.94,68.37,67.37,67.78,,464354.0
2007-09-26,69.64,69.23,68.41,68.85,,856504.0
2007-09-27,70.44,70.3,69.38,69.99,,1016047.0
2007-09-28,70.4,70.0,69.5,70.19,,906903.0
2007-10-01,71.2,71.19,69.31,69.97,,1165546.0
2007-10-02,71.92,71.73,70.44,71.11,,963237.0
2007-10-03,71.8,69.51,69.51,71.78,,853925.0
2007-10-04,70.32,69.63,69.06,70.32,,938912.0
2007-10-05,73.0,72.7,69.4,70.2,,1315722.0
2007-10-09,72.62,71.8,71.26,72.48,,417583.0
2007-10-10,71.9,70.95,70.25,71.9,,893799.0
2007-10-11,71.22,70.13,69.69,71.2,,526477.0
2007-10-12,70.45,69.72,69.51,70.45,,891220.0
2007-10-15,69.95,68.59,68.26,69.95,,697178.0
2007-10-16,68.55,67.85,67.4,68.55,,617917.0
2007-10-17,68.84,67.36,66.91,68.65,,977045.0
2007-10-18,69.64,68.86,67.18,67.5,,1245149.0
2007-10-19,69.02,67.8,67.5,68.61,,803031.0
2007-10-22,68.5,68.5,67.03,67.03,,596224.0
2007-10-23,68.81,67.54,67.26,68.25,,556839.0
2007-10-24,68.05,67.45,65.33,67.32,,945290.0
2007-10-25,67.94,65.8,65.51,67.94,,1030047.0
2007-10-26,67.0,66.6,65.89,66.2,,764005.0
2007-10-29,67.26,67.25,66.39,66.92,,484636.0
2007-10-30,67.3,64.84,64.6,67.3,,892726.0
2007-10-31,66.51,66.48,65.23,65.4,,1035935.0
2007-11-01,66.39,64.79,64.76,66.0,,945662.0
2007-11-02,65.94,65.51,64.03,65.48,,1082332.0
2007-11-05,65.64,63.82,63.3,64.8,,847214.0
2007-11-06,63.59,62.36,61.9,63.55,,1141996.0
2007-11-07,61.6,60.04,59.48,61.6,,1837347.0
2007-11-08,62.36,62.26,60.3,60.95,,1460286.0
2007-11-09,63.46,62.52,61.75,61.98,,1132321.0
2007-11-12,63.01,61.39,61.0,63.01,,330370.0
2007-11-13,62.41,62.26,61.5,62.25,,755618.0
2007-11-14,63.71,63.14,61.96,62.71,,440231.0
2007-11-15,63.95,62.59,62.25,63.28,,416715.0
2007-11-16,62.8,62.68,62.0,62.61,,456377.0
2007-11-19,62.78,61.75,61.5,62.73,,398375.0
2007-11-20,62.76,61.61,61.24,61.81,,408729.0
2007-11-21,61.82,60.82,60.5,61.14,,401528.0
2007-11-22,61.25,60.55,60.25,61.25,,149519.0
2007-11-23,61.08,60.92,59.75,60.58,,236722.0
2007-11-26,61.19,59.77,59.77,60.9,,554650.0
2007-11-27,63.45,63.25,59.8,59.81,,1246594.0
