Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,43.125,41.25,41.25,42.1875,5900.0
2000-01-04,42.0,39.0,39.0,41.71875,5316.666667
2000-01-05,42.0,42.0,39.0,39.75,4750.0
2000-01-06,41.25,41.25,39.75,39.75,1100.0
2000-01-07,42.0,40.875,39.375,40.6875,1200.0
2000-01-10,41.8125,39.0,39.0,41.8125,10683.333333
2000-01-11,40.5,37.5,36.9375,39.0,8850.0
2000-01-12,39.0,39.0,37.875,37.875,766.666667
2000-01-13,38.625,38.25,38.25,38.625,766.666667
2000-01-14,41.25,39.0,38.625,38.625,2283.333333
2000-01-18,41.25,39.0,38.625,40.125,2083.333333
2000-01-19,42.375,42.0,39.0,39.0,6466.666667
2000-01-20,42.0,42.0,39.75,41.25,7600.0
2000-01-21,42.0,41.25,40.875,41.25,5550.0
2000-01-24,42.0,41.25,41.25,41.4375,1416.666667
2000-01-25,42.0,40.875,40.875,41.25,5433.333333
2000-01-26,42.0,41.25,40.875,40.875,4866.666667
2000-01-27,42.75,42.0,41.25,41.25,8483.333333
2000-01-28,42.0,40.125,40.125,41.25,5866.666667
2000-01-31,41.25,40.5,39.375,39.375,6300.0
2000-02-01,42.75,42.75,40.125,40.125,1516.666667
2000-02-02,43.5,36.0,33.0,42.0,21116.666667
2000-02-03,39.0,36.0,35.25,35.25,6166.666667
2000-02-04,37.5,36.0,35.625,37.5,3783.333333
2000-02-07,37.125,36.0,35.625,35.625,4150.0
2000-02-08,36.75,36.0,36.0,36.375,900.0
2000-02-09,36.0,33.75,31.5,36.0,7050.0
2000-02-10,33.75,31.3125,31.3125,33.75,6333.333333
2000-02-11,34.5,34.5,30.75,32.15625,2050.0
2000-02-14,36.09375,33.0,31.5,36.09375,4716.666667
2000-02-15,33.0,31.875,31.875,32.25,1433.333333
2000-02-16,34.5,30.75,30.75,34.5,3716.666667
2000-02-17,30.75,30.375,28.875,30.75,7550.0
2000-02-18,30.75,30.375,28.875,30.0,5566.666667
2000-02-22,31.5,30.375,29.25,30.375,5433.333333
2000-02-23,30.375,30.0,29.25,30.0,3750.0
2000-02-24,30.375,29.25,28.875,30.0,5300.0
2000-02-25,30.0,30.0,29.25,30.0,750.0
2000-02-28,30.0,25.5,24.0,28.96875,27616.666667
2000-02-29,30.0,27.0,27.0,29.90625,4150.0
2000-03-01,28.125,27.375,26.8125,26.8125,5866.666667
2000-03-02,28.5,27.75,25.875,27.375,3916.666667
2000-03-03,30.0,28.875,27.0,27.75,2083.333333
2000-03-06,30.0,27.0,27.0,29.25,6900.0
2000-03-07,29.25,25.875,25.5,29.25,3150.0
2000-03-08,27.0,24.75,24.75,25.5,6183.333333
2000-03-09,27.0,26.8125,25.125,25.125,3200.0
2000-03-10,28.875,26.25,24.75,26.25,7050.0
2000-03-13,27.75,27.75,26.25,26.25,1116.666667
2000-03-14,28.125,24.9375,24.0,28.125,11133.333333
2000-03-15,27.0,24.375,24.375,25.6875,4850.0
2000-03-16,28.125,25.5,25.5,27.0,6566.666667
2000-03-17,27.0,25.875,25.6875,25.875,2116.666667
2000-03-20,27.75,27.0,26.8125,27.0,8950.0
2000-03-21,28.125,26.25,26.25,27.375,3900.0
2000-03-22,27.375,26.625,26.25,27.375,1283.333333
2000-03-23,27.75,27.75,26.25,26.625,2583.333333
2000-03-24,27.375,27.375,27.0,27.0,2733.333333
2000-03-27,27.375,27.0,26.25,26.8125,1683.333333
2000-03-28,27.375,26.25,26.25,27.375,2750.0
2000-03-29,27.0,25.5,25.5,27.0,17383.333333
2000-03-30,27.0,26.25,26.25,26.625,4166.666667
2000-03-31,27.0,26.25,26.25,27.0,1350.0
2000-04-03,27.0,26.25,25.875,27.0,1600.0
2000-04-04,26.625,25.875,25.5,26.34375,5250.0
2000-04-05,25.875,25.125,25.125,25.875,600.0
2000-04-06,26.25,25.5,25.125,25.875,3933.333333
2000-04-07,26.25,25.875,25.5,26.25,5133.333333
2000-04-10,27.375,27.375,26.25,26.25,2466.666667
2000-04-11,26.8125,26.25,25.5,26.8125,400.0
2000-04-12,27.75,25.875,25.875,26.625,2050.0
2000-04-13,26.34375,26.25,25.5,26.34375,8733.333333
2000-04-14,25.5,23.25,23.25,25.5,7966.666667
2000-04-17,23.625,22.125,21.75,22.5,5916.666667
2000-04-18,24.75,24.75,23.25,23.25,1850.0
2000-04-19,26.25,25.125,25.125,26.25,416.666667
2000-04-20,25.125,25.125,25.125,25.125,66.666667
2000-04-24,24.75,24.75,24.375,24.375,450.0
2000-04-25,25.5,24.375,24.0,24.75,1633.333333
2000-04-26,27.0,25.875,24.375,25.3125,77350.0
2000-04-27,27.0,25.5,25.5,25.6875,1800.0
2000-04-28,26.25,24.375,24.375,25.5,1600.0
2000-05-01,25.5,23.25,23.25,24.75,1366.666667
2000-05-02,24.375,23.4375,23.25,24.375,3616.666667
2000-05-03,24.375,23.25,23.25,23.625,3400.0
2000-05-04,23.25,23.25,21.0,23.25,3483.333333
2000-05-05,22.5,22.5,21.75,21.75,1216.666667
2000-05-08,25.5,23.25,22.5,22.6875,3450.0
