Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,65.265,63.48,63.195,64.975,,1195600.0
2007-09-20,64.095,63.285,63.05,63.415,,773400.0
2007-09-21,64.665,64.09,63.735,63.8,,617400.0
2007-09-24,64.815,63.7,63.3,64.155,,509600.0
2007-09-25,64.135,64.045,62.5,62.975,,496600.0
2007-09-26,65.44,64.445,64.15,64.5,,979000.0
2007-09-27,66.505,66.205,64.245,64.545,,834000.0
2007-09-28,66.44,65.005,64.985,66.44,,628600.0
2007-10-01,66.13,65.585,64.875,64.875,,719000.0
2007-10-02,65.92,65.775,64.955,65.53,,428400.0
2007-10-03,65.7,64.96,64.85,65.545,,518400.0
2007-10-04,65.425,64.59,64.0,65.11,,416800.0
2007-10-05,66.75,66.245,65.04,65.04,,449600.0
2007-10-08,67.0,66.46,65.75,65.87,,256000.0
2007-10-09,68.685,68.535,66.425,66.55,,582400.0
2007-10-10,69.375,67.35,66.94,68.465,,1641000.0
2007-10-11,68.43,65.86,64.975,68.275,,1308000.0
2007-10-12,64.86,64.51,61.86,63.495,,2079002.0
2007-10-15,65.385,63.535,63.015,64.51,,1056800.0
2007-10-16,64.41,64.025,61.815,63.8,,1171800.0
2007-10-17,64.875,64.085,63.195,64.805,,1062200.0
2007-10-18,66.0,65.725,63.17,63.69,,834400.0
2007-10-19,66.05,63.935,63.715,65.645,,750400.0
2007-10-22,64.505,64.21,62.765,63.0,,628400.0
2007-10-23,66.245,65.61,64.57,66.245,,760000.0
2007-10-24,67.12,67.0,65.0,65.115,,1019400.0
2007-10-25,69.0,68.43,67.19,67.5,,784400.0
2007-10-26,69.78,69.225,67.505,67.505,,634200.0
2007-10-29,70.74,69.075,68.56,69.815,,731800.0
2007-10-30,68.715,66.95,66.625,68.5,,740800.0
2007-10-31,75.16,72.455,70.675,70.675,,2789000.0
2007-11-01,71.65,67.645,67.075,71.5,,1401400.0
2007-11-02,69.045,68.82,65.915,68.75,,951800.0
2007-11-05,68.965,68.0,67.04,67.215,,706264.0
2007-11-06,72.805,71.925,68.28,69.325,,958300.0
2007-11-07,72.495,70.43,69.955,70.5,,1001800.0
2007-11-08,72.52,71.4,70.0,70.82,,1037786.0
2007-11-09,71.815,70.625,69.435,69.435,,693814.0
2007-11-12,71.195,67.39,67.35,71.195,,904208.0
2007-11-13,69.125,69.025,67.97,67.985,,969268.0
2007-11-14,72.35,70.9,69.37,70.0,,694000.0
2007-11-15,70.845,70.14,69.255,70.67,,724430.0
2007-11-16,70.96,70.74,68.93,70.51,,548015.0
2007-11-19,70.28,67.96,67.74,70.09,,892065.0
2007-11-20,69.53,68.34,67.37,68.5,,744700.0
2007-11-21,68.25,67.4,65.85,67.74,,498100.0
2007-11-23,68.98,68.72,67.55,68.0,,165700.0
2007-11-26,69.96,67.83,67.71,68.83,,440095.0
2007-11-27,70.42,69.27,68.0,68.28,,681510.0
2007-11-28,73.46,73.29,69.43,69.94,,564200.0
2007-11-29,75.65,75.5,72.39,73.12,,606229.0
2007-11-30,77.5,75.45,74.79,76.25,,883341.0
2007-12-03,76.68,74.68,74.68,76.68,,458400.0
2007-12-04,76.46,76.03,73.86,73.89,,535800.0
2007-12-05,78.2,76.52,76.2501,77.16,,602800.0
2007-12-06,79.08,79.08,76.52,76.52,,426430.0
2007-12-07,79.42,78.35,77.65,79.42,,396811.0
