Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-07-07,2.99,2.81,2.8,2.99,,4400.0
2006-07-10,2.943,2.84,2.811,2.811,,8920.0
2006-07-11,2.93,2.79,2.79,2.85,,6345.0
2006-07-12,2.87,2.83,2.81,2.83,,3800.0
2006-07-13,2.84,2.77,2.72,2.79,,5450.0
2006-07-14,2.85,2.84,2.84,2.85,,1073.0
2006-07-17,2.82,2.7,2.66,2.72,,6928.0
2006-07-18,2.73,2.66,2.65,2.73,,3400.0
2006-07-19,2.69,2.69,2.65,2.65,,2300.0
2006-07-20,2.73,2.73,2.65,2.65,,1428.0
2006-07-21,2.69,2.69,2.69,2.69,,2210.0
2006-07-24,2.77,2.65,2.65,2.77,,300.0
2006-07-25,2.76,2.76,2.65,2.65,,475.0
2006-07-26,2.69,2.69,2.65,2.65,,2000.0
2006-07-27,2.66,2.6,2.6,2.65,,3590.0
2006-07-28,2.74,2.6,2.55,2.61,,5600.0
2006-07-31,2.74,2.58,2.54,2.74,,16800.0
2006-08-01,2.69,2.49,2.31,2.67,,21489.0
2006-08-02,2.55,2.47,2.37,2.46,,7302.0
2006-08-03,2.66,2.49,2.38,2.48,,3400.0
2006-08-04,2.56,2.43,2.32,2.56,,2120.0
2006-08-07,2.48,2.42,2.42,2.48,,400.0
2006-08-08,2.39,2.35,2.35,2.36,,5700.0
2006-08-09,2.35,2.35,2.35,2.35,,100.0
2006-08-10,2.34,2.21,2.2,2.34,,6800.0
2006-08-11,2.28,2.28,2.28,2.28,,100.0
2006-08-14,2.58,2.35,2.35,2.37,,2217.0
2006-08-15,2.77,2.61,2.22,2.22,,17901.0
2006-08-16,2.74,2.48,2.48,2.63,,10562.0
2006-08-17,2.63,2.5,2.45,2.53,,14653.0
2006-08-18,2.72,2.49,2.49,2.72,,7700.0
2006-08-21,4.68,3.74,2.49,2.53,,810280.0
2006-08-22,3.748,3.37,3.21,3.56,,206762.0
2006-08-23,3.48,3.3,3.25,3.27,,53790.0
2006-08-24,3.7,3.6,3.22,3.22,,89345.0
2006-08-25,3.63,3.51,3.4,3.4,,20712.0
2006-08-28,3.61,3.31,3.28,3.61,,32751.0
2006-08-29,3.55,3.4,3.29,3.35,,16006.0
2006-08-30,3.55,3.16,3.15,3.55,,33621.0
2006-08-31,3.35,3.3,3.16,3.16,,17985.0
2006-09-01,3.48,3.41,3.24,3.28,,13420.0
2006-09-05,3.9099,3.9099,3.4,3.4,,61076.0
2006-09-06,4.0,3.89,3.79,4.0,,11200.0
2006-09-07,3.83,3.82,3.55,3.77,,24051.0
2006-09-08,3.91,3.76,3.73,3.9,,19479.0
2006-09-11,3.91,3.868,3.56,3.83,,9860.0
2006-09-12,3.828,3.67,3.56,3.828,,22610.0
2006-09-13,3.89,3.591,3.51,3.68,,24113.0
2006-09-14,3.69,3.69,3.5,3.67,,10150.0
2006-09-15,3.65,3.6,3.5162,3.58,,2900.0
2006-09-18,3.68,3.5145,3.5145,3.59,,5185.0
2006-09-19,3.64,3.47,3.45,3.64,,6900.0
2006-09-20,3.7199,3.59,3.56,3.65,,6935.0
2006-09-21,3.72,3.63,3.57,3.63,,12901.0
2006-09-22,3.62,3.54,3.54,3.62,,4500.0
2006-09-25,3.484,3.41,3.35,3.39,,17818.0
2006-09-26,3.46,3.45,3.32,3.32,,3525.0
2006-09-27,3.66,3.55,3.45,3.49,,12200.0
2006-09-28,3.67,3.62,3.4642,3.5,,15909.0
2006-09-29,3.6984,3.6088,3.53,3.54,,6550.0
2006-10-02,3.65,3.6082,3.39,3.65,,24651.0
2006-10-03,3.63,3.56,3.44,3.44,,9100.0
2006-10-04,3.6899,3.66,3.5,3.5,,21297.0
2006-10-05,3.88,3.74,3.6,3.88,,27119.0
2006-10-06,3.99,3.99,3.66,3.66,,45221.0
2006-10-09,4.18,3.92,3.86,3.99,,70258.0
2006-10-10,4.05,3.98,3.97,4.0,,76478.0
2006-10-11,5.22,4.6,3.95,4.01,,479587.0
2006-10-12,4.937,4.577,4.41,4.85,,117111.0
2006-10-13,4.68,4.55,4.49,4.55,,21463.0
2006-10-16,5.03,4.84,4.55,4.81,,135988.0
2006-10-17,5.05,4.92,4.63,4.95,,56633.0
2006-10-18,5.64,5.4189,5.0,5.01,,136545.0
2006-10-19,5.75,5.63,5.38,5.47,,73142.0
