Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-05-16,30.475,30.385,30.155,30.45,,553800.0
2006-05-17,30.385,29.885,29.885,30.385,,1065400.0
2006-05-18,30.05,29.825,29.75,29.84,,1263000.0
2006-05-19,29.925,29.51,29.39,29.84,,1131400.0
2006-05-22,29.51,29.35,29.005,29.51,,866600.0
2006-05-23,29.525,28.935,28.935,29.39,,1173400.0
2006-05-24,29.43,29.405,28.63,28.99,,1184000.0
2006-05-25,29.905,29.875,29.5,29.6,,1225400.0
2006-05-26,30.08,30.0,29.875,29.905,,779400.0
2006-05-30,30.08,29.245,29.205,29.91,,612600.0
2006-05-31,29.51,29.4,29.11,29.21,,781600.0
2006-06-01,29.925,29.82,29.405,29.405,,610800.0
2006-06-02,30.275,30.17,29.975,30.0,,702400.0
2006-06-05,30.5,30.08,29.99,30.175,,1339000.0
2006-06-06,30.405,30.155,29.935,30.1,,802200.0
2006-06-07,30.51,30.185,30.04,30.125,,769000.0
2006-06-08,30.185,29.88,29.5,30.185,,1353200.0
2006-06-09,30.14,30.005,29.83,29.88,,523000.0
2006-06-12,30.065,29.525,29.525,30.005,,751400.0
2006-06-13,29.62,28.795,28.715,29.505,,1125200.0
2006-06-14,29.15,28.935,28.77,28.8,,1212800.0
2006-06-15,29.6,29.55,29.035,29.035,,1390000.0
2006-06-16,29.65,29.5,29.32,29.6,,676800.0
2006-06-19,29.51,29.025,28.945,29.49,,1010400.0
2006-06-20,29.09,28.85,28.84,29.025,,400800.0
2006-06-21,29.29,29.19,28.76,28.8,,802800.0
2006-06-22,29.3,29.085,28.965,29.19,,481600.0
2006-06-23,29.305,29.12,28.9,29.05,,465800.0
2006-06-26,29.245,29.11,28.9,29.075,,637400.0
2006-06-27,29.25,28.95,28.77,29.115,,521800.0
2006-06-28,29.04,28.965,28.72,28.98,,454000.0
2006-06-29,29.425,29.41,28.94,29.0,,439600.0
2006-06-30,29.765,29.75,29.3,29.445,,860000.0
2006-07-03,30.015,30.015,29.61,29.68,,449800.0
2006-07-05,30.015,29.795,29.55,30.015,,1019600.0
2006-07-06,29.805,29.555,29.305,29.765,,503800.0
2006-07-07,29.555,29.33,29.225,29.555,,315200.0
2006-07-10,29.45,29.165,29.015,29.37,,346600.0
2006-07-11,29.275,28.96,28.815,29.175,,793400.0
2006-07-12,29.08,28.725,28.56,28.935,,513600.0
2006-07-13,28.755,28.385,28.385,28.61,,753000.0
2006-07-14,28.425,28.305,28.055,28.375,,627200.0
2006-07-17,28.77,28.345,28.335,28.355,,748800.0
2006-07-18,28.475,28.17,27.94,28.36,,568200.0
2006-07-19,28.965,28.73,28.17,28.25,,785600.0
2006-07-20,28.8,28.27,28.27,28.8,,515600.0
2006-07-21,28.205,27.755,27.4,28.175,,1291000.0
2006-07-24,27.97,27.875,27.72,27.875,,730600.0
2006-07-25,28.06,28.02,27.685,27.8,,958600.0
2006-07-26,28.05,27.945,27.69,28.02,,709000.0
2006-07-27,28.2,27.75,27.72,28.01,,568600.0
2006-07-28,28.1,28.07,27.705,27.79,,536000.0
2006-07-31,28.515,28.155,28.0,28.275,,529000.0
2006-08-01,28.15,27.86,27.855,28.035,,453400.0
2006-08-02,28.39,28.15,27.925,27.925,,572800.0
2006-08-03,28.55,28.435,28.03,28.115,,424400.0
2006-08-04,28.715,28.34,28.225,28.55,,470600.0
