Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-06-05,27.48,27.0,24.0,25.01,35966.0,7716464.0
2015-06-08,29.7,28.81,27.1,27.45,9734.0,1797455.0
2015-06-09,29.97,29.6,28.9526,29.7,3581.0,743067.0
2015-06-10,29.79,27.74,27.55,29.79,2206.0,384047.0
2015-06-11,28.29,27.06,26.98,27.56,1494.0,245575.0
2015-06-12,27.73,26.98,26.9,27.04,2156.0,606600.0
2015-06-15,27.4499,27.25,26.59,27.07,931.0,168210.0
2015-06-16,29.16,29.16,27.02,27.5,1630.0,355284.0
2015-06-17,26.66,22.0,21.88,24.9,9113.0,2266764.0
2015-06-18,22.2896,21.32,21.02,22.0,2140.0,487469.0
2015-06-19,22.15,22.0,20.75,21.01,1534.0,429858.0
2015-06-22,22.26,21.81,20.43,22.26,1570.0,276052.0
2015-06-23,22.5,22.41,21.8,21.96,922.0,175271.0
2015-06-24,23.0,22.24,22.05,22.51,929.0,143971.0
2015-06-25,23.0,22.77,22.0,22.15,1167.0,176027.0
2015-06-26,22.9,22.57,22.344,22.88,531.0,106371.0
2015-06-29,22.58,22.48,21.98,22.48,496.0,83427.0
2015-06-30,22.3,21.49,21.135,22.21,2063.0,580398.0
2015-07-01,21.73,20.94,20.7594,21.59,850.0,227217.0
2015-07-02,21.36,21.16,20.88,20.92,373.0,63643.0
2015-07-06,21.465,20.91,20.83,21.15,452.0,101157.0
2015-07-07,21.3838,21.19,20.7701,21.16,711.0,96173.0
2015-07-08,21.28,19.0,18.93,21.28,972.0,170591.0
2015-07-09,19.93,19.2,18.91,18.91,573.0,95385.0
2015-07-10,22.1,20.51,18.96,19.22,918.0,163119.0
2015-07-13,20.68,19.64,19.064,20.45,390.0,120151.0
2015-07-14,19.7,19.47,19.19,19.54,407.0,78730.0
2015-07-15,19.6,19.46,19.235,19.52,447.0,115403.0
2015-07-16,19.7299,19.52,19.1494,19.55,479.0,102408.0
2015-07-17,20.38,20.04,19.325,19.41,425.0,58162.0
2015-07-20,20.28,19.82,19.39,20.24,736.0,134206.0
2015-07-21,20.36,19.95,19.68,19.94,779.0,119101.0
2015-07-22,19.93,19.73,19.47,19.93,578.0,108967.0
2015-07-23,19.95,19.86,19.63,19.85,938.0,172575.0
2015-07-24,20.0,19.63,19.18,19.95,705.0,166272.0
2015-07-27,19.736,17.83,17.68,19.42,1421.0,172256.0
2015-07-28,18.1599,16.21,15.97,18.0,1549.0,238123.0
2015-07-29,16.85,16.68,15.68,16.12,688.0,174891.0
2015-07-30,17.4899,17.1,16.65,16.68,377.0,68770.0
2015-07-31,17.33,16.54,16.36,17.22,373.0,65698.0
2015-08-03,16.67,16.11,15.85,16.54,792.0,134787.0
2015-08-04,16.16,15.11,14.9,16.16,975.0,215402.0
2015-08-05,15.9,14.9,14.84,15.15,452.0,67494.0
2015-08-06,15.25,14.7,14.17,14.81,887.0,159568.0
2015-08-07,14.8499,14.41,14.17,14.67,605.0,80993.0
2015-08-10,14.86,14.66,14.32,14.44,355.0,56292.0
2015-08-11,14.8635,13.93,13.87,14.65,836.0,121141.0
2015-08-12,14.25,13.45,13.37,13.8,1121.0,238363.0
2015-08-13,13.38,12.64,12.53,13.38,512.0,100476.0
2015-08-14,13.17,12.86,12.0,12.73,912.0,154071.0
2015-08-17,14.57,13.49,12.4,12.76,1129.0,199169.0
2015-08-18,14.11,12.73,12.69,13.55,731.0,104373.0
2015-08-19,12.8863,12.47,12.4,12.6,360.0,55504.0
2015-08-20,13.05,12.96,11.74,12.43,1323.0,248439.0
2015-08-21,13.84,13.49,12.4,12.7,1368.0,240193.0
2015-08-24,13.44,13.085,12.41,12.75,877.0,192330.0
2015-08-25,13.99,13.08,12.8,13.4,844.0,110364.0
2015-08-26,13.8,12.91,12.6301,13.13,1046.0,92011.0
2015-08-27,13.01,12.77,12.41,12.97,519.0,61542.0
2015-08-28,13.27,13.15,12.5,12.76,671.0,85883.0
2015-08-31,14.25,13.79,13.21,13.22,729.0,104013.0
2015-09-01,13.6754,12.77,12.77,13.6,716.0,90801.0
2015-09-02,13.12,12.99,12.614,12.99,490.0,49443.0
2015-09-03,14.0,13.12,12.51,13.01,432.0,63400.0
2015-09-04,13.55,13.17,12.9,13.07,272.0,38705.0
2015-09-08,13.98,13.72,13.01,13.5,1904.0,311306.0
2015-09-09,13.86,12.99,12.89,13.86,501.0,62174.0
2015-09-10,14.48,14.02,13.16,13.16,1563.0,229346.0
2015-09-11,15.58,15.51,13.94,14.0,1580.0,232729.0
2015-09-14,16.0,15.88,14.87,15.6,938.0,141975.0
2015-09-15,16.82,16.37,15.73,16.0,583.0,88008.0
2015-09-16,16.73,16.36,15.7937,16.56,562.0,71321.0
2015-09-17,17.01,16.44,15.76,16.47,1144.0,152631.0
2015-09-18,16.5,15.92,15.84,16.39,810.0,114860.0
2015-09-21,16.42,15.28,15.23,16.14,1116.0,144489.0
2015-09-22,16.132,14.5,14.4,15.1,760.0,90369.0
2015-09-23,14.7699,14.29,13.85,14.43,675.0,69047.0
2015-09-24,14.8499,14.53,13.5,14.05,670.0,124816.0
2015-09-25,14.66,14.28,14.02,14.52,550.0,59750.0
2015-09-28,14.37,13.74,13.6,14.17,1018.0,230291.0
2015-09-29,14.45,14.3,13.5,13.8,330.0,92470.0
2015-09-30,16.22,15.66,14.23,14.23,1501.0,230756.0
2015-10-01,15.95,15.7,15.15,15.6,1265.0,263217.0
2015-10-02,17.0,16.85,15.4,15.48,1255.0,239599.0
2015-10-05,17.34,17.04,16.03,16.85,1579.0,187999.0
2015-10-06,17.4,17.27,16.94,17.0,1169.0,170350.0
2015-10-07,17.84,17.41,17.19,17.4,1485.0,158436.0
2015-10-08,17.44,17.16,16.43,17.44,964.0,140994.0
2015-10-09,17.26,16.19,15.89,17.07,1575.0,184896.0
2015-10-12,16.31,16.09,15.44,16.19,1345.0,189581.0
2015-10-13,16.16,15.83,15.68,16.03,830.0,98399.0
2015-10-14,16.04,15.61,15.45,15.85,930.0,104791.0
2015-10-15,15.802,15.51,15.1305,15.7,1248.0,153725.0
2015-10-16,16.05,15.93,15.45,15.47,934.0,98526.0
2015-10-19,16.9,16.26,15.76,15.84,1221.0,133375.0
2015-10-20,17.01,16.15,15.74,16.17,721.0,97460.0
2015-10-21,16.14,15.85,15.41,16.14,830.0,118284.0
2015-10-22,16.44,16.11,15.5,15.99,754.0,82217.0
2015-10-23,16.14,15.95,15.66,16.14,1373.0,180543.0
2015-10-26,15.92,15.34,15.15,15.65,1181.0,110555.0
2015-10-27,15.26,14.89,14.55,15.26,1435.0,178102.0
2015-10-28,15.11,14.94,14.47,14.91,1067.0,143341.0
2015-10-29,15.4,14.74,14.6,14.77,513.0,84996.0
2015-10-30,14.98,14.63,14.01,14.64,806.0,77025.0
2015-11-02,15.17,15.11,14.25,14.6,626.0,82322.0
2015-11-03,15.11,14.92,14.795,15.11,774.0,88225.0
2015-11-04,15.54,14.96,14.73,15.03,1153.0,132976.0
2015-11-05,15.08,14.79,14.374,14.91,1037.0,104384.0
2015-11-06,15.07,15.01,14.52,14.69,848.0,81844.0
2015-11-09,15.15,14.87,14.48,15.02,913.0,108888.0
2015-11-10,14.92,14.62,14.29,14.9,1588.0,274670.0
2015-11-11,14.83,14.03,13.69,14.69,1490.0,215974.0
2015-11-12,13.99,13.39,13.07,13.99,1160.0,119319.0
2015-11-13,13.35,12.29,12.12,13.35,1867.0,210491.0
2015-11-16,12.73,11.98,11.7,12.35,2110.0,271581.0
2015-11-17,11.98,11.39,10.93,11.98,1086.0,152863.0
2015-11-18,11.74,11.34,11.07,11.47,571.0,98915.0
2015-11-19,11.22,10.75,10.75,11.19,681.0,86914.0
2015-11-20,11.45,10.94,10.45,10.75,1248.0,467690.0
2015-11-23,11.8,11.54,10.6,11.5,1456.0,301474.0
2015-11-24,12.22,12.19,11.35,11.35,740.0,106618.0
2015-11-25,12.37,11.86,11.57,12.22,687.0,69196.0
2015-11-27,11.84,11.57,11.52,11.74,294.0,32110.0
2015-11-30,11.83,11.76,11.46,11.55,585.0,67286.0
2015-12-01,11.89,10.98,10.8,11.55,1478.0,224671.0
2015-12-02,11.06,10.67,10.51,10.97,1602.0,160571.0
2015-12-03,11.46,11.04,10.7,10.75,1080.0,111587.0
2015-12-04,11.56,11.28,10.9,10.95,535.0,65868.0
2015-12-07,11.619,11.43,11.1,11.2,868.0,110417.0
2015-12-08,11.6051,11.37,10.69,11.31,1013.0,125786.0
2015-12-09,11.5499,11.1,10.93,11.34,1218.0,121079.0
2015-12-10,11.73,11.51,11.02,11.12,1131.0,135368.0
2015-12-11,12.88,11.89,11.62,12.0,2444.0,325262.0
2015-12-14,11.98,11.8,11.44,11.77,1775.0,204955.0
2015-12-15,12.35,12.26,11.59,11.94,799.0,93034.0
2015-12-16,12.4,12.0,11.47,12.26,1636.0,176706.0
2015-12-17,12.586,11.97,11.815,12.1,771.0,81850.0
2015-12-18,12.24,12.13,11.72,11.72,739.0,78466.0
2015-12-21,12.47,12.36,12.05,12.17,864.0,100268.0
2015-12-22,12.5,12.27,12.16,12.45,1104.0,127983.0
2015-12-23,13.1,13.07,12.28,12.28,827.0,103415.0
2015-12-24,13.49,13.29,13.03,13.03,293.0,33243.0
2015-12-28,13.37,12.68,12.5,13.3,959.0,126283.0
2015-12-29,12.99,12.87,12.5101,12.69,517.0,63225.0
2015-12-30,12.88,12.78,12.67,12.84,238.0,18897.0
2015-12-31,12.85,12.39,12.04,12.85,920.0,145071.0
2016-01-04,12.34,12.1,11.68,12.25,806.0,80596.0
2016-01-05,12.14,12.01,11.75,12.09,611.0,105973.0
2016-01-06,12.12,11.97,11.53,11.85,514.0,61466.0
2016-01-07,11.79,11.43,11.32,11.62,435.0,51203.0
2016-01-08,11.52,11.17,10.9,11.52,559.0,55905.0
2016-01-11,11.18,10.67,10.51,11.16,686.0,83370.0
2016-01-12,10.85,10.73,10.32,10.85,834.0,103325.0
2016-01-13,10.77,10.36,10.2,10.73,506.0,55276.0
2016-01-14,10.91,10.5,10.0,10.27,696.0,71101.0
2016-01-15,10.36,10.27,9.85,10.2,1317.0,226722.0
2016-01-19,10.54,10.25,9.99,10.34,530.0,82041.0
2016-01-20,10.78,10.76,9.66,10.03,891.0,104531.0
2016-01-21,11.25,10.29,10.2,10.66,1046.0,138455.0
2016-01-22,11.4315,9.9,9.9,10.47,692.0,79095.0
2016-01-25,10.035,9.84,9.58,9.91,488.0,57235.0
2016-01-26,10.13,9.95,9.72,9.8,302.0,38289.0
2016-01-27,10.0,9.9,9.68,9.98,715.0,72525.0
2016-01-28,9.92,9.5,9.41,9.885,599.0,118264.0
2016-01-29,9.64,9.3,9.189,9.6,1244.0,143767.0
2016-02-01,9.57,9.16,8.88,9.32,953.0,98217.0
2016-02-02,9.44,9.14,9.07,9.12,775.0,90407.0
2016-02-03,9.25,9.07,8.97,9.2,1023.0,63735.0
2016-02-04,9.29,9.15,9.0,9.09,991.0,79227.0
2016-02-05,9.25,9.06,8.94,9.05,829.0,96628.0
2016-02-08,9.27,9.23,8.9,8.93,1051.0,100642.0
2016-02-09,9.3,9.04,8.98,9.16,1282.0,129483.0
2016-02-10,9.2,8.97,8.9,9.08,779.0,81246.0
2016-02-11,9.31,9.05,8.9,8.93,633.0,73382.0
2016-02-12,9.39,9.07,8.98,9.12,980.0,101796.0
2016-02-16,9.7,9.3,9.15,9.19,851.0,91393.0
2016-02-17,9.76,9.52,9.34,9.34,994.0,125600.0
2016-02-18,9.9899,9.48,9.2,9.55,607.0,73909.0
2016-02-19,9.76,9.44,9.29,9.41,669.0,77297.0
2016-02-22,9.84,9.74,9.36,9.54,710.0,92861.0
2016-02-23,9.8956,9.66,9.54,9.67,462.0,73233.0
2016-02-24,9.94,9.9,9.5,9.55,705.0,156823.0
2016-02-25,9.9,9.63,9.53,9.9,436.0,71667.0
2016-02-26,10.27,10.25,9.6,9.73,723.0,78826.0
2016-02-29,11.01,10.45,10.34,10.39,494.0,63419.0
2016-03-01,10.91,10.88,10.41,10.68,451.0,50164.0
2016-03-02,11.17,11.11,10.87,10.95,659.0,131493.0
2016-03-03,11.3,11.14,10.88,11.16,678.0,209051.0
2016-03-04,11.3,11.13,10.98,11.16,456.0,116562.0
2016-03-07,11.28,11.18,11.069,11.2,339.0,76755.0
2016-03-08,11.3,11.24,11.12,11.23,268.0,86757.0
2016-03-09,11.47,11.32,11.01,11.3,480.0,57481.0
2016-03-10,11.36,11.33,10.7,11.31,339.0,32696.0
2016-03-11,11.6,11.47,11.15,11.34,299.0,34152.0
2016-03-14,11.9,11.8,11.41,11.61,394.0,47681.0
2016-03-15,11.8799,11.78,11.56,11.77,269.0,28068.0
2016-03-16,12.27,12.18,11.65,11.73,448.0,55369.0
2016-03-17,12.15,12.01,11.94,12.13,335.0,34463.0
2016-03-18,12.03,11.95,11.915,12.0,297.0,39697.0
2016-03-21,12.0,11.88,11.71,11.94,328.0,26810.0
2016-03-22,11.79,11.71,11.52,11.79,377.0,37399.0
2016-03-23,11.96,11.59,11.49,11.65,488.0,35809.0
2016-03-24,11.67,11.52,11.3599,11.5,132.0,13092.0
2016-03-28,11.7399,11.28,11.1,11.58,285.0,25296.0
2016-03-29,12.08,11.99,11.22,11.22,407.0,37736.0
2016-03-30,12.03,11.99,11.86,11.89,352.0,36771.0
2016-03-31,12.11,12.11,11.94,11.97,342.0,34065.0
2016-04-01,12.04,11.84,11.72,12.0,236.0,27736.0
2016-04-04,12.07,12.0,11.603,11.78,328.0,31939.0
2016-04-05,12.02,11.92,11.75,11.75,238.0,17813.0
2016-04-06,12.03,12.01,11.89,12.0,162.0,15153.0
2016-04-07,12.03,11.94,11.83,11.95,203.0,20449.0
2016-04-08,12.1,12.06,11.95,12.0,333.0,51508.0
2016-04-11,12.07,11.92,11.9,12.07,135.0,15598.0
2016-04-12,11.99,11.85,11.8,11.98,329.0,38227.0
2016-04-13,12.01,11.16,10.65,12.0,975.0,162215.0
2016-04-14,11.3799,11.25,11.05,11.23,462.0,51737.0
2016-04-15,11.845,11.19,11.0,11.15,1521.0,279262.0
2016-04-18,11.2,10.81,10.8,11.15,1000.0,130533.0
2016-04-19,11.19,10.63,10.5,11.0,1080.0,192962.0
2016-04-20,10.96,10.84,10.48,10.62,1049.0,152021.0
2016-04-21,11.19,10.99,10.8335,10.95,901.0,195038.0
2016-04-22,11.325,11.13,10.968,11.01,1123.0,260894.0
2016-04-25,11.44,10.97,10.83,11.06,384.0,36111.0
2016-04-26,11.08,11.01,10.94,10.94,687.0,162436.0
2016-04-27,11.65,11.53,10.98,11.0,1676.0,320199.0
2016-04-28,11.66,11.43,11.34,11.5,1210.0,218345.0
2016-04-29,11.4,11.21,10.6901,11.0,951.0,173597.0
2016-05-02,11.95,11.61,10.7625,11.13,926.0,143134.0
2016-05-03,11.99,11.7,11.2,11.45,1136.0,142660.0
2016-05-04,11.83,11.78,11.63,11.71,509.0,52074.0
2016-05-05,11.89,11.74,11.74,11.86,408.0,43753.0
2016-05-06,12.01,11.94,11.63,11.71,633.0,86080.0
2016-05-09,12.08,11.94,11.56,11.56,694.0,100697.0
2016-05-10,12.02,11.99,11.86,12.02,506.0,69237.0
2016-05-11,12.03,11.94,11.77,12.02,512.0,58005.0
2016-05-12,11.96,11.82,11.79,11.95,344.0,37956.0
2016-05-13,11.93,11.76,11.61,11.83,280.0,30904.0
2016-05-16,11.99,11.84,11.57,11.75,383.0,35011.0
2016-05-17,11.93,11.42,11.35,11.78,361.0,46845.0
2016-05-18,11.51,11.3,11.1,11.46,438.0,40379.0
2016-05-19,11.44,11.17,11.11,11.32,375.0,31160.0
2016-05-20,11.37,11.16,11.11,11.3,182.0,19037.0
2016-05-23,11.57,11.18,11.08,11.08,236.0,19354.0
2016-05-24,11.85,11.76,11.2,11.2,629.0,66220.0
2016-05-25,11.96,11.83,11.64,11.73,301.0,33619.0
2016-05-26,11.9801,11.83,11.8016,11.8016,341.0,29215.0
2016-05-27,11.99,11.86,11.69,11.75,263.0,27641.0
2016-05-31,11.95,11.81,11.77,11.92,194.0,9868.0
2016-06-01,11.95,11.73,11.61,11.85,415.0,39315.0
2016-06-02,12.0,11.86,11.79,11.79,341.0,37008.0
2016-06-03,11.91,11.69,11.69,11.91,113.0,11837.0
2016-06-06,11.79,11.71,11.41,11.424,437.0,30562.0
2016-06-07,11.935,11.77,11.69,11.7,342.0,37210.0
2016-06-08,12.0,11.9,11.5868,11.75,575.0,73296.0
2016-06-09,12.35,12.24,11.77,12.32,3597.0,598030.0
2016-06-10,12.67,12.32,12.15,12.2,787.0,101702.0
2016-06-13,12.28,11.82,11.75,12.25,490.0,59608.0
2016-06-14,12.04,11.97,11.75,11.75,379.0,40274.0
2016-06-15,12.62,12.53,12.0425,12.1,584.0,94269.0
2016-06-16,12.76,12.65,12.29,12.47,531.0,64152.0
2016-06-17,12.81,12.75,12.31,12.61,398.0,80008.0
2016-06-20,13.0,12.93,12.68,12.79,668.0,81585.0
2016-06-21,13.0,12.96,12.83,12.9,526.0,63420.0
2016-06-22,13.11,12.96,12.86,12.92,255.0,35104.0
2016-06-23,13.06,12.95,12.83,13.05,292.0,28644.0
2016-06-24,13.2,12.79,12.3,12.42,597.0,71372.0
2016-06-27,13.15,12.94,12.67,12.67,650.0,74864.0
2016-06-28,13.2,12.81,12.71,13.0,676.0,71389.0
2016-06-29,13.2,13.18,12.87,12.89,602.0,77357.0
2016-06-30,13.75,13.63,13.01,13.15,1058.0,148945.0
2016-07-01,14.13,13.91,13.6,13.65,757.0,162702.0
2016-07-05,13.85,13.35,13.33,13.85,362.0,52217.0
2016-07-06,13.37,13.18,13.01,13.3,392.0,48784.0
2016-07-07,14.3,13.87,13.65,13.98,899.0,142660.0
2016-07-08,13.93,13.84,13.76,13.87,479.0,54832.0
2016-07-11,13.9,13.63,13.59,13.9,453.0,49129.0
2016-07-12,13.95,13.9,13.67,13.87,902.0,130086.0
2016-07-13,13.93,13.88,13.71,13.92,520.0,63085.0
2016-07-14,13.92,13.73,13.52,13.92,359.0,54281.0
2016-07-15,13.87,13.72,13.54,13.67,486.0,54995.0
2016-07-18,13.85,13.79,13.56,13.65,522.0,52064.0
