Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2006-11-09,40.0,39.4,39.0,40.0,3442.1
2006-11-10,39.2,32.2,31.400000000000002,39.0,114226.5
2006-11-13,35.0,34.036,31.8,31.8,23637.35
2006-11-14,35.0,35.0,34.4,34.4,8455.15
2006-11-15,35.0,34.8,34.0,34.4,6721.7
2006-11-16,34.8,34.6,33.6,34.8,5077.85
2006-11-17,34.8,34.2,34.0,34.0,8120.4
2006-11-20,34.6,34.6,33.4,33.4,8032.15
2006-11-21,34.6,33.8,33.199999999999996,34.6,6550.55
2006-11-22,34.0,34.0,32.8,33.6,5581.3
2006-11-24,34.0,33.4,32.8,32.8,4046.95
2006-11-27,34.2,33.4,33.018,33.6,14562.45
2006-11-28,34.2,34.0,33.0,33.4,19558.85
2006-11-29,34.8,34.8,33.6,33.6,6056.65
2006-11-30,35.0,34.2,33.6,35.0,9916.9
2006-12-01,34.2,34.0,32.8,33.8,8248.5
2006-12-04,35.6,34.8,33.6,33.6,6606.65
2006-12-05,35.0,34.75,34.2,34.8,4690.5
2006-12-06,35.4,35.0,34.4,34.4,5857.35
2006-12-07,35.0,34.6,34.4,34.6,3456.7
2006-12-08,34.8,34.2,34.0,34.2,4234.1
2006-12-11,34.8,34.0,33.8,34.4,3496.45
2006-12-12,34.8,34.0,33.6,34.2,4743.1
2006-12-13,34.6,34.0,34.0,34.4,7693.15
2006-12-14,34.4,33.8,33.6,34.0,6091.05
2006-12-15,34.0,33.8,33.8,33.816,2548.9
2006-12-18,34.8,33.612,32.599999999999994,33.6,22164.0
2006-12-19,34.4,34.2,33.199999999999996,33.4,5089.7
2006-12-20,34.6,34.4,34.0,34.0,3866.6
2006-12-21,36.0,34.8,34.0,34.0,36454.15
2006-12-22,34.8,34.4,33.4,33.4,2974.0
2006-12-26,35.0,34.6,34.2,34.2,7271.7
2006-12-27,35.0,34.4,33.8,34.2,10032.35
2006-12-28,35.0,34.6,33.8,33.8,11037.0
2006-12-29,36.0,35.4,34.4,34.4,22653.35
2007-01-03,36.6,35.2,35.0,36.0,4936.3
2007-01-04,35.903999999999996,35.2,34.2,34.8,2813.85
2007-01-05,35.6,35.2,33.0,34.8,4109.3
2007-01-08,35.4,35.2,35.0,35.2,1624.05
2007-01-09,35.4,35.2,33.199999999999996,33.199999999999996,7002.85
2007-01-10,35.6,33.8,33.4,35.6,4316.2
2007-01-11,33.8,32.8,32.8,33.4,6887.4
2007-01-12,34.2,33.6,32.400000000000006,32.400000000000006,5209.75
2007-01-16,34.4,33.6,33.4,34.0,1268.25
2007-01-17,35.0,34.0,32.8,33.0,14656.15
2007-01-18,35.0,33.4,33.202,34.6,1608.15
2007-01-19,34.4,34.0,33.0,34.0,2301.15
2007-01-22,34.0,34.0,33.001999999999995,33.4,591.55
2007-01-23,33.8,33.4,33.0,33.4,752.0
2007-01-24,33.4,33.0,32.400000000000006,33.199999999999996,2500.75
2007-01-25,33.6,33.199999999999996,32.400000000000006,32.400000000000006,477.3
2007-01-26,33.8,33.8,33.199999999999996,33.199999999999996,981.1
2007-01-29,34.0,33.8,33.6,34.0,808.1
2007-01-30,34.0,34.0,33.8,33.8,2015.75
2007-01-31,34.0,33.0,33.0,33.6,6643.2
2007-02-01,33.6,33.4,32.8,32.8,1680.05
2007-02-02,34.0,33.4,33.199999999999996,33.8,6149.6
2007-02-05,34.0,33.652,33.6,34.0,567.9
2007-02-06,35.8,34.6,33.6,33.6,5526.95
2007-02-07,35.0,34.0,33.6,34.2,3919.0
2007-02-08,35.4,34.4,34.0,34.6,15113.3
2007-02-09,36.6,33.6,32.0,34.0,183392.4
2007-02-12,35.4,35.0,33.0,34.0,24049.85
2007-02-13,36.4,36.4,35.4,35.4,10444.1
2007-02-14,38.6,38.6,36.4,37.0,17555.05
2007-02-15,39.4,38.4,37.599999999999994,38.199999999999996,13765.55
2007-02-16,40.199999999999996,40.0,38.199999999999996,38.199999999999996,10525.75
2007-02-20,41.0,40.599999999999994,39.8,40.199999999999996,1603.45
2007-02-21,41.0,40.599999999999994,40.0,40.0,1400.8
2007-02-22,41.2,41.0,39.0,40.0,6579.45
2007-02-23,41.0,40.599999999999994,39.4,39.4,3525.9
2007-02-26,40.8,39.6,39.0,39.8,4470.65
2007-02-27,40.199999999999996,39.4,38.4,39.4,3068.55
2007-02-28,39.4,38.8,37.599999999999994,38.6,4616.35
2007-03-01,39.4,38.4,37.0,37.0,2885.15
2007-03-02,39.2,39.2,37.400000000000006,38.6,1203.1
2007-03-05,38.4,37.599999999999994,36.2,38.4,1398.0
2007-03-06,37.8,37.8,36.4,37.2,15006.25
2007-03-07,37.599999999999994,37.0,37.0,37.599999999999994,1492.55
2007-03-08,39.0,39.0,36.800000000000004,36.800000000000004,13123.0
2007-03-09,39.2,39.0,38.199999999999996,38.199999999999996,3045.65
2007-03-12,39.0,38.4,38.0,38.6,1070.0
2007-03-13,38.6,37.0,36.800000000000004,38.402,1520.0
2007-03-14,37.8,37.8,37.0,37.599999999999994,700.25
2007-03-15,37.599999999999994,37.2,36.4,37.400000000000006,247.5
2007-03-16,38.4,37.0,36.800000000000004,38.4,837.5
2007-03-19,38.6,38.0,36.6,37.2,1361.4
2007-03-20,39.0,39.0,37.599999999999994,37.599999999999994,1589.9
2007-03-21,39.0,38.0,37.599999999999994,39.0,750.0
