Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-10-18,3.8,3.8,3.65,3.75,,6400.0
2006-10-19,3.95,3.95,3.805,3.85,,17625.0
2006-10-20,4.08,3.99,3.9,3.95,,14641.0
2006-10-23,4.0,4.0,3.95,4.0,,1130.0
2006-10-24,3.99,3.9,3.9,3.99,,4800.0
2006-10-25,3.95,3.85,3.8,3.85,,1855.0
2006-10-26,3.98,3.98,3.85,3.85,,12900.0
2006-10-27,4.09,4.05,3.98,3.98,,6100.0
2006-10-30,4.01,3.8,3.75,4.01,,9210.0
2006-10-31,3.9,3.86,3.85,3.85,,12565.0
2006-11-01,3.86,3.81,3.81,3.86,,13395.0
2006-11-02,3.99,3.99,3.83,3.83,,4485.0
2006-11-03,3.99,3.95,3.85,3.95,,4400.0
2006-11-06,3.97,3.96,3.9,3.9,,15300.0
2006-11-07,3.95,3.95,3.87,3.9,,1600.0
2006-11-08,3.98,3.98,3.67,3.85,,30751.0
2006-11-09,4.0,3.99,3.97,3.98,,32022.0
2006-11-10,4.01,3.8,3.8,3.99,,30023.0
2006-11-13,3.87,3.85,3.8,3.8,,10900.0
2006-11-14,3.85,3.81,3.75,3.85,,11835.0
2006-11-15,3.93,3.93,3.81,3.83,,5400.0
2006-11-16,3.85,3.83,3.8,3.83,,10718.0
2006-11-17,3.975,3.8,3.75,3.85,,16279.0
2006-11-20,3.7,3.5,3.5,3.65,,38506.0
2006-11-21,3.38,3.3,3.2,3.36,,64465.0
2006-11-22,3.35,3.31,3.21,3.35,,65493.0
2006-11-24,3.42,3.42,3.35,3.35,,4300.0
2006-11-27,3.44,3.44,3.35,3.4,,10975.0
2006-11-28,3.48,3.45,3.35,3.35,,2097.0
2006-11-29,3.58,3.5,3.45,3.45,,15570.0
2006-11-30,3.68,3.65,3.58,3.58,,11850.0
2006-12-01,3.55,3.5,3.45,3.5,,11284.0
2006-12-04,3.69,3.5,3.5,3.6,,21373.0
2006-12-05,3.5,3.48,3.45,3.5,,22932.0
2006-12-06,3.48,3.46,3.41,3.48,,18410.0
2006-12-07,3.47,3.42,3.3005,3.47,,18167.0
2006-12-08,3.385,3.3,3.3,3.385,,24529.0
2006-12-11,3.37,3.35,3.3,3.3,,5050.0
2006-12-12,3.35,3.33,3.28,3.35,,11577.0
2006-12-13,3.31,3.31,3.2,3.3,,26912.0
2006-12-14,3.36,3.36,3.3,3.31,,20710.0
2006-12-15,3.4,3.36,3.36,3.36,,6600.0
2006-12-18,3.36,3.2,3.2,3.36,,13800.0
2006-12-19,3.2,3.15,3.05,3.2,,58815.0
2006-12-20,3.22,3.2,3.15,3.15,,23575.0
2006-12-21,3.15,3.03,3.03,3.15,,27962.0
2006-12-22,3.15,3.09,3.05,3.1,,25954.0
2006-12-26,3.08,3.05,3.05,3.08,,10650.0
2006-12-27,3.06,3.06,3.03,3.05,,20300.0
2006-12-28,3.04,2.94,2.9,3.03,,30747.0
2006-12-29,2.96,2.88,2.85,2.9,,57277.0
2007-01-03,2.93,2.58,2.58,2.93,,52975.0
2007-01-04,2.8,2.8,2.6,2.6,,14450.0
2007-01-05,2.85,2.85,2.78,2.8,,9450.0
2007-01-08,2.93,2.85,2.75,2.93,,9157.0
2007-01-09,2.75,2.66,2.61,2.75,,8450.0
2007-01-10,2.69,2.6,2.6,2.66,,7740.0
2007-01-11,2.8,2.78,2.58,2.6,,11000.0
2007-01-12,2.8,2.74,2.66,2.8,,5111.0
2007-01-16,2.8,2.71,2.68,2.68,,12400.0
2007-01-17,2.8,2.8,2.73,2.73,,1505.0
2007-01-18,2.75,2.75,2.73,2.74,,1875.0
2007-01-19,2.87,2.87,2.75,2.8,,11500.0
2007-01-22,2.99,2.99,2.85,2.86,,32680.0
2007-01-23,3.0,2.95,2.87,2.99,,21650.0
2007-01-24,2.95,2.95,2.95,2.95,,1400.0
2007-01-25,2.9,2.87,2.85,2.9,,4400.0
2007-01-29,2.82,2.8,2.75,2.79,,18990.0
2007-01-30,2.9,2.9,2.75,2.84,,25985.0
2007-01-31,2.92,2.92,2.84,2.9,,15950.0
2007-02-01,2.88,2.85,2.8,2.85,,22030.0
2007-02-02,2.845,2.84,2.84,2.84,,7225.0
2007-02-05,2.93,2.8,2.8,2.8,,28980.0
2007-02-06,2.9,2.87,2.81,2.81,,12397.0
2007-02-07,2.88,2.85,2.85,2.88,,10185.0
2007-02-08,2.84,2.84,2.84,2.84,,500.0
2007-02-09,2.85,2.75,2.71,2.85,,13900.0
