Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-04-13,40.87,40.87,40.39,40.75,,77000.0
2007-04-16,41.5,41.25,40.95,41.04,,161100.0
2007-04-17,41.45,41.27,41.01,41.24,,262700.0
2007-04-18,41.52,41.36,41.12,41.21,,149500.0
2007-04-19,41.35,41.24,40.9,41.15,,151700.0
2007-04-20,42.55,42.28,41.8,41.8,,160900.0
2007-04-23,42.35,42.23,42.03,42.2,,74500.0
2007-04-24,42.35,42.16,41.87,42.3,,115000.0
2007-04-25,43.07,42.87,42.21,42.3,,301100.0
2007-04-26,42.86,42.31,42.0,42.86,,179800.0
2007-04-27,42.73,42.22,42.18,42.26,,209800.0
2007-04-30,42.51,41.73,41.73,42.37,,219600.0
2007-05-01,42.36,41.97,41.76,41.83,,185800.0
2007-05-02,43.38,42.94,41.97,42.05,,151400.0
2007-05-03,43.08,42.6,42.51,43.0,,89700.0
2007-05-04,43.04,43.04,42.46,42.75,,88000.0
2007-05-07,43.48,43.15,42.99,43.09,,198000.0
2007-05-08,43.35,43.03,42.77,43.0,,172800.0
2007-05-09,43.37,43.2,42.71,42.92,,120800.0
2007-05-10,42.9,42.35,42.03,42.9,,220500.0
2007-05-11,43.03,42.97,42.52,42.52,,111700.0
2007-05-14,43.35,43.12,42.6,43.07,,291200.0
2007-05-15,43.89,42.52,42.4,43.18,,262700.0
2007-05-16,42.83,42.8,42.05,42.74,,93900.0
2007-05-17,43.3,43.12,42.5,42.9,,290500.0
2007-05-18,43.73,43.21,42.7,43.14,,129100.0
2007-05-21,43.3,42.94,42.19,42.98,,218000.0
2007-05-22,43.02,42.62,42.19,42.94,,216800.0
2007-05-23,43.04,42.73,42.56,42.86,,228200.0
2007-05-24,43.1,42.33,42.17,42.8,,126500.0
2007-05-25,43.63,43.46,42.57,42.58,,223300.0
2007-05-29,43.99,43.95,43.44,43.7,,194700.0
2007-05-30,44.5,44.26,43.48,43.7,,149700.0
2007-05-31,45.5,45.5,44.09,44.36,,293200.0
2007-06-01,48.29,47.73,46.06,46.1,,820600.0
2007-06-04,47.4,47.0,46.7,47.0,,202700.0
2007-06-05,46.85,46.27,45.71,46.75,,195200.0
2007-06-06,46.57,46.15,45.76,46.02,,161700.0
2007-06-07,46.11,45.47,45.43,46.02,,288700.0
2007-06-08,46.56,46.32,45.3,45.77,,220900.0
2007-06-11,46.25,46.09,45.5,46.15,,157400.0
2007-06-12,46.7,46.21,45.63,45.85,,234100.0
2007-06-13,47.4,47.06,46.32,46.41,,254100.0
2007-06-14,47.36,47.15,47.01,47.22,,151700.0
2007-06-15,49.25,49.17,48.0,48.1,,330600.0
2007-06-18,49.36,48.97,48.49,49.15,,263800.0
2007-06-19,49.76,49.42,48.72,48.8,,201900.0
2007-06-20,50.05,48.54,48.4,49.6,,242300.0
2007-06-21,48.58,48.4,47.82,48.38,,133200.0
2007-06-22,48.5,47.98,47.17,48.4,,283400.0
2007-06-25,49.57,48.81,47.76,48.23,,235500.0
2007-06-26,49.26,48.86,48.25,49.06,,158200.0
2007-06-27,48.63,48.45,48.06,48.56,,133400.0
2007-06-28,48.93,48.28,48.21,48.54,,92400.0
2007-06-29,49.1,48.31,48.2701,48.5,,176400.0
2007-07-02,49.14,49.1,48.5,48.51,,172200.0
2007-07-03,49.63,49.4,49.06,49.2,,40600.0
2007-07-05,50.2,50.17,49.55,49.74,,160400.0
2007-07-06,50.12,48.96,48.85,50.12,,120200.0
2007-07-09,50.03,50.01,48.9,48.96,,135200.0
2007-07-10,49.9299,49.45,49.25,49.8,,224800.0
2007-07-11,50.17,49.99,49.32,49.47,,120700.0
2007-07-12,50.23,50.23,49.61,50.2,,171200.0
2007-07-13,50.68,50.6,49.88,50.24,,111800.0
2007-07-16,50.55,49.98,49.84,50.55,,105900.0
2007-07-17,51.31,50.74,50.37,50.47,,191900.0
2007-07-18,52.0,51.34,50.59,50.6,,295800.0
2007-07-19,51.86,51.86,51.3,51.6,,165800.0
2007-07-20,51.81,50.62,50.46,51.75,,193700.0
2007-07-23,51.26,50.41,50.36,50.62,,132800.0
2007-07-24,49.89,48.49,48.35,49.89,,222000.0
2007-07-25,50.07,50.03,48.15,48.5,,415800.0
2007-07-26,49.55,47.63,46.89,49.1,,353000.0
2007-07-27,47.906,46.16,46.13,47.5,,286800.0
2007-07-30,47.18,46.96,45.61,46.31,,294100.0
2007-07-31,47.99,46.29,46.29,47.32,,199700.0
2007-08-01,47.54,47.25,45.91,46.25,,197900.0
2007-08-02,48.15,47.85,47.14,47.4,,197900.0
2007-08-03,47.9,45.48,45.34,47.9,,232100.0
2007-08-06,47.75,47.5,45.1,45.61,,268000.0
2007-08-07,48.92,48.0,47.31,47.41,,351300.0
2007-08-08,52.09,49.97,48.5,48.6,,598000.0
2007-08-09,52.77,52.67,48.4,48.73,,637600.0
2007-08-10,52.0,50.4,48.75,52.0,,534500.0
2007-08-13,50.35,48.3,48.28,50.35,,234300.0
2007-08-14,48.3,46.4,46.32,48.18,,154900.0
2007-08-15,47.63,45.4,45.4,46.42,,147300.0
2007-08-16,47.5,47.5,45.22,45.4,,316600.0
2007-08-17,50.05,49.2,47.5,47.5,,277300.0
2007-08-20,50.26,49.2,48.42,49.4,,136000.0
2007-08-21,49.95,49.18,48.17,49.4,,131400.0
2007-08-22,50.29,50.05,49.5,49.78,,150700.0
2007-08-23,51.4,49.73,49.38,51.0,,220200.0
2007-08-24,50.55,50.55,49.62,49.85,,124200.0
2007-08-27,50.49,49.97,49.76,50.49,,125200.0
2007-08-28,49.75,47.75,47.52,49.75,,122200.0
2007-08-29,48.85,48.72,47.92,48.0,,150000.0
2007-08-30,50.75,49.85,48.229,48.3,,258400.0
2007-08-31,52.2,50.49,50.42,52.0,,590100.0
2007-09-04,51.86,51.05,50.1001,50.18,,246300.0
2007-09-05,51.09,50.58,50.2,51.08,,224100.0
2007-09-06,51.25,50.89,50.48,50.85,,289500.0
2007-09-07,50.32,48.94,48.75,50.2,,177200.0
2007-09-10,51.14,50.2,49.55,49.65,,403300.0
2007-09-11,51.13,50.98,50.05,50.25,,293100.0
2007-09-12,52.49,51.94,50.88,50.98,,353200.0
2007-09-13,53.38,51.9,51.21,52.0,,240200.0
2007-09-14,52.55,51.98,50.89,51.19,,261200.0
2007-09-17,52.39,51.76,51.68,51.94,,352300.0
2007-09-18,54.31,54.25,51.56,51.9,,287800.0
2007-09-19,56.0,54.62,53.51,54.11,,386000.0
2007-09-20,54.49,54.15,53.85,54.31,,141600.0
2007-09-21,55.25,54.93,53.9,54.58,,331600.0
2007-09-24,55.24,54.32,54.02,55.0,,198900.0
2007-09-25,55.21,54.99,53.5,54.21,,232400.0
2007-09-26,55.68,55.29,54.63,55.21,,181000.0
2007-09-27,57.0,57.0,54.88,55.65,,338100.0
2007-09-28,57.4,57.05,56.01,57.05,,219100.0
2007-10-01,59.2,58.0,56.8,56.8,,377200.0
2007-10-02,58.8,58.06,57.8,58.0,,246200.0
2007-10-03,58.3,57.4,57.033,57.96,,277000.0
2007-10-04,56.53,56.24,54.08,55.65,,568200.0
2007-10-05,57.25,56.5,56.27,56.75,,393800.0
2007-10-08,57.26,56.3,55.84,56.3,,214100.0
2007-10-09,58.32,57.78,56.35,56.35,,363200.0
2007-10-10,55.4,54.89,54.75,54.88,,1675900.0
2007-10-11,55.0799,54.02,53.6,55.0,,549200.0
2007-10-12,54.5,54.3,53.81,53.84,,374100.0
2007-10-15,54.83,53.85,53.39,54.6,,343500.0
2007-10-16,54.75,54.64,53.56,53.81,,448700.0
2007-10-17,55.15,53.64,53.55,55.15,,271100.0
2007-10-18,53.82,53.53,53.1,53.53,,186000.0
2007-10-19,53.53,52.45,52.35,53.53,,444200.0
2007-10-22,53.05,53.05,51.12,51.58,,225200.0
2007-10-23,53.81,53.74,52.57,53.25,,360600.0
2007-10-24,53.87,53.87,53.2,53.46,,436500.0
2007-10-25,54.16,53.77,53.35,54.16,,259800.0
2007-10-26,54.83,54.15,53.72,54.64,,137500.0
2007-10-29,54.64,54.15,53.5,54.35,,196100.0
2007-10-30,54.15,53.5,53.36,54.1,,215700.0
2007-10-31,55.13,54.78,53.63,53.85,,691900.0
2007-11-01,54.79,54.13,53.38,54.18,,318100.0
2007-11-02,54.61,54.31,53.75,54.34,,255900.0
2007-11-05,54.34,53.93,53.75,54.0,,286500.0
2007-11-06,55.02,54.93,53.73,54.03,,202500.0
2007-11-07,54.8,53.87,53.72,54.5,,307100.0
2007-11-08,54.67,54.0,52.94,54.25,,374716.0
2007-11-09,54.09,53.2,52.68,53.48,,240200.0
2007-11-12,53.75,52.55,52.5,52.93,,286700.0
2007-11-13,53.77,53.77,52.8,52.85,,119200.0
2007-11-14,54.23,52.87,52.42,54.23,,160300.0
2007-11-15,52.94,52.18,51.92,52.6,,309900.0
2007-11-16,52.48,52.41,51.7,52.29,,304300.0
2007-11-19,52.43,51.33,50.96,51.86,,215452.0
2007-11-20,51.69,50.85,49.95,51.24,,138400.0
2007-11-21,51.3,50.48,50.38,50.75,,166100.0
2007-11-23,52.38,52.23,50.72,50.97,,72100.0
2007-11-26,52.39,49.75,49.61,52.39,,326600.0
2007-11-27,50.5,49.95,49.44,49.98,,226900.0
2007-11-28,52.17,52.1,50.6,50.6,,250319.0
2007-11-29,52.4,52.17,51.81,52.06,,134900.0
2007-11-30,53.25,52.22,52.05,53.15,,414000.0
2007-12-03,52.46,51.85,51.75,52.36,,206900.0
2007-12-04,52.4499,51.95,51.19,51.48,,193690.0
2007-12-05,53.08,52.32,51.9,53.0,,247900.0
2007-12-06,53.27,53.0,52.03,52.03,,541900.0
2007-12-07,52.6,50.07,48.8,52.4,,1280200.0
2007-12-10,51.67,51.6,50.1,50.29,,502750.0
2007-12-11,51.98,51.14,50.92,51.75,,442824.0
2007-12-12,51.9,50.4,50.1,51.67,,315200.0
2007-12-13,50.84,50.57,49.38,49.8,,394900.0
2007-12-14,51.02,50.28,50.12,50.62,,199730.0
2007-12-17,50.64,50.08,49.88,50.03,,293900.0
2007-12-18,50.95,50.52,49.82,50.91,,381700.0
2007-12-19,50.31,50.04,49.72,50.01,,359700.0
2007-12-20,51.04,51.0,50.05,50.5,,196100.0
2007-12-21,52.55,52.5,51.64,51.84,,352200.0
2007-12-24,52.69,52.34,52.34,52.54,,115600.0
2007-12-26,52.6,52.33,52.05,52.2,,189300.0
2007-12-27,52.3399,51.13,51.04,52.27,,159100.0
2007-12-28,52.32,51.93,51.42,51.5,,238100.0
2007-12-31,52.09,51.75,50.88,51.58,,203600.0
2008-01-02,51.55,50.39,49.79,51.46,,197980.0
2008-01-03,51.41,51.41,50.3,50.3,,304715.0
2008-01-04,50.83,49.91,49.76,50.83,,289800.0
2008-01-07,50.11,48.99,48.69,50.1,,378400.0
2008-01-08,49.11,46.44,46.43,49.11,,429300.0
2008-01-09,47.0,47.0,45.41,46.17,,326900.0
2008-01-10,48.23,47.74,46.14,46.53,,234300.0
2008-01-11,47.57,46.11,46.1,47.26,,179800.0
2008-01-14,47.27,47.05,45.83,46.36,,247600.0
2008-01-15,47.01,46.43,46.26,46.71,,261600.0
2008-01-16,47.84,47.09,46.21,46.21,,278639.0
2008-01-17,47.27,45.4,45.24,47.16,,227000.0
2008-01-18,46.04,45.2,44.5075,44.91,,320694.0
2008-01-22,44.75,43.9,43.65,43.71,,298500.0
2008-01-23,43.88,43.44,42.68,42.74,,420400.0
2008-01-24,45.34,44.78,43.32,43.58,,879408.0
2008-01-25,45.63,43.99,43.95,45.35,,263500.0
2008-01-28,44.67,44.6,43.16,43.59,,291928.0
2008-01-29,45.25,45.03,44.36,44.96,,189710.0
2008-01-30,46.24,44.81,44.76,44.9,,197400.0
2008-01-31,47.0,46.5,43.95,44.0,,249700.0
2008-02-01,47.57,47.22,46.28,46.8,,151580.0
2008-02-04,47.13,46.54,46.02,47.0,,221315.0
2008-02-05,46.75,46.37,45.43,45.77,,269500.0
2008-02-06,46.83,45.64,45.51,46.83,,159400.0
2008-02-07,46.04,45.51,44.98,45.46,,167100.0
2008-02-08,45.74,45.5,44.69,45.49,,186150.0
2008-02-11,46.18,46.02,44.58,45.32,,171309.0
2008-02-12,47.2,46.87,45.62,46.17,,197560.0
2008-02-13,48.16,48.05,47.29,47.35,,156950.0
2008-02-14,48.1,46.83,46.69,48.06,,219200.0
2008-02-15,46.72,46.42,45.98,46.48,,219100.0
2008-02-19,47.15,46.56,46.22,46.88,,172100.0
2008-02-20,46.82,46.77,45.61,46.33,,193500.0
2008-02-21,47.6,45.83,45.63,47.01,,171500.0
2008-02-22,45.87,45.17,44.67,45.7,,196448.0
2008-02-25,47.46,47.19,45.01,45.09,,262800.0
2008-02-26,48.32,47.81,46.91,46.91,,179580.0
2008-02-27,48.48,47.77,47.32,47.54,,229800.0
2008-02-28,48.56,48.14,47.27,47.69,,214700.0
2008-02-29,53.5,52.4,50.18,51.5,,755584.0
2008-03-03,52.72,51.99,50.84,51.98,,503000.0
2008-03-04,52.67,52.22,51.32,51.78,,389288.0
2008-03-05,53.41,52.91,52.15,52.39,,246535.0
2008-03-06,53.43,52.61,52.1,52.57,,328725.0
2008-03-07,52.96,51.99,51.63,51.89,,274350.0
2008-03-10,52.37,51.78,51.64,52.0,,308600.0
2008-03-11,53.34,52.84,51.98,53.34,,381525.0
