Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-08-28,26.16,26.13,26.04,26.09,9.0,900.0
2013-08-29,26.3,26.22,26.22,26.3,7.0,700.0
2013-08-30,26.45,26.45,26.45,26.45,1.0,200.0
2013-09-03,26.64,26.6,26.5,26.5,13.0,1600.0
2013-09-04,27.36,27.36,26.9,27.05,4.0,1400.0
2013-09-05,27.24,27.12,27.06,27.1,5.0,1300.0
2013-09-09,26.89,26.81,26.74,26.89,15.0,1500.0
2013-09-10,27.11,27.11,26.82,26.82,2.0,900.0
2013-09-11,28.31,28.31,27.68,27.68,6.0,1333.0
2013-09-12,28.64,28.51,28.27,28.27,11.0,1300.0
2013-09-13,28.67,28.67,28.6,28.6,5.0,500.0
2013-09-16,27.94,27.46,27.46,27.77,22.0,2200.0
2013-09-18,28.08,28.08,28.02,28.02,4.0,800.0
2013-09-23,27.29,26.84,26.45,27.29,27.0,2700.0
2013-09-24,26.83,26.83,26.56,26.64,6.0,600.0
2013-09-25,26.53,26.53,26.26,26.26,3.0,400.0
2013-09-26,26.55,26.47,26.41,26.51,10.0,2500.0
2013-09-27,26.42,26.14,26.14,26.42,7.0,1787.0
2013-09-30,26.15,26.15,25.95,25.95,4.0,2200.0
2013-10-01,26.24,26.24,26.1,26.16,7.0,2800.0
2013-10-02,26.93,26.93,26.5,26.5,9.0,1960.0
2013-10-03,28.16,28.16,27.66,27.66,4.0,2143.0
2013-10-04,29.42,29.25,28.49,28.8,5.0,1200.0
2013-10-07,29.41,29.41,29.41,29.41,1.0,400.0
2013-10-08,29.25,29.25,29.25,29.25,1.0,400.0
2013-10-09,29.06,28.94,28.49,28.6,21.0,2100.0
2013-10-10,29.82,29.2,28.93,28.93,62.0,7600.0
2013-10-11,28.92,28.78,28.78,28.92,5.0,500.0
2013-10-14,29.12,28.56,28.53,28.95,14.0,2376.0
2013-10-15,28.35,28.02,28.0,28.35,14.0,1700.0
2013-10-16,29.3,28.8,28.69,28.69,26.0,3300.0
2013-10-17,29.15,29.15,28.64,28.74,6.0,600.0
2013-10-18,29.64,29.56,29.46,29.64,6.0,600.0
2013-10-21,29.72,29.25,28.94,29.61,12.0,1200.0
2013-10-22,29.13,29.12,29.12,29.13,3.0,300.0
2013-10-23,29.01,29.0,28.88,28.88,7.0,800.0
2013-10-24,29.05,29.0,28.79,28.93,6.0,600.0
2013-10-25,28.78,28.78,28.78,28.78,1.0,100.0
2013-10-28,29.58,29.17,29.05,29.22,20.0,2000.0
2013-10-29,29.32,29.18,28.9,29.17,17.0,1700.0
2013-10-30,29.38,29.04,28.8,29.37,58.0,6200.0
2013-10-31,29.72,29.04,28.99,29.38,69.0,6900.0
2013-11-01,29.11,28.98,28.93,28.93,16.0,1700.0
2013-11-04,29.46,29.33,29.12,29.26,23.0,2300.0
2013-11-05,29.24,29.23,28.86,28.86,6.0,600.0
2013-11-06,29.16,29.01,28.94,29.14,9.0,1300.0
2013-11-07,28.71,28.4,28.2,28.71,20.0,2000.0
2013-11-08,28.72,28.4,28.4,28.61,8.0,800.0
2013-11-11,28.44,28.38,28.24,28.32,11.0,1300.0
2013-11-12,28.36,28.33,28.3,28.3,12.0,1400.0
2013-11-13,28.25,28.02,28.02,28.24,16.0,1600.0
2013-11-14,29.11,28.61,28.55,29.11,11.0,1100.0
2013-11-15,28.9,28.81,28.1,28.9,17.0,1900.0
2013-11-18,29.0,28.78,28.75,29.0,4.0,400.0
2013-11-19,28.66,27.69,27.6,28.1,18.0,1900.0
2013-11-20,28.29,28.21,27.98,27.98,18.0,1800.0
2013-11-21,28.94,28.91,28.0,28.0,12.0,1200.0
2013-11-22,29.17,29.17,28.95,28.95,9.0,900.0
2013-11-25,29.39,29.03,28.95,29.0,13.0,1300.0
2013-11-26,29.34,28.92,28.91,29.05,28.0,3300.0
2013-11-27,29.9,29.9,29.32,29.45,20.0,2399.0
2013-11-29,29.82,29.75,29.67,29.75,7.0,700.0
2013-12-02,29.6,29.44,29.24,29.6,88.0,10100.0
2013-12-03,29.65,29.27,29.04,29.65,34.0,3600.0
2013-12-04,30.0,29.9,29.56,29.57,36.0,3600.0
2013-12-05,30.72,30.31,29.81,29.81,52.0,5697.0
2013-12-06,31.05,31.03,30.51,30.67,43.0,5663.0
2013-12-09,32.53,32.38,31.07,31.07,87.0,13361.0
2013-12-10,32.12,31.93,31.65,32.11,48.0,5380.0
2013-12-11,31.9,31.22,31.22,31.9,21.0,1852.0
2013-12-12,31.59,31.4,30.98,31.13,28.0,2823.0
2013-12-13,32.97,32.44,31.72,31.72,26.0,2342.0
2013-12-16,33.32,33.25,32.17,32.17,28.0,3135.0
2013-12-17,33.01,32.54,32.3,33.01,23.0,2300.0
2013-12-18,33.81,33.57,32.9,32.9,43.0,4318.0
2013-12-19,34.1,34.1,33.68,33.68,42.0,4064.0
2013-12-20,34.59,34.45,33.93,33.94,63.0,8273.0
2013-12-23,34.96,34.88,34.25,34.62,46.0,4674.0
2013-12-24,34.76,34.76,34.67,34.67,4.0,400.0
2013-12-27,34.71,34.71,34.39,34.39,6.0,560.0
2013-12-30,34.8,34.8,34.39,34.56,43.0,3072.0
2013-12-31,35.54,35.41,34.7,34.8,21.0,2113.0
2014-01-02,35.34,34.19,34.08,35.34,47.0,6352.0
2014-01-03,35.06,33.84,33.8,35.06,47.0,4597.0
2014-01-06,35.42,35.28,33.92,33.92,36.0,5470.0
2014-01-07,35.45,35.25,34.77,35.26,36.0,3423.0
2014-01-08,35.47,35.1,34.76,35.43,53.0,7311.0
2014-01-09,35.06,34.22,33.43,35.06,31.0,3915.0
2014-01-10,33.74,33.48,33.3,33.74,7.0,624.0
2014-01-13,33.91,32.53,32.44,33.71,42.0,5891.0
2014-01-14,34.33,32.81,32.62,34.17,81.0,10047.0
2014-01-15,34.28,33.55,33.39,33.39,54.0,6187.0
2014-01-16,34.3,34.11,33.82,33.86,30.0,2953.0
2014-01-17,34.45,34.39,33.74,34.45,22.0,2399.0
2014-01-21,33.96,33.96,33.75,33.75,2.0,400.0
2014-01-22,33.52,33.28,32.96,33.39,6.0,800.0
2014-01-23,33.11,33.03,32.71,32.76,17.0,2000.0
2014-01-24,33.2,33.2,32.81,32.9,16.0,1665.0
2014-01-27,33.53,32.64,32.0,33.17,26.0,2530.0
2014-01-28,33.18,32.9,32.48,32.96,27.0,4210.0
2014-01-29,32.9,32.9,32.41,32.57,23.0,2201.0
2014-01-30,33.17,32.61,32.61,33.17,25.0,2849.0
2014-02-03,32.55,31.65,31.65,32.49,5.0,1200.0
2014-02-04,30.35,30.35,30.35,30.35,1.0,200.0
2014-02-05,30.89,30.79,30.76,30.86,6.0,579.0
2014-02-06,32.99,32.99,31.55,31.55,16.0,2300.0
2014-02-07,33.48,33.0,32.77,33.48,19.0,2618.0
2014-02-10,32.79,32.79,32.79,32.79,1.0,200.0
2014-02-11,32.53,32.44,32.4,32.53,12.0,1102.0
2014-02-12,33.73,33.67,33.37,33.37,67.0,10895.0
2014-02-13,33.93,33.79,33.75,33.75,6.0,1000.0
2014-02-14,33.99,33.99,33.99,33.99,3.0,200.0
2014-02-19,34.02,33.54,33.54,34.02,3.0,400.0
2014-02-20,33.3,33.18,33.18,33.3,2.0,700.0
2014-02-21,32.94,32.94,32.94,32.94,3.0,300.0
2014-02-24,33.65,33.53,33.45,33.48,17.0,1849.0
2014-02-26,33.78,33.51,33.39,33.62,24.0,2590.0
2014-02-27,33.54,33.5,33.39,33.54,28.0,2865.0
2014-02-28,33.97,33.67,33.37,33.54,29.0,3118.0
2014-03-04,34.51,34.51,34.34,34.34,2.0,200.0
2014-03-06,33.36,33.36,33.36,33.36,1.0,100.0
2014-03-19,34.44,34.44,34.44,34.44,1.0,300.0
2014-03-24,33.15,33.15,33.15,33.15,1.0,200.0
2014-03-26,33.91,33.28,33.28,33.86,4.0,400.0
2014-03-28,33.22,33.22,33.22,33.22,1.0,100.0
2014-03-31,33.86,33.81,33.71,33.71,5.0,446.0
2014-04-01,34.85,34.85,34.05,34.05,3.0,301.0
2014-04-02,34.9,34.9,34.9,34.9,1.0,100.0
2014-04-07,33.52,33.52,33.52,33.52,1.0,100.0
2014-04-09,32.87,32.87,32.87,32.87,1.0,200.0
2014-04-11,32.12,31.55,31.55,32.12,2.0,400.0
2014-04-15,31.58,31.58,31.48,31.48,3.0,300.0
2014-04-21,31.29,31.29,31.29,31.29,1.0,100.0
2014-04-22,32.51,32.51,32.51,32.51,1.0,100.0
2014-04-25,33.62,33.62,33.62,33.62,1.0,100.0
2014-04-28,33.79,33.79,33.46,33.46,3.0,300.0
2014-04-30,34.55,34.55,34.55,34.55,1.0,100.0
