Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-09-26,14.58,14.39,14.3,14.58,,21600.0
2006-09-27,14.42,14.42,14.4,14.4,,500.0
2006-09-28,14.53,14.53,14.42,14.43,,8600.0
2006-09-29,14.54,14.54,14.54,14.54,,300.0
2006-10-02,14.56,14.55,14.54,14.54,,17900.0
2006-10-03,14.6,14.6,14.58,14.58,,1100.0
2006-10-04,14.56,14.56,14.55,14.55,,300.0
2006-10-05,14.57,14.57,14.55,14.55,,1000.0
2006-10-06,14.75,14.75,14.62,14.62,,3800.0
2006-10-09,14.69,14.65,14.65,14.69,,2000.0
2006-10-10,14.75,14.69,14.69,14.71,,3900.0
2006-10-11,14.65,14.63,14.59,14.65,,3700.0
2006-10-12,14.57,14.57,14.57,14.57,,1300.0
2006-10-13,14.7,14.7,14.5301,14.5301,,7300.0
2006-10-16,14.65,14.62,14.62,14.65,,1200.0
2006-10-17,14.65,14.65,14.65,14.65,,700.0
2006-10-18,14.71,14.65,14.65,14.65,,1400.0
2006-10-19,14.77,14.77,14.66,14.67,,3400.0
2006-10-20,14.79,14.7,14.7,14.79,,900.0
2006-10-23,14.75,14.75,14.75,14.75,,100.0
2006-10-24,14.75,14.73,14.71,14.71,,5100.0
2006-10-25,14.7901,14.7901,14.7901,14.7901,,900.0
2006-10-26,14.85,14.78,14.74,14.74,,3300.0
2006-10-27,14.77,14.6,14.6,14.77,,12600.0
2006-10-30,14.6,14.57,14.57,14.6,,2700.0
2006-10-31,14.59,14.58,14.57,14.58,,4300.0
2006-11-01,14.66,14.66,14.59,14.59,,2100.0
2006-11-02,14.67,14.62,14.61,14.67,,2300.0
2006-11-03,14.6,14.53,14.5,14.6,,3100.0
2006-11-06,14.59,14.59,14.55,14.55,,7100.0
2006-11-07,14.6383,14.58,14.57,14.6,,2500.0
2006-11-08,14.49,14.49,14.43,14.48,,4500.0
2006-11-09,14.45,14.45,14.45,14.45,,200.0
2006-11-10,14.56,14.56,14.47,14.47,,2400.0
2006-11-13,14.71,14.71,14.57,14.59,,5200.0
2006-11-14,14.69,14.68,14.68,14.69,,2400.0
2006-11-15,14.71,14.71,14.67,14.67,,1400.0
2006-11-17,14.68,14.61,14.61,14.68,,4300.0
2006-11-20,14.65,14.58,14.58,14.65,,1000.0
2006-11-21,14.65,14.65,14.58,14.59,,3300.0
2006-11-22,14.67,14.67,14.67,14.67,,100.0
2006-11-24,14.67,14.67,14.63,14.63,,2300.0
2006-11-27,14.69,14.65,14.65,14.67,,1700.0
2006-11-28,14.61,14.61,14.61,14.61,,500.0
2006-11-29,14.58,14.58,14.58,14.58,,600.0
2006-11-30,14.62,14.61,14.5901,14.5901,,2500.0
2006-12-01,14.7,14.69,14.67,14.67,,1300.0
2006-12-04,14.71,14.69,14.67,14.7,,3800.0
2006-12-05,14.79,14.79,14.71,14.71,,5700.0
2006-12-07,14.75,14.7,14.7,14.75,,1300.0
2006-12-08,14.72,14.72,14.7,14.7101,,2200.0
2006-12-11,14.68,14.68,14.63,14.67,,4500.0
2006-12-12,14.71,14.6601,14.6601,14.71,,4100.0
2006-12-13,14.69,14.67,14.67,14.69,,2000.0
2006-12-14,14.71,14.6501,14.6501,14.66,,3800.0
2006-12-18,14.72,14.65,14.65,14.72,,4500.0
2006-12-19,14.72,14.72,14.65,14.65,,9700.0
2006-12-20,14.8,14.75,14.63,14.68,,8900.0
2006-12-21,14.8,14.68,14.68,14.8,,2800.0
2006-12-27,14.7899,14.64,14.64,14.76,,7100.0
2006-12-28,14.78,14.78,14.69,14.69,,3300.0
2006-12-29,14.7,14.66,14.66,14.7,,4100.0
2007-01-03,14.72,14.65,14.65,14.72,,2400.0
2007-01-04,14.68,14.68,14.63,14.63,,700.0
2007-01-05,14.63,14.6,14.6,14.63,,4200.0
2007-01-08,14.61,14.61,14.6,14.6,,2700.0
2007-01-09,14.61,14.61,14.61,14.61,,500.0
2007-01-12,14.87,14.75,14.65,14.65,,11600.0
2007-01-16,14.8,14.71,14.7,14.74,,9200.0
2007-01-17,14.91,14.9,14.69,14.75,,9800.0
2007-01-18,14.95,14.8,14.75,14.95,,5100.0
2007-01-19,14.81,14.78,14.7505,14.81,,1500.0
2007-01-22,14.84,14.8,14.75,14.8,,1500.0
2007-01-23,14.85,14.7,14.69,14.85,,6600.0
2007-01-24,14.73,14.7,14.7,14.73,,1200.0
2007-01-25,14.7,14.7,14.7,14.7,,200.0
2007-01-26,14.7,14.6,14.6,14.7,,4900.0
2007-01-29,14.64,14.62,14.62,14.64,,800.0
2007-01-30,14.66,14.66,14.6,14.62,,2800.0
2007-01-31,14.78,14.78,14.65,14.65,,3800.0
2007-02-01,14.77,14.77,14.75,14.76,,800.0
2007-02-02,15.0,15.0,14.84,14.84,,4400.0
2007-02-05,14.92,14.9,14.9,14.92,,600.0
2007-02-06,14.95,14.73,14.7,14.89,,6800.0
2007-02-07,14.75,14.75,14.72,14.72,,800.0
2007-02-08,14.75,14.75,14.73,14.73,,1400.0
2007-02-09,14.82,14.82,14.7,14.79,,4200.0
2007-02-12,14.72,14.72,14.72,14.72,,100.0
2007-02-14,14.81,14.81,14.72,14.72,,1200.0
