Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-01-11,44.1499,43.92,43.92,44.03,,3200.0
2007-01-12,44.38,44.38,44.09,44.09,,20500.0
2007-01-16,44.46,44.17,44.17,44.46,,1000.0
2007-01-17,44.31,44.25,44.25,44.31,,900.0
2007-01-18,44.27,43.58,43.58,44.27,,4700.0
2007-01-19,43.81,43.8,43.51,43.62,,3600.0
2007-01-22,43.93,43.8,43.68,43.93,,3300.0
2007-01-23,44.54,44.39,43.9,43.9,,3400.0
2007-01-24,44.51,44.51,44.29,44.29,,600.0
2007-01-25,44.58,43.96,43.92,44.58,,2000.0
2007-01-26,44.05,44.04,43.8,43.8,,4700.0
2007-01-29,45.1075,44.9,44.5701,44.6,,3900.0
2007-01-30,45.29,45.28,45.0,45.09,,600.0
2007-01-31,45.76,45.76,45.33,45.44,,700.0
2007-02-01,45.91,45.46,45.45,45.9,,13900.0
2007-02-02,45.78,45.78,45.5,45.5,,800.0
2007-02-05,45.86,45.86,45.75,45.79,,2100.0
2007-02-06,45.9199,45.77,45.77,45.89,,7300.0
2007-02-07,46.17,46.1,45.99,45.99,,2800.0
2007-02-08,45.89,45.54,45.54,45.89,,3700.0
2007-02-09,45.3899,45.12,44.9199,45.38,,1700.0
2007-02-12,45.08,44.76,44.72,45.08,,8400.0
2007-02-13,45.16,45.16,44.83,44.9,,21800.0
2007-02-14,45.62,45.44,45.44,45.61,,2915.0
2007-02-15,45.45,45.39,45.34,45.39,,4700.0
2007-02-16,45.53,45.52,45.31,45.42,,11600.0
2007-02-20,45.77,45.77,45.36,45.45,,3200.0
2007-02-21,45.66,45.66,45.34,45.6,,25800.0
2007-02-22,45.81,45.65,45.508,45.81,,3700.0
2007-02-23,45.62,45.62,45.48,45.55,,3100.0
2007-02-26,45.94,45.66,45.54,45.94,,2205.0
2007-02-27,44.82,43.77,43.68,44.66,,7200.0
2007-02-28,44.27,44.27,44.05,44.23,,1900.0
2007-03-01,44.13,43.9999,43.49,43.49,,1800.0
2007-03-02,43.7,43.17,43.17,43.7,,2400.0
2007-03-05,43.0001,42.49,42.49,42.75,,5100.0
2007-03-06,43.18,43.18,42.61,42.61,,1700.0
2007-03-07,43.61,43.39,43.03,43.03,,2300.0
2007-03-08,43.78,43.53,43.53,43.78,,600.0
2007-03-09,43.76,43.53,43.41,43.76,,1200.0
2007-03-12,43.65,43.43,43.43,43.65,,900.0
2007-03-13,43.39,42.83,42.8157,43.39,,700.0
2007-03-14,42.94,42.94,42.33,42.68,,3500.0
2007-03-15,43.55,43.55,43.55,43.55,,2000.0
2007-03-16,43.58,43.53,43.53,43.58,,3000.0
2007-03-19,44.2,44.2,43.95,43.99,,4100.0
2007-03-20,44.68,44.68,44.47,44.47,,900.0
2007-03-21,45.3,45.3,44.48,44.65,,5200.0
2007-03-22,45.38,45.38,45.2,45.37,,1500.0
2007-03-23,45.8,45.8,45.63,45.63,,11500.0
2007-03-26,46.03,46.03,45.73,45.73,,2400.0
2007-03-27,45.87,45.66,45.66,45.81,,5300.0
2007-03-28,45.51,45.51,45.44,45.46,,1500.0
2007-03-29,45.75,45.61,45.61,45.75,,400.0
2007-03-30,45.78,45.58,45.58,45.72,,3100.0
2007-04-02,45.52,45.52,45.42,45.42,,2400.0
2007-04-03,46.22,46.13,45.9,45.9,,2800.0
2007-04-04,46.24,45.93,45.93,46.24,,1300.0
2007-04-05,45.78,45.78,45.71,45.75,,6700.0
2007-04-09,45.97,45.93,45.9,45.9,,2300.0
2007-04-10,46.04,45.91,45.82,45.82,,11500.0
2007-04-11,45.5399,45.5399,45.44,45.44,,200.0
2007-04-12,45.95,45.95,45.44,45.44,,1200.0
2007-04-13,46.29,46.28,46.24,46.28,,2400.0
2007-04-16,47.01,46.976,46.64,46.64,,1200.0
2007-04-17,47.29,47.24,47.19,47.24,,9500.0
2007-04-18,47.27,47.19,47.03,47.03,,500.0
2007-04-19,46.82,46.62,46.5,46.5,,600.0
2007-04-20,47.03,46.859,46.85,46.85,,10300.0
2007-04-23,47.0225,46.97,46.97,47.0,,800.0
2007-04-24,47.21,47.21,47.08,47.19,,1800.0
2007-04-25,47.78,47.73,47.54,47.71,,4600.0
2007-04-26,47.9356,47.9356,47.69,47.69,,4200.0
2007-04-27,48.56,48.56,48.3,48.35,,5400.0
2007-04-30,48.76,48.29,48.16,48.6112,,5100.0
2007-05-01,48.19,47.95,47.82,48.19,,3400.0
2007-05-02,48.71,48.71,48.22,48.22,,5400.0
2007-05-03,48.89,48.88,48.62,48.73,,5700.0
2007-05-04,48.92,48.92,48.8,48.83,,2600.0
2007-05-07,49.43,49.21,49.21,49.43,,2100.0
2007-05-08,49.1,49.06,48.64,48.97,,10600.0
2007-05-09,49.45,49.45,49.03,49.03,,1900.0
2007-05-10,49.2,48.71,48.71,49.2,,1900.0
2007-05-11,49.21,49.21,48.92,49.19,,12200.0
2007-05-14,49.55,49.22,49.1,49.55,,6900.0
2007-05-15,49.28,48.83,48.83,49.04,,9800.0
2007-05-16,49.05,48.88,48.74,49.05,,14700.0
2007-05-17,48.97,48.95,48.78,48.78,,5500.0
2007-05-18,49.29,49.27,48.93,49.05,,7700.0
2007-05-21,50.01,49.87,49.56,49.56,,12600.0
2007-05-22,50.51,50.4299,50.05,50.05,,27000.0
2007-05-23,50.82,50.43,50.43,50.65,,13400.0
2007-05-24,50.53,49.44,49.43,50.53,,28700.0
2007-05-25,50.23,50.1,49.73,49.73,,6900.0
2007-05-29,50.5394,50.39,50.29,50.46,,4300.0
2007-05-30,50.71,50.71,50.19,50.2,,9700.0
2007-05-31,51.04,50.89,50.75,50.96,,12500.0
2007-06-01,51.59,51.59,51.31,51.32,,10400.0
2007-06-04,51.95,51.95,51.5,51.6,,26600.0
2007-06-05,51.85,51.6,51.45,51.85,,21400.0
2007-06-06,51.47,51.06,51.02,51.42,,6800.0
2007-06-07,50.9,50.1648,49.88,50.9,,16500.0
2007-06-08,50.3088,50.3088,49.3,49.4801,,19800.0
2007-06-11,50.6,50.41,50.09,50.13,,20600.0
2007-06-12,50.26,49.58,49.58,50.26,,7000.0
2007-06-13,50.5,50.5,49.77,49.8,,4100.0
2007-06-14,50.91,50.65,50.6012,50.65,,4800.0
2007-06-15,51.3624,51.3624,51.06,51.06,,11100.0
2007-06-18,51.5385,51.46,51.27,51.53,,18100.0
2007-06-19,51.6388,51.63,51.22,51.28,,4900.0
2007-06-20,51.9188,51.32,51.32,51.8,,5300.0
2007-06-21,51.79,51.79,51.02,51.2,,2800.0
2007-06-22,51.7,51.409,51.3299,51.7,,1500.0
2007-06-25,51.6,50.78,50.78,51.55,,2400.0
2007-06-26,51.339,50.97,50.84,51.1,,9200.0
2007-06-27,51.3,51.3,50.5701,50.71,,3000.0
2007-06-28,51.77,51.66,51.63,51.73,,600.0
2007-06-29,52.19,51.99,51.87,51.87,,4700.0
2007-07-02,52.38,52.38,52.1,52.1,,4400.0
2007-07-03,52.88,52.8,52.58,52.6,,20000.0
2007-07-05,52.89,52.87,52.49,52.75,,11700.0
2007-07-06,52.8925,52.8925,52.53,52.76,,45900.0
2007-07-09,53.15,52.83,52.83,53.03,,12500.0
2007-07-10,52.56,51.99,51.97,52.56,,22000.0
2007-07-11,52.47,52.47,51.98,52.2,,9700.0
2007-07-12,53.2,53.12,52.91,52.91,,4800.0
2007-07-13,54.0,53.95,53.5,53.5,,8800.0
2007-07-16,53.88,53.42,53.36,53.65,,12100.0
2007-07-17,53.74,53.48,53.48,53.58,,19300.0
2007-07-18,53.1,53.1,52.63,52.98,,10300.0
2007-07-19,53.939,53.6,53.5,53.93,,8700.0
2007-07-20,53.14,52.86,52.56,52.93,,2500.0
2007-07-23,53.49,53.26,52.97,53.06,,4400.0
2007-07-24,52.63,51.84,51.5901,52.63,,9800.0
2007-07-25,52.07,51.29,50.77,52.07,,17600.0
2007-07-26,50.8,49.72,49.5,50.68,,43400.0
2007-07-27,50.4143,49.23,49.23,49.77,,12200.0
2007-07-30,50.05,50.05,49.2,49.3,,43200.0
2007-07-31,51.31,49.98,49.98,50.78,,12500.0
2007-08-01,50.57,50.57,49.62,50.4,,22600.0
2007-08-02,51.1,50.73,50.34,51.1,,9300.0
2007-08-03,50.9,49.26,49.244,50.9,,23100.0
2007-08-06,49.61,49.61,48.85,49.01,,17700.0
2007-08-07,50.09,50.09,49.15,49.15,,5000.0
2007-08-08,51.54,51.06,50.77,50.93,,4600.0
2007-08-09,50.51,50.11,50.0236,50.5,,1300.0
2007-08-10,49.9399,49.91,49.18,49.23,,3400.0
2007-08-13,50.78,50.038,50.038,50.36,,3600.0
2007-08-14,49.74,48.8898,48.8898,49.74,,600.0
2007-08-15,48.76,47.52,47.52,48.49,,4500.0
2007-08-16,47.38,47.38,45.58,46.78,,19500.0
2007-08-17,48.72,48.06,47.7899,48.64,,7700.0
2007-08-20,48.45,48.07,47.97,48.45,,2500.0
2007-08-21,48.96,48.79,48.54,48.54,,10700.0
2007-08-22,49.6,49.6,49.29,49.45,,7300.0
2007-08-23,49.92,49.26,49.22,49.92,,3200.0
