Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,6.23,6.2,6.16,6.21,,725700.0
2007-09-20,6.23,6.23,6.18,6.2,,395100.0
2007-09-21,6.25,6.25,6.22,6.24,,247600.0
2007-09-24,6.28,6.25,6.24,6.25,,298000.0
2007-09-25,6.26,6.26,6.22,6.23,,372900.0
2007-09-26,6.24,6.21,6.18,6.21,,419768.0
2007-09-27,6.26,6.26,6.21,6.22,,366300.0
2007-09-28,6.269,6.24,6.22,6.26,,369100.0
2007-10-01,6.29,6.29,6.25,6.25,,445500.0
2007-10-02,6.28,6.26,6.25,6.28,,412200.0
2007-10-03,6.3,6.29,6.2505,6.26,,694100.0
2007-10-04,6.29,6.2781,6.25,6.28,,369000.0
2007-10-05,6.29,6.26,6.25,6.26,,561100.0
2007-10-08,6.29,6.28,6.25,6.25,,436200.0
2007-10-09,6.3,6.25,6.24,6.28,,726600.0
2007-10-10,6.27,6.24,6.22,6.24,,399900.0
2007-10-11,6.29,6.25,6.24,6.25,,844800.0
2007-10-12,6.28,6.26,6.25,6.27,,372300.0
2007-10-15,6.28,6.27,6.26,6.27,,672700.0
2007-10-16,6.28,6.269,6.25,6.27,,955000.0
2007-10-17,6.28,6.25,6.25,6.25,,603900.0
2007-10-18,6.27,6.21,6.21,6.25,,433227.0
2007-10-19,6.25,6.22,6.18,6.21,,420200.0
2007-10-22,6.26,6.19,6.17,6.2,,411004.0
2007-10-23,6.24,6.24,6.18,6.2,,537300.0
2007-10-24,6.25,6.24,6.22,6.24,,200300.0
2007-10-25,6.27,6.26,6.23,6.24,,302100.0
2007-10-26,6.28,6.27,6.23,6.26,,349200.0
2007-10-29,6.28,6.26,6.2401,6.25,,339800.0
2007-10-30,6.28,6.26,6.24,6.24,,271700.0
2007-10-31,6.29,6.28,6.26,6.28,,377400.0
2007-11-01,6.29,6.27,6.26,6.27,,543300.0
2007-11-02,6.28,6.26,6.25,6.26,,428800.0
2007-11-05,6.28,6.26,6.25,6.26,,462738.0
2007-11-06,6.29,6.26,6.26,6.27,,354162.0
2007-11-07,6.28,6.26,6.26,6.26,,443034.0
2007-11-08,6.29,6.22,6.21,6.25,,553800.0
2007-11-09,6.24,6.12,6.07,6.24,,768400.0
2007-11-12,6.13,6.03,6.02,6.02,,689275.0
2007-11-13,6.06,6.03,5.99,6.04,,830799.0
2007-11-14,6.09,6.01,5.98,5.98,,598463.0
2007-11-15,6.05,5.99,5.97,6.01,,416317.0
2007-11-16,6.04,6.0075,5.97,6.01,,354090.0
2007-11-19,6.26,5.99,5.99,6.26,,784270.0
2007-11-20,6.1,6.02,6.0,6.1,,393600.0
2007-11-21,6.04,6.01,5.99,6.04,,496800.0
2007-11-23,6.0127,6.0,5.98,5.99,,239664.0
2007-11-26,6.01,5.96,5.96,5.99,,519966.0
2007-11-27,6.01,5.96,5.93,5.96,,556764.0
2007-11-28,5.99,5.98,5.91,5.96,,459050.0
2007-11-29,5.98,5.93,5.92,5.97,,552953.0
2007-11-30,5.99,5.98,5.93,5.93,,474775.0
2007-12-03,6.07,6.06,5.96,5.99,,479354.0
2007-12-04,6.1,6.0,5.98,6.1,,573425.0
2007-12-05,6.0,5.98,5.95,6.0,,378491.0
2007-12-06,5.98,5.94,5.94,5.96,,390567.0
2007-12-07,5.98,5.962,5.94,5.94,,352200.0
2007-12-10,6.0101,5.98,5.96,5.96,,538500.0
2007-12-11,6.02,5.99,5.97,6.0,,428674.0
2007-12-12,6.05,6.032,5.98,6.03,,464350.0
2007-12-13,6.05,5.98,5.98,6.03,,451037.0
2007-12-14,5.983,5.93,5.91,5.98,,462898.0
2007-12-17,5.95,5.75,5.65,5.92,,1240238.0
2007-12-18,5.79,5.765,5.69,5.7,,593168.0
2007-12-19,5.7516,5.66,5.65,5.67,,906173.0
2007-12-20,5.7,5.61,5.6,5.61,,1000793.0
2007-12-21,5.9,5.7,5.62,5.62,,698057.0
2007-12-24,5.83,5.8173,5.63,5.63,,291232.0
2007-12-26,5.91,5.91,5.71,5.85,,720397.0
2007-12-27,5.94,5.82,5.77,5.94,,487100.0
2007-12-28,5.83,5.82,5.78,5.8,,607915.0
2007-12-31,5.87,5.8,5.74,5.74,,1085058.0
2008-01-02,5.9,5.88,5.81,5.86,,411747.0
2008-01-03,5.95,5.9248,5.87,5.89,,444222.0
2008-01-04,5.98,5.886,5.88,5.98,,423522.0
2008-01-07,5.94,5.9274,5.88,5.89,,383464.0
2008-01-08,5.94,5.91,5.89,5.9,,767329.0
2008-01-09,5.9899,5.97,5.91,5.95,,528141.0
2008-01-10,6.0,6.0,5.92,5.92,,367685.0
2008-01-11,6.04,6.01,5.99,6.0,,565149.0
2008-01-14,6.08,6.06,6.0,6.0,,697494.0
2008-01-15,6.07,6.05,6.02,6.02,,408980.0
2008-01-16,6.08,6.06,6.01,6.01,,484452.0
2008-01-17,6.07,6.0,6.0,6.04,,630062.0
2008-01-18,6.05,5.95,5.69,5.89,,659018.0
2008-01-22,5.95,5.82,4.45,5.53,,1142743.0
2008-01-23,5.99,5.94,5.73,5.93,,727400.0
2008-01-24,6.02,6.02,5.97,6.01,,519729.0
2008-01-25,6.02,6.0,5.93,6.02,,658921.0
2008-01-28,6.02,6.0199,5.91,5.91,,521767.0
2008-01-29,6.0201,6.0201,5.99,6.01,,324100.0
2008-01-30,6.08,6.034,5.98,6.08,,398672.0
2008-01-31,6.05,6.03,6.01,6.05,,325579.0
2008-02-01,6.051,6.04,6.01,6.02,,374252.0
2008-02-04,6.14,6.14,6.03,6.03,,615827.0
2008-02-05,6.15,6.1,6.05,6.12,,707600.0
2008-02-06,6.13,6.1,6.1,6.13,,304953.0
2008-02-07,6.16,6.15,6.12,6.12,,494870.0
