Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2001-09-19,12.0,12.0,12.0,12.0,1200.0
2001-09-20,12.125,12.125,12.125,12.125,200.0
2001-10-03,12.0,12.0,12.0,12.0,400.0
2001-10-09,12.0,12.0,12.0,12.0,400.0
2001-10-10,12.0,12.0,12.0,12.0,800.0
2001-10-19,12.125,12.125,12.125,12.125,400.0
2001-10-25,12.125,12.125,12.115,12.115,1600.0
2001-10-30,12.125,12.125,12.115,12.115,2800.0
2001-10-31,12.25,12.25,12.25,12.25,200.0
2001-11-19,12.25,12.25,12.25,12.25,800.0
2001-11-23,12.125,12.0,12.0,12.025,2000.0
2001-11-28,12.0,12.0,12.0,12.0,1600.0
2001-11-29,12.125,12.125,12.125,12.125,2000.0
2001-12-11,12.25,12.25,12.25,12.25,400.0
2001-12-12,12.0,12.0,12.0,12.0,1000.0
2001-12-13,12.06,12.06,12.06,12.06,1000.0
2001-12-21,12.125,12.125,12.125,12.125,200.0
2002-01-03,12.0,12.0,12.0,12.0,400.0
2002-01-07,12.0,12.0,12.0,12.0,2000.0
2002-01-08,12.0,12.0,12.0,12.0,200.0
2002-01-10,12.0,12.0,12.0,12.0,1200.0
2002-01-25,11.75,11.75,11.75,11.75,400.0
2002-02-11,12.125,12.125,12.125,12.125,2600.0
2002-02-12,12.125,12.125,12.125,12.125,2600.0
2002-02-13,12.0,12.0,12.0,12.0,400.0
2002-02-20,12.125,12.125,12.125,12.125,2400.0
2002-02-28,12.125,12.125,12.0,12.0,1400.0
2002-03-01,12.125,12.125,12.125,12.125,200.0
2002-03-06,12.0,12.0,12.0,12.0,7000.0
2002-03-08,12.125,12.125,12.125,12.125,200.0
2002-03-15,12.0,12.0,12.0,12.0,200.0
2002-03-20,12.0,12.0,12.0,12.0,1000.0
2002-03-28,12.0,12.0,12.0,12.0,200.0
2002-04-03,12.0,12.0,12.0,12.0,800.0
2002-04-04,12.0,12.0,12.0,12.0,600.0
2002-04-12,12.125,12.125,12.125,12.125,200.0
2002-04-18,12.125,12.125,12.0,12.0,6000.0
2002-05-10,12.0,12.0,12.0,12.0,800.0
2002-05-17,12.125,12.125,12.125,12.125,1200.0
2002-05-24,12.1,12.0,12.0,12.1,1000.0
2002-05-28,12.0,12.0,12.0,12.0,1000.0
2002-05-29,12.0,12.0,12.0,12.0,200.0
2002-06-04,11.125,11.125,11.125,11.125,1200.0
2002-06-05,12.0,12.0,11.125,11.125,1600.0
2002-06-06,12.0,12.0,12.0,12.0,200.0
2002-06-07,12.0,12.0,12.0,12.0,800.0
2002-06-11,11.125,11.125,11.125,11.125,200.0
2002-06-25,12.125,12.0,11.535,12.125,2400.0
2002-07-10,12.0,12.0,12.0,12.0,400.0
2002-07-16,12.025,12.0,12.0,12.025,800.0
2002-07-17,12.0,12.0,12.0,12.0,200.0
2002-07-29,12.0,12.0,12.0,12.0,3000.0
2002-08-05,12.0,12.0,12.0,12.0,200.0
2002-08-09,12.0,12.0,12.0,12.0,4800.0
