Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-09-14,37.5,37.5,37.33,37.33,2.0,5100.0
2015-09-15,38.95,38.95,37.64,37.75,11.0,1200.0
2015-09-16,40.84,40.84,40.03,40.03,4.0,850.0
2015-09-17,39.9,39.56,39.56,39.9,10.0,1175.0
2015-09-18,39.0,38.99,38.99,39.0,3.0,300.0
2015-09-21,39.44,39.25,39.25,39.44,3.0,300.0
2015-09-22,38.96,38.25,38.25,38.96,12.0,1113.0
2015-09-23,38.14,38.14,38.1,38.1,7.0,691.0
2015-09-24,39.13,36.8,36.39,37.73,123.0,14832.0
2015-09-25,37.13,36.99,36.25,36.25,460.0,392210.0
2015-09-28,37.15,34.0,31.0,36.5,8026.0,1170522.0
2015-09-29,34.5,33.55,31.694,34.34,10138.0,1417882.0
2015-09-30,34.72,34.43,33.5,34.1,5088.0,751134.0
2015-10-01,35.8,35.07,33.9201,33.94,5503.0,821888.0
2015-10-02,35.5,35.3,34.28,34.48,3082.0,500576.0
2015-10-05,37.69,35.9,35.7,35.8,4758.0,667897.0
2015-10-06,38.0,37.89,35.11,35.3,2158.0,269649.0
2015-10-07,40.145,39.36,37.59,37.59,4160.0,542633.0
2015-10-08,42.06,40.95,38.7,38.7,3941.0,470476.0
2015-10-09,41.85,39.13,39.07,41.36,4069.0,931747.0
2015-10-12,39.9485,38.17,38.13,39.55,1232.0,127863.0
2015-10-13,38.71,37.47,35.6,37.4,3160.0,351256.0
2015-10-14,37.93,36.71,36.01,37.34,4846.0,605152.0
2015-10-15,37.25,36.76,36.08,37.2,4289.0,558743.0
2015-10-16,37.14,36.48,35.691,36.75,3425.0,553557.0
2015-10-19,36.91,36.49,35.57,35.62,3485.0,503554.0
2015-10-20,38.4,38.13,36.065,36.31,3062.0,441688.0
2015-10-21,37.97,36.74,36.34,37.97,3915.0,508642.0
2015-10-22,37.6299,36.49,36.1903,37.24,2938.0,358034.0
2015-10-23,37.07,36.82,35.94,36.85,1395.0,127383.0
2015-10-26,36.97,34.68,33.78,36.69,7762.0,973531.0
2015-10-27,35.39,34.57,33.88,34.4,4151.0,542875.0
2015-10-28,36.91,35.78,34.02,34.92,5757.0,662307.0
2015-10-29,36.44,34.25,33.92,36.44,3800.0,538581.0
2015-10-30,34.9699,33.9,33.3301,34.4,2705.0,530912.0
2015-11-02,36.19,36.01,33.28,33.91,3047.0,471820.0
2015-11-03,36.41,35.09,35.01,35.92,1998.0,307709.0
2015-11-04,35.9921,35.49,34.96,35.22,2836.0,393077.0
2015-11-05,35.71,35.2,34.69,35.43,1440.0,182426.0
2015-11-06,35.0,33.07,32.89,35.0,4490.0,590821.0
2015-11-09,32.86,31.69,31.28,32.86,3165.0,463175.0
2015-11-10,31.7,31.61,30.91,31.53,1103.0,154086.0
2015-11-11,31.6,31.46,31.0,31.6,1603.0,316312.0
2015-11-12,31.15,29.98,29.77,31.09,2396.0,383544.0
2015-11-13,30.24,30.01,29.21,29.73,2089.0,241711.0
2015-11-16,31.72,31.31,29.58,29.68,3663.0,494696.0
2015-11-17,32.66,31.95,30.76,31.48,2514.0,347974.0
2015-11-18,33.85,33.38,32.0,32.26,2625.0,420095.0
2015-11-19,33.29,32.96,31.87,32.73,1795.0,276955.0
2015-11-20,33.16,32.42,32.16,32.8,1990.0,329609.0
2015-11-23,32.45,32.09,31.88,32.45,1221.0,174914.0
2015-11-24,33.22,33.07,31.86,32.0,1861.0,206304.0
2015-11-25,34.05,33.75,33.05,33.05,952.0,135024.0
2015-11-27,33.52,33.31,32.81,33.38,673.0,69467.0
