Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-30,0.61,0.58,0.55,0.56,,7895494.0
2007-08-31,0.61,0.56,0.56,0.59,,2788025.0
2007-09-04,0.6,0.58,0.55,0.57,,2324697.0
2007-09-05,0.59,0.58,0.57,0.58,,1565840.0
2007-09-06,0.59,0.58,0.56,0.58,,1280138.0
2007-09-07,0.58,0.56,0.56,0.57,,1625600.0
2007-09-10,0.58,0.57,0.56,0.57,,1245910.0
2007-09-11,0.58,0.57,0.55,0.57,,716886.0
2007-09-12,0.57,0.56,0.55,0.57,,924943.0
2007-09-13,0.56,0.53,0.52,0.56,,2168760.0
2007-09-14,0.62,0.56,0.5,0.52,,3302995.0
2007-09-17,0.72,0.65,0.59,0.6,,6503656.0
2007-09-18,0.64,0.59,0.58,0.64,,2165868.0
2007-09-19,0.59,0.57,0.56,0.58,,1670755.0
2007-09-20,0.58,0.56,0.55,0.58,,1189531.0
2007-09-21,0.57,0.56,0.55,0.57,,938908.0
2007-09-24,0.63,0.58,0.57,0.57,,1716300.0
2007-09-25,0.6,0.58,0.58,0.59,,1005197.0
2007-09-26,0.61,0.58,0.58,0.59,,1107213.0
2007-09-27,0.59,0.58,0.57,0.59,,913284.0
2007-09-28,0.59,0.58,0.57,0.58,,668650.0
2007-10-01,0.65,0.64,0.59,0.6,,3563068.0
2007-10-02,0.64,0.64,0.62,0.64,,1378798.0
2007-10-03,0.66,0.65,0.63,0.65,,1662357.0
2007-10-04,0.75,0.71,0.66,0.67,,4517241.0
2007-10-05,0.72,0.68,0.67,0.71,,1228256.0
2007-10-09,0.72,0.71,0.68,0.68,,1022726.0
2007-10-10,0.7,0.68,0.67,0.7,,1515826.0
2007-10-11,0.67,0.63,0.62,0.67,,1629303.0
2007-10-12,0.64,0.61,0.61,0.63,,1005727.0
2007-10-15,0.63,0.58,0.57,0.61,,2227970.0
2007-10-16,0.59,0.58,0.57,0.58,,1004650.0
2007-10-17,0.6,0.58,0.57,0.59,,736885.0
2007-10-18,0.61,0.59,0.57,0.59,,782406.0
2007-10-19,0.61,0.57,0.55,0.61,,2573990.0
2007-10-22,0.57,0.57,0.55,0.57,,530610.0
2007-10-23,0.57,0.54,0.54,0.56,,1290300.0
2007-10-24,0.56,0.56,0.54,0.55,,781099.0
2007-10-25,0.59,0.58,0.56,0.56,,1115324.0
2007-10-26,0.58,0.58,0.56,0.57,,821660.0
2007-10-29,0.58,0.58,0.56,0.57,,995226.0
2007-10-30,0.58,0.57,0.56,0.58,,488334.0
2007-10-31,0.58,0.57,0.54,0.56,,1678188.0
2007-11-01,0.57,0.56,0.55,0.56,,877239.0
2007-11-02,0.56,0.56,0.54,0.56,,1041414.0
2007-11-05,0.59,0.59,0.55,0.58,,4723806.0
2007-11-06,0.59,0.58,0.57,0.59,,1315550.0
2007-11-07,0.58,0.56,0.56,0.58,,794626.0
2007-11-08,0.58,0.57,0.55,0.57,,963330.0
2007-11-09,0.57,0.55,0.55,0.57,,782950.0
2007-11-12,0.56,0.56,0.54,0.55,,1101882.0
2007-11-13,0.56,0.55,0.54,0.55,,893982.0
2007-11-14,0.56,0.55,0.55,0.55,,506864.0
2007-11-15,0.56,0.56,0.53,0.55,,1208730.0
2007-11-16,0.55,0.54,0.53,0.54,,978600.0
2007-11-19,0.54,0.44,0.44,0.53,,4574806.0
2007-11-20,0.425,0.4,0.37,0.41,,4261869.0
2007-11-22,0.445,0.405,0.39,0.44,,3700230.0
2007-11-23,0.43,0.43,0.41,0.415,,1345700.0
2007-11-26,0.48,0.45,0.425,0.43,,3186919.0
2007-11-27,0.465,0.425,0.42,0.455,,2511829.0
2007-11-28,0.44,0.42,0.415,0.42,,634731.0
2007-11-29,0.455,0.41,0.41,0.43,,1555680.0
2007-11-30,0.41,0.4,0.395,0.41,,986775.0
2007-12-03,0.41,0.405,0.395,0.405,,1573144.0
2007-12-04,0.41,0.395,0.39,0.41,,1773750.0
2007-12-05,0.395,0.38,0.33,0.395,,3351344.0
2007-12-06,0.39,0.385,0.375,0.385,,2373150.0
2007-12-07,0.39,0.385,0.38,0.385,,852615.0
2007-12-10,0.385,0.38,0.38,0.38,,1449572.0
2007-12-11,0.385,0.38,0.37,0.385,,5447450.0
