Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-08,24.15,24.002,23.78,23.78,,16000.0
2007-08-09,23.73,23.29,23.28,23.73,,10300.0
2007-08-10,23.3899,23.31,22.54,22.95,,29900.0
2007-08-13,23.61,23.34,23.34,23.54,,3100.0
2007-08-14,23.39,22.9,22.9,23.39,,7300.0
2007-08-15,22.97,22.28,22.28,22.79,,10500.0
2007-08-16,22.18,22.18,21.3,22.08,,26000.0
2007-08-17,22.5899,22.52,22.4799,22.51,,34500.0
2007-08-20,22.81,22.68,22.531,22.71,,4400.0
2007-08-21,22.9499,22.89,22.72,22.72,,10100.0
2007-08-22,23.3399,23.3,23.1201,23.26,,6900.0
2007-08-23,23.3001,23.19,23.19,23.3001,,2900.0
2007-08-24,23.56,23.55,23.22,23.22,,2900.0
2007-08-27,23.52,23.4699,23.417,23.52,,7000.0
2007-08-28,23.25,22.83,22.83,23.25,,1600.0
2007-08-29,23.26,23.26,22.8799,22.96,,37300.0
2007-08-30,23.3499,23.16,23.16,23.23,,2500.0
2007-08-31,23.6022,23.5,23.42,23.42,,4400.0
2007-09-04,24.01,23.88,23.52,23.52,,34200.0
2007-09-05,23.72,23.54,23.5,23.67,,31500.0
2007-09-06,23.66,23.66,23.4499,23.62,,23900.0
2007-09-07,23.33,23.22,23.18,23.33,,9000.0
2007-09-10,23.15,22.9845,22.97,23.15,,4200.0
2007-09-11,23.38,23.35,23.22,23.22,,14200.0
2007-09-12,23.44,23.3099,23.3099,23.36,,8500.0
2007-09-13,23.4501,23.4501,23.38,23.41,,1000.0
2007-09-14,23.44,23.44,23.25,23.25,,900.0
2007-09-17,23.29,23.23,23.16,23.29,,4300.0
2007-09-18,23.93,23.93,23.31,23.31,,5700.0
2007-09-19,24.28,24.1,24.02,24.14,,11000.0
2007-09-20,24.17,24.0399,24.0201,24.16,,4900.0
2007-09-21,24.28,24.21,24.11,24.11,,3200.0
2007-09-24,24.3001,24.12,24.1,24.27,,5900.0
2007-09-25,24.1399,24.1399,23.9001,23.99,,900.0
2007-09-26,24.38,24.38,24.24,24.3,,7200.0
2007-09-27,24.58,24.5499,24.42,24.42,,4200.0
2007-09-28,24.58,24.4701,24.4701,24.48,,2900.0
2007-10-01,24.952,24.9372,24.5901,24.61,,6200.0
2007-10-02,25.05,25.05,24.98,25.03,,4300.0
2007-10-03,25.1,25.0,24.99,24.99,,1000.0
2007-10-04,25.06,25.0201,24.9801,24.99,,5500.0
2007-10-05,25.4699,25.35,25.2301,25.32,,11100.0
2007-10-08,25.4099,25.4,25.32,25.38,,2000.0
2007-10-09,25.67,25.67,25.4899,25.52,,10300.0
2007-10-10,25.6575,25.65,25.55,25.58,,7400.0
2007-10-11,25.89,25.3308,25.3308,25.8401,,5200.0
2007-10-12,25.65,25.65,25.4201,25.4201,,1400.0
2007-10-15,25.5501,25.3322,25.28,25.5501,,3600.0
2007-10-16,25.2499,25.2,25.1101,25.2,,2500.0
2007-10-17,25.28,25.17,25.07,25.28,,6400.0
2007-10-18,25.28,25.23,25.05,25.1,,4200.0
2007-10-19,25.1,24.71,24.71,25.1,,12900.0
2007-10-22,24.82,24.75,24.42,24.42,,4200.0
2007-10-23,25.2,25.19,24.94,25.11,,6300.0
2007-10-24,25.174,24.8299,24.82,25.14,,3000.0
2007-10-25,25.09,24.74,24.74,25.0,,37800.0
2007-10-26,25.2699,25.2699,24.9999,25.1299,,4400.0
2007-10-29,25.47,25.39,25.3,25.43,,3400.0
2007-10-30,25.47,25.306,25.306,25.47,,4400.0
2007-10-31,25.76,25.76,25.53,25.6,,27900.0
2007-11-01,25.6,25.16,25.16,25.5799,,2400.0
2007-11-02,25.3399,25.17,25.1,25.1,,6500.0
2007-11-05,25.2101,25.19,25.1601,25.2101,,1100.0
2007-11-06,25.69,25.69,25.08,25.08,,2600.0
2007-11-07,25.57,25.18,25.18,25.5,,16100.0
2007-11-08,25.25,25.05,24.6901,25.25,,10600.0
2007-11-09,24.6301,24.43,24.43,24.59,,1700.0
2007-11-12,24.5,23.67,23.67,24.5,,20100.0
2007-11-13,24.41,24.37,24.0101,24.1,,7700.0
2007-11-14,24.64,24.24,24.24,24.64,,2700.0
2007-11-15,24.38,24.0101,23.96,24.12,,2130.0
2007-11-16,24.3,24.21,24.0,24.08,,7900.0
2007-11-19,23.95,23.82,23.77,23.95,,4300.0
2007-11-20,24.0,23.85,23.47,24.0,,17800.0
2007-11-21,23.94,23.64,23.5201,23.64,,6000.0
2007-11-23,23.98,23.98,23.75,23.75,,2900.0
2007-11-26,24.162,23.63,23.63,24.06,,6000.0
2007-11-27,23.78,23.77,23.5201,23.78,,3000.0
