Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-03-28,10.5,10.5,10.5,10.5,,200.0
2007-03-30,10.25,10.25,10.23,10.23,,850.0
2007-04-02,10.25,10.1,9.95,9.95,,16000.0
2007-04-09,9.25,9.25,9.25,9.25,,250.0
2007-04-27,9.5,9.5,9.35,9.35,,700.0
2007-04-30,10.25,10.25,9.5,9.5,,850.0
2007-05-01,9.75,9.75,9.75,9.75,,1500.0
2007-05-10,11.0,11.0,10.2,10.2,,3900.0
2007-05-11,10.5,10.5,10.5,10.5,,800.0
2007-05-14,10.5,10.5,10.5,10.5,,300.0
2007-05-15,10.5,10.5,10.5,10.5,,400.0
2007-05-17,10.25,10.0,10.0,10.25,,1600.0
2007-05-21,10.25,10.0,10.0,10.25,,2000.0
2007-06-04,10.25,10.0,10.0,10.1,,2100.0
2007-06-11,9.75,9.75,9.75,9.75,,500.0
2007-06-18,9.75,9.75,9.75,9.75,,100.0
2007-06-19,9.5,9.5,9.5,9.5,,1400.0
2007-06-21,9.0,9.0,9.0,9.0,,100.0
2007-06-25,9.5,9.5,9.0,9.0,,2200.0
2007-06-29,10.15,10.15,10.0,10.0,,1450.0
2007-07-26,8.55,8.55,8.55,8.55,,1100.0
2007-07-27,8.5,8.5,8.5,8.5,,500.0
2007-07-31,8.75,8.75,8.75,8.75,,750.0
2007-08-02,8.0,8.0,8.0,8.0,,1500.0
2007-08-06,7.5,7.5,7.5,7.5,,2100.0
2007-08-13,7.5,7.5,7.5,7.5,,1375.0
2007-08-14,7.25,7.25,7.25,7.25,,500.0
2007-08-16,7.5,7.5,6.5,7.0,,2450.0
2007-08-22,7.5,7.5,7.5,7.5,,500.0
2007-08-23,8.0,8.0,7.0,7.9,,4700.0
2007-08-24,8.5,8.5,8.5,8.5,,500.0
2007-08-30,7.0,6.75,6.75,7.0,,3000.0
2007-08-31,7.0,7.0,6.75,6.75,,3500.0
2007-09-04,7.0,7.0,6.76,6.76,,1500.0
