Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-06-26,15.69,15.0,15.0,15.23,28359.0,7284822.0
2015-06-29,16.29,15.99,14.85,15.0,4064.0,873725.0
2015-06-30,15.98,15.51,15.34,15.7,3566.0,558428.0
2015-07-01,15.85,15.29,15.15,15.4,1327.0,292912.0
2015-07-02,15.63,14.81,13.41,15.22,2231.0,411968.0
2015-07-06,14.83,14.4,14.11,14.79,605.0,184043.0
2015-07-07,14.69,14.6,13.85,14.27,871.0,183045.0
2015-07-08,14.69,14.4,13.86,14.19,482.0,94308.0
2015-07-09,14.74,14.29,14.21,14.29,382.0,294785.0
2015-07-10,15.19,14.89,14.4,14.4,345.0,62392.0
2015-07-13,14.95,14.76,14.5,14.67,306.0,69129.0
2015-07-14,14.9,14.84,14.5001,14.84,205.0,46522.0
2015-07-15,14.9,14.66,14.52,14.74,214.0,37735.0
2015-07-16,14.99,14.73,14.535,14.98,220.0,37722.0
2015-07-17,15.5,15.46,14.75,14.75,719.0,189234.0
2015-07-20,15.49,15.13,14.9,15.43,494.0,111159.0
2015-07-21,16.0,15.78,14.92,15.1,1750.0,294566.0
2015-07-22,15.9899,15.5101,15.25,15.75,324.0,57867.0
2015-07-23,15.9,15.56,15.5,15.77,407.0,64379.0
2015-07-24,15.765,15.43,15.09,15.49,532.0,92558.0
2015-07-27,15.35,14.98,14.85,15.09,379.0,60075.0
2015-07-28,15.33,15.12,14.9,14.93,221.0,31675.0
2015-07-29,15.53,15.53,15.05,15.3,679.0,196251.0
2015-07-30,15.48,15.48,15.0801,15.48,158.0,21999.0
2015-07-31,15.95,15.95,15.3,15.5,302.0,63555.0
2015-08-03,16.0,15.96,15.1501,15.77,527.0,86997.0
2015-08-04,15.96,15.66,15.615,15.93,712.0,120552.0
2015-08-05,15.92,15.01,14.85,15.58,672.0,118380.0
2015-08-06,15.57,14.87,14.5,14.85,272.0,61304.0
2015-08-07,14.98,14.8,14.6961,14.8,89.0,13227.0
2015-08-10,15.3,15.23,14.2,15.25,954.0,136026.0
2015-08-11,15.3,14.93,14.0,15.24,119.0,16090.0
2015-08-12,15.09,14.93,14.49,14.9499,222.0,38572.0
2015-08-13,15.07,14.91,14.615,14.99,176.0,28192.0
2015-08-14,15.04,14.9,14.51,14.67,422.0,93502.0
2015-08-17,15.05,14.99,14.75,15.02,352.0,29659.0
2015-08-18,14.99,14.77,14.69,14.94,399.0,63100.0
2015-08-19,14.95,14.77,14.7,14.81,86.0,10242.0
2015-08-20,15.02,14.75,14.38,14.58,348.0,68597.0
2015-08-21,14.94,14.94,14.68,14.72,235.0,34656.0
2015-08-24,14.72,14.18,13.04,14.64,800.0,200554.0
2015-08-25,14.63,13.32,13.0,14.46,1119.0,165420.0
2015-08-26,13.89,13.2,12.48,13.46,717.0,119090.0
2015-08-27,14.1999,13.52,10.92,13.38,425.0,75149.0
2015-08-28,14.07,13.7,13.055,14.07,409.0,61223.0
2015-08-31,14.74,14.62,13.24,13.48,861.0,181280.0
2015-09-01,14.45,14.07,13.75,14.2,328.0,54141.0
2015-09-02,14.65,14.5,13.97,14.15,366.0,58772.0
2015-09-03,14.6,14.46,14.4,14.6,90.0,14384.0
2015-09-04,14.5,14.35,14.06,14.5,140.0,20258.0
