Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-05-17,15.24,15.0,13.35,15.0,9550.0,2707317.0
2017-05-18,16.88,16.6,14.86,14.88,1753.0,316116.0
2017-05-19,16.79,16.52,16.12,16.61,708.0,101137.0
2017-05-22,16.87,16.57,16.27,16.55,458.0,66498.0
2017-05-23,16.65,16.36,16.155,16.49,294.0,42716.0
2017-05-24,16.91,16.57,16.3345,16.34,440.0,57821.0
2017-05-25,17.0,16.81,16.45,16.69,373.0,50517.0
2017-05-26,17.52,17.24,16.6001,16.91,667.0,98785.0
2017-05-30,17.98,17.92,17.52,17.52,384.0,51815.0
2017-05-31,18.63,18.3,17.26,18.2,625.0,175669.0
2017-06-01,19.74,18.93,18.4172,18.89,442.0,90453.0
2017-06-02,19.79,18.94,18.43,18.89,491.0,85387.0
2017-06-05,20.6,19.14,18.9855,19.27,518.0,66554.0
2017-06-06,19.9792,18.09,17.5001,19.1,562.0,167555.0
2017-06-07,18.98,18.5,17.07,18.0,465.0,56621.0
2017-06-08,19.18,18.67,18.1,18.52,207.0,32706.0
2017-06-09,19.16,18.59,18.27,18.46,376.0,67959.0
2017-06-12,18.97,17.99,17.58,18.6,525.0,97441.0
2017-06-13,18.5,17.24,17.005,18.2,756.0,101037.0
2017-06-14,17.5299,16.59,16.2,17.15,374.0,55304.0
2017-06-15,17.4,16.55,16.4,16.4,551.0,74333.0
2017-06-16,17.24,17.12,16.5501,16.59,275.0,56181.0
2017-06-19,17.52,17.02,16.72,16.98,187.0,18382.0
2017-06-20,17.48,16.81,16.66,17.0,135.0,15928.0
2017-06-21,17.525,16.85,16.51,16.83,407.0,123627.0
2017-06-22,17.75,17.54,16.85,17.305,403.0,140043.0
2017-06-23,18.25,17.59,16.54,17.62,357.0,52202.0
2017-06-26,18.22,18.0,17.215,17.6,543.0,154932.0
2017-06-27,18.72,18.2,17.61,17.64,672.0,263108.0
2017-06-28,18.7739,18.1,17.7266,18.65,241.0,48594.0
2017-06-29,19.07,18.0,17.595,17.98,279.0,61860.0
2017-06-30,18.28,17.44,17.17,17.87,277.0,63729.0
2017-07-03,17.75,17.55,17.1,17.6,280.0,57744.0
2017-07-05,17.935,17.12,17.01,17.55,164.0,27324.0
2017-07-06,17.43,16.72,16.55,16.97,128.0,16979.0
2017-07-07,17.2,16.9,16.69,16.69,78.0,8272.0
2017-07-10,17.1701,16.64,16.57,16.9,118.0,13139.0
2017-07-11,16.85,15.55,15.55,16.65,143.0,19405.0
2017-07-12,15.69,15.36,15.03,15.54,225.0,21058.0
2017-07-13,15.43,15.24,15.05,15.31,247.0,88518.0
2017-07-14,16.19,15.42,15.25,15.85,278.0,40151.0
2017-07-17,15.54,15.49,15.085,15.23,285.0,42230.0
2017-07-18,16.284,15.46,15.0426,15.77,382.0,79889.0
2017-07-19,15.8,15.4,15.01,15.44,162.0,29090.0
2017-07-20,16.496,15.1,14.94,15.4,216.0,32134.0
2017-07-21,15.33,15.21,14.17,14.97,245.0,29154.0
2017-07-24,15.78,15.02,14.9,15.406,61.0,7017.0
2017-07-25,15.4065,15.01,14.39,14.92,187.0,42057.0
2017-07-26,15.23,14.6,14.5,15.23,138.0,26488.0
2017-07-27,14.8,14.69,14.0,14.8,137.0,23170.0
2017-07-28,15.0,14.7,14.14,14.82,109.0,21303.0
2017-07-31,14.94,14.23,14.23,14.94,53.0,7938.0
2017-08-01,14.19,13.51,13.35,14.13,248.0,31657.0
2017-08-02,13.87,13.0,12.13,13.51,416.0,57938.0
2017-08-03,13.1872,12.53,12.51,12.85,145.0,21970.0
2017-08-04,13.3,13.12,12.04,12.5,412.0,65395.0
2017-08-07,13.71,13.27,12.4088,13.05,249.0,69295.0
2017-08-08,13.45,12.85,12.85,13.449,104.0,21169.0
2017-08-09,12.67,12.53,12.27,12.67,151.0,28749.0
2017-08-10,12.68,12.59,12.27,12.54,159.0,12765.0
2017-08-11,12.82,12.77,12.05,12.07,96.0,17364.0
2017-08-14,13.63,13.0,12.5689,12.58,315.0,28564.0
2017-08-15,14.47,14.4,12.64,13.57,464.0,86577.0
2017-08-16,14.75,13.95,13.5,14.53,533.0,62733.0
2017-08-17,15.94,15.63,13.87,13.87,453.0,106818.0
2017-08-18,16.49,16.02,15.02,15.76,443.0,41877.0
2017-08-21,18.3824,17.88,15.78,15.78,642.0,114452.0
2017-08-22,18.02,17.08,15.88,18.02,425.0,48292.0
2017-08-23,18.15,17.34,16.61,16.9,297.0,27438.0
2017-08-24,18.37,18.03,16.9,17.45,266.0,95481.0
2017-08-25,17.82,17.25,17.0,17.29,332.0,36636.0
2017-08-28,17.95,17.73,16.26,16.26,255.0,19300.0
2017-08-29,18.492,18.33,16.81,16.81,463.0,72386.0
2017-08-30,18.91,18.62,17.41,17.8727,374.0,51717.0
