Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2008-10-03,11.69,11.49,11.0,11.02,,435913.0
2008-10-06,11.5,11.5,11.0,11.26,,299623.0
2008-10-07,11.35,10.92,10.88,11.35,,179024.0
2008-10-08,11.0,10.9,10.69,11.0,,70608.0
2008-10-09,11.0,10.35,10.35,11.0,,104290.0
2008-10-10,10.55,10.25,10.0,10.35,,82920.0
2008-10-13,11.0,10.86,10.49,10.49,,20445.0
2008-10-14,11.0,10.9,10.8,11.0,,52551.0
2008-10-15,10.85,10.32,10.32,10.85,,26503.0
2008-10-16,10.4,10.31,10.26,10.26,,19670.0
2008-10-17,10.45,10.4301,10.29,10.35,,44562.0
2008-10-20,10.79,10.45,10.36,10.71,,5904.0
2008-10-21,10.55,10.55,10.45,10.45,,10396.0
2008-10-22,10.55,10.45,10.45,10.55,,9850.0
2008-10-23,10.45,10.35,10.3,10.45,,80453.0
2008-10-24,10.35,10.24,10.15,10.3,,34052.0
2008-10-27,10.3,10.29,10.21,10.24,,41126.0
2008-10-28,10.3,10.22,10.0,10.3,,49812.0
2008-10-29,10.22,10.19,10.05,10.22,,47802.0
2008-10-30,10.3201,10.24,10.2,10.22,,51484.0
2008-10-31,10.4499,10.31,10.22,10.24,,103365.0
2008-11-03,10.37,10.35,10.32,10.35,,38827.0
2008-11-04,10.45,10.3,10.3,10.41,,63618.0
2008-11-05,10.42,10.31,10.31,10.4,,10300.0
2008-11-06,10.3001,10.18,10.18,10.3001,,39025.0
2008-11-07,10.3,10.3,10.15,10.17,,18420.0
2008-11-10,10.35,10.3,10.2,10.35,,9200.0
2008-11-11,10.38,10.2999,10.18,10.18,,10000.0
2008-11-12,10.25,10.1,10.1,10.18,,13322.0
2008-11-13,10.25,10.25,10.05,10.05,,5693.0
2008-11-14,10.109,10.109,10.0,10.0,,2300.0
2008-11-17,10.28,10.25,10.0,10.0,,5941.0
2008-11-18,10.1399,10.1399,9.93,9.93,,4815.0
2008-11-19,10.24,10.0,9.9,9.9,,7050.0
2008-11-20,10.0,9.91,9.91,10.0,,7900.0
2008-11-21,9.99,9.92,9.82,9.9,,38648.0
2008-11-24,9.95,9.85,9.8,9.8,,5320.0
2008-11-25,9.85,9.8,9.8,9.84,,51600.0
2008-11-26,9.9,9.9,9.75,9.8,,25598.0
2008-11-28,9.9,9.8,9.8,9.9,,1353.0
2008-12-01,9.9,9.837,9.82,9.82,,4566.0
2008-12-02,9.9,9.85,9.8,9.8,,8446.0
2008-12-03,9.9,9.9,9.7,9.7,,4066.0
2008-12-04,9.85,9.7999,9.7999,9.85,,7761.0
2008-12-05,9.8,9.8,9.7,9.7,,6250.0
2008-12-08,9.89,9.85,9.85,9.89,,3603.0
2008-12-09,9.8601,9.67,9.67,9.8601,,7250.0
2008-12-10,9.7,9.7,9.66,9.7,,10240.0
2008-12-11,9.8899,9.8899,9.75,9.75,,7000.0
2008-12-12,9.87,9.74,9.54,9.54,,1400.0
2008-12-15,9.89,9.7,9.65,9.87,,6300.0
2008-12-16,9.73,9.73,9.73,9.73,,650.0
2008-12-18,9.75,9.74,9.7,9.7,,12368.0
2008-12-19,9.75,9.57,9.57,9.7,,19085.0
2008-12-22,9.65,9.61,9.51,9.55,,5044.0
2008-12-23,9.52,9.5,9.5,9.52,,1400.0
2008-12-24,9.65,9.63,9.51,9.51,,2900.0
2008-12-26,9.63,9.6299,9.56,9.5814,,5976.0
2008-12-29,9.75,9.6,9.55,9.55,,31500.0
2008-12-30,9.75,9.75,9.55,9.55,,3500.0
2008-12-31,9.78,9.75,9.7,9.75,,13810.0
2009-01-02,9.75,9.75,9.75,9.75,,500.0
2009-01-05,9.9,9.85,9.8,9.8,,9500.0
2009-01-06,9.88,9.7999,9.71,9.88,,20570.0
2009-01-07,9.79,9.7899,9.78,9.79,,1000.0
2009-01-08,9.89,9.89,9.75,9.75,,1465.0
2009-01-09,9.79,9.7899,9.7899,9.79,,400.0
2009-01-12,9.72,9.6,9.57,9.57,,1500.0
2009-01-13,9.55,9.55,9.53,9.55,,14933.0
2009-01-14,9.5,9.5,9.5,9.5,,100.0
2009-01-15,9.72,9.72,9.51,9.51,,200.0
2009-01-16,9.72,9.52,9.5,9.51,,6900.0
2009-01-20,9.7112,9.7112,9.51,9.51,,300.0
2009-01-21,9.54,9.54,9.35,9.46,,7200.0
2009-01-22,9.63,9.63,9.63,9.63,,900.0
2009-01-23,9.409,9.409,9.4,9.4,,525.0
2009-01-26,9.568,9.48,9.0,9.568,,8895.0
2009-01-28,9.49,9.48,9.08,9.1,,3950.0
2009-01-29,9.4799,9.4799,9.4799,9.4799,,200.0
2009-01-30,9.22,9.02,9.0,9.22,,28383.0
2009-02-02,9.23,9.03,9.0,9.22,,8625.0
2009-02-03,9.48,9.28,9.06,9.1,,15337.0
2009-02-04,9.69,9.69,9.4,9.4,,14200.0
2009-02-05,9.7399,9.65,9.55,9.62,,23421.0
2009-02-06,9.7,9.69,9.26,9.26,,9209.0
