Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2001-07-12,2.0,2.0,2.0,2.0,800.0
2001-07-13,2.1,2.09,2.0,2.1,29000.0
2001-07-16,2.2,2.11,2.09,2.09,18800.0
2001-07-17,2.55,2.41,2.11,2.11,89200.0
2001-07-18,2.65,2.64,2.5,2.5,72500.0
2001-07-19,2.65,2.25,2.21,2.65,64000.0
2001-07-20,2.5,2.3,2.25,2.39,29800.0
2001-07-23,2.5,2.4,2.21,2.21,28300.0
2001-07-24,2.4,2.4,2.31,2.31,2600.0
2001-07-25,2.45,2.35,2.35,2.38,18100.0
2001-07-26,2.31,2.3,2.3,2.31,3500.0
2001-07-27,2.3,2.26,2.25,2.3,13400.0
2001-07-30,2.48,2.45,2.29,2.3,56800.0
2001-07-31,2.35,2.33,2.21,2.35,31100.0
2001-08-01,2.35,2.35,2.25,2.33,22300.0
2001-08-02,2.3,2.25,2.21,2.3,28800.0
2001-08-03,2.26,2.26,2.26,2.26,800.0
2001-08-06,2.5,2.49,2.23,2.25,37500.0
2001-08-07,2.5,2.3,2.3,2.49,31300.0
2001-08-08,2.45,2.3,2.3,2.4,23100.0
2001-08-09,2.5,2.3,2.3,2.3,5000.0
2001-08-10,2.5,2.5,2.25,2.25,10500.0
2001-08-14,2.35,2.25,2.2,2.35,5700.0
2001-08-15,2.27,2.25,2.15,2.25,31400.0
2001-08-16,2.27,2.19,2.16,2.27,14200.0
2001-08-17,2.19,2.19,2.15,2.16,3200.0
2001-08-20,2.23,2.19,2.19,2.23,6300.0
2001-08-21,2.39,2.25,2.19,2.2,13200.0
2001-08-22,2.25,2.05,2.05,2.25,19900.0
2001-08-23,2.1,2.01,2.01,2.05,8300.0
2001-08-24,2.02,2.0,1.95,2.02,3200.0
2001-08-27,1.95,1.82,1.82,1.95,21700.0
2001-08-28,1.9,1.7,1.55,1.9,20300.0
2001-08-29,1.9,1.75,1.58,1.58,36900.0
2001-08-30,1.8,1.8,1.71,1.71,2000.0
2001-08-31,1.9,1.9,1.89,1.89,3100.0
2001-09-04,1.9,1.8,1.8,1.9,3900.0
2001-09-05,1.8,1.8,1.8,1.8,2400.0
2001-09-06,1.97,1.97,1.97,1.97,500.0
2001-09-07,1.8,1.62,1.62,1.8,3300.0
2001-09-17,1.75,1.75,1.72,1.75,4500.0
2001-09-18,1.79,1.72,1.7,1.75,6200.0
2001-09-19,1.7,1.7,1.7,1.7,200.0
2001-09-20,1.7,1.7,1.6,1.6,7600.0
2001-09-21,1.7,1.55,1.55,1.6,6800.0
2001-09-24,1.55,1.55,1.55,1.55,1000.0
2001-09-25,1.6,1.6,1.5,1.6,4700.0
2001-09-27,1.65,1.65,1.6,1.65,1700.0
2001-09-28,1.7,1.7,1.65,1.65,4700.0
2001-10-01,1.6,1.6,1.6,1.6,200.0
2001-10-02,1.62,1.6,1.6,1.6,4800.0
2001-10-03,1.65,1.57,1.57,1.65,8800.0
2001-10-04,1.8,1.8,1.6,1.6,4000.0
2001-10-05,1.65,1.6,1.6,1.65,3700.0
2001-10-08,1.6,1.6,1.6,1.6,400.0
2001-10-11,1.75,1.75,1.75,1.75,1000.0
2001-10-15,1.7,1.7,1.65,1.65,15500.0
2001-10-16,1.65,1.55,1.55,1.65,5400.0
2001-10-17,1.6,1.6,1.6,1.6,800.0
2001-10-18,1.6,1.6,1.6,1.6,800.0
2001-10-19,1.85,1.8,1.7,1.85,2000.0
2001-10-22,1.78,1.78,1.7,1.7,2500.0
2001-10-23,1.7,1.7,1.6,1.6,1000.0
2001-10-26,1.8,1.8,1.71,1.71,1000.0
2001-10-29,,,,,1000.0
2001-10-30,1.65,1.65,1.65,1.65,500.0
2001-10-31,1.65,1.65,1.65,1.65,800.0
2001-11-01,1.62,1.62,1.62,1.62,100.0
2001-11-06,1.7,1.62,1.5,1.7,12800.0
2001-11-09,1.55,1.55,1.55,1.55,700.0
2001-11-14,1.6,1.55,1.55,1.6,4000.0
2001-11-15,1.6,1.45,1.45,1.55,33800.0
2001-11-20,1.6,1.35,1.35,1.45,6600.0
2001-11-26,1.3,1.3,1.3,1.3,1000.0
2001-11-27,1.9,1.55,1.25,1.25,28800.0
2001-11-28,1.55,1.5,1.45,1.55,3500.0
2001-11-30,1.75,1.65,1.51,1.51,1200.0
2001-12-04,1.6,1.6,1.6,1.6,200.0
2001-12-05,1.66,1.66,1.5,1.5,400.0
2001-12-06,1.75,1.7,1.6,1.6,7800.0
2001-12-07,1.9,1.9,1.75,1.9,7600.0
2001-12-10,1.76,1.65,1.4,1.76,14200.0
2001-12-11,1.75,1.65,1.65,1.7,9500.0
2001-12-12,1.75,1.7,1.35,1.65,38500.0
2001-12-14,1.85,1.85,1.5,1.5,5000.0
2001-12-17,1.7,1.7,1.7,1.7,100.0
2001-12-18,1.9,1.85,1.85,1.85,5500.0
2001-12-20,1.9,1.7,1.7,1.9,1500.0
2001-12-21,1.75,1.65,1.5,1.5,9000.0
2001-12-24,1.85,1.65,1.65,1.85,400.0
2001-12-26,1.85,1.59,1.5,1.85,6600.0
2001-12-27,1.625,1.5,1.5,1.5,4100.0
2001-12-28,1.65,1.65,1.6,1.65,2000.0
2001-12-31,1.6,1.6,1.5,1.5,3400.0
2002-01-02,1.7,1.6,1.55,1.6,9300.0
2002-01-03,1.55,1.55,1.55,1.55,1000.0
2002-01-04,1.65,1.65,1.55,1.55,900.0
2002-01-07,1.65,1.55,1.55,1.65,700.0
2002-01-10,1.55,1.55,1.55,1.55,200.0
2002-01-11,1.57,1.57,1.57,1.57,200.0
2002-01-14,1.6,1.45,1.45,1.55,8700.0
2002-01-15,1.45,1.4,1.4,1.45,4700.0
2002-01-18,1.5,1.5,1.4,1.5,3900.0
2002-01-22,1.65,1.6,1.45,1.45,8600.0
2002-01-23,1.62,1.62,1.62,1.62,1800.0
2002-01-25,1.55,1.55,1.55,1.55,2400.0
2002-01-28,1.6,1.6,1.6,1.6,3500.0
2002-01-29,1.65,1.55,1.55,1.65,2500.0
2002-01-31,1.55,1.55,1.55,1.55,1500.0
2002-02-01,1.5,1.4,1.36,1.5,12900.0
2002-02-05,1.5,1.5,1.45,1.45,1000.0
2002-02-07,1.47,1.47,1.47,1.47,1500.0
2002-02-08,1.5,1.5,1.45,1.45,4000.0
2002-02-11,1.4,1.4,1.4,1.4,500.0
2002-02-12,1.45,1.3,1.3,1.4,8900.0
2002-02-20,1.3,1.3,1.3,1.3,1000.0
2002-02-21,1.32,1.32,1.25,1.27,8300.0
2002-02-22,1.32,1.3,1.12,1.25,9000.0
2002-02-25,1.2,1.2,1.2,1.2,900.0
2002-02-26,1.24,1.24,1.15,1.15,700.0
2002-02-27,1.2,1.2,1.2,1.2,1000.0
2002-02-28,1.24,1.01,1.01,1.24,17900.0
2002-03-01,1.04,1.01,0.99,1.01,41300.0
2002-03-04,1.04,1.04,1.04,1.04,300.0
2002-03-05,1.01,0.95,0.95,1.01,3700.0
2002-03-06,0.95,0.95,0.95,0.95,300.0
2002-03-07,1.1,1.1,0.95,0.95,23200.0
2002-03-08,1.15,1.05,1.0,1.15,13800.0
2002-03-13,1.03,1.01,1.01,1.03,1300.0
2002-03-14,0.97,0.95,0.95,0.97,5800.0
2002-03-18,1.07,1.07,0.88,0.98,463900.0
2002-03-19,1.2,1.15,1.07,1.07,14200.0
2002-03-20,1.2,1.15,1.15,1.2,28200.0
2002-03-21,1.16,1.1,1.1,1.16,1200.0
2002-03-22,1.16,1.05,1.05,1.16,5600.0
2002-03-25,1.17,1.09,1.05,1.05,9000.0
2002-03-26,1.05,1.05,1.05,1.05,300.0
2002-03-27,1.05,1.05,1.05,1.05,400.0
2002-03-28,1.2,1.2,1.05,1.05,8700.0
2002-04-01,1.1,1.1,1.1,1.1,800.0
2002-04-02,1.2,1.2,1.1,1.2,13000.0
2002-04-03,1.35,1.35,1.25,1.25,9000.0
2002-04-04,1.35,1.35,1.3,1.33,15500.0
2002-04-05,1.35,1.35,1.3,1.35,19000.0
2002-04-08,1.35,1.35,1.3,1.35,6400.0
2002-04-10,1.38,1.37,1.35,1.38,58000.0
2002-04-11,1.38,1.38,1.38,1.38,1300.0
2002-04-12,1.38,1.35,1.3,1.35,27800.0
