Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-05-09,16.55,15.75,14.62,14.66,40167.0,9333964.0
2019-05-10,16.95,16.75,15.456,15.59,5488.0,1159992.0
2019-05-13,16.29,15.54,15.32,16.29,2630.0,442440.0
2019-05-14,16.24,16.0,15.5,15.87,1610.0,282486.0
2019-05-15,16.2,15.85,15.5018,16.0,2100.0,489659.0
2019-05-16,16.0,15.6,15.11,15.83,1684.0,409445.0
2019-05-17,15.988,15.8,15.4,15.55,1586.0,334649.0
2019-05-20,16.0,15.93,15.45,15.47,1134.0,319295.0
2019-05-21,16.728,16.45,15.88,15.88,1735.0,512633.0
2019-05-22,16.62,16.54,16.28,16.4,1001.0,267319.0
2019-05-23,16.56,16.2,16.2,16.37,196.0,47546.0
2019-05-24,16.49,16.32,15.901,16.28,925.0,307547.0
2019-05-28,16.7188,16.5,16.253,16.49,408.0,88951.0
2019-05-29,16.66,16.6,16.25,16.39,185.0,59054.0
2019-05-30,16.7494,16.66,16.43,16.43,177.0,54599.0
2019-05-31,17.56,17.26,16.24,16.42,762.0,280778.0
2019-06-03,17.56,17.14,16.7449,17.27,748.0,224064.0
2019-06-04,17.56,17.56,15.985,17.33,1409.0,279019.0
2019-06-05,18.0,16.6,16.31,17.56,1480.0,274391.0
2019-06-06,17.22,16.75,16.535,16.7,481.0,184315.0
2019-06-07,17.08,16.31,15.96,16.75,953.0,325399.0
2019-06-10,16.22,15.5,14.75,16.22,1521.0,293554.0
2019-06-11,15.98,15.33,15.067,15.75,1971.0,421932.0
2019-06-12,16.69,16.44,15.42,15.42,1460.0,267643.0
2019-06-13,16.75,16.68,16.02,16.02,455.0,44765.0
2019-06-14,16.97,16.93,16.5665,16.7,396.0,44354.0
2019-06-17,17.25,17.17,16.5583,17.07,203.0,15964.0
2019-06-18,17.45,17.04,16.83,17.17,195.0,21028.0
2019-06-19,17.29,16.89,16.89,17.29,419.0,40609.0
2019-06-20,17.47,17.14,16.53,17.07,353.0,41042.0
2019-06-21,17.165,16.66,16.24,17.07,529.0,371068.0
2019-06-24,16.9,16.0,15.11,16.77,397.0,85531.0
2019-06-25,16.67,15.91,15.77,16.05,381.0,44650.0
2019-06-26,16.265,16.06,15.8,15.85,915.0,118274.0
2019-06-27,16.62,16.04,15.4,16.01,927.0,114773.0
2019-06-28,16.42,16.25,15.75,16.01,620.0,104145.0
2019-07-01,16.46,16.42,15.6,16.37,416.0,95251.0
2019-07-02,16.57,16.53,15.93,16.37,366.0,41213.0
2019-07-03,16.49,16.4,16.005,16.4,134.0,11761.0
2019-07-05,17.15,17.1,16.21,16.21,181.0,16007.0
2019-07-08,17.5,17.38,16.0772,17.08,170.0,14940.0
2019-07-09,17.635,17.39,17.04,17.04,743.0,109590.0
2019-07-10,18.49,18.01,16.91,17.44,806.0,183799.0
2019-07-11,19.75,18.0,17.53,18.05,242.0,21656.0
2019-07-12,18.0,17.95,17.1614,17.85,42.0,3229.0
2019-07-15,18.35,17.99,17.63,17.82,120.0,9388.0
2019-07-16,18.58,18.4,17.21,17.85,499.0,52622.0
2019-07-17,18.41,18.0,17.955,18.2,320.0,31913.0
2019-07-18,18.25,18.15,17.3,17.85,357.0,67030.0
2019-07-19,19.09,18.49,17.75,17.82,667.0,107266.0
2019-07-22,18.67,18.0,18.0,18.67,221.0,15849.0
2019-07-23,18.5,18.36,17.77,18.19,301.0,39494.0
2019-07-24,19.2098,18.4,17.2916,18.19,932.0,188313.0
2019-07-25,18.49,18.19,18.0,18.03,243.0,19286.0
2019-07-26,18.39,18.2,17.87,18.0965,211.0,22124.0
2019-07-29,18.97,18.21,17.95,18.04,225.0,18908.0
2019-07-30,18.715,18.44,18.0,18.08,263.0,21705.0
2019-07-31,18.88,18.18,18.02,18.26,438.0,52629.0
2019-08-01,19.95,19.95,18.06,18.12,817.0,135940.0
2019-08-02,19.06,18.55,18.0247,19.06,749.0,78016.0
2019-08-05,18.77,18.02,17.515,18.36,440.0,67588.0
2019-08-06,18.35,18.0,17.625,18.1,525.0,56039.0
2019-08-07,18.32,18.09,17.7567,17.85,155.0,17424.0
2019-08-08,18.81,18.75,17.845,18.17,339.0,27192.0
2019-08-09,18.82,18.6,18.18,18.5,73.0,6311.0
2019-08-12,18.55,18.45,18.2,18.4435,375.0,39944.0
2019-08-13,18.71,18.71,18.19,18.25,286.0,30312.0
2019-08-14,18.99,18.68,17.74,18.39,439.0,58220.0
2019-08-15,19.14,18.77,17.77,18.5,753.0,42330.0
2019-08-16,18.945,18.75,18.375,18.375,128.0,10567.0
2019-08-19,18.91,18.43,18.27,18.9,439.0,36597.0
