Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,68.5,66.62,66.26,68.18,,1638395.0
2007-09-20,67.22,66.2,65.88,66.63,,1117800.0
2007-09-21,67.89,67.15,66.2,66.97,,1470000.0
2007-09-24,68.67,67.69,67.35,67.57,,1552200.0
2007-09-25,68.39,67.85,67.13,67.23,,1330600.0
2007-09-26,69.74,69.69,68.09,68.3,,1629400.0
2007-09-27,72.14,71.13,69.95,70.0,,3385600.0
2007-09-28,71.39,69.88,69.55,71.1,,2290494.0
2007-10-01,71.58,71.22,69.76,70.12,,1347200.0
2007-10-02,70.69,70.62,69.44,70.0,,1846150.0
2007-10-03,72.49,72.4,70.5455,70.81,,2077100.0
2007-10-04,72.77,71.21,70.95,72.77,,1308700.0
2007-10-05,71.95,71.28,70.84,71.0,,770300.0
2007-10-08,71.92,71.38,71.26,71.3,,546800.0
2007-10-09,72.0,71.65,70.87,72.0,,766800.0
2007-10-10,72.95,72.1,71.7,71.89,,873500.0
2007-10-11,72.91,71.22,70.89,72.1,,1004800.0
2007-10-12,72.72,72.63,71.14,71.14,,857100.0
2007-10-15,72.99,71.74,71.51,72.98,,765800.0
2007-10-16,71.97,71.15,70.52,71.77,,1238000.0
2007-10-17,72.15,71.71,71.19,71.5,,1015000.0
2007-10-18,74.28,74.0,71.96,72.0,,1393700.0
2007-10-19,74.31,73.05,72.79,73.57,,1059100.0
2007-10-22,74.7,74.7,72.84,72.98,,888100.0
2007-10-23,76.75,76.18,74.33,75.31,,2284500.0
2007-10-24,75.97,73.5,71.19,75.95,,3541800.0
2007-10-25,77.57,76.93,73.35,74.06,,2303000.0
2007-10-26,77.83,75.56,72.5,77.01,,5852800.0
2007-10-29,81.5,73.75,72.56,80.49,,6053000.0
2007-10-30,75.79,74.19,72.75,73.07,,1809600.0
2007-10-31,75.2,74.95,73.75,74.19,,1635200.0
2007-11-01,74.94,73.32,73.11,74.91,,1536800.0
2007-11-02,74.16,72.23,70.88,74.16,,1749500.0
2007-11-05,72.25,71.39,70.94,72.23,,1523560.0
2007-11-06,73.48,72.4,71.04,73.48,,2036359.0
2007-11-07,72.95,71.13,71.13,72.43,,1358134.0
2007-11-08,72.38,72.07,70.54,71.19,,904755.0
2007-11-09,72.65,72.12,70.58,70.58,,1554660.0
2007-11-12,73.63,72.21,71.43,72.95,,1204540.0
2007-11-13,73.01,72.96,71.32,72.96,,1227936.0
2007-11-14,74.0,73.1,72.66,73.55,,1176760.0
2007-11-15,73.86,71.27,70.93,73.1,,1535509.0
2007-11-16,72.89,72.56,71.51,71.89,,1321948.0
2007-11-19,73.16,71.77,71.52,72.25,,822770.0
2007-11-20,72.37,71.9,71.03,71.74,,1029100.0
2007-11-21,71.9,70.2,70.09,71.17,,846224.0
2007-11-23,71.42,71.19,70.26,70.52,,394177.0
