Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-12-22,10.8799,9.0,8.5,8.5,6340.0,1224731.0
2017-12-26,10.15,9.94,9.1,9.23,2230.0,633735.0
2017-12-27,11.4,9.5,9.3598,10.03,3581.0,841706.0
2017-12-28,9.9152,9.42,9.21,9.66,738.0,189333.0
2017-12-29,9.7,9.05,8.6,9.55,1015.0,297358.0
2018-01-02,9.7,9.5,9.0,9.05,961.0,246391.0
2018-01-03,10.4399,9.87,9.6,9.7,1829.0,583061.0
2018-01-04,10.285,9.9,9.52,9.77,671.0,249515.0
2018-01-05,10.1,9.6,9.45,9.92,1218.0,380104.0
2018-01-08,9.79,9.5,9.1,9.39,410.0,156935.0
2018-01-09,9.68,9.45,9.2401,9.38,394.0,145354.0
2018-01-10,9.58,9.36,9.1,9.57,681.0,203910.0
2018-01-11,9.44,8.71,8.42,9.44,688.0,174829.0
2018-01-12,9.2,8.74,8.57,8.86,466.0,141600.0
2018-01-16,8.72,8.0,7.341,8.61,946.0,304027.0
2018-01-17,8.435,8.11,8.0,8.07,166.0,38813.0
2018-01-18,8.384,7.38,7.36,8.06,623.0,187790.0
2018-01-19,7.779,7.2,7.0,7.43,259.0,73616.0
2018-01-22,7.3999,7.23,7.09,7.09,385.0,99462.0
2018-01-23,7.2992,7.02,6.55,7.23,836.0,181982.0
2018-01-24,7.2316,7.17,7.015,7.19,85.0,22017.0
2018-01-25,7.41,7.2,7.06,7.25,112.0,32205.0
2018-01-26,7.43,7.36,7.1,7.16,227.0,40742.0
2018-01-29,7.9699,7.86,7.1653,7.4,237.0,76983.0
2018-01-30,8.489,7.805,7.5,7.8,281.0,75663.0
2018-01-31,7.83,7.8104,7.6,7.83,104.0,26583.0
2018-02-01,8.21,7.13,7.1205,7.84,233.0,43582.0
2018-02-02,7.28,6.9,6.75,7.28,309.0,56088.0
2018-02-05,7.08,6.22,6.13,6.9,165.0,29258.0
2018-02-06,7.015,6.46,6.3,6.3555,217.0,58486.0
2018-02-07,6.4907,6.26,6.12,6.12,226.0,35817.0
2018-02-08,6.346,6.05,6.05,6.12,197.0,53198.0
2018-02-09,6.15,5.2,5.051,6.084,495.0,129157.0
2018-02-12,6.599,5.6,5.6,5.71,555.0,109363.0
2018-02-13,5.88,5.7,5.62,5.62,193.0,64451.0
2018-02-14,6.48,6.12,5.78,5.78,498.0,117114.0
2018-02-15,6.53,6.19,6.16,6.53,114.0,14516.0
2018-02-16,6.335,6.09,6.09,6.21,66.0,17565.0
2018-02-20,6.1,6.0,6.0,6.013,41.0,8926.0
2018-02-21,6.46,6.27,6.09,6.09,239.0,54245.0
2018-02-22,6.35,6.08,6.07,6.2901,31.0,4511.0
2018-02-23,6.15,6.08,6.06,6.07,34.0,17666.0
2018-02-26,6.37,6.1598,6.101,6.11,145.0,64376.0
2018-02-27,6.3,6.17,6.09,6.2468,132.0,77085.0
2018-02-28,6.9599,6.8,6.17,6.2,400.0,136647.0
2018-03-01,7.11,6.92,6.861,6.88,185.0,75263.0
2018-03-02,6.834,6.7406,6.52,6.8001,216.0,83592.0
2018-03-05,7.03,6.65,6.64,6.74,447.0,97946.0
2018-03-06,7.05,6.91,6.7,6.78,493.0,115943.0
2018-03-07,7.79,7.4,6.95,6.95,933.0,206188.0
2018-03-08,7.89,7.63,7.44,7.57,573.0,122779.0
2018-03-09,7.8839,7.57,7.21,7.66,536.0,107923.0
2018-03-12,8.1499,7.9,7.7001,7.72,807.0,135784.0
2018-03-13,8.1095,8.03,7.7501,7.96,595.0,120146.0
2018-03-14,8.6976,8.3,8.05,8.05,409.0,108851.0
2018-03-15,8.6191,8.43,7.8,8.61,518.0,119519.0
2018-03-16,8.65,8.08,8.0,8.44,628.0,143878.0
2018-03-19,8.21,7.8,7.5501,8.1,619.0,111539.0
2018-03-20,8.5,8.33,7.74,7.74,528.0,110767.0
2018-03-21,8.25,7.99,7.7,8.25,553.0,126781.0
2018-03-22,8.0,7.96,7.85,7.92,462.0,100962.0
2018-03-23,8.03,7.78,7.75,7.89,426.0,110110.0
2018-03-26,8.4,8.05,7.93,7.93,780.0,151730.0
2018-03-27,8.0,7.65,7.3,8.0,472.0,135497.0
2018-03-28,7.8,7.6,7.28,7.39,510.0,108791.0
2018-03-29,8.07,7.78,7.49,7.64,893.0,219499.0
2018-04-02,7.93,7.91,7.35,7.79,661.0,138289.0
2018-04-03,8.15,7.5,7.44,7.92,956.0,171271.0
2018-04-04,7.5901,7.42,7.2,7.44,542.0,114207.0
2018-04-05,7.6,7.36,7.15,7.46,618.0,150144.0
2018-04-06,7.85,7.85,7.3,7.32,196.0,20119.0
2018-04-09,8.14,8.08,7.76,7.87,435.0,101893.0
2018-04-10,8.13,7.91,7.85,8.13,352.0,87754.0
2018-04-11,7.91,7.55,7.08,7.91,606.0,124169.0
2018-04-12,7.73,7.58,7.11,7.51,820.0,145068.0
2018-04-13,8.25,7.58,7.49,7.49,530.0,124369.0
2018-04-16,8.0075,7.45,7.07,7.48,1382.0,286354.0
2018-04-17,7.78,7.51,7.12,7.39,937.0,177872.0
2018-04-18,7.8,7.73,7.3,7.5,873.0,170600.0
2018-04-19,8.01,7.77,7.5,7.76,962.0,182945.0
2018-04-20,7.96,7.3,7.03,7.79,1188.0,213968.0
2018-04-23,7.7,7.31,7.12,7.25,1042.0,203178.0
2018-04-24,7.58,7.44,7.13,7.33,775.0,126178.0
2018-04-25,7.75,7.55,7.26,7.36,485.0,68252.0
2018-04-26,8.01,7.5,7.22,7.49,815.0,141997.0
2018-04-27,7.93,7.5,7.32,7.54,331.0,56591.0
2018-04-30,8.45,8.09,7.47,7.5,1069.0,272991.0
2018-05-01,8.38,7.75,7.61,8.03,412.0,90742.0
2018-05-02,8.18,7.72,7.59,7.71,634.0,101815.0
2018-05-03,7.91,7.81,7.68,7.7,447.0,82392.0
2018-05-04,7.84,7.55,7.48,7.57,417.0,93728.0
2018-05-07,7.87,7.53,7.5,7.5,420.0,59536.0
2018-05-08,7.76,7.4,7.34,7.57,498.0,85630.0
2018-05-09,7.58,7.32,7.2,7.45,422.0,73216.0
2018-05-10,7.42,7.25,7.05,7.32,356.0,62977.0
2018-05-11,7.775,7.65,7.21,7.21,603.0,90480.0
2018-05-14,7.7793,7.55,7.36,7.47,570.0,97510.0
2018-05-15,7.47,7.13,7.07,7.47,547.0,106038.0
2018-05-16,7.46,7.2,7.12,7.46,352.0,55566.0
2018-05-17,7.4,7.11,7.05,7.16,677.0,112395.0
2018-05-18,7.36,7.35,7.1,7.15,449.0,81882.0
2018-05-21,7.5577,7.35,7.21,7.34,657.0,105557.0
2018-05-22,7.74,7.73,7.31,7.38,803.0,143964.0
2018-05-23,8.5,7.79,7.55,7.89,1449.0,268490.0
2018-05-24,8.66,8.23,7.69,8.2,1791.0,387573.0
2018-05-25,8.45,8.1,7.9,8.26,1657.0,346959.0
2018-05-29,8.44,8.44,8.03,8.13,1328.0,203780.0
2018-05-30,8.49,7.9,7.85,8.49,1670.0,389269.0
2018-05-31,8.22,8.03,7.82,7.86,1744.0,322190.0
2018-06-01,8.42,8.08,7.97,7.99,1159.0,214454.0
2018-06-04,8.32,7.92,7.91,8.19,800.0,167831.0
2018-06-05,8.15,7.96,7.95,7.98,758.0,101301.0
2018-06-06,8.11,7.91,7.86,8.02,853.0,152443.0
2018-06-07,8.08,7.97,7.9,7.9,1182.0,177340.0
2018-06-08,8.0,7.87,7.8,7.93,703.0,136107.0
2018-06-11,8.0648,7.86,7.82,7.82,733.0,200773.0
2018-06-12,7.91,7.68,7.6752,7.78,794.0,148491.0
2018-06-13,7.69,7.19,7.13,7.69,272.0,42886.0
2018-06-14,7.98,7.29,7.25,7.45,535.0,72497.0
2018-06-15,7.37,7.16,7.06,7.2,335.0,71353.0
2018-06-18,7.3728,7.29,7.16,7.16,590.0,96939.0
2018-06-19,7.52,7.1,7.1,7.5,870.0,211045.0
2018-06-20,7.46,7.15,7.1,7.17,911.0,155977.0
2018-06-21,7.5141,7.16,7.06,7.24,1177.0,209918.0
2018-06-22,7.22,7.15,6.711,7.13,471.0,73572.0
2018-06-25,7.12,6.44,6.2291,7.12,923.0,232335.0
2018-06-26,6.4,5.46,5.3,6.4,1416.0,375551.0
2018-06-27,6.0132,5.745,5.03,5.35,1864.0,424388.0
2018-06-28,6.1038,5.79,5.53,5.76,939.0,215429.0
2018-06-29,6.45,6.35,5.79,5.79,620.0,117454.0
2018-07-02,6.4625,6.22,6.045,6.37,394.0,74591.0
2018-07-03,6.3309,6.27,6.05,6.22,386.0,126595.0
2018-07-05,6.4,6.35,6.21,6.27,867.0,144636.0
2018-07-06,6.47,6.4,6.1,6.3,831.0,157330.0
2018-07-09,6.43,6.33,6.05,6.22,915.0,163828.0
2018-07-10,6.38,6.31,6.14,6.34,1141.0,179400.0
2018-07-11,6.32,6.28,6.11,6.29,906.0,158482.0
2018-07-12,6.37,6.28,6.14,6.26,787.0,155603.0
2018-07-13,6.6,6.54,6.1,6.29,1389.0,279170.0
2018-07-16,6.665,6.59,6.44,6.57,970.0,181905.0
2018-07-17,7.07,6.98,6.39,6.53,739.0,190582.0
2018-07-18,7.02,6.52,6.5,7.01,1463.0,219368.0
2018-07-19,6.9,6.79,6.3301,6.52,1001.0,242550.0
2018-07-20,6.86,6.8,6.475,6.75,1464.0,233699.0
2018-07-23,7.03,6.79,6.72,6.8,1456.0,264025.0
2018-07-24,6.81,6.4,5.861,6.79,1029.0,176299.0
2018-07-25,6.5,6.26,5.9,6.08,932.0,158611.0
2018-07-26,6.24,5.93,5.8005,6.24,1035.0,144615.0
2018-07-27,6.26,6.13,5.9,5.94,1151.0,182387.0
2018-07-30,6.2188,5.9,5.9,6.09,993.0,162582.0
2018-07-31,6.05,5.74,5.67,5.94,860.0,150895.0
