Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,74.25,73.1,72.789,72.88,,360000.0
2007-09-20,73.53,73.07,72.77,73.3,,201900.0
2007-09-21,73.7356,73.42,73.37,73.45,,161600.0
2007-09-24,74.15,73.23,73.01,73.79,,155300.0
2007-09-25,73.0,72.9501,72.24,72.37,,106700.0
2007-09-26,73.91,73.91,73.15,73.51,,102300.0
2007-09-27,74.69,74.69,74.07,74.32,,61500.0
2007-09-28,74.9,74.15,73.85,74.68,,65600.0
2007-10-01,75.46,75.24,74.54,74.54,,86500.0
2007-10-02,75.19,74.82,74.2,75.19,,210200.0
2007-10-03,74.37,73.77,73.56,74.35,,209100.0
2007-10-04,74.02,73.94,73.2,73.81,,160300.0
2007-10-05,75.5599,75.07,74.47,74.76,,222300.0
2007-10-08,75.1,74.85,74.48,74.9,,88400.0
2007-10-09,76.44,76.39,75.15,75.2,,139600.0
2007-10-10,76.7175,76.43,75.79,76.32,,104200.0
2007-10-11,77.86,75.98,75.36,77.48,,227200.0
2007-10-12,76.855,76.7,75.87,76.17,,69000.0
2007-10-15,77.485,76.34,75.822,77.43,,96000.0
2007-10-16,75.7,75.45,75.09,75.7,,102100.0
2007-10-17,76.14,75.08,74.47,75.95,,132600.0
2007-10-18,76.38,76.13,74.96,75.12,,97700.0
2007-10-19,75.96,74.26,74.26,75.73,,119900.0
2007-10-22,74.034,73.64,72.695,72.92,,305700.0
2007-10-23,75.29,75.2,74.0,74.73,,148300.0
2007-10-24,75.8,75.51,74.19,74.9,,295100.0
2007-10-25,76.39,76.25,75.31,75.97,,108900.0
2007-10-26,78.11,77.73,76.84,76.84,,208300.0
2007-10-29,78.78,78.46,78.31,78.49,,95900.0
2007-10-30,78.05,76.84,76.73,78.05,,159500.0
2007-10-31,78.81,78.71,76.73,77.34,,158600.0
2007-11-01,77.84,76.05,75.7701,77.84,,485800.0
2007-11-02,76.73,76.48,74.875,76.61,,428200.0
2007-11-05,76.3,75.76,74.99,76.3,,86500.0
2007-11-06,77.77,77.77,76.1005,76.79,,349200.0
2007-11-07,77.66,75.78,75.47,77.66,,195315.0
2007-11-08,77.02,76.18,74.61,77.02,,1263045.0
2007-11-09,75.84,74.73,74.22,74.63,,319763.0
2007-11-12,74.33,71.3,71.3,74.04,,409000.0
2007-11-13,73.2,72.99,71.85,71.89,,277485.0
2007-11-14,74.63,73.65,73.39,74.05,,164603.0
2007-11-15,73.19,71.73,71.08,72.93,,264000.0
2007-11-16,72.3199,72.06,70.8201,72.18,,122200.0
2007-11-19,71.6,69.62,69.5,71.6,,267741.0
2007-11-20,71.6,70.77,69.68,69.72,,448900.0
2007-11-21,70.4,69.49,69.0,70.09,,163740.0
2007-11-23,71.0,70.71,69.92,70.36,,100300.0
2007-11-26,72.0299,69.76,69.59,71.25,,282100.0
2007-11-27,70.76,70.36,69.3,70.08,,265200.0
2007-11-28,73.88,73.59,71.41,71.41,,279257.0
2007-11-29,74.89,74.15,72.79,72.79,,195101.0
2007-11-30,75.76,74.68,74.11,75.76,,205255.0
2007-12-03,75.16,74.57,74.08,74.26,,169227.0
2007-12-04,74.72,74.26,74.0,74.72,,91985.0
2007-12-05,75.56,75.5,74.8,75.04,,113400.0
2007-12-06,77.23,77.22,75.43,75.43,,443600.0
2007-12-07,78.03,77.71,77.12,77.63,,104400.0
2007-12-10,78.9999,78.79,78.02,78.21,,215400.0
2007-12-11,79.01,75.84,75.7401,79.01,,502200.0
2007-12-12,78.3,77.2,75.98,78.11,,424800.0
2007-12-13,77.53,77.45,76.337,76.73,,182400.0
2007-12-14,77.18,76.3,75.96,76.86,,170400.0
2007-12-17,75.82,74.1,73.76,75.58,,175000.0
2007-12-18,74.88,74.6,73.0,74.56,,187000.0
2007-12-19,75.29,74.67,74.15,74.77,,108000.0
2007-12-20,75.98,75.94,74.34,75.21,,85100.0
