Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2009-10-29,6.2,6.2,6.2,6.2,2500.0
2009-10-30,5.9,5.9,5.9,5.9,1943.0
2009-11-04,5.3,4.35,4.35,5.3,3030.0
2009-11-05,6.0,6.0,6.0,6.0,1000.0
2009-11-09,10.0,4.7,4.7,10.0,2838.0
2009-11-13,4.7,4.7,4.7,4.7,830.0
2009-11-17,6.6,6.0,6.0,6.0,6564.0
2009-11-18,5.5,5.5,5.5,5.5,815.0
2009-11-20,6.0,6.0,5.65,5.65,200.0
2009-11-24,6.25,6.25,6.0,6.25,6478.0
2009-11-25,6.25,6.1,6.0,6.25,6518.0
2009-11-27,6.1035,6.1035,6.0,6.0,10500.0
2009-11-30,6.25,6.0753,6.0753,6.25,14000.0
2009-12-01,7.25,6.25,6.23,6.25,30994.0
2009-12-04,5.95,5.95,5.95,5.95,267.0
2009-12-10,5.25,5.25,5.25,5.25,1300.0
2009-12-11,6.1,6.1,3.75,3.75,820.0
2009-12-14,5.1,5.1,5.1,5.1,500.0
2009-12-21,4.1,4.1,4.1,4.1,780.0
2009-12-28,4.75,4.75,4.15,4.25,654.0
2009-12-29,4.5,4.45,4.1,4.1,2100.0
2009-12-30,4.1,3.6,3.6,4.1,8067.0
2009-12-31,3.65,3.65,3.65,3.65,4100.0
2010-01-08,3.6,3.6,3.6,3.6,400.0
2010-01-11,3.1,3.1,3.1,3.1,1345.0
2010-01-25,2.97,2.97,2.97,2.97,800.0
2010-02-01,2.99,2.5,2.5,2.99,633.0
2010-02-03,3.95,3.95,2.98,2.98,2040.0
2010-02-10,3.95,3.95,3.95,3.95,150.0
2010-02-12,2.5,2.5,2.5,2.5,2800.0
2010-03-05,2.25,2.25,2.25,2.25,700.0
2010-03-09,2.0,2.0,2.0,2.0,1900.0
2010-03-12,1.75,1.75,1.75,1.75,127.0
2010-03-24,2.0,2.0,2.0,2.0,400.0
2010-03-26,2.0,2.0,2.0,2.0,100.0
2010-04-14,2.0,2.0,2.0,2.0,200.0
2010-05-20,1.5,1.5,1.5,1.5,400.0
2010-05-27,2.5,2.5,2.0,2.0,2924.0
2010-08-18,1.5,1.1,1.1,1.5,900.0
2010-08-24,1.5,1.1,1.1,1.25,1300.0
2010-09-02,1.15,1.15,1.15,1.15,100.0
2010-09-14,1.15,1.1,1.1,1.15,1100.0
2010-09-16,1.1,1.1,1.1,1.1,300.0
2010-09-22,1.01,1.01,1.01,1.01,1500.0
2010-09-30,0.4,0.4,0.4,0.4,100.0
2010-10-08,0.3,0.25,0.25,0.3,12018.0
2010-11-02,0.26,0.25,0.25,0.26,9999.0
2010-11-11,0.25,0.25,0.25,0.25,15983.0
2010-11-16,0.16,0.16,0.16,0.16,2570.0
2010-11-18,0.3,0.2,0.2,0.3,5700.0
2010-12-02,0.85,0.85,0.85,0.85,500.0
2010-12-03,0.35,0.35,0.35,0.35,100.0
2010-12-08,0.35,0.35,0.35,0.35,500.0
2010-12-09,0.35,0.35,0.35,0.35,500.0
2010-12-14,0.35,0.35,0.35,0.35,1200.0
2010-12-16,0.18,0.16,0.16,0.18,14296.0
2010-12-21,0.16,0.16,0.16,0.16,5300.0
2010-12-22,0.14,0.14,0.14,0.14,1869.0
2010-12-27,0.14,0.14,0.14,0.14,2754.0
2010-12-28,0.14,0.14,0.14,0.14,1000.0
2010-12-29,0.15,0.15,0.15,0.15,10000.0
2010-12-30,0.15,0.15,0.15,0.15,3500.0
2011-01-10,0.185,0.185,0.185,0.185,400.0
