Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-12-14,12.4,12.03,12.0,12.11,5574.0,2784293.0
2018-12-17,13.2,12.15,12.0,12.1,797.0,223111.0
2018-12-18,12.4,12.04,12.0,12.14,414.0,103651.0
2018-12-19,12.3399,12.0,12.0,12.3399,449.0,132951.0
2018-12-20,12.0489,12.0,11.8,12.01,713.0,247883.0
2018-12-21,12.0,11.56,11.56,11.95,259.0,69086.0
2018-12-24,11.55,11.19,11.18,11.55,307.0,47503.0
2018-12-26,11.9642,11.13,11.05,11.15,465.0,100790.0
2018-12-27,11.49,11.21,11.1,11.1,55.0,5663.0
2018-12-28,11.97,11.27,11.05,11.11,260.0,27258.0
2018-12-31,11.99,11.93,11.11,11.41,368.0,62440.0
2019-01-02,12.0773,11.99,11.75,11.84,146.0,28248.0
2019-01-03,12.07,11.63,11.62,11.89,417.0,52928.0
2019-01-04,12.5,12.0,11.74,11.74,349.0,72282.0
2019-01-07,12.4,12.33,12.1,12.11,377.0,135677.0
2019-01-08,12.5,12.43,12.141,12.33,661.0,163213.0
2019-01-09,12.5,12.3,12.3,12.41,278.0,44964.0
2019-01-10,12.5,12.31,12.3,12.3,125.0,64553.0
2019-01-11,12.5,12.5,12.25,12.31,422.0,93648.0
2019-01-14,12.7744,12.42,12.371,12.38,822.0,113706.0
2019-01-15,12.67,12.4,12.39,12.39,403.0,48162.0
2019-01-16,12.7299,12.45,12.36,12.36,327.0,44007.0
2019-01-17,12.9,12.9,12.41,12.87,366.0,47414.0
2019-01-18,13.15,13.15,12.83,12.87,222.0,37807.0
2019-01-22,13.14,12.95,12.81,13.14,211.0,29348.0
2019-01-23,13.01,12.91,12.82,13.0,62.0,7982.0
2019-01-24,13.14,12.91,12.85,12.85,121.0,12226.0
2019-01-25,13.15,13.15,12.9667,13.0,178.0,13338.0
2019-01-28,13.7,13.3,12.82,13.12,418.0,65330.0
2019-01-29,13.785,13.53,13.305,13.76,449.0,129377.0
2019-01-30,13.75,13.46,12.8664,13.55,487.0,76786.0
2019-01-31,14.99,14.0,13.4,13.46,551.0,75288.0
2019-02-01,14.7396,14.14,13.77,14.13,770.0,82936.0
2019-02-04,14.68,13.81,13.8,14.06,404.0,39940.0
2019-02-05,14.37,13.82,13.5,13.82,147.0,37600.0
2019-02-06,14.145,13.63,13.56,13.68,311.0,63305.0
2019-02-07,13.705,13.46,13.4,13.51,376.0,32955.0
2019-02-08,13.86,13.59,13.3,13.44,357.0,35169.0
2019-02-11,13.96,13.45,13.3311,13.5,337.0,32515.0
2019-02-12,13.9076,13.5,13.3,13.79,546.0,48202.0
2019-02-13,13.67,13.41,13.38,13.52,416.0,35834.0
2019-02-14,13.75,13.73,13.36,13.36,485.0,36801.0
2019-02-15,13.75,13.39,13.36,13.65,421.0,39718.0
2019-02-19,13.7499,13.5,13.38,13.41,503.0,52826.0
2019-02-20,13.99,13.45,13.35,13.435,618.0,83192.0
2019-02-21,14.5,14.25,13.46,13.46,630.0,68510.0
2019-02-22,14.73,14.25,13.82,14.31,765.0,106127.0
2019-02-25,14.75,14.0,13.95,14.39,1051.0,100308.0
2019-02-26,14.4427,13.73,13.2,14.0,1151.0,117380.0
2019-02-27,14.32,14.17,13.33,13.72,1043.0,90062.0
2019-02-28,14.16,14.05,13.37,14.16,682.0,63808.0
2019-03-01,14.17,14.02,13.74,14.0,723.0,74934.0
2019-03-04,14.72,14.14,13.82,13.97,1701.0,190805.0
2019-03-05,14.3995,13.78,13.55,14.15,729.0,82074.0
