Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-10-19,12.91,11.5,10.7,10.71,5574.0,880427.0
2018-10-22,12.22,11.05,11.05,12.22,737.0,88644.0
2018-10-23,10.97,10.1,9.55,10.97,670.0,111386.0
2018-10-24,10.625,7.88,7.6089,10.06,819.0,109526.0
2018-10-25,8.2415,7.98,7.26,7.89,549.0,95920.0
2018-10-26,8.58,8.58,7.47,7.95,417.0,54833.0
2018-10-29,10.73,10.73,8.57,8.57,154.0,20283.0
2018-10-30,11.5173,10.96,10.3442,10.98,545.0,63781.0
2018-10-31,12.0,10.69,10.5827,11.0,687.0,67416.0
2018-11-01,11.9849,11.1,9.9706,10.76,889.0,107322.0
2018-11-02,11.5,11.37,9.62,11.01,712.0,83636.0
2018-11-05,12.0,11.52,11.21,12.0,463.0,54452.0
2018-11-06,12.6,11.5,10.86,11.11,559.0,60207.0
2018-11-07,12.9156,12.59,11.52,11.52,378.0,45437.0
2018-11-08,14.03,12.8,12.5,12.6,535.0,73142.0
2018-11-09,15.23,15.11,10.945,12.15,820.0,86304.0
2018-11-12,15.8581,13.72,13.5,15.13,636.0,70346.0
2018-11-13,14.52,13.9,13.7,13.72,378.0,45314.0
2018-11-14,15.46,15.03,13.5,14.02,273.0,31937.0
2018-11-15,15.328,14.1,13.8001,14.89,346.0,40377.0
2018-11-16,14.64,14.16,13.7635,14.01,548.0,57808.0
2018-11-19,14.54,13.97,13.31,13.9,427.0,45935.0
2018-11-20,15.17,14.14,13.501,13.69,507.0,46448.0
2018-11-21,15.23,14.96,14.07,14.28,305.0,26868.0
2018-11-23,18.0,17.98,14.7,14.97,334.0,29236.0
2018-11-26,17.97,15.95,15.75,17.97,925.0,95236.0
2018-11-27,15.85,13.2,12.24,15.85,604.0,67022.0
2018-11-28,14.19,13.88,12.815,13.25,363.0,41256.0
2018-11-29,15.76,14.73,13.95,13.95,559.0,47619.0
2018-11-30,16.59,15.72,14.1436,14.73,562.0,56773.0
2018-12-03,16.61,14.51,14.41,15.74,1069.0,91088.0
2018-12-04,16.4892,14.02,12.8,14.62,644.0,63509.0
2018-12-06,14.58,13.5,12.535,13.9,651.0,53049.0
2018-12-07,15.0,15.0,12.65,13.44,666.0,45319.0
2018-12-10,15.88,15.0,14.215,14.95,1001.0,39349.0
2018-12-11,15.2504,13.99,13.13,15.08,264.0,39037.0
2018-12-12,14.13,12.32,12.18,14.13,330.0,19950.0
2018-12-13,12.32,9.7,8.5101,12.32,364.0,38311.0
2018-12-14,10.5,9.51,8.8301,9.72,367.0,18970.0
2018-12-17,9.52,8.75,6.7,9.3,973.0,102360.0
2018-12-18,8.76,7.98,7.86,7.97,660.0,44672.0
2018-12-19,9.36,8.99,7.97,7.97,583.0,74349.0
2018-12-20,9.71,8.87,8.35,8.91,963.0,94298.0
2018-12-21,11.55,10.06,7.7,9.0,1642.0,953981.0
2018-12-24,9.4145,9.27,8.433,9.12,232.0,30341.0
2018-12-26,10.05,9.96,9.045,9.045,205.0,19405.0
2018-12-27,9.9388,9.07,8.78,9.74,394.0,52717.0
2018-12-28,10.33,10.07,8.4,9.12,186.0,28471.0
2018-12-31,10.7734,10.4,9.89,10.15,319.0,33906.0
2019-01-02,11.07,10.0,9.51,10.33,359.0,66421.0
2019-01-03,10.53,10.08,9.16,10.03,372.0,69283.0
2019-01-04,10.07,9.69,9.09,10.07,744.0,88710.0
2019-01-07,10.95,10.14,9.76,9.76,333.0,29358.0
2019-01-08,10.445,9.71,9.35,10.16,139.0,16320.0
2019-01-09,9.88,9.49,9.1126,9.74,432.0,51258.0
2019-01-10,9.9662,9.04,9.005,9.48,132.0,11092.0
2019-01-11,8.99,8.62,8.31,8.99,484.0,47819.0
2019-01-14,8.88,8.8,7.81,8.51,709.0,56848.0
2019-01-15,9.01,8.42,8.4,8.89,257.0,29851.0
2019-01-16,8.46,7.99,7.98,8.33,261.0,24332.0
2019-01-17,9.21,8.32,8.0,8.03,405.0,42304.0
2019-01-18,8.91,8.12,7.81,8.37,475.0,43647.0
2019-01-22,8.38,7.94,7.88,8.04,81.0,9095.0
2019-01-23,8.0,7.93,7.85,8.0,172.0,20839.0
2019-01-24,8.35,8.19,7.81,7.9,411.0,50605.0
2019-01-25,8.64,8.4,8.09,8.19,284.0,26154.0
2019-01-28,8.62,8.22,7.97,8.28,220.0,25404.0
2019-01-29,8.855,8.6,7.807,8.31,283.0,20891.0
2019-01-30,8.86,8.77,8.33,8.64,168.0,15045.0
2019-01-31,8.84,8.84,8.15,8.78,261.0,35273.0
2019-02-01,8.86,8.495,8.27,8.84,90.0,26441.0
2019-02-04,8.7,8.52,8.36,8.51,93.0,7558.0
2019-02-05,9.14,9.13,8.36,8.6,313.0,26406.0
2019-02-06,9.15,8.87,8.4,9.12,221.0,23433.0
2019-02-07,9.0,8.79,8.685,8.88,99.0,7851.0
2019-02-08,9.0,8.78,8.51,8.78,96.0,7010.0
2019-02-11,9.18,8.99,8.77,8.88,165.0,10105.0
2019-02-12,9.54,9.49,9.17,9.19,121.0,14013.0
2019-02-13,9.48,9.38,9.05,9.48,86.0,9195.0
2019-02-14,9.39,9.09,9.09,9.39,82.0,10056.0
2019-02-15,9.59,9.44,8.9467,9.16,203.0,14035.0
2019-02-19,9.472,9.39,9.21,9.35,146.0,10383.0
2019-02-20,9.46,9.06,9.06,9.39,145.0,11514.0
2019-02-21,9.3,9.14,9.01,9.1,95.0,3794.0
2019-02-22,9.59,9.47,9.0554,9.19,97.0,8947.0
