Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-06-29,10.0,10.0,10.0,10.0,3.0,1078.0
2017-06-30,10.25,10.06,10.05,10.25,12.0,3270.0
2017-07-03,,,,,1.0,20.0
2017-07-06,,,,,1.0,10.0
2017-07-07,9.9765,9.84,9.7,9.9765,12.0,1350.0
2017-07-13,9.85,9.85,9.85,9.85,2.0,200.0
2017-07-17,9.9,9.9,9.9,9.9,2.0,1000.0
2017-07-20,9.95,9.9,9.8,9.8,50.0,47500.0
2017-07-21,9.9,9.9,9.9,9.9,12.0,9307.0
2017-07-31,,,,,1.0,10.0
2017-08-03,,,,,2.0,2.0
2017-08-07,9.88,9.88,9.88,9.88,2.0,300.0
2017-08-15,9.8,9.7,9.7,9.8,3.0,2950.0
2017-08-16,9.82,9.8,9.7599,9.76,33.0,131702.0
2017-08-17,9.8,9.8,9.8,9.8,2.0,100000.0
2017-08-18,9.8,9.8,9.7999,9.7999,7.0,15000.0
2017-08-21,9.8,9.8,9.8,9.8,2.0,2100.0
2017-08-23,9.8,9.7999,9.7903,9.8,6.0,3500.0
2017-08-24,9.8,9.8,9.77,9.8,27.0,227972.0
2017-08-28,9.85,9.7778,9.7778,9.83,5.0,1000.0
2017-08-31,9.85,9.8353,9.8353,9.85,10.0,1000.0
2017-09-01,9.85,9.8092,9.8092,9.85,4.0,360.0
2017-09-05,9.85,9.85,9.8066,9.85,122.0,28100.0
2017-09-06,9.85,9.815,9.815,9.85,124.0,26650.0
2017-09-07,9.85,9.85,9.84,9.85,190.0,25801.0
2017-09-08,9.85,9.85,9.8,9.85,185.0,27268.0
2017-09-11,,,,,2.0,50.0
2017-09-12,9.85,9.795,9.79,9.8,109.0,23663.0
2017-09-13,9.85,9.8,9.8,9.85,39.0,5470.0
2017-09-14,9.8,9.8,9.8,9.8,2.0,55565.0
2017-09-15,9.84,9.8,9.7,9.7,18.0,2600.0
2017-09-19,9.83,9.83,9.7,9.71,4.0,1863.0
2017-09-21,9.84,9.8109,9.8009,9.83,5.0,420.0
2017-09-26,9.7722,9.7722,9.7073,9.7073,2.0,860.0
2017-09-29,,,,,1.0,44002.0
2017-10-03,9.7001,9.7001,9.7001,9.7001,2.0,500.0
2017-10-05,9.84,9.83,9.7,9.7,6.0,571400.0
2017-10-06,10.0683,9.86,9.83,9.85,122.0,213100.0
2017-10-11,9.86,9.859,9.75,9.86,7.0,21950.0
2017-10-16,9.9,9.9,9.9,9.9,25.0,12947.0
2017-10-17,9.8,9.8,9.8,9.8,2.0,100000.0
2017-10-18,10.04,9.9,9.9,10.04,3.0,400.0
2017-10-19,10.06,9.83,9.72,10.06,10.0,2500.0
2017-10-23,9.93,9.86,9.86,9.93,5.0,1350.0
2017-10-24,10.055,9.8,9.8,10.055,8.0,113500.0
2017-10-25,,,,,1.0,33000.0
2017-10-26,9.805,9.77,9.77,9.77,3.0,112218.0
2017-10-30,,,,,1.0,50.0
2017-10-31,9.77,9.76,9.75,9.77,24.0,128693.0
2017-11-01,9.758,9.758,9.74,9.74,6.0,1100.0
2017-11-06,9.73,9.73,9.73,9.73,2.0,300000.0
2017-11-10,9.72,9.72,9.72,9.72,1.0,30400.0
2017-11-14,9.855,9.72,9.72,9.855,2.0,207975.0
2017-11-16,9.85,9.8497,9.8479,9.8479,3.0,350.0
2017-11-17,9.7,9.7,9.7,9.7,2.0,400050.0
2017-11-20,9.7,9.7,9.7,9.7,1.0,50000.0
2017-11-21,9.72,9.72,9.72,9.72,9.0,2458.0
2017-11-28,9.69,9.69,9.69,9.69,6.0,700.0
2017-11-29,,,,,1.0,10.0
2017-11-30,9.68,9.68,9.68,9.68,25.0,4290.0
2017-12-01,9.72,9.72,9.665,9.68,6.0,3949479.0
2017-12-04,9.75,9.7392,9.737,9.74,5.0,2847.0
2017-12-06,9.74,9.74,9.74,9.74,1.0,100.0
2017-12-07,9.75,9.72,9.7029,9.75,13.0,27846.0
2017-12-11,9.72,9.72,9.683,9.683,6.0,25900.0
2017-12-12,9.74,9.74,9.73,9.73,8.0,45100.0
2017-12-13,9.74,9.74,9.73,9.74,6.0,35200.0
2017-12-14,9.75,9.75,9.75,9.75,2.0,77239.0
2017-12-15,9.75,9.75,9.75,9.75,3.0,1008.0
2017-12-18,9.75,9.75,9.7399,9.7399,4.0,14675.0
2017-12-19,9.74,9.74,9.69,9.74,20.0,7600.0
2017-12-20,9.77,9.73,9.73,9.76,96.0,19000.0
2017-12-29,9.75,9.74,9.74,9.75,2.0,500.0
2018-01-03,9.74,9.73,9.67,9.74,25.0,169691.0
2018-01-04,9.8,9.8,9.7548,9.77,8.0,4100.0
2018-01-05,9.78,9.76,9.76,9.78,3.0,380.0
2018-01-08,,,,,2.0,225000.0
2018-01-09,9.78,9.77,9.73,9.73,13.0,294901.0
2018-01-12,9.77,9.75,9.75,9.77,11.0,5988.0
2018-01-16,9.78,9.78,9.76,9.76,30.0,88023.0
2018-01-17,9.77,9.74,9.73,9.7697,14.0,8028.0
2018-01-19,9.77,9.76,9.76,9.77,3.0,500.0
2018-01-22,9.8,9.73,9.73,9.8,9.0,8160.0
2018-01-24,9.74,9.73,9.73,9.73,7.0,25200.0
2018-01-26,9.75,9.73,9.73,9.75,4.0,550.0
2018-01-31,,,,,1.0,51.0
2018-02-02,9.75,9.75,9.73,9.75,6.0,7438.0
2018-02-05,9.75,9.75,9.75,9.75,1.0,100.0
2018-02-06,9.755,9.73,9.72,9.73,6.0,701700.0
2018-02-08,9.7,9.7,9.7,9.7,39.0,8350.0
2018-02-09,9.75,9.7,9.7,9.7,22.0,9810.0
2018-02-12,9.73,9.71,9.71,9.71,32.0,5450.0
2018-02-13,9.72,9.7,9.7,9.7,35.0,7800.0
2018-02-14,9.75,9.7,9.7,9.7,12.0,1950.0
2018-02-15,9.71,9.69,9.69,9.71,19.0,3800.0
2018-02-20,,,,,1.0,2.0
2018-02-21,9.7301,9.72,9.7,9.71,76.0,11110.0
2018-02-26,9.78,9.72,9.7,9.76,31.0,25135.0
2018-02-27,9.72,9.72,9.72,9.72,13.0,11100.0
2018-02-28,9.75,9.74,9.74,9.75,2.0,200.0
2018-03-01,9.75,9.75,9.75,9.75,1.0,200.0
2018-03-09,,,,,2.0,32.0
2018-03-13,,,,,2.0,56.0
2018-03-19,9.78,9.73,9.73,9.76,5.0,420.0
2018-03-20,10.3,10.16,10.15,10.2,4801.0,9395382.0
2018-03-21,10.24,10.18,10.16,10.24,1417.0,813452.0
2018-03-22,10.2,10.15,10.14,10.2,445.0,459037.0
2018-03-23,10.18,10.13,10.11,10.15,130.0,457348.0
2018-03-26,10.15,10.15,10.1299,10.13,847.0,209918.0
2018-03-27,10.18,10.12,10.11,10.18,78.0,121758.0
2018-03-28,10.15,10.09,10.05,10.13,510.0,436380.0
2018-03-29,10.12,10.11,10.05,10.06,354.0,394125.0
2018-04-02,10.11,10.1,10.05,10.05,39.0,7727.0
2018-04-03,10.1,10.07,10.07,10.0849,26.0,2725.0
2018-04-04,10.1,10.09,10.08,10.08,31.0,55205.0
2018-04-05,10.08,10.08,10.07,10.07,8.0,759.0
2018-04-06,10.06,10.06,10.06,10.06,2.0,297.0
2018-04-09,10.1,10.1,10.07,10.1,73.0,112764.0
2018-04-10,10.09,10.07,10.06,10.07,66.0,592527.0
2018-04-11,10.1,10.1,10.07,10.08,101.0,530601.0
2018-04-12,10.1,10.06,10.06,10.1,171.0,1068145.0
2018-04-13,10.09,10.09,10.07,10.07,42.0,49501.0
2018-04-16,10.1,10.09,10.07,10.1,128.0,756331.0
2018-04-17,10.0999,10.06,10.06,10.0808,12.0,11361.0
