Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,13.2,13.19,13.0,13.0,,6335.0
2007-09-06,13.13,13.09,13.0,13.13,,115534.0
2007-09-07,13.09,13.09,13.09,13.09,,568.0
2007-09-10,13.1,13.09,12.8,13.08,,376248.0
2007-09-11,13.02,12.92,12.85,12.87,,11165.0
2007-09-12,13.1,12.8,12.77,13.1,,9900.0
2007-09-13,12.99,12.75,12.75,12.8,,16123.0
2007-09-14,12.8,12.8,12.8,12.8,,200.0
2007-09-17,13.09,13.0,12.82,13.0,,4532.0
2007-09-18,12.76,12.75,12.75,12.76,,3299.0
2007-09-19,12.8,12.8,12.75,12.76,,14121.0
2007-09-20,12.85,12.85,12.8,12.8,,2041.0
2007-09-21,13.05,13.01,12.99,12.99,,20143.0
2007-09-24,13.15,13.01,13.0,13.0,,12673.0
2007-09-25,13.2,13.2,13.1,13.1,,21360.0
2007-09-26,13.19,13.0,13.0,13.05,,5188.0
2007-09-27,13.2,13.14,13.0,13.2,,25908.0
2007-09-28,13.15,13.03,13.03,13.14,,10005.0
2007-10-01,13.11,13.02,13.02,13.11,,11453.0
2007-10-02,13.11,13.01,13.0,13.01,,23784.0
2007-10-03,13.09,13.01,13.01,13.08,,15721.0
2007-10-04,13.01,13.0,13.0,13.0,,6442.0
2007-10-05,13.1,13.07,13.0,13.01,,12092.0
2007-10-09,13.09,13.09,13.0,13.0,,5206.0
2007-10-10,13.09,13.0,13.0,13.0,,34380.0
2007-10-11,13.05,13.05,12.95,12.99,,42471.0
2007-10-12,13.01,13.0,12.95,12.95,,4405.0
2007-10-15,13.15,13.0,12.85,13.0,,13080.0
2007-10-16,13.15,13.14,12.95,12.95,,8060.0
2007-10-17,12.98,12.95,12.95,12.98,,9038.0
2007-10-18,13.1,12.95,12.95,13.0,,80701.0
2007-10-19,13.11,13.09,12.95,12.95,,13999.0
2007-10-22,13.1,13.08,12.95,13.1,,51223.0
2007-10-23,13.15,13.15,12.95,12.95,,11837.0
2007-10-24,13.19,13.19,13.01,13.01,,14601.0
2007-10-25,13.39,13.28,13.1,13.1,,10662.0
2007-10-26,13.95,13.6,13.3,13.3,,33116.0
2007-10-29,13.75,13.6,13.46,13.5,,26869.0
2007-10-30,13.75,13.58,13.4,13.75,,27235.0
2007-10-31,13.66,13.51,13.51,13.66,,6423.0
2007-11-01,13.65,13.65,13.51,13.51,,727.0
2007-11-02,13.79,13.79,13.46,13.46,,67882.0
2007-11-05,14.19,14.1,13.75,13.79,,41911.0
