Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-07-23,5.0,4.28,4.15,5.0,4398.0,1896261.0
2014-07-24,4.38,4.15,4.02,4.28,606.0,179958.0
2014-07-25,4.23,4.09,3.8,4.23,390.0,131339.0
2014-07-28,4.34,3.89,3.64,4.09,370.0,106548.0
2014-07-29,3.84,3.78,3.7,3.83,249.0,62864.0
2014-07-30,4.0,3.87,3.67,3.67,460.0,112048.0
2014-07-31,4.0,3.78,3.703,3.8,99.0,41741.0
2014-08-01,3.89,3.75,3.69,3.84,102.0,24975.0
2014-08-04,3.9,3.69,3.64,3.8,256.0,55399.0
2014-08-05,3.645,3.5,3.43,3.61,221.0,57545.0
2014-08-06,3.6,3.5,3.39,3.6,142.0,29652.0
2014-08-07,3.44,3.44,3.27,3.2707,283.0,62151.0
2014-08-08,3.56,3.31,3.19,3.35,331.0,70951.0
2014-08-11,3.58,3.31,3.21,3.5,273.0,57598.0
2014-08-12,3.3899,3.31,3.23,3.29,74.0,14738.0
2014-08-13,3.5299,3.35,3.3101,3.43,118.0,25742.0
2014-08-14,3.42,3.4,3.34,3.39,45.0,11910.0
2014-08-15,3.6,3.45,3.37,3.37,153.0,42972.0
2014-08-18,3.45,3.32,3.3,3.42,74.0,19752.0
2014-08-19,3.5,3.21,3.2,3.5,159.0,25646.0
2014-08-20,3.38,3.07,3.01,3.375,183.0,35397.0
2014-08-21,3.11,3.09,3.0,3.06,390.0,92632.0
2014-08-22,3.09,3.09,3.05,3.06,29.0,9140.0
2014-08-25,3.5,3.45,3.0501,3.1,400.0,142061.0
2014-08-26,3.55,3.47,3.38,3.49,404.0,81444.0
2014-08-27,3.5,3.13,3.11,3.5,450.0,95749.0
2014-08-28,3.45,3.19,3.1406,3.45,98.0,26478.0
2014-08-29,3.44,3.38,3.2,3.2,224.0,65828.0
2014-09-02,3.55,3.39,3.36,3.4,336.0,64820.0
2014-09-03,4.09,3.92,3.45,3.45,1394.0,421989.0
2014-09-04,3.92,3.77,3.62,3.86,723.0,84079.0
2014-09-05,3.85,3.79,3.68,3.68,703.0,41569.0
2014-09-08,4.185,3.97,3.79,3.87,449.0,95382.0
2014-09-09,4.08,3.91,3.87,4.08,232.0,67291.0
2014-09-10,3.98,3.88,3.835,3.98,212.0,27038.0
2014-09-11,3.84,3.83,3.69,3.8,144.0,25403.0
2014-09-12,3.88,3.7615,3.7,3.83,112.0,13333.0
2014-09-15,3.908,3.83,3.66,3.67,229.0,36601.0
2014-09-16,3.9,3.74,3.7,3.76,120.0,19527.0
2014-09-17,3.829,3.61,3.61,3.75,131.0,24175.0
2014-09-18,3.749,3.64,3.55,3.66,179.0,52642.0
2014-09-19,3.8,3.49,3.49,3.68,151.0,55448.0
2014-09-22,3.516,3.4,3.14,3.5,222.0,41190.0
2014-09-23,3.62,3.62,3.31,3.5,79.0,16607.0
2014-09-24,3.74,3.61,3.35,3.63,81.0,15171.0
2014-09-25,3.8,3.73,3.5101,3.71,89.0,12828.0
2014-09-26,3.74,3.72,3.62,3.7,68.0,14204.0
2014-09-29,3.76,3.69,3.56,3.75,21.0,3817.0
2014-09-30,3.74,3.56,3.36,3.71,138.0,24038.0
2014-10-01,3.61,3.59,3.59,3.601,112.0,17695.0
2014-10-02,3.515,3.51,3.49,3.4901,30.0,4560.0
2014-10-03,3.582,3.46,3.32,3.582,78.0,33670.0
2014-10-06,3.48,3.28,3.26,3.37,58.0,9433.0
2014-10-07,3.411,3.29,3.28,3.4,91.0,17259.0
2014-10-08,3.35,3.35,3.25,3.261,39.0,11535.0
2014-10-09,3.37,3.3,3.21,3.37,41.0,10737.0
2014-10-10,3.309,3.23,3.2,3.21,48.0,13059.0
2014-10-13,3.492,3.2236,3.21,3.23,50.0,19310.0
2014-10-14,3.35,3.31,3.2,3.2,59.0,14249.0
2014-10-15,3.369,3.34,3.16,3.16,42.0,11104.0
2014-10-16,3.34,3.33,3.2,3.21,54.0,8528.0
2014-10-17,3.4199,3.266,3.24,3.35,14.0,3620.0
2014-10-20,3.54,3.29,3.29,3.45,51.0,11435.0
2014-10-21,3.44,3.25,3.19,3.42,62.0,19191.0
2014-10-22,3.45,3.31,3.27,3.27,27.0,11001.0
2014-10-23,3.45,3.36,3.21,3.22,19.0,2198.0
2014-10-24,3.3065,3.2201,3.2201,3.25,18.0,1874.0
2014-10-27,3.35,3.3,3.21,3.23,59.0,7205.0
2014-10-28,3.2558,3.17,3.16,3.25,39.0,8913.0
2014-10-29,3.45,3.27,3.2,3.2,27.0,6758.0
2014-10-30,3.27,3.2,3.2,3.203,35.0,9210.0
2014-10-31,3.44,3.439,3.25,3.26,37.0,7900.0
2014-11-03,3.49,3.38,3.29,3.4895,35.0,4575.0
2014-11-04,3.42,3.4,3.4,3.41,18.0,1957.0
2014-11-05,3.45,3.31,3.2,3.2601,93.0,31873.0
2014-11-06,3.64,3.45,3.3501,3.5,106.0,27110.0
2014-11-07,3.41,3.35,3.34,3.41,23.0,3300.0
2014-11-10,3.43,3.31,3.26,3.38,34.0,15805.0
2014-11-11,3.43,3.42,3.26,3.34,28.0,12915.0
2014-11-12,3.4,3.25,3.25,3.25,48.0,18172.0
2014-11-13,3.4,3.34,3.25,3.3,62.0,15316.0
2014-11-14,3.48,3.35,3.29,3.3,71.0,17609.0
2014-11-17,3.42,3.37,3.2,3.4,73.0,22720.0
2014-11-18,3.38,3.31,3.22,3.3699,59.0,10463.0
2014-11-19,3.374,3.25,3.24,3.35,121.0,15353.0
2014-11-20,3.25,3.21,3.21,3.25,14.0,12775.0
2014-11-21,3.29,3.22,3.22,3.22,8.0,785.0
2014-11-24,3.26,3.1,3.1,3.221,51.0,19686.0
2014-11-25,3.25,3.0,3.0,3.1,34.0,6050.0
2014-11-26,3.15,3.04,3.02,3.021,17.0,2972.0
2014-11-28,3.24,3.06,3.04,3.09,58.0,12208.0
2014-12-01,3.13,2.91,2.91,3.07,31.0,8900.0
2014-12-02,3.26,2.95,2.58,2.87,121.0,23567.0
2014-12-03,2.91,2.91,2.69,2.88,51.0,18089.0
2014-12-04,2.92,2.8235,2.8,2.83,13.0,5795.0
2014-12-05,2.88,2.73,2.69,2.88,31.0,5810.0
2014-12-08,2.75,2.65,2.65,2.75,6.0,705.0
2014-12-09,2.8399,2.67,2.67,2.8399,12.0,1404.0
2014-12-10,2.81,2.65,2.6,2.6,52.0,9958.0
2014-12-11,2.652,2.59,2.58,2.651,11.0,1803.0
2014-12-12,2.7,2.33,2.32,2.57,78.0,12992.0
2014-12-15,2.3175,2.03,2.02,2.27,53.0,21940.0
2014-12-16,2.25,2.21,2.07,2.07,12.0,962.0
2014-12-17,2.48,2.33,2.28,2.28,36.0,10344.0
2014-12-18,2.49,2.31,2.3,2.35,35.0,9500.0
2014-12-19,2.45,2.3,2.28,2.45,19.0,4425.0
2014-12-22,2.58,2.49,2.2335,2.41,100.0,33643.0
2014-12-23,2.65,2.49,2.344,2.4,167.0,35005.0
2014-12-24,2.65,2.4,2.39,2.642,41.0,18566.0
2014-12-26,2.45,2.37,2.37,2.4,18.0,5886.0
2014-12-29,2.425,2.21,2.21,2.39,36.0,11780.0
2014-12-30,2.37,2.32,2.22,2.2546,19.0,12150.0
2014-12-31,2.37,2.34,2.2,2.35,213.0,46436.0
2015-01-02,2.88,2.74,2.4,2.4,17.0,3581.0
2015-01-05,2.71,2.58,2.51,2.71,15.0,3843.0
2015-01-06,3.06,2.73,2.6,2.6,82.0,21923.0
2015-01-07,3.07,2.88,2.72,2.76,28.0,6660.0
2015-01-08,3.05,2.96,2.62,3.05,27.0,6557.0
2015-01-09,2.92,2.89,2.63,2.83,20.0,3264.0
2015-01-12,2.9,2.73,2.7,2.72,18.0,5306.0
2015-01-13,2.9999,2.765,2.69,2.69,21.0,6697.0
