Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-06-25,12.0,11.55,11.06,12.0,20130.0,6074896.0
2014-06-26,11.95,11.9,11.6,11.79,2694.0,637410.0
2014-06-27,12.04,11.92,11.8,11.99,2966.0,640255.0
2014-06-30,12.04,11.5,11.26,12.0,2659.0,563201.0
2014-07-01,14.4,13.55,11.5,11.79,10219.0,2757493.0
2014-07-02,14.0,13.52,12.76,13.75,2823.0,901797.0
2014-07-03,14.49,14.28,13.01,13.75,1227.0,384843.0
2014-07-07,15.15,14.46,14.1,15.15,1694.0,437608.0
2014-07-08,14.66,14.1,13.25,14.66,2457.0,611902.0
2014-07-09,14.25,14.02,13.8001,14.25,492.0,130994.0
2014-07-10,13.8,12.8,12.7,13.8,1234.0,327571.0
2014-07-11,13.3508,12.86,12.75,13.0,788.0,184632.0
2014-07-14,13.3,12.84,12.7,12.91,687.0,152651.0
2014-07-15,13.2,11.81,11.326,13.0,2169.0,457752.0
2014-07-16,12.45,11.79,11.7,12.45,804.0,182786.0
2014-07-17,12.23,11.81,11.7,11.79,653.0,171783.0
2014-07-18,12.73,12.46,11.85,11.85,978.0,168765.0
2014-07-21,13.24,12.56,12.34,12.8,2147.0,489183.0
2014-07-22,12.92,12.36,12.28,12.9,958.0,209851.0
2014-07-23,12.5999,11.89,11.83,12.49,528.0,148016.0
2014-07-24,12.37,12.23,11.91,12.0,296.0,67345.0
2014-07-25,12.21,12.0,11.913,12.2,223.0,68941.0
2014-07-28,12.4418,11.96,11.7,12.02,320.0,80560.0
2014-07-29,12.65,11.97,11.8,11.8,638.0,133355.0
2014-07-30,12.42,11.98,11.86,12.2,684.0,147953.0
2014-07-31,11.95,11.32,11.1,11.7,1020.0,240250.0
2014-08-01,11.5,10.72,10.5,11.46,810.0,183559.0
2014-08-04,11.4,10.81,10.65,10.85,465.0,108165.0
2014-08-05,11.35,10.86,10.76,10.84,530.0,157678.0
2014-08-06,11.75,11.37,10.9,11.15,682.0,135898.0
2014-08-07,12.69,12.01,11.83,12.04,1179.0,295114.0
2014-08-08,12.5,11.86,11.63,12.5,366.0,75808.0
2014-08-11,12.194,12.09,11.93,12.1,298.0,68705.0
2014-08-12,12.15,12.02,11.7,12.0,254.0,77272.0
2014-08-13,13.3,13.21,12.13,12.2,1091.0,302674.0
2014-08-14,13.3,11.68,11.4,13.3,1605.0,395983.0
2014-08-15,12.0,11.72,11.6,12.0,278.0,58234.0
2014-08-18,11.96,11.85,11.65,11.96,259.0,53154.0
2014-08-19,11.97,11.7,11.65,11.74,217.0,205128.0
2014-08-20,11.9795,11.86,11.5,11.5,235.0,46772.0
2014-08-21,12.09,11.75,11.68,12.09,222.0,51132.0
2014-08-22,12.19,12.1,11.75,11.95,308.0,83301.0
2014-08-25,12.65,12.35,12.12,12.12,378.0,81817.0
2014-08-26,12.58,12.53,12.34,12.58,288.0,55403.0
2014-08-27,12.8,12.36,12.34,12.45,400.0,70675.0
2014-08-28,12.68,12.34,12.18,12.6,346.0,55661.0
2014-08-29,12.6,12.52,12.08,12.5,274.0,55115.0
2014-09-02,12.9,12.78,12.5,12.6,353.0,62877.0
2014-09-03,12.75,12.38,12.28,12.75,433.0,151249.0
2014-09-04,12.75,12.28,12.25,12.3,288.0,56087.0
2014-09-05,12.4999,12.06,11.98,12.46,289.0,37838.0
2014-09-08,12.174,11.51,11.44,11.7,1050.0,219297.0
2014-09-09,12.06,11.43,11.28,12.06,276.0,62962.0
2014-09-10,11.99,11.62,11.43,11.66,561.0,91011.0
2014-09-11,12.1,11.96,11.7,11.7,288.0,48007.0
2014-09-12,12.0,11.93,11.67,11.92,287.0,54505.0
2014-09-15,11.95,11.37,11.34,11.77,266.0,94746.0
2014-09-16,11.59,11.2,11.2,11.59,332.0,51539.0
2014-09-17,11.4589,10.94,10.88,11.18,291.0,53199.0
2014-09-18,11.16,10.54,10.51,10.9,875.0,210067.0
2014-09-19,10.82,10.25,9.85,10.63,1075.0,229879.0
2014-09-22,11.74,11.54,10.37,10.37,613.0,121795.0
2014-09-23,12.34,11.09,11.0,12.0,1837.0,273058.0
2014-09-24,11.7,11.46,11.02,11.07,682.0,76923.0
2014-09-25,11.662,11.09,11.02,11.51,432.0,53427.0
2014-09-26,11.44,10.8,10.65,11.33,756.0,86997.0
2014-09-29,11.33,11.1,10.69,10.78,907.0,117618.0
2014-09-30,11.3,11.23,10.98,11.2,465.0,63664.0
