Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-07-19,20.95,19.7,19.3,20.75,2680.0,558761.0
2018-07-20,19.9799,19.1,19.02,19.63,263.0,38259.0
2018-07-23,19.4786,19.09,19.09,19.1,159.0,30288.0
2018-07-24,19.75,18.87,18.3,19.28,108.0,23264.0
2018-07-25,18.81,18.51,18.41,18.81,230.0,29534.0
2018-07-26,18.965,18.42,18.25,18.75,49.0,8673.0
2018-07-27,18.3,18.0,17.12,18.3,58.0,14376.0
2018-07-30,20.1,18.11,17.1653,20.1,245.0,64741.0
2018-07-31,17.76,17.76,17.43,17.44,26.0,5308.0
2018-08-01,17.65,16.36,16.0,17.65,99.0,15911.0
2018-08-02,17.45,17.06,16.85,16.85,168.0,35554.0
2018-08-03,17.5,17.3,16.2677,16.2677,81.0,20563.0
2018-08-06,17.5,17.0,17.0,17.3,37.0,9024.0
2018-08-07,17.98,17.98,17.01,17.42,75.0,23563.0
2018-08-08,18.15,18.15,17.6,17.68,32.0,5803.0
2018-08-09,18.35,17.83,17.75,17.8758,105.0,16682.0
2018-08-10,17.49,17.24,17.06,17.06,13.0,1358.0
2018-08-13,18.49,17.46,17.25,17.52,147.0,47045.0
2018-08-14,18.0,17.1,17.01,17.9999,40.0,4177.0
2018-08-15,17.88,17.69,17.04,17.505,95.0,9903.0
2018-08-16,17.75,17.5,17.5,17.5,124.0,17648.0
2018-08-17,17.6,17.6,17.45,17.5,103.0,33187.0
2018-08-20,17.75,17.75,16.89,17.5,62.0,21423.0
2018-08-21,17.79,17.17,16.501,17.75,183.0,24696.0
2018-08-22,17.5,17.48,17.25,17.25,113.0,18763.0
2018-08-23,18.0,17.9999,17.25,17.25,120.0,39211.0
2018-08-24,18.0,17.825,17.75,18.0,129.0,34786.0
2018-08-27,17.8,17.7,17.155,17.7499,38.0,4984.0
2018-08-28,17.58,17.52,17.0,17.02,55.0,6378.0
2018-08-29,17.5,17.1,17.01,17.255,28.0,3553.0
2018-08-30,17.6,17.4,16.471,16.735,42.0,7564.0
2018-08-31,18.5,18.4,17.4,17.4,115.0,81420.0
2018-09-04,18.4,18.2,17.2601,18.0001,120.0,36984.0
2018-09-05,18.4,18.3,17.95,18.2,30.0,2997.0
2018-09-06,18.4,17.97,17.95,18.4,36.0,4765.0
2018-09-07,18.9102,17.96,17.76,17.76,93.0,16550.0
2018-09-10,18.8,17.95,17.95,18.6126,109.0,8457.0
2018-09-11,17.98,17.89,16.76,17.83,120.0,10556.0
2018-09-12,18.39,17.33,16.97,17.9,165.0,16655.0
2018-09-13,17.97,17.65,17.25,17.51,39.0,4772.0
2018-09-14,18.0,17.31,17.31,18.0,11.0,626.0
2018-09-17,18.5,17.9,17.89,17.89,105.0,10514.0
2018-09-18,18.5,17.9,17.73,18.5,137.0,11717.0
2018-09-19,18.25,17.55,17.55,17.83,252.0,23166.0
2018-09-20,18.25,17.6,17.4979,17.6,94.0,12648.0
2018-09-21,18.0,16.53,16.53,17.75,120.0,46262.0
2018-09-24,18.04,17.0,16.91,16.91,50.0,7020.0
2018-09-25,17.9519,17.5,17.0,17.05,120.0,24543.0
2018-09-26,17.99,17.61,17.51,17.7027,12.0,1741.0
2018-09-27,18.0,17.52,17.275,17.75,81.0,15835.0
2018-09-28,17.935,17.49,17.03,17.24,77.0,12195.0
2018-10-01,17.3564,16.56,16.56,17.34,120.0,13521.0
2018-10-02,16.7534,16.54,16.38,16.61,140.0,33930.0
2018-10-03,16.98,16.475,16.35,16.98,24.0,41565.0
2018-10-04,16.7,16.6,16.6,16.7,18.0,956.0
2018-10-05,16.8799,16.56,16.35,16.8799,13.0,768.0
2018-10-08,16.56,16.56,16.22,16.45,39.0,1845.0
2018-10-09,16.26,16.0,15.55,16.23,88.0,10837.0
2018-10-10,16.25,15.85,15.8,16.25,45.0,6190.0
2018-10-11,16.65,15.85,15.6863,15.9,94.0,15224.0
2018-10-12,16.4961,15.99,15.7,15.7,12.0,685.0
2018-10-15,15.96,15.93,15.62,15.96,17.0,2374.0
2018-10-16,15.8978,15.8,15.62,15.62,19.0,2955.0
2018-10-17,15.85,15.85,15.26,15.42,111.0,46693.0
2018-10-18,15.85,15.7,15.5,15.75,31.0,7745.0
2018-10-19,15.51,15.01,14.8,15.51,36.0,2672.0
2018-10-22,15.99,15.4,14.5,15.0,105.0,25967.0
2018-10-23,15.5,15.12,14.58,15.25,70.0,14375.0
2018-10-24,15.73,14.55,14.55,15.73,100.0,13569.0
2018-10-25,15.67,15.05,14.63,14.63,38.0,2249.0
2018-10-26,15.177,14.7,14.6,15.177,42.0,6371.0
2018-10-29,15.0,14.75,13.7,14.96,66.0,8173.0
2018-10-30,14.3,13.5,12.85,14.3,236.0,391662.0
2018-10-31,13.64,13.3942,13.2525,13.64,20.0,4342.0
2018-11-01,13.704,12.89,12.8,13.3,138.0,18438.0
2018-11-02,13.0,12.81,12.75,12.99,90.0,94554.0
2018-11-05,12.5806,12.25,12.075,12.5,43.0,9485.0
2018-11-06,12.95,12.95,12.19,12.19,5.0,1009.0
2018-11-07,13.0,12.6,12.52,13.0,21.0,6990.0
2018-11-08,12.663,12.25,12.05,12.6,39.0,11936.0
2018-11-09,12.9499,12.6,12.05,12.1085,49.0,12164.0
2018-11-12,12.75,12.58,12.52,12.52,47.0,17948.0
2018-11-13,12.9,12.71,12.56,12.56,127.0,15007.0
2018-11-14,13.08,12.9,12.75,13.0,89.0,41638.0
2018-11-15,13.1703,12.8427,12.8,13.0,14.0,6166.0
2018-11-16,13.1518,12.22,12.11,13.1518,91.0,8245.0
2018-11-19,12.8,12.535,12.13,12.22,18.0,1834.0
2018-11-20,13.0,12.7,12.33,12.33,72.0,9925.0
2018-11-21,13.0,12.7,12.55,12.56,28.0,5386.0
2018-11-23,,,,,4.0,37.0
2018-11-26,13.042,13.0,12.7,12.79,23.0,32414.0
2018-11-27,13.1377,13.0,12.9362,12.9807,25.0,5820.0
2018-11-28,13.1,12.9,12.8354,12.8354,84.0,18821.0
2018-11-29,12.9383,12.92,12.8,12.8,49.0,2025.0
2018-11-30,13.08,13.075,12.81,12.8101,28.0,8666.0
2018-12-03,13.08,12.92,12.81,13.08,118.0,15035.0
2018-12-04,12.92,12.61,12.61,12.92,29.0,6972.0
2018-12-06,12.52,12.27,12.25,12.52,37.0,8492.0
2018-12-07,12.5,12.22,12.2,12.47,79.0,12799.0
2018-12-10,12.2903,12.15,12.13,12.21,46.0,61305.0
2018-12-11,12.3405,12.15,12.15,12.15,32.0,104035.0
2018-12-12,12.2,12.1,12.01,12.08,61.0,13073.0
2018-12-13,12.3,12.3,12.0,12.1,16.0,5200.0
2018-12-14,12.2108,12.15,12.01,12.01,64.0,15820.0
2018-12-17,12.18,12.15,12.1,12.15,150.0,18878.0
2018-12-18,12.15,11.87,11.87,12.06,62.0,28694.0
2018-12-19,11.98,11.52,11.5,11.81,142.0,7728.0
2018-12-20,11.67,11.32,11.27,11.27,29.0,2241.0
2018-12-21,12.42,11.35,11.26,11.36,77.0,22339.0
2018-12-24,11.35,10.96,10.91,11.29,58.0,9335.0
2018-12-26,11.8,11.16,10.91,10.91,92.0,8959.0
2018-12-27,11.45,11.01,10.96,11.45,142.0,6128.0
2018-12-28,11.4,11.13,10.96,11.02,228.0,12593.0
2018-12-31,11.71,11.71,11.23,11.4,51.0,13043.0
2019-01-02,11.94,11.94,11.94,11.94,4.0,812.0
2019-01-03,,,,,1.0,1.0
2019-01-04,11.7726,11.75,11.66,11.75,38.0,8394.0
2019-01-07,,,,,1.0,1.0
2019-01-08,11.66,11.66,11.66,11.66,6.0,547.0
2019-01-09,11.86,11.715,11.62,11.7424,38.0,18075.0
2019-01-10,12.15,12.15,11.63,11.885,141.0,15056.0
2019-01-11,12.69,12.65,12.1,12.15,82.0,8530.0
2019-01-14,13.0959,13.0,12.44,12.44,141.0,20466.0
2019-01-15,13.53,13.3144,12.3994,12.3994,105.0,32820.0
2019-01-16,13.65,13.5,12.955,13.3,128.0,28043.0
2019-01-17,14.05,13.75,13.21,13.25,131.0,33718.0
2019-01-18,14.1,13.75,13.5,13.66,126.0,38365.0
2019-01-22,14.33,13.75,13.75,14.24,38.0,16252.0
2019-01-23,14.25,14.25,12.78,13.75,40.0,8935.0
2019-01-24,14.23,13.85,13.8,13.8,53.0,4094.0
2019-01-25,14.0,13.94,13.51,14.0,201.0,33540.0
2019-01-28,13.95,13.7,13.52,13.76,91.0,5979.0
2019-01-29,14.0,13.75,13.475,13.5,96.0,5032.0
2019-01-30,13.9,13.78,13.55,13.55,42.0,3243.0
2019-01-31,14.0,14.0,13.68,13.68,29.0,6145.0
2019-02-01,15.193,14.55,13.9,14.05,53.0,9198.0
2019-02-04,14.568,14.25,14.0727,14.55,12.0,1352.0
2019-02-06,14.1,14.0,13.75,13.8,103.0,13586.0
2019-02-07,14.0,14.0,13.8193,13.8193,11.0,425.0
2019-02-08,13.89,13.89,13.4724,13.68,15.0,1009.0
2019-02-11,13.75,13.5,13.5,13.75,26.0,2218.0
2019-02-12,13.34,13.25,12.91,12.91,65.0,5243.0
2019-02-13,13.4225,13.4225,13.25,13.25,7.0,2219.0
