Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,8.3,8.16,7.89,7.89,,87909.0
2007-09-20,8.35,8.2,8.12,8.12,,42721.0
2007-09-21,8.34,8.3,8.2,8.2,,53466.0
2007-09-24,8.7,8.55,8.25,8.33,,95208.0
2007-09-25,8.92,8.8,8.55,8.55,,155210.0
2007-09-26,8.92,8.87,8.79,8.8,,67897.0
2007-09-27,8.98,8.98,8.778,8.87,,57988.0
2007-09-28,9.0,8.97,8.94,9.0,,29909.0
2007-10-01,9.34,9.2801,9.0,9.0,,198041.0
2007-10-02,9.65,9.58,9.28,9.28,,99033.0
2007-10-03,9.6,9.55,9.51,9.58,,55395.0
2007-10-04,9.62,9.58,9.52,9.6,,43728.0
2007-10-05,9.7,9.61,9.54,9.65,,63783.0
2007-10-08,10.0,9.9,9.59,9.59,,127559.0
2007-10-09,10.45,10.034,9.87,9.95,,185331.0
2007-10-10,10.2,9.77,9.7,10.05,,90025.0
2007-10-11,10.14,9.92,9.7,9.83,,135851.0
2007-10-12,10.15,10.09,9.7,9.94,,69393.0
2007-10-15,10.49,10.49,10.09,10.13,,133440.0
2007-10-16,11.05,11.05,10.104,10.5,,184179.0
2007-10-17,11.71,11.51,11.0801,11.1,,238600.0
2007-10-18,11.7,10.92,10.75,11.5,,215533.0
2007-10-19,10.99,10.3,10.3,10.95,,136774.0
2007-10-22,10.25,10.05,9.92,10.2,,156689.0
2007-10-23,10.52,10.5,10.06,10.06,,176312.0
2007-10-24,10.78,10.44,9.95,10.78,,157936.0
2007-10-25,10.49,10.27,9.93,10.44,,87774.0
2007-10-26,10.36,10.23,10.13,10.36,,72638.0
2007-10-29,10.4,10.39,10.17,10.25,,115306.0
2007-10-30,11.4,10.95,10.211,10.45,,367774.0
2007-10-31,11.7,11.0,10.5201,11.55,,316721.0
2007-11-01,11.04,10.39,10.38,10.82,,104376.0
2007-11-02,10.42,9.83,9.8,10.37,,94775.0
2007-11-05,9.82,9.39,9.31,9.76,,128662.0
2007-11-06,9.34,8.98,8.88,9.0,,144207.0
2007-11-07,9.13,9.08,8.97,9.0,,155504.0
2007-11-08,9.14,8.43,8.24,9.1,,118922.0
2007-11-09,8.59,8.3,8.28,8.43,,107642.0
2007-11-12,8.52,8.16,7.65,8.26,,225292.0
2007-11-13,8.57,8.57,8.09,8.16,,120187.0
2007-11-14,9.34,9.07,8.52,8.58,,171757.0
2007-11-15,9.1,8.5,8.35,9.08,,84393.0
2007-11-16,8.68,8.29,8.16,8.56,,61220.0
2007-11-19,8.26,8.06,7.86,8.22,,79745.0
2007-11-20,8.2899,7.72,7.56,8.09,,146113.0
2007-11-21,7.98,7.83,7.48,7.51,,55579.0
2007-11-23,8.38,8.38,7.9,7.9,,30334.0
2007-11-26,8.47,8.32,8.1,8.42,,69879.0
2007-11-27,8.57,8.36,8.17,8.34,,70564.0
2007-11-28,9.48,9.35,8.43,8.44,,157483.0
2007-11-29,9.42,9.065,9.02,9.36,,101675.0
2007-11-30,10.0,10.0,9.01,9.11,,201103.0
2007-12-03,10.0,9.34,9.25,10.0,,121789.0
2007-12-04,9.3,8.97,8.88,9.3,,80234.0
2007-12-05,9.4,9.4,8.86,8.9,,117794.0
2007-12-06,9.83,9.57,9.26,9.4,,102998.0
2007-12-07,9.83,9.78,9.49,9.56,,55723.0
2007-12-10,9.77,9.52,9.15,9.77,,79146.0
2007-12-11,9.77,9.64,9.31,9.57,,67675.0
2007-12-12,9.8,9.44,9.28,9.8,,54974.0
2007-12-13,9.4899,9.21,9.1,9.42,,41941.0
2007-12-14,9.55,9.4,9.02,9.17,,69158.0
2007-12-17,9.55,9.01,8.92,9.37,,22525.0
2007-12-18,9.36,9.2601,8.8888,9.04,,40781.0
2007-12-19,9.2899,8.93,8.63,9.21,,79857.0
2007-12-20,9.36,8.96,8.8,9.0,,83114.0
2007-12-21,9.34,9.24,8.83,9.11,,51425.0
2007-12-24,9.55,9.43,9.3,9.3,,32495.0
2007-12-26,9.99,9.93,9.39,9.44,,96979.0
2007-12-27,10.0,9.88,9.76,9.85,,55722.0
2007-12-28,9.99,9.65,9.55,9.91,,31940.0
2007-12-31,9.86,9.86,9.51,9.57,,41363.0
2008-01-02,9.93,9.93,9.71,9.9,,87114.0
2008-01-03,9.9,9.67,9.52,9.84,,81312.0
2008-01-04,9.8,8.93,8.88,9.57,,67859.0
2008-01-07,9.25,8.85,8.61,8.98,,83592.0
2008-01-08,8.9,8.5,8.46,8.82,,53794.0
