Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-17,1.85,1.81,1.65,1.7,,103600.0
2007-08-20,1.95,1.8,1.75,1.95,,42400.0
2007-08-21,1.84,1.78,1.78,1.84,,43450.0
2007-08-22,2.0,1.91,1.8,1.84,,52600.0
2007-08-23,1.95,1.95,1.85,1.88,,32093.0
2007-08-24,2.01,1.95,1.9,1.97,,43600.0
2007-08-27,1.95,1.85,1.81,1.85,,23500.0
2007-08-28,1.85,1.8,1.79,1.83,,22951.0
2007-08-29,1.9,1.9,1.83,1.85,,6250.0
2007-08-30,1.9,1.75,1.75,1.9,,23200.0
2007-08-31,1.9,1.9,1.77,1.85,,8300.0
2007-09-04,1.96,1.96,1.86,1.86,,11000.0
2007-09-05,2.0,1.83,1.8,1.8,,15110.0
2007-09-06,1.94,1.94,1.94,1.94,,1000.0
2007-09-07,2.07,2.07,1.9,1.9,,24339.0
2007-09-10,2.05,1.86,1.76,1.97,,37168.0
2007-09-11,1.82,1.8,1.8,1.81,,20820.0
2007-09-12,1.81,1.79,1.75,1.81,,43000.0
2007-09-13,1.9,1.9,1.81,1.81,,72100.0
2007-09-14,2.1,2.1,1.81,1.81,,62250.0
2007-09-17,2.1,2.0,2.0,2.1,,166700.0
2007-09-18,2.09,2.05,2.0,2.0,,307000.0
2007-09-19,2.25,2.05,2.0,2.03,,286600.0
2007-09-20,2.2,2.1,2.05,2.05,,55700.0
2007-09-21,2.4,2.37,2.01,2.01,,132017.0
2007-09-24,2.49,2.4,2.37,2.38,,116100.0
2007-09-25,2.4,2.36,2.31,2.37,,47500.0
2007-09-26,2.38,2.38,2.33,2.35,,17100.0
2007-09-27,2.47,2.44,2.37,2.4,,48007.0
2007-09-28,2.5,2.5,2.4,2.47,,75800.0
2007-10-01,2.55,2.54,2.46,2.55,,64150.0
2007-10-02,2.57,2.56,2.5,2.5,,104680.0
2007-10-03,2.55,2.45,2.42,2.49,,16110.0
2007-10-04,2.5,2.45,2.42,2.45,,49850.0
2007-10-05,2.75,2.7,2.45,2.45,,183677.0
2007-10-09,3.2,2.93,2.87,3.15,,911896.0
2007-10-10,3.0,2.94,2.9,2.98,,173121.0
2007-10-11,2.99,2.94,2.94,2.99,,147275.0
2007-10-12,2.95,2.9,2.87,2.95,,100127.0
2007-10-15,2.95,2.94,2.9,2.91,,115333.0
2007-10-16,2.94,2.9,2.9,2.91,,89172.0
2007-10-17,3.05,2.97,2.94,2.94,,146900.0
2007-10-18,3.0,3.0,2.92,2.98,,68100.0
2007-10-19,3.0,2.96,2.91,3.0,,44100.0
2007-10-22,3.0,2.94,2.94,2.97,,103900.0
2007-10-23,3.0,2.98,2.97,2.99,,113400.0
2007-10-24,3.05,3.02,3.0,3.0,,105941.0
2007-10-25,3.2,3.2,3.0,3.1,,91100.0
2007-10-26,3.4,3.12,3.11,3.2,,237541.0
2007-10-29,3.38,3.32,3.21,3.21,,268200.0
2007-10-30,3.32,3.25,3.24,3.3,,178800.0
2007-10-31,3.35,3.3,3.23,3.23,,184556.0
2007-11-01,3.35,3.3,3.24,3.3,,174000.0
2007-11-02,3.35,3.25,3.25,3.26,,120848.0
2007-11-05,3.85,3.7,3.55,3.75,,630581.0
2007-11-06,3.8,3.7,3.6,3.8,,424523.0
2007-11-07,3.8,3.74,3.72,3.75,,167849.0
2007-11-08,3.73,3.45,3.45,3.73,,123039.0
2007-11-09,3.4,3.4,3.23,3.33,,98550.0
2007-11-12,3.17,3.06,2.95,3.17,,181634.0
2007-11-13,3.2,3.2,3.03,3.06,,59200.0
2007-11-14,3.4,3.31,3.3,3.3,,27998.0
2007-11-15,3.14,3.01,3.01,3.11,,61950.0
2007-11-16,3.2,3.15,3.05,3.05,,46162.0
2007-11-19,3.22,3.0,2.9,3.15,,117950.0
2007-11-20,3.01,2.92,2.91,3.01,,47060.0
2007-11-21,2.76,2.6,2.5,2.76,,115643.0
2007-11-22,2.59,2.59,2.55,2.58,,7300.0
2007-11-23,2.7,2.6,2.5,2.55,,42850.0
2007-11-26,2.69,2.6,2.43,2.69,,59265.0
2007-11-27,2.57,2.52,2.34,2.52,,45250.0
2007-11-28,2.46,2.46,2.39,2.39,,16000.0
2007-11-29,2.59,2.57,2.43,2.43,,43100.0
2007-11-30,2.8,2.75,2.61,2.61,,50550.0
2007-12-03,2.8,2.7,2.7,2.79,,29150.0
2007-12-04,2.74,2.74,2.68,2.72,,14350.0
2007-12-05,2.79,2.79,2.68,2.74,,38200.0
2007-12-06,2.8,2.8,2.68,2.8,,45324.0
2007-12-07,2.9,2.9,2.7,2.79,,46800.0
2007-12-10,2.9,2.9,2.75,2.85,,102300.0
2007-12-11,2.88,2.76,2.76,2.88,,26650.0
2007-12-12,2.85,2.85,2.84,2.85,,7968.0
2007-12-13,2.8,2.8,2.62,2.72,,10804.0
2007-12-14,2.75,2.62,2.41,2.75,,12700.0
2007-12-17,2.62,2.6,2.5,2.52,,62800.0
