Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-30,10.57,10.44,10.25,10.25,,98130.0
2007-08-31,10.8,10.51,10.5,10.5,,109324.0
2007-09-04,10.6,10.58,10.33,10.51,,124450.0
2007-09-05,10.5,10.28,10.02,10.5,,166415.0
2007-09-06,10.49,10.49,9.82,10.12,,261980.0
2007-09-07,10.83,10.65,10.51,10.73,,125814.0
2007-09-10,10.75,10.35,10.15,10.6,,88898.0
2007-09-11,10.5,10.48,10.02,10.34,,95330.0
2007-09-12,10.66,10.5,10.4,10.47,,219324.0
2007-09-13,10.7,10.62,10.4,10.66,,253975.0
2007-09-14,10.85,10.41,10.37,10.85,,106330.0
2007-09-17,10.53,10.5,10.3,10.41,,151642.0
2007-09-18,10.6,10.49,10.1,10.4,,166728.0
2007-09-19,10.74,10.46,10.4,10.48,,155404.0
2007-09-20,11.45,11.21,10.5,10.5,,199585.0
2007-09-21,11.6,11.48,11.27,11.45,,142366.0
2007-09-24,12.06,11.6,11.6,11.6,,167530.0
2007-09-25,11.7,11.32,11.11,11.65,,85080.0
2007-09-26,11.41,10.85,10.53,11.2,,121489.0
2007-09-27,11.05,11.05,10.71,11.05,,57730.0
2007-09-28,11.32,11.1,11.01,11.01,,188514.0
2007-10-01,11.09,10.91,10.74,10.8,,135790.0
2007-10-02,10.66,10.63,10.4,10.55,,106323.0
2007-10-03,10.75,10.65,10.51,10.7,,147450.0
2007-10-04,11.28,11.27,10.68,10.71,,267628.0
2007-10-05,11.88,11.87,11.2,11.25,,423410.0
2007-10-09,12.83,12.73,11.87,11.87,,663745.0
2007-10-10,12.95,12.9,12.45,12.85,,244733.0
2007-10-11,13.08,12.15,12.14,12.9,,239176.0
2007-10-12,12.55,12.3,12.05,12.55,,253721.0
2007-10-15,12.84,12.24,12.2,12.8,,187882.0
2007-10-16,12.35,12.12,12.0,12.25,,187065.0
2007-10-17,12.22,11.93,11.92,12.03,,310118.0
2007-10-18,12.29,12.22,11.95,12.1,,245554.0
2007-10-19,12.15,11.45,11.36,12.11,,173940.0
2007-10-22,11.28,11.24,10.66,10.98,,264935.0
2007-10-23,11.61,11.6,11.05,11.28,,132673.0
2007-10-24,11.59,11.53,11.27,11.33,,75167.0
2007-10-25,11.74,11.65,11.42,11.5,,84565.0
2007-10-26,11.92,11.56,11.5,11.75,,84321.0
2007-10-29,11.69,11.6,11.31,11.44,,235592.0
2007-10-30,11.72,11.4,11.32,11.72,,127180.0
2007-10-31,11.54,11.43,11.33,11.4,,132694.0
2007-11-01,11.54,11.19,11.19,11.39,,104633.0
2007-11-02,11.46,11.19,11.0,11.46,,253389.0
2007-11-05,11.19,10.92,10.79,11.05,,116502.0
2007-11-06,11.05,10.97,10.82,11.04,,92470.0
2007-11-07,11.12,11.02,10.88,11.0,,379965.0
2007-11-08,11.38,11.2,11.0,11.0,,208230.0
2007-11-09,11.3,11.27,11.01,11.3,,138644.0
2007-11-12,11.3,10.91,10.61,11.0,,287859.0
2007-11-13,11.31,11.11,10.85,10.85,,121189.0
2007-11-14,11.63,11.55,11.21,11.21,,174813.0
2007-11-15,11.37,11.05,10.93,11.25,,232990.0
2007-11-16,11.65,11.65,11.15,11.5,,338536.0
2007-11-19,11.65,11.23,11.19,11.36,,129617.0
2007-11-20,11.6,11.43,11.28,11.44,,145613.0
2007-11-21,11.6,11.07,11.07,11.47,,208028.0
2007-11-22,11.06,10.96,10.75,11.05,,103821.0
