Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2003-05-06,0.5,0.47,0.47,0.5,25600.0
2003-05-07,0.52,0.51,0.51,0.52,10000.0
2003-05-12,0.52,0.51,0.45,0.45,6000.0
2003-05-13,0.51,0.46,0.44,0.51,46000.0
2003-05-15,0.48,0.48,0.48,0.48,2500.0
2003-05-16,0.45,0.45,0.43,0.43,12000.0
2003-05-20,0.41,0.41,0.41,0.41,2500.0
2003-05-21,0.41,0.4,0.4,0.41,3500.0
2003-05-22,0.4,0.4,0.4,0.4,15000.0
2003-05-28,,0.5,,,
2003-06-02,,0.35,,,
2003-06-04,,0.35,,,
2003-06-05,,0.45,,,
2003-06-09,,0.4,,,
2003-06-10,0.44,0.44,0.44,0.44,1000.0
2003-06-11,0.39,0.39,0.32,0.32,8000.0
2003-06-13,0.44,0.44,0.44,0.44,1000.0
2003-06-16,0.44,0.44,0.44,0.44,10000.0
2003-06-17,0.4,0.37,0.37,0.4,20000.0
2003-06-18,0.4,0.395,0.37,0.37,113000.0
2003-06-19,0.4,0.36,0.35,0.4,39500.0
2003-06-24,0.34,0.34,0.3,0.34,31000.0
2003-06-26,0.34,0.3,0.3,0.34,15500.0
2003-06-27,0.25,0.25,0.25,0.25,10000.0
2003-06-30,0.25,0.25,0.25,0.25,3000.0
2003-07-07,0.32,0.32,0.32,0.32,6600.0
2003-07-08,0.25,0.25,0.25,0.25,100.0
2003-07-09,0.28,0.26,0.25,0.25,46500.0
2003-07-10,0.22,0.22,0.22,0.22,25000.0
2003-07-15,0.26,0.21,0.2,0.24,249900.0
2003-07-16,0.21,0.21,0.21,0.21,100.0
2003-07-17,0.21,0.21,0.21,0.21,10000.0
2003-07-18,0.24,0.24,0.24,0.24,15000.0
2003-07-21,0.23,0.21,0.21,0.22,25800.0
2003-07-24,0.21,0.21,0.21,0.21,5000.0
2003-07-25,0.21,0.21,0.21,0.21,5000.0
2003-07-28,0.2,0.2,0.2,0.2,15000.0
2003-07-29,0.21,0.21,0.2,0.2,85000.0
2003-07-30,0.22,0.22,0.22,0.22,10000.0
2003-07-31,0.21,0.18,0.18,0.19,26500.0
2003-08-04,0.18,0.18,0.18,0.18,2500.0
2003-08-05,0.16,0.15,0.14,0.16,72300.0
2003-08-06,0.17,0.17,0.17,0.17,20000.0
2003-08-07,0.17,0.17,0.17,0.17,31500.0
2003-08-08,0.24,0.17,0.16,0.21,184500.0
2003-08-14,0.24,0.21,0.19,0.24,37000.0
2003-08-15,0.27,0.23,0.21,0.21,85200.0
2003-08-18,0.29,0.25,0.24,0.26,61000.0
2003-08-19,0.26,0.25,0.25,0.26,34000.0
2003-08-20,0.26,0.26,0.21,0.25,64500.0
2003-08-21,0.25,0.23,0.16,0.21,108500.0
2003-08-25,0.23,0.2,0.2,0.23,71000.0
2003-08-26,0.2,0.17,0.16,0.18,81000.0
2003-08-27,,0.17,,,
2003-08-28,,0.21,,,
2003-08-29,,0.18,,,
2003-09-02,,0.23,,,
2003-09-03,,0.2,,,
2003-09-04,,0.2,,,
2003-09-05,,0.21,,,
2003-09-08,,0.25,,,
2003-09-12,,0.21,,,
2003-09-15,,0.2,,,
2003-09-16,,0.24,,,
2003-09-17,,0.22,,,
2003-09-18,,0.19,,,
2003-09-22,,0.18,,,
2003-09-24,,0.2,,,
2003-09-25,,0.18,,,
2003-09-30,,0.17,,,
2003-10-01,,0.16,,,
2003-10-02,,0.16,,,
2003-10-03,,0.2,,,
2003-10-08,,0.2,,,
2003-10-09,,0.16,,,
2003-10-10,,0.17,,,
2003-10-14,,0.17,,,
2003-10-15,,0.18,,,
2003-10-16,,0.17,,,
2003-10-17,0.18,0.17,0.17,0.18,13300.0
2003-10-20,,,,,0.0
2003-10-21,,,,,0.0
2003-10-22,,,,,0.0
2003-10-23,0.155,0.155,0.155,0.155,4000.0
2003-10-24,0.155,0.155,0.155,0.155,200.0
2003-10-27,,,,,0.0
2003-10-28,0.161,0.16,0.14,0.155,70700.0
2003-10-29,0.17,0.17,0.14,0.14,30800.0
2003-10-30,,,,,0.0
2003-10-31,0.16,0.16,0.14,0.14,8000.0
2003-11-03,0.16,0.15,0.15,0.16,27200.0
2003-11-04,0.16,0.15,0.15,0.15,145000.0
2003-11-05,0.16,0.16,0.16,0.16,52800.0
2003-11-06,0.16,0.16,0.14,0.15,20000.0
2003-11-07,,,,,0.0
2003-11-10,0.18,0.18,0.17,0.18,40000.0
2003-11-11,0.17,0.17,0.17,0.17,10000.0
2003-11-12,0.2,0.2,0.2,0.2,6000.0
2003-11-13,,,,,0.0
2003-11-14,,,,,0.0
2003-11-17,0.17,0.15,0.15,0.17,20500.0
2003-11-18,,,,,0.0
2003-11-19,,,,,0.0
2003-11-20,0.16,0.16,0.16,0.16,500.0
2003-11-21,0.19,0.19,0.19,0.19,13000.0
2003-11-24,0.17,0.17,0.17,0.17,650.0
2003-11-25,,0.16,,,
2003-11-26,0.18,0.18,0.14,0.16,187500.0
2003-11-28,0.18,0.175,0.175,0.175,60000.0
2003-12-01,0.17,0.17,0.17,0.17,30000.0
2003-12-02,0.1725,0.1725,0.17,0.17,57000.0
2003-12-03,0.175,0.175,0.15,0.16,35000.0
2003-12-04,0.24,0.24,0.15,0.155,430500.0
2003-12-05,0.24,0.22,0.22,0.24,15000.0
2003-12-08,0.3,0.23,0.23,0.29,20000.0
2003-12-09,0.25,0.25,0.24,0.24,207000.0
2003-12-11,0.23,0.23,0.23,0.23,9982.0
2003-12-12,0.24,0.18,0.18,0.22,222500.0
2003-12-15,0.2,0.18,0.18,0.2,25000.0
2003-12-29,0.2,0.2,0.17,0.17,17000.0
2003-12-31,0.29,0.22,0.17,0.29,950840.0
2004-01-02,0.2,0.2,0.1,0.16,182180.0
2004-01-05,0.18,0.18,0.18,0.18,6000.0
2004-01-06,0.2,0.2,0.18,0.18,55000.0
2004-01-07,0.25,0.24,0.18,0.18,314500.0
2004-01-08,0.25,0.19,0.18,0.25,108000.0
2004-01-09,0.21,0.19,0.18,0.18,67500.0
2004-01-12,,,,,25000.0
2004-01-15,0.245,0.23,0.21,0.21,40000.0
2004-01-16,0.24,0.23,0.22,0.22,51500.0
2004-01-20,0.22,0.2,0.19,0.19,24000.0
2004-01-21,0.24,0.24,0.24,0.24,14500.0
2004-01-23,0.22,0.22,0.22,0.22,5100.0
2004-01-26,0.21,0.21,0.21,0.21,3000.0
2004-01-27,0.219,0.2,0.2,0.219,28700.0
2004-01-28,0.2,0.19,0.19,0.19,40500.0
2004-01-29,0.2,0.2,0.18,0.18,20000.0
2004-01-30,0.23,0.22,0.195,0.2,892482.0
2004-02-02,0.24,0.22,0.22,0.24,35100.0
2004-02-04,0.22,0.18,0.18,0.22,110000.0
2004-02-05,0.2,0.195,0.195,0.195,60000.0
2004-02-06,0.2,0.2,0.2,0.2,35200.0
2004-02-09,0.2,0.2,0.2,0.2,20950.0
2004-02-10,0.22,0.21,0.19,0.19,63000.0
2004-02-11,0.24,0.24,0.19,0.22,115600.0
2004-02-12,0.25,0.24,0.23,0.24,70000.0
2004-02-13,0.32,0.305,0.22,0.25,705153.0
2004-02-17,0.36,0.35,0.32,0.36,309887.0
2004-02-18,0.355,0.345,0.33,0.34,324134.0
2004-02-19,0.355,0.32,0.3,0.355,152707.0
2004-02-20,0.3,0.27,0.26,0.3,90409.0
2004-02-23,0.27,0.26,0.26,0.27,35000.0
2004-02-24,0.3,0.3,0.25,0.25,8760.0
2004-02-25,0.27,0.27,0.26,0.26,10520.0
2004-02-26,0.29,0.27,0.27,0.29,18500.0
2004-02-27,0.28,0.26,0.24,0.27,230374.0
2004-03-01,0.25,0.245,0.245,0.25,35000.0
2004-03-02,0.27,0.27,0.25,0.25,164300.0
2004-03-03,0.3,0.26,0.26,0.27,70500.0
2004-03-04,0.25,0.25,0.25,0.25,100.0
2004-03-08,0.29,0.275,0.255,0.255,79200.0
2004-03-09,0.32,0.3,0.29,0.3,113000.0
2004-03-10,0.35,0.3,0.29,0.31,257950.0
2004-03-11,0.32,0.32,0.3,0.32,25825.0
2004-03-12,0.3,0.3,0.3,0.3,5000.0
2004-03-15,0.31,0.3,0.29,0.31,22950.0
2004-03-16,0.31,0.28,0.28,0.3,149000.0
2004-03-17,0.28,0.275,0.275,0.28,25000.0
2004-03-18,0.28,0.27,0.27,0.28,12500.0
2004-03-19,0.27,0.26,0.26,0.26,10500.0
2004-03-22,0.28,0.26,0.25,0.28,152000.0
2004-03-23,0.26,0.25,0.25,0.26,12000.0
2004-03-24,0.25,0.25,0.25,0.25,6000.0
2004-03-25,0.26,0.26,0.26,0.26,14000.0
2004-03-26,0.25,0.25,0.24,0.24,36000.0
2004-03-29,0.25,0.23,0.23,0.25,56600.0
2004-03-30,0.28,0.27,0.25,0.25,172656.0
2004-03-31,0.275,0.275,0.25,0.25,20000.0
2004-04-01,0.275,0.24,0.23,0.275,31800.0
2004-04-02,0.25,0.24,0.24,0.25,63000.0
2004-04-05,0.27,0.25,0.245,0.245,132000.0
2004-04-06,0.25,0.25,0.24,0.24,2000.0
2004-04-07,0.27,0.26,0.24,0.255,94075.0
2004-04-08,0.275,0.26,0.26,0.275,85000.0
2004-04-12,0.275,0.265,0.26,0.26,212000.0
2004-04-13,0.275,0.255,0.255,0.275,172500.0
2004-04-14,0.275,0.25,0.25,0.275,100500.0
2004-04-15,0.25,0.23,0.22,0.24,114400.0
2004-04-16,0.25,0.24,0.23,0.25,62900.0
2004-04-19,0.25,0.22,0.22,0.25,152014.0
2004-04-20,0.22,0.22,0.19,0.22,155600.0
2004-04-21,0.22,0.22,0.2,0.22,36835.0
2004-04-22,0.26,0.241,0.23,0.24,212128.0
2004-04-23,0.275,0.275,0.25,0.26,369000.0
2004-04-26,0.33,0.29,0.26,0.3,658880.0
2004-04-27,0.31,0.31,0.28,0.3,250910.0
2004-04-28,0.36,0.32,0.3,0.31,884952.0
2004-04-29,0.35,0.35,0.32,0.325,455667.0
2004-04-30,0.38,0.38,0.34,0.34,452333.0
2004-05-03,0.4,0.38,0.36,0.38,345050.0
2004-05-04,0.39,0.37,0.36,0.39,192120.0
2004-05-05,0.37,0.32,0.32,0.34,554755.0
2004-05-06,0.36,0.36,0.32,0.32,45400.0
2004-05-07,0.36,0.34,0.325,0.36,76000.0
2004-05-10,0.35,0.33,0.31,0.35,63839.0
2004-05-11,0.34,0.31,0.31,0.31,108550.0
2004-05-12,0.33,0.31,0.31,0.33,39475.0
2004-05-13,0.32,0.32,0.28,0.31,228470.0
2004-05-14,0.36,0.35,0.3,0.32,487530.0
2004-05-17,0.36,0.33,0.3,0.32,308825.0
2004-05-18,0.34,0.33,0.3,0.32,70750.0
2004-05-19,0.34,0.33,0.31,0.31,110190.0
2004-05-20,0.35,0.33,0.32,0.33,178350.0
2004-05-21,0.35,0.34,0.32,0.32,202604.0
2004-05-24,0.35,0.33,0.33,0.34,24200.0
2004-05-25,0.34,0.29,0.29,0.34,139200.0
2004-05-26,0.3,0.27,0.25,0.29,174490.0
2004-05-27,0.27,0.26,0.26,0.27,2400.0
2004-05-28,0.27,0.25,0.25,0.26,106075.0
2004-06-01,0.29,0.28,0.24,0.27,223034.0
2004-06-02,0.29,0.25,0.24,0.29,120239.0
2004-06-03,0.26,0.25,0.24,0.26,184939.0
2004-06-04,0.26,0.25,0.24,0.26,138350.0
2004-06-07,0.26,0.25,0.25,0.26,8000.0
2004-06-08,0.25,0.23,0.23,0.24,88934.0
2004-06-09,0.24,0.22,0.22,0.22,35277.0
2004-06-10,0.26,0.26,0.22,0.23,7450.0
2004-06-14,0.27,0.245,0.24,0.26,142200.0
2004-06-15,0.25,0.24,0.23,0.23,40200.0
2004-06-16,0.26,0.23,0.23,0.26,105950.0
2004-06-17,0.25,0.231,0.23,0.25,45336.0
2004-06-18,0.231,0.231,0.23,0.23,5400.0
