Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-17,13.536,13.53,13.2601,13.2601,,1700.0
2007-08-20,13.53,13.42,13.38,13.53,,4200.0
2007-08-21,13.62,13.48,13.41,13.57,,2300.0
2007-08-22,13.6,13.48,13.48,13.6,,4600.0
2007-08-23,13.37,13.33,13.33,13.37,,1000.0
2007-08-24,13.26,13.25,13.25,13.2501,,2100.0
2007-08-27,13.31,13.25,13.25,13.25,,2100.0
2007-08-28,13.27,13.24,13.2,13.2501,,9600.0
2007-08-29,13.39,13.38,13.27,13.27,,7200.0
2007-08-30,13.38,13.29,13.29,13.3,,3400.0
2007-08-31,13.4,13.4,13.38,13.38,,1400.0
2007-09-04,13.41,13.39,13.39,13.41,,2100.0
2007-09-05,13.44,13.4,13.33,13.43,,6000.0
2007-09-06,13.55,13.47,13.47,13.48,,7700.0
2007-09-07,13.67,13.67,13.55,13.67,,16200.0
2007-09-10,13.94,13.94,13.72,13.72,,9600.0
2007-09-11,14.16,14.0,13.94,13.95,,19900.0
2007-09-12,13.94,13.93,13.93,13.93,,2500.0
2007-09-13,13.99,13.82,13.82,13.99,,2200.0
2007-09-14,14.0,13.84,13.82,13.97,,13800.0
2007-09-17,13.99,13.59,13.49,13.85,,13700.0
2007-09-18,13.85,13.85,13.6,13.6,,7900.0
2007-09-19,14.0,14.0,13.72,13.72,,5000.0
2007-09-20,13.98,13.758,13.73,13.98,,2000.0
2007-09-21,13.99,13.8042,13.7201,13.7201,,3300.0
2007-09-24,13.76,13.73,13.65,13.76,,2400.0
2007-09-25,13.81,13.52,13.45,13.8,,11600.0
2007-09-26,13.6,13.52,13.42,13.6,,8200.0
2007-09-27,13.55,13.55,13.5,13.52,,3700.0
2007-09-28,13.65,13.65,13.58,13.58,,2000.0
2007-10-01,13.67,13.67,13.65,13.67,,1200.0
2007-10-02,13.72,13.7,13.7,13.7,,3500.0
2007-10-03,13.71,13.65,13.53,13.64,,6400.0
2007-10-04,13.7801,13.7801,13.65,13.65,,2400.0
2007-10-05,13.66,13.66,13.56,13.63,,500.0
2007-10-09,13.51,13.43,13.41,13.41,,8600.0
2007-10-10,13.54,13.54,13.41,13.41,,3900.0
2007-10-11,13.51,13.46,13.46,13.51,,900.0
2007-10-12,13.5,13.5,13.39,13.39,,6500.0
2007-10-15,13.525,13.525,13.4,13.5,,3800.0
2007-10-16,13.42,13.39,13.39,13.42,,8700.0
2007-10-17,13.39,13.27,13.27,13.39,,7600.0
2007-10-18,13.33,13.31,13.31,13.3199,,2900.0
2007-10-19,13.42,13.3601,13.28,13.28,,6600.0
2007-10-22,13.42,13.42,13.42,13.42,,100.0
2007-10-23,13.35,13.35,13.21,13.35,,7200.0
2007-10-24,13.47,13.32,13.3,13.42,,6600.0
2007-10-25,13.36,13.36,13.3,13.3,,3800.0
2007-10-26,13.33,13.33,13.18,13.18,,8200.0
2007-10-29,13.42,13.42,13.37,13.38,,1800.0
2007-10-30,13.45,13.41,13.4075,13.41,,6200.0
2007-10-31,13.45,13.3901,13.39,13.4,,2600.0
2007-11-01,13.46,13.42,13.42,13.46,,2400.0
2007-11-02,13.42,13.42,13.393,13.42,,1100.0
2007-11-05,13.46,13.46,13.33,13.35,,3500.0
2007-11-06,13.41,13.41,13.36,13.36,,1200.0
2007-11-07,13.31,13.27,13.27,13.31,,1500.0
2007-11-08,13.21,13.18,13.18,13.21,,5600.0
2007-11-09,13.15,13.14,13.13,13.13,,1100.0
2007-11-12,13.13,13.05,13.03,13.13,,5900.0
2007-11-13,13.09,13.09,13.06,13.06,,3600.0
2007-11-14,13.29,13.29,13.05,13.08,,11200.0
2007-11-15,13.14,13.08,12.98,13.14,,6600.0
2007-11-16,13.17,13.04,13.02,13.11,,4300.0
2007-11-19,13.08,13.07,13.03,13.03,,3300.0
2007-11-20,12.98,12.89,12.89,12.96,,8300.0
2007-11-21,12.98,12.9,12.9,12.98,,4000.0
2007-11-23,13.03,13.03,12.89,12.89,,3400.0
2007-11-26,12.9,12.9,12.76,12.85,,13100.0
2007-11-27,12.99,12.89,12.88,12.94,,17100.0
2007-11-28,12.98,12.97,12.88,12.95,,4000.0
2007-11-29,12.98,12.91,12.91,12.98,,3200.0
2007-11-30,13.11,13.11,12.9201,12.99,,10800.0
2007-12-03,13.17,13.17,13.16,13.16,,1500.0
2007-12-04,13.25,13.25,13.22,13.22,,2200.0
2007-12-05,13.39,13.39,13.2,13.2,,7300.0
2007-12-06,13.48,13.44,13.12,13.4,,23200.0
2007-12-07,13.36,13.25,13.2,13.36,,8800.0
2007-12-10,13.36,13.32,13.23,13.3,,8400.0
2007-12-11,13.33,13.17,13.17,13.33,,3300.0
2007-12-12,13.1,12.96,12.96,13.1,,18500.0
2007-12-13,13.05,13.01,12.88,12.88,,13600.0
2007-12-14,13.04,13.04,12.81,12.89,,4800.0
2007-12-17,13.03,12.92,12.84,12.93,,8000.0
2007-12-18,13.29,13.04,12.84,12.96,,11800.0
